Description,Eligibility,FO Reference,GO ID,Primary Category,Secondary Category,Title
"The intention of the grant opportunity is to continue funding to the 8 organisations that provide specialist counselling and related support services to those who are experiencing psychological and/or psychosocial difficulties as a result of pre-migration torture and trauma. 
 The PASTT Program is designed to fund a range of activities that contribute to better integrated service delivery that ensures vulnerable individuals in the target group receive the support they require. 
 The objectives of PASTT are to: 
 
 provide survivors of torture and trauma with appropriate counselling and related support services; 
 promote the physical health and psycho-social recovery of humanitarian entrants to Australia who have pre-migration experiences of conflict and human rights abuses, which make them vulnerable to developing mental health problems; and 
 provide services tailored to the needs of clients, whether this involves short, medium or long-term support. 
",Suitability to receive grant funding will be assessed as per Section 5 of the grant opportunity guidelines.,,GO1890,231015 - Mental Health,,Program of Assistance for Survivors of Torture and Trauma (PASTT)
"The objectives of this grant opportunity are to encourage recovery efforts in areas affected by the 2019-20 bushfires by: 
 
 supporting recovery of native flora and fauna 
 involving local communities, community groups and Traditional Owners, in delivering bushfire recovery activities for native flora and fauna. 
 
 The program is confined to bushfire-affected areas within the eastern and southern part of Australia affected by the 2019-20 bushfires, or adjacent to an affected area. 
 There is $10 million available for this grant opportunity. 
 The minimum grant is $5,000 and the maximum grant is $150,000. 
 You must complete your project by 1 April 2022.","To be eligible you must have an Australian business number (ABN) and be one of the following entities: 
 
 an incorporated and not-for-profit organisation including but not limited to
 
 community associations including community and environment groups 
 non-distributing co-operatives 
 companies limited by guarantee 
 
 
 Traditional Owners, Indigenous Organisations or an Indigenous Enterprise, evidenced through providing an Indigenous Corporations Number (ICN). If you don’t have an ICN, you may provide a statutory declaration stating that your organisation is at least 51 per cent owned or controlled by Indigenous persons 
 an incorporated trustee on behalf of a trust 
 a Regional Land Partnerships service provider acting as a project lead in a joint application to enable an individual, partnership or community group to undertake their project (see section 7.2 of the grant opportunity guidelines) 
 a local governing body as defined by the  Local Government (Financial Assistance) Act  1995 
 
 Joint applications are acceptable, provided you have a lead organisation who is the main driver of the project and is eligible to apply. 
 Not eligible 
 You are not eligible to apply if you are: 
 
 an unincorporated association 
 a university (a publicly funded research organisation [PFRO] as defined in section 14 of the grant opportunity guidelines) 
 a school 
 an individual 
 a partnership 
 a trust (however, an incorporated trustee may apply on behalf of a trust) 
 a non-corporate Commonwealth entity 
 an Australian State/Territory Government agency or body (unless a Regional Land Partnerships service provider acting as a project lead in a joint application as per section 4.1 of the grant opportunity guidelines) 
",,GO4389,211006 - Natural Resources - Conservation and Protection,,Bushfire Recovery for Wildlife and Habitat Community Grants Program
"The Australian Government is providing $94.6 million for the Supporting Australia’s Exhibiting Zoos and Aquariums program (the Program). 
 The Program will provide assistance to eligible exhibiting zoos, aquariums and wildlife parks to help sustain these important tourism attractions at a time when tourism turnover has been impacted by travel restrictions and social distancing measures designed to limit the spread of COVID-19. 
 The objective of the Program is to assist eligible exhibiting zoos, aquariums and wildlife parks to maintain their animal populations by assisting with animal welfare costs such as feed, enclosure, health and other specialised care and utilities directly related to the housing and caring for animals.","Eligible applicants are exhibiting zoos, aquariums and wildlife parks that are either Zoo and Aquarium Association members or attractions that have been identified by state and territory tourism organisations. Where required by state, territory or the Australian Government you must meet relevant animal welfare standards and hold any required permits, licences or accreditation. You must be a unique attraction meeting relevant animal welfare standards and be important at a national, state or regional level, contributing to conservation and presentation of animals and driving interstate and international visitation. You must usually derive income from tourism and as a result of the COVID-19 related shutdown you must have experienced a downturn in your business.",ZandAGrant - 2020-21,GO4020,181000 - Disaster Relief,,"Supporting Australia's Exhibiting Zoos and Aquariums program"
"CRC-P grants support short term industry-led collaborations to develop important new technologies, products and services that deliver tangible outcomes. 
 To support the overall aims of the CRC Program, CRC-Ps must: 
 
 be a short term, industry-identified and industry-led collaborative research project to develop a product, service or process that will solve problems for industry and deliver tangible outcomes 
 benefit SMEs and increase their capacity to grow and adapt in changing markets 
 include education and training activities. 
 
 The minimum grant amount is $100,000. 
 The maximum grant amount is $3 million. 
 The grant amount will be up to 50 per cent of eligible grant project value. 
 The maximum grant period is 3 years. 
 You can use funding to support costs directly related to the project, including for: 
 
 new research 
 proof of concept activities 
 pre-commercialisation of research outcomes 
 industry-focused education and training activities, such as internships and secondments between industry entities and research organisations. 
 conferences, workshops, symposia related to the joint research 
 related information sharing and communication initiatives related to the joint research. 
 
 Other costs may also be eligible for grant funding. 
 You cannot use funding for the same activities or project previously or currently financed through any other funding scheme..","Collaborations from all industry sectors, research disciplines and community sectors can apply. To be eligible as a lead applicant you must: have an Australian Business Number (ABN) and be an entity incorporated in Australia and a trading corporation, where your trading activities form a sufficiently significant proportion of the corporation’s overall activities as to merit it being described as a trading corporation or are a substantial and not merely peripheral activity of the corporation. Each CRC-P must include and maintain amongst its project partners at least: two Australian industry entities including at least one SME and one Australian research organisation. You are not eligible to apply as the lead applicant if you are: an individual, partnership or trust a research organisation a Commonwealth, State, Territory or local government agency or body (including government business enterprises) an entity where the majority of your funding is from government sources, for example grant programs an entity whose primary function is administrative or to provide support services to a CRC-P. For more information on eligibility please refer to the Grant opportunity guidelines.",,GO2882,261001 - Industry Innovation,,Cooperative Research Centres Projects (CRC-P) Grants - Round 8
"The Australian Government is inviting organisations via an open competitive grant process to apply to deliver services under the Information, Linkages and Capacity Building Program’s Economic Participation (EP) grant opportunity 2020-21. 
 The aim of the EP grant opportunity is to improve the economic participation of people with disability, particularly in light of the impact of COVID-19. 
 The expected outcomes for the EP grant opportunity are: 
 
 People with disability will have improved job readiness, employment related skills and knowledge (whether industry specific or generalist). 
 People with disability and other stakeholders will have increased access to employer groups and employment support networks. 
 Increased willingness and capability of employers and organisations to employ people with disability. 
","To be eligible you must be one of the following entity types:  
 
 Company 
 Cooperative 
 Corporate State or Territory Entity  
 Incorporated Association 
 Indigenous Corporation  
 Local Government 
 Statutory Entity. 
 
 If you are applying as a Trustee on behalf of a Trust, the Trustee must have an eligible entity type as listed above.",,GO4481,171004 - Services for People with Disabilities,,ILC Economic and Community Participation Program – Economic Participation Grant Opportunity 2020-21
"The Health Protection and Emergency Response Program aims to protect the health of the community through national leadership and capacity building to detect, prevent and respond to threats to public health and safety including those arising from communicable diseases and other incidents that may lead to mass casualties. 
 Objectives: to fund activities that strengthen the nation’s capacity and capability in relation to:    *Prevention–prevent, eliminate or reduce the occurrence or severity of communicable disease outbreaks and other incidents;   *Preparedness–build and strengthen Australia’s preparedness to prevent and minimise the impact from events such as communicable disease outbreaks; and   *Response–develop and maintain response systems to ensure an effective, coordinated and timely response to health emergencies. 
 The grant opportunity focuses on implementation of four of five Strategies: 1. Third National Hepatitis B Strategy 2018-22 2. Fourth National STI Strategy 2018-22 3. Fifth National Hepatitis C Strategy 2018-22  4. Eighth National HIV Strategy 2018-22 
 Intended outcomes to:   *Fund a number of small scale, pilot projects able to be implemented nationally;   *Increased BBV/STI testing and treatment in the Australian community;   *Increased awareness of BBV/STI and related preventative actions within the Australian community;   *Provide for new and innovative ways to promote BBV/STI testing; and   *Improved and innovative approaches to capturing BBV/STI data. 
 Please read both the Grant Opportunity Guidelines and the relevant National BBV and STI Strategy/ies to determine if you have a project suitable for funding. A total of between $250,000.00 and $500,000.00 (GST exclusive) over two years is available for a single project. Applicants are able to bid for multiple projects. ",To be eligible you must: * refer to Section 4: Eligibility Criteria of the Guidelines * have an Australian Business Number (ABN) * be registered for the purposes of GST * be a permanent resident of Australia * have an account with an Australian financial institution and be one of the following entity types: * a company incorporated in Australia * a company incorporated by guarantee * an incorporated trustee on behalf of a trust * an incorporated association * a partnership * a joint (consortia) application with a lead organisation   * a registered charity or not-for-profit organisation * a publicly funded research organisation,P0572x,GO4776,231012 - Health Promotion and Prevention Programs,,Activities to Support the National Response to Blood Borne Viruses (BBV) And Sexually Transmissible Infections (STI)
"The objective of the NHMRC’s Investigator Grant scheme is to support the research program of outstanding investigators at all career stages. It consolidates salary and research support into a single grant scheme by offering a salary component (if required) and a research support package. 
 The intended outcomes of the Investigator Grant scheme are: 
 
 flexibility for investigators to pursue important new research directions as they arise and to form collaborations as needed 
 innovative and creative research 
 opportunities for researchers at all career stages to establish their own research programs 
 reduced application and peer review burden on researchers. 
","Applications will only be accepted from NHMRC-approved Administering Institutions. A list of NHMRC-approved Administering Institutions and NHMRC’s Administering Institution policy are available on  NHMRC’s website . 
 Applications must satisfy all the requirements set out in the Investigator Grants 2021 Guidelines.",,GO4635,231013 - Medical Research,,Investigator Grants 2021
"The $841.6 million Building Better Regions Fund (BBRF) supports the Australian Government’s commitment to: 
 
 
 create jobs 
 
 
 drive economic growth 
 
 
 build stronger regional communities into the future 
 
 
 For Round 4 there is a total of $200 million available to support drought-affected regions by targeting projects that will benefit communities affected by drought. 
 The Community Investments Stream will fund new or expanded local events, strategic regional plans, or leadership and capability strengthening activities that provide economic and social benefits to regional and remote areas. 
 Grants of between $5,000 and $1 million are available. However, given the nature of eligible projects we expect most grants will be under $100,000. 
 For most projects grant funding will be up to either 50% or 75% of your eligible project costs. Your location will determine the percentage of grant funding you can receive. 
 You may apply for a partial or full exemption to your cash contribution if you can demonstrate that you are experiencing exceptional circumstances. 
 For small projects with a total grant amount of equal to or less than $20,000, grant funding will be up to 100 per cent of eligible project costs. 
 Your project will need to deliver economic and social benefits to a regional or remote community.","To be eligible you must: have an Australian Business Number (ABN) and be one of the following incorporated entities: an incorporated not for profit organisation. As a not for profit organisation you must demonstrate your not for profit status through one of the following: Current Australian Charities and Not for profits Commission’s (ACNC) Registration State or territory incorporated association status Constitutional documents and/or Articles of Association that demonstrate the not for profit character of the organisation an Australian local government agency or body as defined in the glossary non-distributing co-operatives. We can only accept applications where: your project is taking place in a drought-affected location in Australia, as outlined under 2.1.1 of the grant opportunity guidelines your project is located in Australia and in an eligible location unless you can clearly demonstrate the significant benefits and employment outcomes, that flow directly into an eligible area you can provide evidence of how you will provide your share of project costs if applicable. For further eligibility requirements please refer to the grant opportunity guidelines.",,GO3201,351002 - Regional Development,,Building Better Regions Fund – Community Investments Stream – Round 4 – Drought Support
"The Director Banning Grant Guidelines is one of three revised Guidelines developed by ASIC to replace ASIC Regulatory Guide 109*. 
 The Director Banning grant opportunity provides funding to a liquidator of an assetless company to investigate and prepare a report under section 533(2) of the  Corporations Act 2001 , primarily to assist ASIC to determine whether to disqualify a person from managing corporations under section 206F or 206GAA of the  Corporations Act 2001 . 
 The  Commonwealth Grant Rules and Guidelines 2017  (CGRGs) requires grant opportunity guidelines to be developed for all new grant opportunities, and revised guidelines to be developed where significant changes have been made to a grant opportunity. 
 This Guidelines has been developed in accordance with the CGRGs within the Commonwealth Grants Policy Framework.   
 Please read the Guidelines carefully, as it contains numerous changes including: 
 - Sections and headings in accordance with the Whole-of-Government template 
 - Simplified definition for ""assetless"" administration for determining a liquidator's eligility to apply for grant in section 4.5 
 *The other two Guidelines are: Asset Recovery Grant Guidelines; and Matters Other Than Director Banning Grant Guidelines. 
   
  ","Who is eligible to apply for a grant? 
 Any liquidator appointed as a liquidator to a company in liquidation in: 
 - a court-ordered winding up; 
 - a creditors’ voluntary winding up; or 
 - an ASIC-ordered winding up under section 489EA of the  Corporations Act 2001,   
 excluding a liquidator of a solvent company voluntarily wound up by its members or a special purpose liquidator, may apply for funding under the Director Banning grant opportunity to investigate and prepare a supplementary Report. 
 Additional eligibility criteria: 
 An application for funding under the Director Banning grant opportunity must meet four eligibility criteria: 
 a. the company in liquidation must be an 'assetless' administration; 
 b. a report under section 533(1) of the  Corporations Act 2001  must have been lodged with ASIC; 
 c. elements of sections 206F or 206GAA of the  Corporations Act 2001  are met; and 
 d. sufficient evidence is or is likely to become available. 
 Please read the Director Banning Grant Guidelines for further details regarding eligibility. 
   
   
   
  ",,GO4192,151004 - Legal Services,,Assetless Administration Fund - Director Banning Grant
"The Australian Government is inviting organisations via a restricted process to apply to deliver services under the Disability and Carer Support Program: National Disability Advocacy Program – Improving coverage of disability advocacy support.   
 A total of $4,209,060 (GST exclusive) is available over 2 years for this grant opportunity, from September 2018 until 30 June 2020. 
 Funding provided under this grant opportunity must be used to assist all people with disability (no specialisation) residing within defined coverage areas - with ninety per cent to be used to support individuals and the remaining ten per cent to address systemic issues. 
  ",By invitation only.,,GO1152,171004 - Services for People with Disabilities,,National Disability Advocacy Program
"The purpose of the grant is to provide lump sum financial assistance to limit the financial hardship of eligible individuals who are, or were, unable to earn an income having been required to self-isolate or quarantine, or are caring, or cared, for a person required to remain in isolation as a quarantine measure as a result of the coronavirus known as COVID-19.",In accordance with the eligibility criteria outlined in the Program Guidelines.,,GO4491,231017 - Public Health and Safety,,Pandemic Leave Disaster Payment
"The RISE Fund will provide targeted funding assistance to assist in the presentation of cultural and creative projects, activities and events.  Projects that target audiences in outer metropolitan, regional and remote areas will also be taken into account, as well as projects that involve tours and use local regional pre-production and production, services and support acts. 
 The objectives of the program are to: 
 •assist companies in the arts and entertainment sector to present activities which have been disrupted by the COVID-19 restrictions 
 •deliver activities, opportunities and structural adjustments that have been developed in response to the COVID-19 restrictions, including innovative ways to deliver content and productions 
 •assist events and activities cancelled as a result of COVID-19 restrictions to be rescheduled by funding rescheduling costs 
 •provide increased employment opportunities, including retention of artists and skilled workers in the arts and entertainment sector and allied industries 
 •generate increased economic activity in the arts and entertainment sector and allied industries 
 •help build the longer-term financial sustainability of cultural and creative companies, including increased revenue?earning capacity 
 •provide creative and cultural experiences to audiences across Australia 
 The program opened on 31 August 2020 and closes to applications on 31 May 2022 at the latest, subject to allocation of funds. Applications will be accepted at any time between the opening and closing dates for the program, the Minister for Communications, Urban Infrastructure, Cities and the Arts will be provided with funding assessment recommendations in Batches from time to time. Additional assessment recommendations may be made to the Minister for Communications, Urban Infrastructure, Cities and the Arts outside of these timeframes only in exceptional circumstances. Batch closing dates will be published at www.arts.gov.au.","To be eligible your primary purpose must be the arts and entertainment and you must: 
 • have an Australian Business Number (ABN) 
 • be registered for the purposes of GST (if applicable) 
 • have an account with an Australian financial institution 
 • comply with all regulatory, industry and legal requirements in relation to copyright, licensing and employment 
 • be located in any part of Australia 
 • have a co-contribution towards the activity 
 and be one of the following entity types: 
 • incorporated organisations 
 • a local government or local government-owned entity 
 • a partnership 
 • a joint (consortia) application with a lead organisation 
 • a not-for-profit organisation 
 • an Aboriginal and/or Torres Strait Islander Corporation registered under the Corporations (Aboriginal and Torres Strait Islander) Act 2006 
 • a Sole Trader 
 Individual business units and entities of state or territory governments with an arts or cultural heritage purpose (such as art galleries, museums or performing arts centres) are eligible to submit applications. Commonwealth, state and territory departments are not eligible.",RISE2020,GO4286,121003 - Humanities,,Restart Investment to Sustain and Expand (RISE) Fund
"The Boosting Female Founders Initiative (the program) will run over three years from 2020-21 to 2022-23. The program is part of the Women’s Economic Security Package, which helps to support more Australian women into work and supports Australia’s international obligations under the Convention on the Elimination of all forms of Discrimination against Women (CEDAW). The program will provide targeted support on a co-contribution basis to female founders of startup businesses (startups) to launch and scale their businesses into domestic and global markets. 
 The Australian Government has announced a total of $18 million. For this round, $6 million is available. 
 The objectives of the program are to: 
 
 stimulate private sector investments into innovative startups led by women 
 help female entrepreneurs overcome the disadvantages they face in getting access to finance and support to grow their startups 
 enable female founders to scale-up, expand into domestic and global markets, and become self-sufficient 
 boost the economy through increasing the diversity of startup founders. 
 
 The intended outcomes of the program are: 
 
 increased number of startups founded by women 
 new products and services are brought to market by startups founded by women 
 increased financial investment in startups founded by women 
 women improve their earning potential through entrepreneurship 
 increased job creation and economic growth. 
 
 The grant amount will be up to 50 per cent of eligible project costs - unless you can meet additional requirements (see the grant opportunity guidelines for further information).","To be eligible you must: be a female founded (majority owned and led by women) startup have an Australian Business Number (ABN) be registered for the Goods and Services Tax (GST) be one of the following entities: an entity incorporated in Australia an incorporated trustee on behalf of a trust an Aboriginal and Torres Strait Islander Corporation registered under the Corporations (Aboriginal and Torres Strait Islander) Act 2006 (Cth) a partnership a sole trader. In addition, we can only accept applications where you can: show evidence that your startup is a female founded (majority owned and led by women), see section 14 of the grant opportunity guidelines for further information on the definition of a female founded business provide evidence to support your source of funding (e.g. letter from contributor/s confirming funding amount) (Stage Two applications only) provide evidence from your board (or chief executive officer or equivalent if there is no board) that the project is supported, and that you can complete the project and meet the costs of the project not covered by grant funding (e.g. ineligible expenditure see Appendix B of the grant opportunity guidelines) (Stage Two applications only) You are not eligible to apply if you are: income tax exempt an unincorporated association any organisation not included in section 4.1 of the grant opportunity guidelines a trust (however, an incorporated trustee may apply on behalf of a trust) a Commonwealth, State, Territory or local government body (including government business enterprises)",,GO3792,261003 - Business Development,,Boosting Female Founders Initiative - Round 1
"The Coronavirus Research Response - 2020 Communication Strategies and Approaches during Outbreaks grant opportunity was announced as part of the Medical Research Future Fund (MRFF) and is part of the Coronavirus (COVID-19) National Health Plan to support our health system to manage the outbreak of novel coronavirus in Australia. This package provides support across primary care, aged care, hospitals and research, and includes funding from the MRFF for a Coronavirus Research Response comprising vaccine, anti-viral and respiratory medicine research. 
 For this grant opportunity funding for research into how diverse communities respond during outbreaks, how they react, access information and interpret it. 
 The objectives of this grant opportunity are to: 
 
 research the information needs of individuals and the community during outbreaks (including population sub-groups such as Aboriginal and Torres Strait Islander people, Culturally and Linguistically Diverse people, and those with disabilities) 
 investigate how individuals (including population sub-groups) access information about outbreaks (e.g. through peers, online, on radio or television) 
 consider the impact of the attitudinal and behavioural patterns on how information is sourced, interpreted and actioned 
 identify key information and messages about the outbreak and also the response that individuals and the community would benefit from understanding 
 propose options for communication strategies and approaches that address these needs and also support response strategies such as social isolation. 
 
 The intended outcome of this grant opportunity is to improve the community’s engagement with and responsiveness to Government communication efforts during outbreaks such as COVID-19.","To be eligible you must: have an Australian Business Number (ABN) be incorporated in Australia and in accordance with s20 and s24 of the  MRFF Act 2015 , be one of the following entities: a medical research institute a university a corporate Commonwealth entity a corporation (including businesses and not for profits) a state or territory government a state or territory government entity Joint applications are encouraged, provided you have a lead organisation who is the main driver of the project and is eligible to apply. We can only accept applications where you can provide: confirmation that any Chief and/or Lead Investigators named on your application under this grant opportunity are not named as Chief and/or Lead Investigators on any other application under this grant opportunity evidence from your board (or chief executive officer or equivalent if there is no board) that the project is supported, and that you can complete the project and meet the costs of the project not covered by grant letters of support from each project partner, if applicable. You are not eligible to apply if you are: an individual partnership unincorporated association any organisation not included in section 3.1 of the guidelines trust (however, an incorporated trustee may apply on behalf of a trust) a non-corporate Commonwealth entity",MRFF CRR 2020 Communication Strategies,GO4050,"381001 - Science, Technology, Engineering and Mathematics (STEM) Research",231021 - Health and Medical Research,MRFF Coronavirus Research Response - 2020 Communication Strategies and Approaches During Outbreaks
"The Australian Moon to Mars initiative forms an important element of the  Advancing Space: Australian Civil Space Strategy 2019-2028  and supports Australian organisations to join NASA’s inspirational endeavour to go forward to the Moon and on to Mars. 
 These grants support Australian businesses and researchers by assisting industry and research institutions to conduct feasibility activities for space projects. 
 The objectives are to: 
 
 demonstrate Australian small and medium-sized enterprise (SME) capacity and capability to develop space projects with a clear potential to support Moon to Mars activities for any of the following: 
 
 qualification 
 space operability 
 space support 
 access to space 
 
 develop and demonstrate the feasibility of space projects with the: 
 
 potential to operate or directly support operations in space 
 ability to support Moon to Mars activities 
 
 demonstrate the value, including commercial value, of space projects to the space industry and marketplace 
 develop Australian SME capability in early mission development activities 
","To be eligible you must: 
 
 have an Australian business number (ABN) 
 be registered for the Goods and Services Tax (GST) 
 
 You must also be one of the following entities: 
 
 an entity incorporated in Australia and a trading corporation, where your trading activities either: 
 
 form a sufficiently significant proportion of the corporation’s overall activities as to merit it being described as a trading corporation 
 are a substantial and not merely peripheral activity of the corporation 
 
 a Publicly Funded Research Organisation as defined in the Demonstrator Feasibility Guidelines 
 
 Joint applications are acceptable, provided you have a lead organisation who is the main driver of the project and is eligible to apply. 
 We can only accept applications where you can provide evidence from your board (or chief executive officer or equivalent if there is no board) that: 
 
 the project is supported 
 you can complete the project and meet the costs of the project not covered by Demonstrator Feasibility Grants funding 
 confirms you are a trading corporation 
 
 We can’t waive the eligibility criteria under any circumstances. 
 Not eligible 
 You are not eligible to apply if you are: 
 
 an individual 
 partnership 
 trust (however, an incorporated trustee may apply on behalf of a trust) 
 a Commonwealth, State, Territory or local government body (including government business enterprises) 
 a corporate or non-corporate Commonwealth entity. 
 
 If you’re not eligible to apply, you may still be a part of a joint application provided you have a lead organisation who is the main driver of the project and is eligible to apply. ",,GO4267,261001 - Industry Innovation,,Moon to Mars initiative: Demonstrator Feasibility Grants
"The Linkage Projects scheme promotes national, and international, collaboration and research partnerships between key stakeholders in research and innovation including higher education institutions, government, business, industry and endusers. Research and development is undertaken to apply advanced knowledge to problems, acquire new knowledge and as a basis for securing commercial and other benefits of research. 
 To facilitate successful collaboration between higher education institutions and other parts of the innovation system, Linkage Projects proposals can be submitted at any time and funding outcomes are announced within six months of proposal submission. 
 The Linkage Projects scheme provides funding to Eligible Organisations to support research and development (R&D) projects which: 
 
 are collaborative between higher education researchers and other parts of the national innovation system 
 are undertaken to acquire new knowledge, and involve risk or innovation. 
 
 The objectives of the Linkage Projects scheme are to: 
 
 support the initiation and/or development of longterm strategic research alliances between higher education organisations and other organisations, including industry and other research end-users, in order to apply advanced knowledge to problems and/or to provide opportunities to obtain national economic, commercial, social or cultural benefits 
 provide opportunities for internationally competitive research projects to be conducted in collaboration with organisations outside the higher education sector, targeting those who have demonstrated a clear commitment to high-quality research  
 encourage growth of a national pool of world-class researchers to meet the needs of the broader Australian innovation system 
 build the scale and focus of research in the national Science and Research Priorities. 
","A Proposal may only be submitted through the Research Office of an Eligible Organisation listed in the relevant Funding Rules.  Eligibility Criteria for Participants All CIs and PIs named in a Proposal must satisfy the eligibility criteria for the role they are to perform as at the scheme-specific Commencement Date and for the duration of the Project.  Roles that may be nominated in a Proposal are:  a.Chief Investigator (CI)  b.Partner Investigator (PI) The Proposal must nominate at least one CI from an Eligible Organisation. The first named CI must be from the Administrating Organisation and will be the Project Leader.  Proposal Eligibility A CI may submit and/or be funded concurrently for a maximum of four Linkage Projects as a CI.  The maximum number of Projects a CI can be involved in will be calculated at the date of submission of a Proposal by totalling the number of Active Projects at the Funding Commencement Date and the number of Proposals submitted for Linkage Projects funding (for which the outcome has not yet been announced) (excluding any Proposals previously announced as not recommended for funding).  If a Proposal from any Linkage Projects scheme round (including for funding commencing in 2017) has previously been announced as not recommended for funding, a similar Proposal can be submitted for funding commencing in 2017. However, if the ARC determines that the new Proposal is not substantially different from the previous Proposal, the ARC reserves the right to utilise assessments and rejoinders submitted for the previous Proposal during the assessment process for the new Proposal.  Researchers will not be permitted to relinquish a CI role, or existing Linkage Project held on the Funding Commencement Date to circumvent the limits in the Funding Rules.",LProg2018,GO887,"381001 - Science, Technology, Engineering and Mathematics (STEM) Research","381002 - Humanities, Arts and Social Sciences (HASS) Research",Linkage Projects for funding applied for in 2018
"This grant opportunity was announced as part of the Government’s response to the economic impact of COVID-19. 
 The objective of the program is to assist the domestic airline industry in response to the economic pressures created by the impact of COVID-19 by reducing operational cost pressures to improve the ability of airlines to maintain services. 
 The Government has committed up to $715 million financial assistance to ease the costs and charges of operating domestic commercial air services from 1 February to 31 December 2020.  To this end, the Government has announced a series of measures.  The measures are: 
  1.            Waiver of fuel excise 
  2.            Waiver of Airservices Australia charges 
  3.            Domestic Aviation Security Charges rebate 
  4.            Offsetting the increased operational costs from the scheduled enhanced regional security screening requirements where they are introduced 
  5.            Providing infrastructure support for regional airport operators to implement the enhanced regional security screening requirements. 
 Details on the implementation of measures 1 and 3 are provided in these grant opportunity guidelines.  Measure 2 is being implemented directly by Airservices Australia and measures 4 and 5 will operate as separate, stand-alone programs. 
 The Australian Airline Financial Relief Measures (the program) will run over 9 months from 1 April 2020 to 31 December 2020. 
 Applicable charges applying to flights between 1 February 2020 and 31 December 2020 are eligible for consideration in accordance with the eligibility criteria and related information set out in section 4 of the grant opportunity guidelines.","To be eligible you must: have an Australian Business Number (ABN) be registered for the purposes of GST have an account with an Australian financial institution be one of the following entity types: a company incorporated in Australia a company incorporated by guarantee an incorporated trustee on behalf of a trust a partnership a joint application a registered charity or not-for-profit organisation an individual an Aboriginal and/or Torres Strait Islander Corporation registered under the  Corporations (Aboriginal and/or Torres Strait Islander) Act 2006. You must have an Air Operator's Certificate (AOC) authorising services, and provide a copy of this with your application. Fuel Excise Grant payments to eligible organisations equal to amount of excise paid on fuel used for domestic air services, where air services are: domestic scheduled RPT services domestic commercial charter operations aerial agriculture, aerial work & flight training contracted aeromedical services as defined under Australian civil aviation regulations and authorised on your AOC. Claim will be verified by applying the rate of excise to litres used, as per fuel invoice/evidence provided. Domestic Aviation Security Rebate Grant payments to airlines equal to the amount of reasonable airport security costs paid for domestic flights and other associated activity between 1 Feb 2020 and 31 Dec 2020. Invoices need to show a clear breakdown of charges as separate from any other charges levied. ",,GO3904,351003 - Transport,,Australian Airline Financial Relief Package
"The Discovery Early Career Researcher Award (DECRA) grant opportunity is a separate element of the Discovery Program. The DECRA grant opportunity provides focused research support for early career researchers in both teaching and research, and research-only positions. 
 The objectives of the DECRA grant opportunity are to: 
 • support excellent basic and applied research by early career researchers 
 • advance promising early career researchers and promote enhanced opportunities for diverse career pathways 
 • enable research and research training in high quality and supportive environments 
 • expand Australia’s knowledge base and research capability 
 • enhance the scale and focus of research in the Australian Government’s Science and Research Priorities.","An application may only be submitted through the Research Office of an Eligible Organisation listed in the grant guidelines. The individual named in an application must satisfy the eligibility criteria as a DECRA candidate. The application must nominate only one DECRA candidate. A previous recipient of a DECRA is not eligible to apply for another DECRA. An individual who has been nominated for a DECRA on two previous occasions is not eligible to apply for another DECRA. This includes withdrawn and ineligible applications. To be eligible the DECRA candidate must, as at the grant opportunity closing date: only apply for one DECRA in a given year; have met the obligations regarding previously funded projects, including submission to the ARC of satisfactory final reports. have an award of PhD Date on, or after 1 March 2014; or have an award of PhD Date together with an allowable career interruptions that would be commensurate with an Award of PhD Date on or after 1 March 2014. The allowable career interruptions that will be considered, and the period allowed for each are in Table 8 of the grant guidelines. A DECRA candidate can be concurrently funded through the Discovery Program for a maximum of: one ARC Fellowship and one project as a Chief Investigator (CI); or one ARC Fellowship or project if the individual is also a CI or Director on an active ARC Centre of Excellence or a Special Research Initiative project. Limits will be calculated at the closing time for submission of applications, and may be re-calculated as other grant opportunity announcements are made",DProg2018,GO1742,"381001 - Science, Technology, Engineering and Mathematics (STEM) Research","381002 - Humanities, Arts and Social Sciences (HASS) Research",Discovery Early Career Researcher Award for funding commencing in 2020
