index,ATM ID,Category,Description,Title,_id,result,text,raw_result,items,key_1,first_result
10,2004/1027521/1,Specialised educational services,External Evaluation of Avionics and Aircraft Trades Training Delivered at the RAAF School of Technical Training,Procurement of Services,6162aa1fe1b7f5c73e6fdfde,,external evaluation of avionics and  trades training delivered at the raaf school of technical training.procurement of services,"[('aircraft trades training', 0.7277), ('external evaluation', 0.4324), ('delivered raaf', 0.5043), ('avionics', 0.3351), ('procurement services', 0.5026)]",10,aircraft,"[('avionics trades training', 0.7047), ('training delivered raaf', 0.6737), ('training procurement services', 0.619), ('raaf school technical', 0.6157), ('external evaluation avionics', 0.5685)]"
11,DEST5285,Education and Training Services,Management of Endeavour Language Teacher Fellowships,Endeavour Language Teacher Fellowships Programme,6162aa1fe1b7f5c73e6fdfdf,,management of  language teacher fellowships. language teacher fellowships programme,"[('fellowships endeavour language', 0.8086), ('teacher', 0.2786), ('programme', 0.2454), ('language', 0.3825), ('management endeavour', 0.4265)]",11,endeavour,"[('language teacher fellowships', 0.9137), ('fellowships language teacher', 0.8862), ('teacher fellowships language', 0.8695), ('fellowships language', 0.7504), ('teacher fellowships programme', 0.7282)]"
12,159 / 0304,Management advisory services,Review for the National Diabetes Services Scheme,Review for the National Diabetes Services Scheme,6162aa1fe1b7f5c73e6fdfe0,,review for the national  services scheme.review for the national  services scheme,"[('diabetes services scheme', 0.8666), ('review national', 0.3728), ('scheme review', 0.4335), ('services', 0.1366), ('review national diabetes', 0.832)]",12,diabet,"[('national services scheme', 0.9219), ('review national services', 0.8216), ('services scheme review', 0.739), ('national services', 0.7864), ('scheme review national', 0.683)]"
13,DEST5108,Education and Training Services,"A review of the current quality and status of teaching and learning of music in Australian government and non-government schools, including an identification of the factors that affect the quality and status of teaching and learning of school music.",National Review of School Music Education,6162aa1fe1b7f5c73e6fdfe1,,"a review of the current quality and status of teaching and learning of music in  government and non-government schools, including an identification of the factors that affect the quality and status of teaching and learning of school music..national review of school music education","[('learning music australian', 0.7442), ('affect quality status', 0.2005), ('government non government', 0.1739), ('including', 0.0011), ('schools including identification', 0.2526)]",13,australian,"[('school music education', 0.7788), ('learning music government', 0.6987), ('learning school music', 0.7319), ('music education', 0.7182), ('teaching learning music', 0.6815)]"
14,ROP 01/2004,Environmental Services,Provision of Environmental Services on behalf of the Australian Government in the external Commonwealth Territories of Chrismtas Island and the Cocos (Keeling) Islands,Environmental Service Provision - Indian Ocean Territories,6162aa1fe1b7f5c73e6fdfe2,,provision of  services on behalf of the australian government in the external commonwealth territories of chrismtas island and the cocos (keeling) islands. service provision - indian ocean territories,"[('islands environmental service', 0.6824), ('provision indian', 0.4286), ('cocos keeling', 0.2108), ('behalf australian government', 0.5231), ('commonwealth territories chrismtas', 0.6018)]",14,environment,"[('islands service provision', 0.7036), ('commonwealth territories chrismtas', 0.6592), ('services behalf australian', 0.6427), ('government external commonwealth', 0.615), ('service provision indian', 0.5988)]"
15,FIN04/1119,Management advisory services,Appointment of a panel to provide a range of private financing advisory services to both the Department of Finance and Administration and other Australian Government departments and agencies interested in using this procurement method.,Private Financing Advisory Services Panel,6162aa1fe1b7f5c73e6fdfe3,,appointment of a panel to provide a range of private financing  services to both the department of finance and administration and other australian government departments and agencies interested in using this procurement method..private financing  services panel,"[('advisory services panel', 0.6591), ('method private financing', 0.4722), ('australian', 0.1164), ('provide range', 0.0837), ('interested using procurement', 0.3658)]",15,advisori,"[('financing services panel', 0.7114), ('appointment panel provide', 0.5561), ('australian government departments', 0.509), ('private financing services', 0.6336), ('financing services department', 0.6329)]"
16,158 / 0304,Management advisory services,Analysis of Service Activity Reporting for Australian Government funded Aboriginal and Torres Strait Islander primary health care services,Analysis of Service Activity Reporting for Australian Government funded Aboriginal and Torres Strait Islander primary health care services,6162aa1fe1b7f5c73e6fdfe4,,analysis of service  reporting for australian government funded aboriginal and torres strait islander primary health care services.analysis of service  reporting for australian government funded aboriginal and torres strait islander primary health care services,"[('activity reporting australian', 0.6694), ('primary health care', 0.3943), ('strait islander', 0.2675), ('government funded aboriginal', 0.5129), ('services analysis service', 0.4111)]",16,activ,"[('service reporting australian', 0.673), ('government funded aboriginal', 0.5722), ('reporting australian government', 0.6156), ('islander primary health', 0.461), ('care services analysis', 0.4859)]"
17,RFTG04/0001,Healthcare Services,Centrelink requires a suitably qualified organisation to provide professional counselling services.,EMPLOYEE COUNSELLING SERVICES,6162aa1fe1b7f5c73e6fdfe5,,centrelink requires a suitably qualified organisation to provide professional  services..employee  services,"[('employee counselling services', 0.6918), ('centrelink requires', 0.6387), ('suitably', 0.1163), ('provide professional', 0.343), ('qualified organisation', 0.426)]",17,counsel,"[('centrelink requires suitably', 0.7805), ('organisation provide professional', 0.5969), ('centrelink requires', 0.7357), ('centrelink', 0.6685), ('services employee services', 0.5262)]"
18,110/0304,Specialised educational services,Provision of IT Training Services,Provision of IT Training Services,6162aa1fe1b7f5c73e6fdfe6,, of it training services. of it training services,"[('training services provision', 0.7523), ('provision', 0.5004), ('services', 0.4009), ('training', 0.4144), ('services provision', 0.6301)]",18,provis,"[('training services training', 0.6572), ('services training', 0.6508), ('training services', 0.6519), ('services training services', 0.6483), ('services', 0.4898)]"
19,153/0304,Management advisory services,Systematic Review of literature on Cardiac Rehabilitation Services for Aboriginal and Torres Strait Islander peoples,Systematic Review of literature on Cardiac Rehabilitation Services for Aboriginal and Torres Strait Islander peoples,6162aa1fe1b7f5c73e6fdfe7,,systematic review of literature on cardiac  services for aboriginal and torres strait islander peoples.systematic review of literature on cardiac  services for aboriginal and torres strait islander peoples,"[('rehabilitation services aboriginal', 0.6826), ('review literature cardiac', 0.51), ('strait', 0.0734), ('peoples systematic', 0.315), ('cardiac rehabilitation services', 0.6576)]",19,rehabilit,"[('cardiac services aboriginal', 0.8378), ('review literature cardiac', 0.5582), ('services aboriginal torres', 0.5828), ('literature cardiac services', 0.5893), ('services aboriginal', 0.5858)]"
20,163/0304,Management advisory services,External evaluation of PBAC submissions,External evaluation of PBAC submissions,6162aa1fe1b7f5c73e6fdfe8,,external  of pbac submissions.external  of pbac submissions,"[('evaluation pbac submissions', 0.8897), ('external', 0.3459), ('submissions external evaluation', 0.732), ('evaluation', 0.4609), ('submissions', 0.4569)]",20,evalu,"[('external pbac submissions', 0.9479), ('submissions external pbac', 0.942), ('pbac submissions external', 0.9353), ('pbac submissions', 0.8285), ('external pbac', 0.7366)]"
21,ACON_04_16,Management advisory services,The Australian Government Information Management Office (AGIMO) is seeking to establish three panels of suitably qualified and experienced organisations to provide ongoing website management services and advice.,AGIMO - Website Management Services Panel Arrengement,6162aa1fe1b7f5c73e6fdfe9,,the australian government information management office () is seeking to establish three panels of suitably qualified and experienced organisations to provide ongoing website management services and advice.. - website management services panel arrengement,"[('agimo website management', 0.7934), ('australian government', 0.3514), ('establish panels', 0.3866), ('suitably qualified experienced', 0.2037), ('organisations provide ongoing', 0.3869)]",21,agimo,"[('management services panel', 0.6348), ('website management', 0.6019), ('australian government information', 0.5142), ('seeking establish panels', 0.5698), ('government information management', 0.556)]"
22,ACON/04/10,Management advisory services,Consultancy to conduct a review of the corporate services for the Australian Government Information Management Office (AGIMO),AGIMO - Consultancy services to conduct a review of the AGIMO corporate services function,6162aa1fe1b7f5c73e6fdfea,,consultancy to conduct a review of the corporate services for the australian government  management office (agimo).agimo - consultancy services to conduct a review of the agimo corporate services function,"[('agimo consultancy services', 0.8066), ('function', 0.167), ('australian government information', 0.4611), ('review corporate', 0.4418), ('information management', 0.3961)]",22,inform,"[('agimo consultancy services', 0.8295), ('review agimo corporate', 0.7428), ('agimo corporate services', 0.7695), ('agimo consultancy', 0.7898), ('agimo agimo consultancy', 0.7663)]"
23,RFT NO. 01/2004,Management advisory services,BEFR: Phase 3 Solution Development and Implementation,Provision of Solution Development and Implementation Services to the Department of Finance and Administration,6162aa1fe1b7f5c73e6fdfeb,,befr: phase 3 solution  and implementation.provision of solution  and implementation services to the department of finance and administration,"[('solution development implementation', 0.558), ('befr phase', 0.5227), ('department finance administration', 0.427), ('services', 0.2827), ('provision', 0.3392)]",23,develop,"[('finance administration', 0.5254), ('befr phase', 0.5199), ('solution implementation provision', 0.5196), ('implementation services department', 0.4857), ('befr', 0.5166)]"
24,APCM 51.04,Management advisory services,Invitation to tender for the provision of Executive Coaching Services under a panel arrangement.,ATO – Executive Coaching Services,6162aa1fe1b7f5c73e6fdfec,,invitation to tender for the provision of  coaching services under a panel arrangement..ato –  coaching services,"[('executive coaching services', 0.7235), ('panel arrangement ato', 0.4593), ('tender provision', 0.4083), ('invitation', 0.2928), ('ato executive', 0.5885)]",24,execut,"[('ato coaching services', 0.751), ('tender provision coaching', 0.7104), ('coaching services panel', 0.708), ('arrangement ato coaching', 0.7201), ('provision coaching services', 0.6655)]"
25,41/2004DEH,Environmental Services,Prioritisation of wetlands for investment.,Wetland prioritisation - decision support system development,6162aa1fe1b7f5c73e6fdfed,,prioritisation of wetlands for investment..wetland prioritisation -  support system development,"[('wetland prioritisation decision', 0.8678), ('support', 0.1276), ('investment', 0.2877), ('development', 0.212), ('decision', 0.2836)]",25,decis,"[('prioritisation wetlands investment', 0.907), ('wetland prioritisation support', 0.8774), ('investment wetland prioritisation', 0.8938), ('prioritisation wetlands', 0.8626), ('wetland prioritisation', 0.8499)]"
26,CSIRO 2004-008,Education and Training Services,"The purpose of the CSIRO IT Team Building and Change Management Programme is to establish the new culture for CSIRO IT by providing CSIRO IT staff with the skills to understand, manage and drive change, and to work as teams to build an effective One-CSIRO IT research support function.",CSIRO RFT 2004-008 Team Building and Change Management Programme,6162aa1fe1b7f5c73e6fdfee,,"the purpose of the  it team building and change management programme is to establish the new culture for  it by providing  it staff with the skills to understand, manage and drive change, and to work as teams to build an effective one- it research support function.. rft 2004-008 team building and change management programme","[('purpose csiro team', 0.6178), ('manage drive change', 0.2398), ('establish new culture', 0.2189), ('rft 2004 008', 0.1412), ('research support function', 0.2604)]",26,csiro,"[('change management programme', 0.6119), ('team building change', 0.5594), ('building change management', 0.5191), ('change management', 0.5436), ('change work teams', 0.473)]"
27,CON G 188/2004,Management advisory services,"The Department of Defence is seeking to identify capable and experienced organisations, companies or consortia that have the ability to provide expertise to assist DSTO in commercialising its innovations. It is anticipated the TTAG will comprise three org",DSTO Technology Transfer Advisory Group (TTAG),6162aa1fe1b7f5c73e6fdfef,,"the department of defence is seeking to identify capable and experienced organisations, companies or consortia that have the ability to provide expertise to assist dsto in commercialising its innovations. it is anticipated the ttag will comprise three org.dsto technology transfer  group (ttag)","[('advisory group ttag', 0.6959), ('dsto technology transfer', 0.6004), ('organisations companies consortia', 0.4742), ('defence seeking', 0.3404), ('department', 0.3687)]",27,advisori,"[('ttag comprise org', 0.6623), ('dsto technology transfer', 0.6096), ('department defence seeking', 0.5225), ('org dsto', 0.6197), ('technology transfer group', 0.5986)]"
28,5508,Education and Training Services,"A project to support a number of pilot projects, one in each state and territory, to develop, trial and evaluate forms of partnerships between universities, system and schools.",Strategic Partnerships in Information and Communication Technology (ICT) Teacher Development,6162aa1fe1b7f5c73e6fdff0,,"a project to support a number of pilot projects, one in each state and territory, to develop, trial and evaluate forms of  between universities, system and schools..strategic  in information and communication technology (ict) teacher development","[('schools strategic partnerships', 0.6373), ('communication technology ict', 0.3334), ('support number pilot', 0.207), ('territory develop trial', 0.1867), ('evaluate forms', 0.1185)]",28,partnership,"[('pilot projects', 0.6105), ('ict teacher development', 0.6048), ('schools strategic information', 0.4769), ('teacher development', 0.5715), ('project support', 0.498)]"
29,2004/1123,Management advisory services,"Regional research project on diversity and inclusion, the  impacts on regional Communities",Regional research project: Diversity and Inclusion,6162aa1fe1b7f5c73e6fdff1,," research project on diversity and inclusion, the  impacts on  communities. research project: diversity and inclusion","[('diversity inclusion impacts', 0.7383), ('regional communities regional', 0.6734), ('research', 0.3136), ('impacts', 0.2624), ('inclusion', 0.3383)]",29,region,"[('diversity inclusion impacts', 0.7794), ('research project diversity', 0.7544), ('inclusion impacts communities', 0.7359), ('project diversity inclusion', 0.7579), ('diversity inclusion', 0.759)]"
30,ATCAAF1,Management advisory services,Austrade is seeking an  Expression of Interest from organisations with relevant experience in developing administrative accountability frameworks in public and private sector entities.,Administrative Accountability Frameworks EOI,6162aa1fe1b7f5c73e6fdff2,,austrade is seeking an  expression of interest from organisations with relevant experience in developing administrative  frameworks in public and private sector entities..administrative  frameworks eoi,"[('administrative accountability frameworks', 0.7404), ('austrade seeking', 0.4573), ('eoi', 0.3079), ('experience developing', 0.1761), ('sector entities', 0.3163)]",30,account,"[('administrative frameworks eoi', 0.7231), ('administrative frameworks public', 0.678), ('austrade seeking', 0.536), ('entities administrative frameworks', 0.6422), ('developing administrative frameworks', 0.6617)]"
31,CONG 194/2004,Disease prevention and control,"The Department of Defence invites suitably qualified and experienced private and public organisations to register interest for the provision of Pathology Services, for the Joint Health Support Agency.    Pathology Services will be required for Defence per",Pathology Services for the Joint Health Support Agency,6162aa1fe1b7f5c73e6fdff3,,"the department of  invites suitably qualified and experienced private and public organisations to register interest for the provision of pathology services, for the joint health support agency.    pathology services will be required for  per.pathology services for the joint health support agency","[('defence pathology services', 0.799), ('register provision', 0.2241), ('joint', 0.1823), ('invites suitably', 0.2214), ('private public organisations', 0.352)]",31,defenc,"[('required pathology services', 0.7855), ('pathology services joint', 0.761), ('agency pathology services', 0.741), ('pathology services required', 0.7766), ('services required pathology', 0.7607)]"
32,019/0405,Management advisory services,PROPOSAL TO ESTABLISH A MEDICAL RESEARCH ENDOWMENT SCHEME,PROPOSAL TO ESTABLISH A MEDICAL RESEARCH ENDOWMENT SCHEME (MRES) FOR THE NATIONAL HEALTH AND MEDICAL RESEARCH COUNCIL ( NHMRC),6162aa1fe1b7f5c73e6fdff4,,proposal to establish a medical  endowment scheme.proposal to establish a medical  endowment scheme (mres) for the national health and medical  council ( nhmrc),"[('medical research endowment', 0.7233), ('scheme mres', 0.5001), ('research council nhmrc', 0.4945), ('proposal establish', 0.4931), ('national health', 0.3483)]",32,research,"[('medical endowment scheme', 0.7727), ('scheme mres national', 0.6318), ('endowment scheme mres', 0.6944), ('proposal establish medical', 0.6366), ('establish medical endowment', 0.7296)]"
33,21/2004,Education and Training Services,The delivery of Team Building Training Programs,Provision of Team Building Services,6162aa1fe1b7f5c73e6fdff5,,the delivery of team  training programs.provision of team  services,"[('team building training', 0.7898), ('delivery', 0.2144), ('programs provision', 0.3481), ('building services', 0.518), ('training programs', 0.5091)]",33,build,"[('team training programs', 0.8126), ('provision team services', 0.6971), ('delivery team training', 0.7441), ('team services', 0.7053), ('team training', 0.7375)]"
34,CON G 204/2004,Specialised educational services,"The Department of Defence (Defence), through the Defence Business Training Centre (DBTC), is seeking to establish Standing Offer arrangements for the delivery of Finance and Business Management (FBM) training to members of the Defence organisation across",Delivery of Finance and Business Management Training Courses,6162aa1fe1b7f5c73e6fdff6,,"the department of defence (defence), through the defence  training centre (dbtc), is seeking to establish standing offer arrangements for the delivery of finance and  management (fbm) training to members of the defence organisation across.delivery of finance and  management training courses","[('defence business training', 0.7112), ('fbm', 0.4605), ('standing offer arrangements', 0.2382), ('dbtc seeking establish', 0.6011), ('centre', 0.239)]",34,busi,"[('training centre dbtc', 0.6822), ('defence organisation delivery', 0.6438), ('management fbm training', 0.6687), ('finance management training', 0.5881), ('finance management fbm', 0.6036)]"
35,R0018,Engineering and Research and Technology Based Services,Laboratory And Technical Services For Illicit Drug Testing To The ADF,Laboratory And Technical Services For Illicit Drug Testing To The ADF,6162aa1fe1b7f5c73e6fdff7,,laboratory and technical services for illicit drug  to the adf.laboratory and technical services for illicit drug  to the adf,"[('illicit drug testing', 0.7031), ('adf', 0.3941), ('laboratory technical services', 0.5655), ('technical services illicit', 0.4827), ('testing adf laboratory', 0.6569)]",35,test,"[('drug adf laboratory', 0.7669), ('services illicit drug', 0.7099), ('illicit drug adf', 0.7611), ('laboratory technical services', 0.5742), ('drug adf', 0.627)]"
36,CSIRO2004-009,Management advisory services,"CSIRO invites tenders to conduct a CSIRO National Branding, Positioning and Performance Study for its Marketing Research Program. The successful consultant may be required to undertake other phases of the research program related to the development and implementation of research such as benchmarking analysis, competitor analysis and attitude tracking programs. ",CSIRO Communications National Branding,6162aa1fe1b7f5c73e6fdff8,,"csiro invites tenders to conduct a csiro national , positioning and performance study for its marketing research program. the successful consultant may be required to undertake other phases of the research program related to the development and implementation of research such as benchmarking analysis, competitor analysis and attitude tracking programs. .csiro communications national ","[('csiro national branding', 0.7199), ('implementation research', 0.3057), ('tenders conduct', 0.2444), ('competitor analysis attitude', 0.4454), ('invites', 0.046)]",36,brand,"[('csiro communications national', 0.6062), ('study marketing research', 0.5746), ('tenders conduct csiro', 0.5365), ('conduct csiro national', 0.5915), ('benchmarking analysis competitor', 0.4413)]"
37,DAFF04YRLC,Specialised educational services,"The Australian Government Department of Agriculture, Fisheries and Forestry is seeking tenders for the development, delivery, and evaluation of the Young Rural Leaders’ Course.",Young Rural Leaders` Course,6162aa1fe1b7f5c73e6fdff9,,"the australian government department of agriculture, fisheries and forestry is seeking tenders for the , delivery, and evaluation of the young rural leaders’ course..young rural leaders` course","[('seeking tenders development', 0.6623), ('australian government', 0.391), ('rural leaders course', 0.5765), ('evaluation young', 0.2534), ('department agriculture fisheries', 0.4015)]",37,develop,"[('forestry seeking tenders', 0.632), ('young rural leaders', 0.5827), ('seeking tenders', 0.625), ('rural leaders course', 0.5873), ('australian government department', 0.4309)]"
38,CON-G 195-2004,Specialised educational services,The Commonwealth is seeking a service provider with relevant training development and assessment experience and/or qualifications in a competency-based training environment.,Development and Delivery of the Militray Communications Program (MCP),6162aa1fe1b7f5c73e6fdffa,,the commonwealth is seeking a service provider with relevant training development and assessment experience and/or qualifications in a competency-based training environment..development and delivery of the militray  program (mcp),"[('militray communications program', 0.6167), ('experience qualifications competency', 0.4564), ('commonwealth', 0.4022), ('development delivery', 0.2381), ('seeking service provider', 0.4753)]",38,commun,"[('commonwealth seeking service', 0.5611), ('militray program mcp', 0.55), ('competency based training', 0.5353), ('provider relevant training', 0.5151), ('delivery militray program', 0.5375)]"
39,DCON/04/126,Environmental Services,"The Department of Communications, Information Technology and the Arts invites suitably qualified consultants to submit a proposal for Provision of occasional heritage and conservation advice to Old Parliament House (OPH).",REQUEST FOR TENDER NO.DCON/04/126,6162aa1fe1b7f5c73e6fdffb,,"the department of communications, information technology and the arts invites suitably qualified consultants to submit a proposal for provision of occasional heritage and conservation advice to old parliament  (oph)..request for tender no.dcon/04/126","[('parliament house oph', 0.6023), ('conservation advice', 0.3377), ('qualified consultants submit', 0.3886), ('request tender dcon', 0.2843), ('communications information', 0.1665)]",39,hous,"[('parliament oph request', 0.6128), ('heritage conservation advice', 0.5487), ('consultants submit proposal', 0.4573), ('provision occasional heritage', 0.5447), ('old parliament oph', 0.548)]"
40,COOD/1499/2/0003,Engineering and Research and Technology Based Services,Product Lifecycle And Common Maintenance Management Systems.,Product Lifecycle And Common Maintenance Management Systems.,6162aa1fe1b7f5c73e6fdffc,,product  and common maintenance management systems..product  and common maintenance management systems.,"[('lifecycle common maintenance', 0.8119), ('management systems', 0.4827), ('product', 0.2625), ('common', 0.2295), ('systems product lifecycle', 0.6808)]",40,lifecycl,"[('common maintenance management', 0.8015), ('product common maintenance', 0.7738), ('maintenance management systems', 0.7527), ('common maintenance', 0.7345), ('management systems product', 0.6125)]"
41,E1-203353,Education and Training Services,Forward Deployable Biological Agent Analysis Capability,Forward Deployable Biological Agent Analysis Capability,6162aa1fe1b7f5c73e6fdffd,,forward  biological agent analysis capability.forward  biological agent analysis capability,"[('deployable biological agent', 0.7414), ('analysis capability forward', 0.4448), ('agent analysis', 0.4344), ('forward deployable', 0.444), ('forward', 0.2867)]",41,deploy,"[('biological agent analysis', 0.7428), ('capability forward biological', 0.6717), ('forward biological agent', 0.7105), ('agent analysis capability', 0.6737), ('biological agent', 0.585)]"
42,RFT019-HQ04,Specialised educational services,Communication and Information Systems Technology Trends Training,Subject Four Sergeant ECN 405 Technology Module and ECN 405 Manager Telecommunicatins Systems Update Course for the Defence Force School of Signals,6162aa1fe1b7f5c73e6fdffe,,communication and information systems  trends training.subject four sergeant ecn 405  module and ecn 405 manager telecommunicatins systems update course for the defence force school of signals,"[('technology trends training', 0.6105), ('module ecn 405', 0.4743), ('sergeant', 0.4024), ('systems update', 0.2879), ('communication information', 0.3976)]",42,technolog,"[('sergeant ecn 405', 0.6183), ('communication information systems', 0.5452), ('405 manager telecommunicatins', 0.5853), ('systems trends training', 0.5414), ('training subject sergeant', 0.5643)]"
