ATM ID,Category,Description,Title,_id,result,text,raw_result
2004/1027521/1,Specialised educational services,External Evaluation of Avionics and Aircraft Trades Training Delivered at the RAAF School of Technical Training,Procurement of Services,6162aa1fe1b7f5c73e6fdfde,,External Evaluation of Avionics and Aircraft Trades Training Delivered at the RAAF School of Technical Training.Procurement of Services,"[('aircraft trades training', 0.7277), ('external evaluation', 0.4324), ('delivered raaf', 0.5043), ('avionics', 0.3351), ('procurement services', 0.5026)]"
DEST5285,Education and Training Services,Management of Endeavour Language Teacher Fellowships,Endeavour Language Teacher Fellowships Programme,6162aa1fe1b7f5c73e6fdfdf,,Management of Endeavour Language Teacher Fellowships.Endeavour Language Teacher Fellowships Programme,"[('fellowships endeavour language', 0.8086), ('teacher', 0.2786), ('programme', 0.2454), ('language', 0.3825), ('management endeavour', 0.4265)]"
159 / 0304,Management advisory services,Review for the National Diabetes Services Scheme,Review for the National Diabetes Services Scheme,6162aa1fe1b7f5c73e6fdfe0,,Review for the National Diabetes Services Scheme.Review for the National Diabetes Services Scheme,"[('diabetes services scheme', 0.8666), ('review national', 0.3728), ('scheme review', 0.4335), ('services', 0.1366), ('review national diabetes', 0.832)]"
DEST5108,Education and Training Services,"A review of the current quality and status of teaching and learning of music in Australian government and non-government schools, including an identification of the factors that affect the quality and status of teaching and learning of school music.",National Review of School Music Education,6162aa1fe1b7f5c73e6fdfe1,,"A review of the current quality and status of teaching and learning of music in Australian government and non-government schools, including an identification of the factors that affect the quality and status of teaching and learning of school music..National Review of School Music Education","[('learning music australian', 0.7442), ('affect quality status', 0.2005), ('government non government', 0.1739), ('including', 0.0011), ('schools including identification', 0.2526)]"
ROP 01/2004,Environmental Services,Provision of Environmental Services on behalf of the Australian Government in the external Commonwealth Territories of Chrismtas Island and the Cocos (Keeling) Islands,Environmental Service Provision - Indian Ocean Territories,6162aa1fe1b7f5c73e6fdfe2,,Provision of Environmental Services on behalf of the Australian Government in the external Commonwealth Territories of Chrismtas Island and the Cocos (Keeling) Islands.Environmental Service Provision - Indian Ocean Territories,"[('islands environmental service', 0.6824), ('provision indian', 0.4286), ('cocos keeling', 0.2108), ('behalf australian government', 0.5231), ('commonwealth territories chrismtas', 0.6018)]"
FIN04/1119,Management advisory services,Appointment of a panel to provide a range of private financing advisory services to both the Department of Finance and Administration and other Australian Government departments and agencies interested in using this procurement method.,Private Financing Advisory Services Panel,6162aa1fe1b7f5c73e6fdfe3,,Appointment of a panel to provide a range of private financing advisory services to both the Department of Finance and Administration and other Australian Government departments and agencies interested in using this procurement method..Private Financing Advisory Services Panel,"[('advisory services panel', 0.6591), ('method private financing', 0.4722), ('australian', 0.1164), ('provide range', 0.0837), ('interested using procurement', 0.3658)]"
158 / 0304,Management advisory services,Analysis of Service Activity Reporting for Australian Government funded Aboriginal and Torres Strait Islander primary health care services,Analysis of Service Activity Reporting for Australian Government funded Aboriginal and Torres Strait Islander primary health care services,6162aa1fe1b7f5c73e6fdfe4,,Analysis of Service Activity Reporting for Australian Government funded Aboriginal and Torres Strait Islander primary health care services.Analysis of Service Activity Reporting for Australian Government funded Aboriginal and Torres Strait Islander primary health care services,"[('activity reporting australian', 0.6694), ('primary health care', 0.3943), ('strait islander', 0.2675), ('government funded aboriginal', 0.5129), ('services analysis service', 0.4111)]"
RFTG04/0001,Healthcare Services,Centrelink requires a suitably qualified organisation to provide professional counselling services.,EMPLOYEE COUNSELLING SERVICES,6162aa1fe1b7f5c73e6fdfe5,,Centrelink requires a suitably qualified organisation to provide professional counselling services..EMPLOYEE COUNSELLING SERVICES,"[('employee counselling services', 0.6918), ('centrelink requires', 0.6387), ('suitably', 0.1163), ('provide professional', 0.343), ('qualified organisation', 0.426)]"
110/0304,Specialised educational services,Provision of IT Training Services,Provision of IT Training Services,6162aa1fe1b7f5c73e6fdfe6,,Provision of IT Training Services.Provision of IT Training Services,"[('training services provision', 0.7523), ('provision', 0.5004), ('services', 0.4009), ('training', 0.4144), ('services provision', 0.6301)]"
153/0304,Management advisory services,Systematic Review of literature on Cardiac Rehabilitation Services for Aboriginal and Torres Strait Islander peoples,Systematic Review of literature on Cardiac Rehabilitation Services for Aboriginal and Torres Strait Islander peoples,6162aa1fe1b7f5c73e6fdfe7,,Systematic Review of literature on Cardiac Rehabilitation Services for Aboriginal and Torres Strait Islander peoples.Systematic Review of literature on Cardiac Rehabilitation Services for Aboriginal and Torres Strait Islander peoples,"[('rehabilitation services aboriginal', 0.6826), ('review literature cardiac', 0.51), ('strait', 0.0734), ('peoples systematic', 0.315), ('cardiac rehabilitation services', 0.6576)]"
163/0304,Management advisory services,External evaluation of PBAC submissions,External evaluation of PBAC submissions,6162aa1fe1b7f5c73e6fdfe8,,External evaluation of PBAC submissions.External evaluation of PBAC submissions,"[('evaluation pbac submissions', 0.8897), ('external', 0.3459), ('submissions external evaluation', 0.732), ('evaluation', 0.4609), ('submissions', 0.4569)]"
ACON_04_16,Management advisory services,The Australian Government Information Management Office (AGIMO) is seeking to establish three panels of suitably qualified and experienced organisations to provide ongoing website management services and advice.,AGIMO - Website Management Services Panel Arrengement,6162aa1fe1b7f5c73e6fdfe9,,The Australian Government Information Management Office (AGIMO) is seeking to establish three panels of suitably qualified and experienced organisations to provide ongoing website management services and advice..AGIMO - Website Management Services Panel Arrengement,"[('agimo website management', 0.7934), ('australian government', 0.3514), ('establish panels', 0.3866), ('suitably qualified experienced', 0.2037), ('organisations provide ongoing', 0.3869)]"
ACON/04/10,Management advisory services,Consultancy to conduct a review of the corporate services for the Australian Government Information Management Office (AGIMO),AGIMO - Consultancy services to conduct a review of the AGIMO corporate services function,6162aa1fe1b7f5c73e6fdfea,,Consultancy to conduct a review of the corporate services for the Australian Government Information Management Office (AGIMO).AGIMO - Consultancy services to conduct a review of the AGIMO corporate services function,"[('agimo consultancy services', 0.8066), ('function', 0.167), ('australian government information', 0.4611), ('review corporate', 0.4418), ('information management', 0.3961)]"
RFT NO. 01/2004,Management advisory services,BEFR: Phase 3 Solution Development and Implementation,Provision of Solution Development and Implementation Services to the Department of Finance and Administration,6162aa1fe1b7f5c73e6fdfeb,,BEFR: Phase 3 Solution Development and Implementation.Provision of Solution Development and Implementation Services to the Department of Finance and Administration,"[('solution development implementation', 0.558), ('befr phase', 0.5227), ('department finance administration', 0.427), ('services', 0.2827), ('provision', 0.3392)]"
APCM 51.04,Management advisory services,Invitation to tender for the provision of Executive Coaching Services under a panel arrangement.,ATO – Executive Coaching Services,6162aa1fe1b7f5c73e6fdfec,,Invitation to tender for the provision of Executive Coaching Services under a panel arrangement..ATO – Executive Coaching Services,"[('executive coaching services', 0.7235), ('panel arrangement ato', 0.4593), ('tender provision', 0.4083), ('invitation', 0.2928), ('ato executive', 0.5885)]"
41/2004DEH,Environmental Services,Prioritisation of wetlands for investment.,Wetland prioritisation - decision support system development,6162aa1fe1b7f5c73e6fdfed,,Prioritisation of wetlands for investment..Wetland prioritisation - decision support system development,"[('wetland prioritisation decision', 0.8678), ('support', 0.1276), ('investment', 0.2877), ('development', 0.212), ('decision', 0.2836)]"
CSIRO 2004-008,Education and Training Services,"The purpose of the CSIRO IT Team Building and Change Management Programme is to establish the new culture for CSIRO IT by providing CSIRO IT staff with the skills to understand, manage and drive change, and to work as teams to build an effective One-CSIRO IT research support function.",CSIRO RFT 2004-008 Team Building and Change Management Programme,6162aa1fe1b7f5c73e6fdfee,,"The purpose of the CSIRO IT Team Building and Change Management Programme is to establish the new culture for CSIRO IT by providing CSIRO IT staff with the skills to understand, manage and drive change, and to work as teams to build an effective One-CSIRO IT research support function..CSIRO RFT 2004-008 Team Building and Change Management Programme","[('purpose csiro team', 0.6178), ('manage drive change', 0.2398), ('establish new culture', 0.2189), ('rft 2004 008', 0.1412), ('research support function', 0.2604)]"
CON G 188/2004,Management advisory services,"The Department of Defence is seeking to identify capable and experienced organisations, companies or consortia that have the ability to provide expertise to assist DSTO in commercialising its innovations. It is anticipated the TTAG will comprise three org",DSTO Technology Transfer Advisory Group (TTAG),6162aa1fe1b7f5c73e6fdfef,,"The Department of Defence is seeking to identify capable and experienced organisations, companies or consortia that have the ability to provide expertise to assist DSTO in commercialising its innovations. It is anticipated the TTAG will comprise three org.DSTO Technology Transfer Advisory Group (TTAG)","[('advisory group ttag', 0.6959), ('dsto technology transfer', 0.6004), ('organisations companies consortia', 0.4742), ('defence seeking', 0.3404), ('department', 0.3687)]"
5508,Education and Training Services,"A project to support a number of pilot projects, one in each state and territory, to develop, trial and evaluate forms of partnerships between universities, system and schools.",Strategic Partnerships in Information and Communication Technology (ICT) Teacher Development,6162aa1fe1b7f5c73e6fdff0,,"A project to support a number of pilot projects, one in each state and territory, to develop, trial and evaluate forms of partnerships between universities, system and schools..Strategic Partnerships in Information and Communication Technology (ICT) Teacher Development","[('schools strategic partnerships', 0.6373), ('communication technology ict', 0.3334), ('support number pilot', 0.207), ('territory develop trial', 0.1867), ('evaluate forms', 0.1185)]"
2004/1123,Management advisory services,"Regional research project on diversity and inclusion, the  impacts on regional Communities",Regional research project: Diversity and Inclusion,6162aa1fe1b7f5c73e6fdff1,,"Regional research project on diversity and inclusion, the  impacts on regional Communities.Regional research project: Diversity and Inclusion","[('diversity inclusion impacts', 0.7383), ('regional communities regional', 0.6734), ('research', 0.3136), ('impacts', 0.2624), ('inclusion', 0.3383)]"
ATCAAF1,Management advisory services,Austrade is seeking an  Expression of Interest from organisations with relevant experience in developing administrative accountability frameworks in public and private sector entities.,Administrative Accountability Frameworks EOI,6162aa1fe1b7f5c73e6fdff2,,Austrade is seeking an  Expression of Interest from organisations with relevant experience in developing administrative accountability frameworks in public and private sector entities..Administrative Accountability Frameworks EOI,"[('administrative accountability frameworks', 0.7404), ('austrade seeking', 0.4573), ('eoi', 0.3079), ('experience developing', 0.1761), ('sector entities', 0.3163)]"
CONG 194/2004,Disease prevention and control,"The Department of Defence invites suitably qualified and experienced private and public organisations to register interest for the provision of Pathology Services, for the Joint Health Support Agency.    Pathology Services will be required for Defence per",Pathology Services for the Joint Health Support Agency,6162aa1fe1b7f5c73e6fdff3,,"The Department of Defence invites suitably qualified and experienced private and public organisations to register interest for the provision of Pathology Services, for the Joint Health Support Agency.    Pathology Services will be required for Defence per.Pathology Services for the Joint Health Support Agency","[('defence pathology services', 0.799), ('register provision', 0.2241), ('joint', 0.1823), ('invites suitably', 0.2214), ('private public organisations', 0.352)]"
019/0405,Management advisory services,PROPOSAL TO ESTABLISH A MEDICAL RESEARCH ENDOWMENT SCHEME,PROPOSAL TO ESTABLISH A MEDICAL RESEARCH ENDOWMENT SCHEME (MRES) FOR THE NATIONAL HEALTH AND MEDICAL RESEARCH COUNCIL ( NHMRC),6162aa1fe1b7f5c73e6fdff4,,PROPOSAL TO ESTABLISH A MEDICAL RESEARCH ENDOWMENT SCHEME.PROPOSAL TO ESTABLISH A MEDICAL RESEARCH ENDOWMENT SCHEME (MRES) FOR THE NATIONAL HEALTH AND MEDICAL RESEARCH COUNCIL ( NHMRC),"[('medical research endowment', 0.7233), ('scheme mres', 0.5001), ('research council nhmrc', 0.4945), ('proposal establish', 0.4931), ('national health', 0.3483)]"
21/2004,Education and Training Services,The delivery of Team Building Training Programs,Provision of Team Building Services,6162aa1fe1b7f5c73e6fdff5,,The delivery of Team Building Training Programs.Provision of Team Building Services,"[('team building training', 0.7898), ('delivery', 0.2144), ('programs provision', 0.3481), ('building services', 0.518), ('training programs', 0.5091)]"
CON G 204/2004,Specialised educational services,"The Department of Defence (Defence), through the Defence Business Training Centre (DBTC), is seeking to establish Standing Offer arrangements for the delivery of Finance and Business Management (FBM) training to members of the Defence organisation across",Delivery of Finance and Business Management Training Courses,6162aa1fe1b7f5c73e6fdff6,,"The Department of Defence (Defence), through the Defence Business Training Centre (DBTC), is seeking to establish Standing Offer arrangements for the delivery of Finance and Business Management (FBM) training to members of the Defence organisation across.Delivery of Finance and Business Management Training Courses","[('defence business training', 0.7112), ('fbm', 0.4605), ('standing offer arrangements', 0.2382), ('dbtc seeking establish', 0.6011), ('centre', 0.239)]"
R0018,Engineering and Research and Technology Based Services,Laboratory And Technical Services For Illicit Drug Testing To The ADF,Laboratory And Technical Services For Illicit Drug Testing To The ADF,6162aa1fe1b7f5c73e6fdff7,,Laboratory And Technical Services For Illicit Drug Testing To The ADF.Laboratory And Technical Services For Illicit Drug Testing To The ADF,"[('illicit drug testing', 0.7031), ('adf', 0.3941), ('laboratory technical services', 0.5655), ('technical services illicit', 0.4827), ('testing adf laboratory', 0.6569)]"
CSIRO2004-009,Management advisory services,"CSIRO invites tenders to conduct a CSIRO National Branding, Positioning and Performance Study for its Marketing Research Program. The successful consultant may be required to undertake other phases of the research program related to the development and implementation of research such as benchmarking analysis, competitor analysis and attitude tracking programs. ",CSIRO Communications National Branding,6162aa1fe1b7f5c73e6fdff8,,"CSIRO invites tenders to conduct a CSIRO National Branding, Positioning and Performance Study for its Marketing Research Program. The successful consultant may be required to undertake other phases of the research program related to the development and implementation of research such as benchmarking analysis, competitor analysis and attitude tracking programs. .CSIRO Communications National Branding","[('csiro national branding', 0.7199), ('implementation research', 0.3057), ('tenders conduct', 0.2444), ('competitor analysis attitude', 0.4454), ('invites', 0.046)]"
DAFF04YRLC,Specialised educational services,"The Australian Government Department of Agriculture, Fisheries and Forestry is seeking tenders for the development, delivery, and evaluation of the Young Rural Leaders’ Course.",Young Rural Leaders` Course,6162aa1fe1b7f5c73e6fdff9,,"The Australian Government Department of Agriculture, Fisheries and Forestry is seeking tenders for the development, delivery, and evaluation of the Young Rural Leaders’ Course..Young Rural Leaders` Course","[('seeking tenders development', 0.6623), ('australian government', 0.391), ('rural leaders course', 0.5765), ('evaluation young', 0.2534), ('department agriculture fisheries', 0.4015)]"
CON-G 195-2004,Specialised educational services,The Commonwealth is seeking a service provider with relevant training development and assessment experience and/or qualifications in a competency-based training environment.,Development and Delivery of the Militray Communications Program (MCP),6162aa1fe1b7f5c73e6fdffa,,The Commonwealth is seeking a service provider with relevant training development and assessment experience and/or qualifications in a competency-based training environment..Development and Delivery of the Militray Communications Program (MCP),"[('militray communications program', 0.6167), ('experience qualifications competency', 0.4564), ('commonwealth', 0.4022), ('development delivery', 0.2381), ('seeking service provider', 0.4753)]"
DCON/04/126,Environmental Services,"The Department of Communications, Information Technology and the Arts invites suitably qualified consultants to submit a proposal for Provision of occasional heritage and conservation advice to Old Parliament House (OPH).",REQUEST FOR TENDER NO.DCON/04/126,6162aa1fe1b7f5c73e6fdffb,,"The Department of Communications, Information Technology and the Arts invites suitably qualified consultants to submit a proposal for Provision of occasional heritage and conservation advice to Old Parliament House (OPH)..REQUEST FOR TENDER NO.DCON/04/126","[('parliament house oph', 0.6023), ('conservation advice', 0.3377), ('qualified consultants submit', 0.3886), ('request tender dcon', 0.2843), ('communications information', 0.1665)]"
COOD/1499/2/0003,Engineering and Research and Technology Based Services,Product Lifecycle And Common Maintenance Management Systems.,Product Lifecycle And Common Maintenance Management Systems.,6162aa1fe1b7f5c73e6fdffc,,Product Lifecycle And Common Maintenance Management Systems..Product Lifecycle And Common Maintenance Management Systems.,"[('lifecycle common maintenance', 0.8119), ('management systems', 0.4827), ('product', 0.2625), ('common', 0.2295), ('systems product lifecycle', 0.6808)]"
E1-203353,Education and Training Services,Forward Deployable Biological Agent Analysis Capability,Forward Deployable Biological Agent Analysis Capability,6162aa1fe1b7f5c73e6fdffd,,Forward Deployable Biological Agent Analysis Capability.Forward Deployable Biological Agent Analysis Capability,"[('deployable biological agent', 0.7414), ('analysis capability forward', 0.4448), ('agent analysis', 0.4344), ('forward deployable', 0.444), ('forward', 0.2867)]"
RFT019-HQ04,Specialised educational services,Communication and Information Systems Technology Trends Training,Subject Four Sergeant ECN 405 Technology Module and ECN 405 Manager Telecommunicatins Systems Update Course for the Defence Force School of Signals,6162aa1fe1b7f5c73e6fdffe,,Communication and Information Systems Technology Trends Training.Subject Four Sergeant ECN 405 Technology Module and ECN 405 Manager Telecommunicatins Systems Update Course for the Defence Force School of Signals,"[('technology trends training', 0.6105), ('module ecn 405', 0.4743), ('sergeant', 0.4024), ('systems update', 0.2879), ('communication information', 0.3976)]"
RFT022-HQ04,Specialised educational services,"This project seeks to use a Defence Contractor to provide Illustrator Reprographic training to selected corporals and sergeants, as a component of their trade and promotion training for the School of Military Engineering.",Provision of Illustrator Reprographic Trade Training,6162aa1fe1b7f5c73e6fdfff,,"This project seeks to use a Defence Contractor to provide Illustrator Reprographic training to selected corporals and sergeants, as a component of their trade and promotion training for the School of Military Engineering..Provision of Illustrator Reprographic Trade Training","[('illustrator reprographic training', 0.7063), ('corporals sergeants', 0.5273), ('component trade promotion', 0.3343), ('use defence contractor', 0.5383), ('seeks', 0.1768)]"
APCM 132.04,Specialised educational services,Professional Development and Education Services to be provided under a Deed of Agreement.,ATO - Professional Development & Education Services,6162aa1fe1b7f5c73e6fe000,,Professional Development and Education Services to be provided under a Deed of Agreement..ATO - Professional Development & Education Services,"[('ato professional development', 0.6689), ('services provided deed', 0.555), ('agreement', 0.3596), ('education services', 0.5243), ('provided', 0.118)]"
RFTS04/0781,Management advisory services,Centrelink seeks tenders from suitably qualified organisations to provide cultural mapping service to its offices across Australia.  Centrelink seeks to engage a consultant for a three year period under a standing offer arrangement. ,Request for tender for provision of cultural mapping service,6162aa1fe1b7f5c73e6fe001,,Centrelink seeks tenders from suitably qualified organisations to provide cultural mapping service to its offices across Australia.  Centrelink seeks to engage a consultant for a three year period under a standing offer arrangement. .Request for tender for provision of cultural mapping service,"[('centrelink seeks tenders', 0.7067), ('cultural mapping', 0.3921), ('offices australia', 0.3135), ('provide', 0.1736), ('seeks engage consultant', 0.3502)]"
DCA 014/2004,Education and Training Services,"        A project to raise awareness about  Indigenous Intellectual Property has been developed by the Cultural Ministers’  Council, as part of the Council of Australian Governments’ (COAG)  Reconciliation Framework. The project recognises Indigenous people as the  custodians of their cultural heritage and promotes greater respect and  responsibility in the dissemination of Indigenous stories, art works and  cultural knowledge. The project will educate people about copyright and moral  rights that apply to the publication and reproduction of Indigenous cultural  expressions. It will also improve understandings between commercial business  operators and Indigenous communities.             ",Development of an Indigenous Intellectual Property Toolkit for the Cultural Ministers’ Council,6162aa1fe1b7f5c73e6fe002,,"        A project to raise awareness about  Indigenous Intellectual Property has been developed by the Cultural Ministers’  Council, as part of the Council of Australian Governments’ (COAG)  Reconciliation Framework. The project recognises Indigenous people as the  custodians of their cultural heritage and promotes greater respect and  responsibility in the dissemination of Indigenous stories, art works and  cultural knowledge. The project will educate people about copyright and moral  rights that apply to the publication and reproduction of Indigenous cultural  expressions. It will also improve understandings between commercial business  operators and Indigenous communities.             .Development of an Indigenous Intellectual Property Toolkit for the Cultural Ministers’ Council","[('indigenous intellectual property', 0.7396), ('ministers council council', 0.2609), ('expressions improve understandings', 0.0711), ('coag reconciliation framework', 0.2792), ('works', 0.0981)]"
RFTS04/0806,Specialised educational services,Development of Self Paced Learning and Assessment Resources on a Standing Offer Arrangement,Provision of Services to Develop Self Paced Learning and Assessment Resources on a Standing Offer Arrangement,6162aa1fe1b7f5c73e6fe003,,Development of Self Paced Learning and Assessment Resources on a Standing Offer Arrangement.Provision of Services to Develop Self Paced Learning and Assessment Resources on a Standing Offer Arrangement,"[('paced learning assessment', 0.6412), ('standing offer arrangement', 0.4054), ('services develop self', 0.3356), ('resources', 0.2485), ('assessment resources standing', 0.6165)]"
RFT 2004/1076317/1,Specialised educational services,"Develop curricula and associated courseware, then deliver training to Air Force Safety Advisers and Safety Coordinators.",Provision of services to develop and deliver Occupational Health and Safety courses,6162aa1fe1b7f5c73e6fe004,,"Develop curricula and associated courseware, then deliver training to Air Force Safety Advisers and Safety Coordinators..Provision of services to develop and deliver Occupational Health and Safety courses","[('safety courses', 0.6507), ('provision services develop', 0.2611), ('air force', 0.5082), ('deliver occupational health', 0.4334), ('coordinators', 0.3994)]"
053/0405,Management advisory services,Provision of Management Services for the Relocation of Staff and Equipment,Provision of Management Services for the Relocation of Staff and Equipment,6162aa1fe1b7f5c73e6fe005,,Provision of Management Services for the Relocation of Staff and Equipment.Provision of Management Services for the Relocation of Staff and Equipment,"[('management services relocation', 0.7542), ('equipment', 0.3878), ('provision', 0.4247), ('management', 0.4044), ('staff equipment provision', 0.6924)]"
APCM 28.05,Management advisory services,Provision of Complex Academic Research Services for the Tax Office.,Provision of Complex Academic Research Services for the Tax Office.,6162aa1fe1b7f5c73e6fe006,,Provision of Complex Academic Research Services for the Tax Office..Provision of Complex Academic Research Services for the Tax Office.,"[('provision complex academic', 0.6829), ('services tax office', 0.5309), ('research services', 0.5748), ('complex', 0.3708), ('office provision', 0.429)]"
APCM 104.03.10,Management advisory services,Performance Audit - Fraud Planning.,ATO –Performance Audit – Fraud Planning process,6162aa1fe1b7f5c73e6fe007,,Performance Audit - Fraud Planning..ATO –Performance Audit – Fraud Planning process,"[('audit fraud planning', 0.8374), ('ato performance', 0.4059), ('process', 0.2639), ('performance audit', 0.6388), ('planning', 0.1971)]"
APCM 104.03.09,Management advisory services,Performance Audit Strategic IT Governance,ATO –Performance Audit Strategic IT Governance,6162aa1fe1b7f5c73e6fe008,,Performance Audit Strategic IT Governance.ATO –Performance Audit Strategic IT Governance,"[('audit strategic governance', 0.7378), ('ato performance', 0.3925), ('strategic governance ato', 0.6631), ('performance audit', 0.5509), ('strategic', 0.405)]"
IA04/00498,Education and Training Services,Invest Australia - the Australian Government`s inward investment agency - is seeking to appoint a training provider to develop and deliver the Winning Investment for Australia training program.   ,Training Program - Winning Investment for Australia,6162aa1fe1b7f5c73e6fe009,,Invest Australia - the Australian Government`s inward investment agency - is seeking to appoint a training provider to develop and deliver the Winning Investment for Australia training program.   .Training Program - Winning Investment for Australia,"[('investment australia training', 0.8955), ('agency seeking appoint', 0.3477), ('winning', 0.0981), ('provider develop', 0.2594), ('government inward', 0.2461)]"
PMC2004/0035,Management advisory services,Provision of IT Security Assessment Review Services,PROVISION OF IT SECURITY ASSESSMENT REVIEW SERVICES,6162aa1fe1b7f5c73e6fe00a,,Provision of IT Security Assessment Review Services.PROVISION OF IT SECURITY ASSESSMENT REVIEW SERVICES,"[('security assessment review', 0.6865), ('services provision', 0.3166), ('review services', 0.4551), ('assessment', 0.4441), ('security', 0.3326)]"
