,index,closetime,category,partial description
62,Health/21-22/07846,15-Sep-2021 2:00 pm,Personnel recruitment,The Department of Health is seeking expressions of interest from Indigenous organisations to participate in the co-desig...
63,JSD/RFT/19423/1,16-Sep-2021 12:00 pm,Military services and national defence,The Commonwealth wishes to acquire RPVs for the Australian Defence Force (ADF).
64,RFT70015048,16-Sep-2021 2:00 pm,Psychologists services,The Department of Social Services invites suitably qualified organisations to tender for the provision of Wellbeing and ...
65,EST06291,17-Sep-2021 12:00 pm,Building construction and support and maintenance and repair services,Building maintenance and refurbishments works at HMAS Harman
66,CSIRORFT2021011,17-Sep-2021 2:00 pm,Management and provision of all facilities engineering modification and maintenance services for a site or platform,CSIRO Amalgamated Mechanical Services
67,EIG/BSTP/2021/01,17-Sep-2021 4:00 pm,Building construction and support and maintenance and repair services,This Request for Information (RFI) seeks feedback from industry to help shape the procurement and contracting strategy.
68,ESE21/3067,19-Sep-2021 4:00 pm,Project management,National Project Manager (NPM) services for Australia's involvement in the Programme for International Student Assessmen...
69,AIMSRFT694,20-Sep-2021 2:00 pm,Commercial or industrial construction,Roofing suppliers of specialist Products that meet the performance criteria are invited to submit Tenders to undertake t...
70,HOMEAFFAIRS/2007/RFT,20-Sep-2021 2:00 pm,Individual health screening and assessment services,Panel of providers delivering a range of job role suitability assessment services and related program management
71,PROC-9176409,20-Sep-2021 5:00 pm,Crop production and management and protection,This investment will expand the understanding of the species and the population numbers of invertebrate pests and natura...
72,P21/358,21-Sep-2021 12:00 pm,Research programs,The Criminology Research Grants (CRG) program is a competitive program that provides funds to support the conduct of hig...
73,RASSD/IB/21250/1,21-Sep-2021 4:00 pm,Military science and research,Space Domain Awareness Project (JP9360) Webinar - Friday 3 September 2021
74,AZ6324,22-Sep-2021 12:00 pm,Building construction and support and maintenance and repair services,Capital Facilities and Infrastructure Specialist Services as part of the Defence Infrastructure Panel 2022 - 2027 (Panel...
75,AZ6323,22-Sep-2021 12:00 pm,Building construction and support and maintenance and repair services,Project Management/ Contract Administration Services  as part of the Defence Infrastructure Panel 2022 - 2027 (Pane...
76,DHA-PROC-56255,23-Sep-2021 3:00 pm,General building and office cleaning and maintenance services,Seeking suitably qualified painting and cleaning contractors  
77,SHIPS/RFI/16912/1,24-Sep-2021 2:00 pm,Surveillance and detection equipment,Project SEA 5012 Phase 1 Integrated Undersea Surveillance Systems - Request for Information
78,SHIPS/RFT/12946/10,24-Sep-2021 2:30 pm,Military watercraft,Supply of Valves and Valve Components for the sustainment of the Hobart Class Guided Missile Destroyers (DDGs)
79,GA21-544,30-Sep-2021 12:00 pm,Satellites,Notice to Procure GA21-544 Southern Positioning Augmentation Network Geostationary Earth Orbit Payload – 01 (SGP-0...
80,RFT 3-2021,30-Sep-2021 12:00 pm,Arms and ammunition accessories,Supply of Semi-Auto Rifle Platforms
81,NMP 16100,30-Sep-2021 12:00 pm,Military services and national defence,The AIR3503 – Distributed Ground Station - Australia (DGS-AUS) Project will deliver enhanced situational awareness...
82,448-2019-20,30-Sep-2021 2:00 pm,Electrical services,Automatic Weather Stations Equipment Installation Services
83,PSC001548,30-Sep-2021 4:00 pm,Laboratory and scientific equipment,"Design, Supply, Installation and Commissioning of the Photon Delivery System (PDS) for the Nanoprobe (NANO) Beamline."
84,AZ6316 - MCC DCA,12-Oct-2021 12:00 pm,Building construction and support and maintenance and repair services,ESTL4503PH1 Facilities to Support LAND4503 Armed Reconnaissance Helicopter Replacement – Managing Contractor (MCC-...
85,HUB-21-PECM-001,14-Oct-2021 12:00 pm,Military science and research,The Department of Defence via the Australian Army and the Defence Innovation Hub (‘Defence’) is seeking inno...
86,EOI,26-Oct-2021 5:00 pm,Crop production and management and protection,Several exotic snail and slug species of European origin have established in Australian cropping regions and become sign...
87,JSD/NOT/12477/12,24-Dec-2021 12:00 pm,Military services and national defence,Notice regarding the planned Industry Briefing in conjunction with the proposed Request for Tender release.
88,FIN/007/20Notice1B,24-Dec-2021 12:00 pm,Accounting services,This notice is to inform interested parties about a proposed whole-of-Australian Government Management Advisory Services...
89,FIN/007/20Notice1A,24-Dec-2021 12:00 pm,Economics,This notice is to inform interested parties about a proposed whole-of-Australian Government Management Advisory Services...
90,JSD/NOT/12477/11,24-Dec-2021 12:00 pm,Military services and national defence,Notice regarding delay of proposed Request for Tender (RFT) release and details for the planned Industry Briefing and re...
91,FIN/007/20Notice1,24-Dec-2021 12:00 pm,Management advisory services,This notice is to inform interested parties about a proposed whole-of-Australian Government Management Advisory Services...
92,FIN/007/20Notice1C,24-Dec-2021 12:00 pm,Public administration and finance services,This notice is to inform interested parties about a proposed whole-of-Australian Government Management Advisory Services...
93,HUB-16-PIN-SIF-001j,31-Dec-2021 12:00 pm,Military science and research,"<span"">Defence Innovation Hub (Hub), an initiative of the Australian Government’s Department of Defence (Def..."
94,JSD/NOT/12477/10,31-Dec-2021 12:00 pm,Military services and national defence,Notice regarding limited international travel to Australia for potential prime contractors who are based overseas
95,DemoATM2021,31-Dec-2021 11:30 pm,Measuring and observing and testing instruments,Demo ATM to test eLodgement and Download
96,JSD/RFT/12477/1,10-Jan-2022 12:00 pm,Military services and national defence,Release of the JP9102 RFT to provide the SSC for the ADF.
97,MGF_17,30-Jun-2022 12:00 pm,Physical and occupational therapy and rehabilitation products,NOTE: existing suppliers need not reapply The Medical Grade Footwear (MGF) Programme is an important part of DVA’s...
98,CNS16,30-Jun-2022 12:00 pm,Comprehensive health services,Department of Veterans' Affairs invites interested suppliers of Community Nursing Services to apply to provide these ser...
99,DPC-2017,30-Jun-2022 5:00 pm,Comprehensive health services,The Department of Veterans’ Affairs (DVA) is seeking to contract with eligible stand-alone private day hospitals (...
100,PHS-16,30-Jun-2022 5:00 pm,Comprehensive health services,  DVA is seeking the provision of Private Hospital services for Entitled Persons by publishing this Invitation to P...
101,AZ 6227,31-Dec-2022 12:00 pm,Building construction and support and maintenance and repair services,"Australia-Singapore Military Training Initiative (ASMTI) Project near Greenvale, North Queensland - Market Sounding of E..."
102,DTA-487 V4,23-Feb-2023 12:00 pm,Computer services,The Digital Marketplace is an online procurement platform that makes it easier for all levels of government and digital ...
