id,division,weight,cnt
UC_61585aa8d7b0c43ebd7551e2,STUDIES IN HUMAN SOCIETY,1.3,
UC_61585ab1d7b0c43ebd7551e3,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",1.32,
UC_61585ab1d7b0c43ebd7551e3,EDUCATION,0.2,
UC_61585ab1d7b0c43ebd7551e3,INFORMATION AND COMPUTING,0.88,
UC_61585ab1d7b0c43ebd7551e3,"LANGUAGE, COMMUNICATION AND CULTURE",0.22,
UC_61585ab1d7b0c43ebd7551e3,OTHERS(IRRELEVANT),2.91,
UC_61585ab1d7b0c43ebd7551e3,OTHERS(RELEVANT),3.2,
UC_61585ab1d7b0c43ebd7551e3,STUDIES IN CREATIVE ARTS AND WRITING,0.22,
UC_61585ab1d7b0c43ebd7551e3,STUDIES IN HUMAN SOCIETY,0.6599999999999999,
UC_61585abdd7b0c43ebd7551e4,BIOLOGICAL,0.5700000000000001,
UC_61585abdd7b0c43ebd7551e4,CHEMICAL,0.13,
UC_61585abdd7b0c43ebd7551e4,EARTH,0.56,
UC_61585abdd7b0c43ebd7551e4,ECONOMICS,0.07,
UC_61585abdd7b0c43ebd7551e4,EDUCATION,2.64,
UC_61585abdd7b0c43ebd7551e4,ENVIRONMENTAL,0.56,
UC_61585abdd7b0c43ebd7551e4,MATHEMATICAL,0.56,
UC_61585abdd7b0c43ebd7551e4,MEDICAL AND HEALTH,10.14,
UC_61585abdd7b0c43ebd7551e4,OTHERS(IRRELEVANT),2.94,
UC_61585abdd7b0c43ebd7551e4,OTHERS(RELEVANT),2.5,
UC_61585abdd7b0c43ebd7551e4,PHYSICAL,0.56,
UC_61585abdd7b0c43ebd7551e4,PSYCHOLOGY AND COGNITIVE SCIENCES,3.54,
UC_61585abdd7b0c43ebd7551e4,STUDIES IN CREATIVE ARTS AND WRITING,0.8,
UC_61585abdd7b0c43ebd7551e4,STUDIES IN HUMAN SOCIETY,3.94,
UC_61585acfd7b0c43ebd7551e5,AGRICULTURAL AND VETERINARY,0.2,
UC_61585acfd7b0c43ebd7551e5,BIOLOGICAL,0.05,
UC_61585acfd7b0c43ebd7551e5,BUILT ENVIRONMENT AND DESIGN,0.26,
UC_61585acfd7b0c43ebd7551e5,CHEMICAL,0.28,
UC_61585acfd7b0c43ebd7551e5,EARTH,1.4500000000000002,
UC_61585acfd7b0c43ebd7551e5,EDUCATION,1.19,
UC_61585acfd7b0c43ebd7551e5,ENGINEERING,0.24,
UC_61585acfd7b0c43ebd7551e5,ENVIRONMENTAL,0.51,
UC_61585acfd7b0c43ebd7551e5,HISTORY AND ARCHAEOLOGY,1.67,
UC_61585acfd7b0c43ebd7551e5,INFORMATION AND COMPUTING,2.45,
UC_61585acfd7b0c43ebd7551e5,"LANGUAGE, COMMUNICATION AND CULTURE",4.9,
UC_61585acfd7b0c43ebd7551e5,LAW AND LEGAL STUDIES,0.7,
UC_61585acfd7b0c43ebd7551e5,MEDICAL AND HEALTH,2.69,
UC_61585acfd7b0c43ebd7551e5,OTHERS(IRRELEVANT),12.39,
UC_61585acfd7b0c43ebd7551e5,OTHERS(RELEVANT),6.18,
UC_61585acfd7b0c43ebd7551e5,PHILOSOPHY AND RELIGIOUS STUDIES,0.05,
UC_61585acfd7b0c43ebd7551e5,PHYSICAL,1.09,
UC_61585acfd7b0c43ebd7551e5,PSYCHOLOGY AND COGNITIVE SCIENCES,2.29,
UC_61585acfd7b0c43ebd7551e5,STUDIES IN CREATIVE ARTS AND WRITING,0.98,
UC_61585acfd7b0c43ebd7551e5,STUDIES IN HUMAN SOCIETY,21.98,
UC_61585acfd7b0c43ebd7551e5,TECHNOLOGY,2.04,
UC_61585adfd7b0c43ebd7551e6,BIOLOGICAL,0.4,
UC_61585adfd7b0c43ebd7551e6,CHEMICAL,1.16,
UC_61585adfd7b0c43ebd7551e6,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",2.2,
UC_61585adfd7b0c43ebd7551e6,EARTH,1.31,
UC_61585adfd7b0c43ebd7551e6,ECONOMICS,2.47,
UC_61585adfd7b0c43ebd7551e6,ENVIRONMENTAL,1.92,
UC_61585adfd7b0c43ebd7551e6,HISTORY AND ARCHAEOLOGY,1.9100000000000001,
UC_61585adfd7b0c43ebd7551e6,INFORMATION AND COMPUTING,0.44999999999999996,
UC_61585adfd7b0c43ebd7551e6,"LANGUAGE, COMMUNICATION AND CULTURE",0.91,
UC_61585adfd7b0c43ebd7551e6,LAW AND LEGAL STUDIES,3.9400000000000004,
UC_61585adfd7b0c43ebd7551e6,MEDICAL AND HEALTH,1.65,
UC_61585adfd7b0c43ebd7551e6,OTHERS(IRRELEVANT),4.99,
UC_61585adfd7b0c43ebd7551e6,OTHERS(RELEVANT),2.21,
UC_61585adfd7b0c43ebd7551e6,PHYSICAL,0.29,
UC_61585adfd7b0c43ebd7551e6,STUDIES IN CREATIVE ARTS AND WRITING,0.28,
UC_61585adfd7b0c43ebd7551e6,STUDIES IN HUMAN SOCIETY,10.13,
UC_61585afdd7b0c43ebd7551e7,BIOLOGICAL,0.78,
UC_61585afdd7b0c43ebd7551e7,CHEMICAL,0.06,
UC_61585afdd7b0c43ebd7551e7,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",1.03,
UC_61585afdd7b0c43ebd7551e7,EARTH,0.44000000000000006,
UC_61585afdd7b0c43ebd7551e7,ECONOMICS,1.32,
UC_61585afdd7b0c43ebd7551e7,EDUCATION,6.59,
UC_61585afdd7b0c43ebd7551e7,ENGINEERING,3.91,
UC_61585afdd7b0c43ebd7551e7,ENVIRONMENTAL,0.84,
UC_61585afdd7b0c43ebd7551e7,HISTORY AND ARCHAEOLOGY,1.2,
UC_61585afdd7b0c43ebd7551e7,INFORMATION AND COMPUTING,1.9000000000000001,
UC_61585afdd7b0c43ebd7551e7,"LANGUAGE, COMMUNICATION AND CULTURE",1.05,
UC_61585afdd7b0c43ebd7551e7,MATHEMATICAL,0.44000000000000006,
UC_61585afdd7b0c43ebd7551e7,MEDICAL AND HEALTH,28.74,
UC_61585afdd7b0c43ebd7551e7,OTHERS(IRRELEVANT),6.32,
UC_61585afdd7b0c43ebd7551e7,OTHERS(RELEVANT),5.91,
UC_61585afdd7b0c43ebd7551e7,PHYSICAL,1.1600000000000001,
UC_61585afdd7b0c43ebd7551e7,PSYCHOLOGY AND COGNITIVE SCIENCES,9.25,
UC_61585afdd7b0c43ebd7551e7,STUDIES IN CREATIVE ARTS AND WRITING,1.08,
UC_61585afdd7b0c43ebd7551e7,STUDIES IN HUMAN SOCIETY,5.84,
UC_61585afdd7b0c43ebd7551e7,TECHNOLOGY,2.77,
UC_61585b22d7b0c43ebd7551e9,BIOLOGICAL,4.22,
UC_61585b22d7b0c43ebd7551e9,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",1.23,
UC_61585b22d7b0c43ebd7551e9,EARTH,1.09,
UC_61585b22d7b0c43ebd7551e9,ECONOMICS,0.68,
UC_61585b22d7b0c43ebd7551e9,EDUCATION,3.4499999999999997,
UC_61585b22d7b0c43ebd7551e9,ENGINEERING,0.98,
UC_61585b22d7b0c43ebd7551e9,HISTORY AND ARCHAEOLOGY,0.1,
UC_61585b22d7b0c43ebd7551e9,INFORMATION AND COMPUTING,0.17,
UC_61585b22d7b0c43ebd7551e9,"LANGUAGE, COMMUNICATION AND CULTURE",2.92,
UC_61585b22d7b0c43ebd7551e9,LAW AND LEGAL STUDIES,0.1,
UC_61585b22d7b0c43ebd7551e9,MEDICAL AND HEALTH,32.78,
UC_61585b22d7b0c43ebd7551e9,OTHERS(IRRELEVANT),5.46,
UC_61585b22d7b0c43ebd7551e9,OTHERS(RELEVANT),4.82,
UC_61585b22d7b0c43ebd7551e9,PSYCHOLOGY AND COGNITIVE SCIENCES,7.14,
UC_61585b22d7b0c43ebd7551e9,STUDIES IN CREATIVE ARTS AND WRITING,0.27,
UC_61585b22d7b0c43ebd7551e9,STUDIES IN HUMAN SOCIETY,2.74,
UC_61585b22d7b0c43ebd7551e9,TECHNOLOGY,2.65,
UC_61585b36d7b0c43ebd7551ea,BIOLOGICAL,0.68,
UC_61585b36d7b0c43ebd7551ea,BUILT ENVIRONMENT AND DESIGN,0.9,
UC_61585b36d7b0c43ebd7551ea,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",0.8999999999999999,
UC_61585b36d7b0c43ebd7551ea,EARTH,0.71,
UC_61585b36d7b0c43ebd7551ea,ECONOMICS,0.09,
UC_61585b36d7b0c43ebd7551ea,EDUCATION,0.79,
UC_61585b36d7b0c43ebd7551ea,ENGINEERING,3.27,
UC_61585b36d7b0c43ebd7551ea,ENVIRONMENTAL,0.61,
UC_61585b36d7b0c43ebd7551ea,HISTORY AND ARCHAEOLOGY,2.37,
UC_61585b36d7b0c43ebd7551ea,"LANGUAGE, COMMUNICATION AND CULTURE",1.79,
UC_61585b36d7b0c43ebd7551ea,LAW AND LEGAL STUDIES,7.63,
UC_61585b36d7b0c43ebd7551ea,MEDICAL AND HEALTH,1.08,
UC_61585b36d7b0c43ebd7551ea,OTHERS(IRRELEVANT),8.04,
UC_61585b36d7b0c43ebd7551ea,OTHERS(RELEVANT),1.92,
UC_61585b36d7b0c43ebd7551ea,PHILOSOPHY AND RELIGIOUS STUDIES,2.27,
UC_61585b36d7b0c43ebd7551ea,PSYCHOLOGY AND COGNITIVE SCIENCES,5.65,
UC_61585b36d7b0c43ebd7551ea,STUDIES IN CREATIVE ARTS AND WRITING,4.06,
UC_61585b36d7b0c43ebd7551ea,STUDIES IN HUMAN SOCIETY,3.67,
UC_61585b5dd7b0c43ebd7551eb,AGRICULTURAL AND VETERINARY,0.8,
UC_61585b5dd7b0c43ebd7551eb,BIOLOGICAL,8.53,
UC_61585b5dd7b0c43ebd7551eb,CHEMICAL,1.32,
UC_61585b5dd7b0c43ebd7551eb,EARTH,0.08,
UC_61585b5dd7b0c43ebd7551eb,ECONOMICS,0.62,
UC_61585b5dd7b0c43ebd7551eb,EDUCATION,12.82,
UC_61585b5dd7b0c43ebd7551eb,ENVIRONMENTAL,1.15,
UC_61585b5dd7b0c43ebd7551eb,HISTORY AND ARCHAEOLOGY,0.63,
UC_61585b5dd7b0c43ebd7551eb,INFORMATION AND COMPUTING,1.05,
UC_61585b5dd7b0c43ebd7551eb,"LANGUAGE, COMMUNICATION AND CULTURE",0.95,
UC_61585b5dd7b0c43ebd7551eb,MATHEMATICAL,3.0300000000000002,
UC_61585b5dd7b0c43ebd7551eb,MEDICAL AND HEALTH,24.28,
UC_61585b5dd7b0c43ebd7551eb,OTHERS(IRRELEVANT),6.09,
UC_61585b5dd7b0c43ebd7551eb,OTHERS(RELEVANT),9.01,
UC_61585b5dd7b0c43ebd7551eb,PHYSICAL,1.1,
UC_61585b5dd7b0c43ebd7551eb,PSYCHOLOGY AND COGNITIVE SCIENCES,1.8800000000000001,
UC_61585b5dd7b0c43ebd7551eb,STUDIES IN CREATIVE ARTS AND WRITING,1.65,
UC_61585b5dd7b0c43ebd7551eb,STUDIES IN HUMAN SOCIETY,1.49,
UC_61585b5dd7b0c43ebd7551eb,TECHNOLOGY,2.4899999999999998,
UC_61585b7ad7b0c43ebd7551ec,AGRICULTURAL AND VETERINARY,0.92,
UC_61585b7ad7b0c43ebd7551ec,BIOLOGICAL,1.31,
UC_61585b7ad7b0c43ebd7551ec,BUILT ENVIRONMENT AND DESIGN,9.77,
UC_61585b7ad7b0c43ebd7551ec,CHEMICAL,1.9300000000000002,
UC_61585b7ad7b0c43ebd7551ec,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",5.5200000000000005,
UC_61585b7ad7b0c43ebd7551ec,EARTH,1.76,
UC_61585b7ad7b0c43ebd7551ec,ECONOMICS,2.63,
UC_61585b7ad7b0c43ebd7551ec,EDUCATION,1.0,
UC_61585b7ad7b0c43ebd7551ec,ENGINEERING,6.07,
UC_61585b7ad7b0c43ebd7551ec,ENVIRONMENTAL,6.0,
UC_61585b7ad7b0c43ebd7551ec,HISTORY AND ARCHAEOLOGY,0.54,
UC_61585b7ad7b0c43ebd7551ec,INFORMATION AND COMPUTING,10.2,
UC_61585b7ad7b0c43ebd7551ec,"LANGUAGE, COMMUNICATION AND CULTURE",1.65,
UC_61585b7ad7b0c43ebd7551ec,LAW AND LEGAL STUDIES,1.03,
UC_61585b7ad7b0c43ebd7551ec,MATHEMATICAL,2.87,
UC_61585b7ad7b0c43ebd7551ec,MEDICAL AND HEALTH,5.47,
UC_61585b7ad7b0c43ebd7551ec,OTHERS(IRRELEVANT),8.32,
UC_61585b7ad7b0c43ebd7551ec,OTHERS(RELEVANT),10.85,
UC_61585b7ad7b0c43ebd7551ec,PHILOSOPHY AND RELIGIOUS STUDIES,0.54,
UC_61585b7ad7b0c43ebd7551ec,PHYSICAL,3.59,
UC_61585b7ad7b0c43ebd7551ec,PSYCHOLOGY AND COGNITIVE SCIENCES,1.17,
UC_61585b7ad7b0c43ebd7551ec,STUDIES IN CREATIVE ARTS AND WRITING,2.49,
UC_61585b7ad7b0c43ebd7551ec,STUDIES IN HUMAN SOCIETY,4.72,
UC_61585b7ad7b0c43ebd7551ec,TECHNOLOGY,6.76,
UC_61585b8ed7b0c43ebd7551ee,BIOLOGICAL,2.6,
UC_61585b8ed7b0c43ebd7551ee,BUILT ENVIRONMENT AND DESIGN,0.25,
UC_61585b8ed7b0c43ebd7551ee,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",0.57,
UC_61585b8ed7b0c43ebd7551ee,EDUCATION,0.65,
UC_61585b8ed7b0c43ebd7551ee,ENGINEERING,1.3,
UC_61585b8ed7b0c43ebd7551ee,INFORMATION AND COMPUTING,7.09,
UC_61585b8ed7b0c43ebd7551ee,"LANGUAGE, COMMUNICATION AND CULTURE",0.73,
UC_61585b8ed7b0c43ebd7551ee,MATHEMATICAL,0.09,
UC_61585b8ed7b0c43ebd7551ee,MEDICAL AND HEALTH,3.27,
UC_61585b8ed7b0c43ebd7551ee,OTHERS(IRRELEVANT),2.26,
UC_61585b8ed7b0c43ebd7551ee,OTHERS(RELEVANT),1.11,
UC_61585b8ed7b0c43ebd7551ee,PSYCHOLOGY AND COGNITIVE SCIENCES,1.15,
UC_61585b8ed7b0c43ebd7551ee,STUDIES IN CREATIVE ARTS AND WRITING,1.7,
UC_61585b8ed7b0c43ebd7551ee,STUDIES IN HUMAN SOCIETY,1.0699999999999998,
UC_61585b8ed7b0c43ebd7551ee,TECHNOLOGY,1.66,
UC_61585ba1d7b0c43ebd7551ef,BIOLOGICAL,0.21,
UC_61585ba1d7b0c43ebd7551ef,EDUCATION,9.620000000000001,
UC_61585ba1d7b0c43ebd7551ef,INFORMATION AND COMPUTING,0.21,
UC_61585ba1d7b0c43ebd7551ef,"LANGUAGE, COMMUNICATION AND CULTURE",0.16,
UC_61585ba1d7b0c43ebd7551ef,MATHEMATICAL,1.44,
UC_61585ba1d7b0c43ebd7551ef,MEDICAL AND HEALTH,0.21,
UC_61585ba1d7b0c43ebd7551ef,OTHERS(IRRELEVANT),1.89,
UC_61585ba1d7b0c43ebd7551ef,PSYCHOLOGY AND COGNITIVE SCIENCES,2.69,
UC_61585ba1d7b0c43ebd7551ef,TECHNOLOGY,0.05,
UC_61585bd9d7b0c43ebd7551f0,BIOLOGICAL,0.9400000000000001,
UC_61585bd9d7b0c43ebd7551f0,BUILT ENVIRONMENT AND DESIGN,0.72,
UC_61585bd9d7b0c43ebd7551f0,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",1.63,
UC_61585bd9d7b0c43ebd7551f0,ECONOMICS,1.0,
UC_61585bd9d7b0c43ebd7551f0,ENGINEERING,0.95,
UC_61585bd9d7b0c43ebd7551f0,ENVIRONMENTAL,1.26,
UC_61585bd9d7b0c43ebd7551f0,"LANGUAGE, COMMUNICATION AND CULTURE",0.8300000000000001,
UC_61585bd9d7b0c43ebd7551f0,LAW AND LEGAL STUDIES,17.32,
UC_61585bd9d7b0c43ebd7551f0,MATHEMATICAL,0.31,
UC_61585bd9d7b0c43ebd7551f0,MEDICAL AND HEALTH,4.57,
UC_61585bd9d7b0c43ebd7551f0,OTHERS(IRRELEVANT),10.59,
UC_61585bd9d7b0c43ebd7551f0,OTHERS(RELEVANT),3.88,
UC_61585bd9d7b0c43ebd7551f0,PHYSICAL,0.95,
UC_61585bd9d7b0c43ebd7551f0,PSYCHOLOGY AND COGNITIVE SCIENCES,5.81,
UC_61585bd9d7b0c43ebd7551f0,STUDIES IN CREATIVE ARTS AND WRITING,0.7100000000000001,
UC_61585bd9d7b0c43ebd7551f0,STUDIES IN HUMAN SOCIETY,19.41,
UC_61585bd9d7b0c43ebd7551f0,TECHNOLOGY,0.16,
UC_61585be6d7b0c43ebd7551f1,EARTH,0.08,
UC_61585be6d7b0c43ebd7551f1,ECONOMICS,0.23,
UC_61585be6d7b0c43ebd7551f1,EDUCATION,0.1,
UC_61585be6d7b0c43ebd7551f1,HISTORY AND ARCHAEOLOGY,0.1,
UC_61585be6d7b0c43ebd7551f1,"LANGUAGE, COMMUNICATION AND CULTURE",0.18,
UC_61585be6d7b0c43ebd7551f1,LAW AND LEGAL STUDIES,0.89,
UC_61585be6d7b0c43ebd7551f1,OTHERS(IRRELEVANT),5.36,
UC_61585be6d7b0c43ebd7551f1,OTHERS(RELEVANT),0.72,
UC_61585be6d7b0c43ebd7551f1,PSYCHOLOGY AND COGNITIVE SCIENCES,0.21000000000000002,
UC_61585be6d7b0c43ebd7551f1,STUDIES IN CREATIVE ARTS AND WRITING,1.0499999999999998,
UC_61585be6d7b0c43ebd7551f1,STUDIES IN HUMAN SOCIETY,7.54,
UC_61585be6d7b0c43ebd7551f1,TECHNOLOGY,1.25,
UC_61585bfbd7b0c43ebd7551f2,BIOLOGICAL,4.14,
UC_61585bfbd7b0c43ebd7551f2,CHEMICAL,2.09,
UC_61585bfbd7b0c43ebd7551f2,EARTH,0.4,
UC_61585bfbd7b0c43ebd7551f2,EDUCATION,0.76,
UC_61585bfbd7b0c43ebd7551f2,ENVIRONMENTAL,1.87,
UC_61585bfbd7b0c43ebd7551f2,MATHEMATICAL,0.4,
UC_61585bfbd7b0c43ebd7551f2,MEDICAL AND HEALTH,6.2700000000000005,
UC_61585bfbd7b0c43ebd7551f2,OTHERS(RELEVANT),1.0,
UC_61585bfbd7b0c43ebd7551f2,PHYSICAL,2.14,
UC_61585bfbd7b0c43ebd7551f2,PSYCHOLOGY AND COGNITIVE SCIENCES,0.08,
UC_61585bfbd7b0c43ebd7551f2,STUDIES IN CREATIVE ARTS AND WRITING,0.28,
UC_61585bfbd7b0c43ebd7551f2,STUDIES IN HUMAN SOCIETY,0.28,
UC_61585bfbd7b0c43ebd7551f2,TECHNOLOGY,1.18,
UC_61585c0ed7b0c43ebd7551f3,AGRICULTURAL AND VETERINARY,5.13,
UC_61585c0ed7b0c43ebd7551f3,BIOLOGICAL,13.370000000000001,
UC_61585c0ed7b0c43ebd7551f3,BUILT ENVIRONMENT AND DESIGN,1.77,
UC_61585c0ed7b0c43ebd7551f3,CHEMICAL,1.32,
UC_61585c0ed7b0c43ebd7551f3,EARTH,5.09,
UC_61585c0ed7b0c43ebd7551f3,EDUCATION,0.91,
UC_61585c0ed7b0c43ebd7551f3,ENVIRONMENTAL,10.03,
UC_61585c0ed7b0c43ebd7551f3,HISTORY AND ARCHAEOLOGY,2.19,
UC_61585c0ed7b0c43ebd7551f3,INFORMATION AND COMPUTING,3.21,
UC_61585c0ed7b0c43ebd7551f3,"LANGUAGE, COMMUNICATION AND CULTURE",0.14,
UC_61585c0ed7b0c43ebd7551f3,LAW AND LEGAL STUDIES,1.24,
UC_61585c0ed7b0c43ebd7551f3,MATHEMATICAL,0.05,
UC_61585c0ed7b0c43ebd7551f3,MEDICAL AND HEALTH,4.71,
UC_61585c0ed7b0c43ebd7551f3,OTHERS(IRRELEVANT),2.69,
UC_61585c0ed7b0c43ebd7551f3,OTHERS(RELEVANT),1.03,
UC_61585c0ed7b0c43ebd7551f3,PHYSICAL,1.03,
UC_61585c0ed7b0c43ebd7551f3,PSYCHOLOGY AND COGNITIVE SCIENCES,0.1,
UC_61585c0ed7b0c43ebd7551f3,STUDIES IN CREATIVE ARTS AND WRITING,0.14,
UC_61585c0ed7b0c43ebd7551f3,STUDIES IN HUMAN SOCIETY,1.11,
UC_61585c19d7b0c43ebd7551f4,BIOLOGICAL,0.97,
UC_61585c19d7b0c43ebd7551f4,EARTH,3.0300000000000002,
UC_61585c19d7b0c43ebd7551f4,EDUCATION,0.5800000000000001,
UC_61585c19d7b0c43ebd7551f4,ENGINEERING,0.39999999999999997,
UC_61585c19d7b0c43ebd7551f4,ENVIRONMENTAL,1.9300000000000002,
UC_61585c19d7b0c43ebd7551f4,HISTORY AND ARCHAEOLOGY,0.31,
UC_61585c19d7b0c43ebd7551f4,INFORMATION AND COMPUTING,0.56,
UC_61585c19d7b0c43ebd7551f4,"LANGUAGE, COMMUNICATION AND CULTURE",4.29,
UC_61585c19d7b0c43ebd7551f4,LAW AND LEGAL STUDIES,0.5700000000000001,
UC_61585c19d7b0c43ebd7551f4,MEDICAL AND HEALTH,1.0,
UC_61585c19d7b0c43ebd7551f4,OTHERS(IRRELEVANT),3.81,
UC_61585c19d7b0c43ebd7551f4,OTHERS(RELEVANT),2.32,
UC_61585c19d7b0c43ebd7551f4,PHYSICAL,1.0,
UC_61585c19d7b0c43ebd7551f4,PSYCHOLOGY AND COGNITIVE SCIENCES,0.06,
UC_61585c19d7b0c43ebd7551f4,STUDIES IN CREATIVE ARTS AND WRITING,5.11,
UC_61585c19d7b0c43ebd7551f4,STUDIES IN HUMAN SOCIETY,3.57,
UC_61585c19d7b0c43ebd7551f4,TECHNOLOGY,2.55,
UC_61585c2fd7b0c43ebd7551f6,BIOLOGICAL,3.73,
UC_61585c2fd7b0c43ebd7551f6,CHEMICAL,0.52,
UC_61585c2fd7b0c43ebd7551f6,EARTH,0.52,
UC_61585c2fd7b0c43ebd7551f6,EDUCATION,1.19,
UC_61585c2fd7b0c43ebd7551f6,INFORMATION AND COMPUTING,1.72,
UC_61585c2fd7b0c43ebd7551f6,MEDICAL AND HEALTH,15.64,
UC_61585c2fd7b0c43ebd7551f6,OTHERS(IRRELEVANT),2.08,
UC_61585c2fd7b0c43ebd7551f6,OTHERS(RELEVANT),4.4,
UC_61585c2fd7b0c43ebd7551f6,PHYSICAL,0.06,
UC_61585c2fd7b0c43ebd7551f6,PSYCHOLOGY AND COGNITIVE SCIENCES,1.79,
UC_61585c2fd7b0c43ebd7551f6,STUDIES IN HUMAN SOCIETY,0.77,
UC_61585c42d7b0c43ebd7551f7,BUILT ENVIRONMENT AND DESIGN,0.32,
UC_61585c42d7b0c43ebd7551f7,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",0.73,
UC_61585c42d7b0c43ebd7551f7,ECONOMICS,2.23,
UC_61585c42d7b0c43ebd7551f7,EDUCATION,8.35,
UC_61585c42d7b0c43ebd7551f7,HISTORY AND ARCHAEOLOGY,0.6799999999999999,
UC_61585c42d7b0c43ebd7551f7,"LANGUAGE, COMMUNICATION AND CULTURE",6.62,
UC_61585c42d7b0c43ebd7551f7,LAW AND LEGAL STUDIES,0.6799999999999999,
UC_61585c42d7b0c43ebd7551f7,OTHERS(IRRELEVANT),10.17,
UC_61585c42d7b0c43ebd7551f7,OTHERS(RELEVANT),5.87,
UC_61585c42d7b0c43ebd7551f7,PSYCHOLOGY AND COGNITIVE SCIENCES,4.67,
UC_61585c42d7b0c43ebd7551f7,STUDIES IN CREATIVE ARTS AND WRITING,1.19,
UC_61585c42d7b0c43ebd7551f7,STUDIES IN HUMAN SOCIETY,7.37,
UC_61585c52d7b0c43ebd7551f8,BIOLOGICAL,0.44000000000000006,
UC_61585c52d7b0c43ebd7551f8,BUILT ENVIRONMENT AND DESIGN,1.07,
UC_61585c52d7b0c43ebd7551f8,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",0.35,
UC_61585c52d7b0c43ebd7551f8,ECONOMICS,0.88,
UC_61585c52d7b0c43ebd7551f8,EDUCATION,1.61,
UC_61585c52d7b0c43ebd7551f8,INFORMATION AND COMPUTING,0.66,
UC_61585c52d7b0c43ebd7551f8,"LANGUAGE, COMMUNICATION AND CULTURE",0.29,
