Tags,key_1,key_2,key_3
Case-Control Studies,11,,
Cash Flow,15,,
Catalysts,3,9,
Catchments,5,4,
Celebrity,19,20,16
Cell Phone,9,10,9
Cells,6,,
Cellular Networks,10,,
Cellular telephones,10,,
census,16,,
Censuses,16,,
Cerebrovascular Circulation,11,,
certification,other_irrelevant,,
Cesarean Section,11,,
Checklist,other_irrelevant ,,
Cheese,9,10,
Chemical analysis,3,,
chemistry,3,,
Child Care,11,,
Choice Behavior,17,,
Chromosome Mapping,11,6,9
Chronic Disease,11,,
chronic illness,11,,
Chronic Kidney Failure,11,,
city center,16,12,15
classroom,13,,
climate,4,5,
climate change,5,4,
climate policy,5,16,
Clinical Trials,11,17,
clinical trials,11,17,
clinician,11,,
Clothing,9,,
coach,13,,
coast,4,,
Coast,4,,
Co-creation,other_irrelevant,,
coding,8,6,9
Cognitive Behavioral Therapy,17,,
Cognitive Dysfunction,17,,
Cohort Studies,other_relevant,,
Cold Temperature,other_relevant,,
collective behavior,16,6,other_relevant
Commonwealth,16,other_irrelevant ,
Communication,10,20,
communication,10,20,
community research,16,20,
Company Value,15,,
Comparative Study,other_relevant,,
competitiveness,15,,
Complementary Therapies,11,17,
Computer vision,8,,
Conceptual Model,other_relevant,,
Concretes,3,9,12
Confidentiality,other_irrelevant,,
conflict,other_irrelevant,,
Conflict (Psychology),17,,
connectivity,other_relevant,,
conservation management,15,16,
Construction Industry,14,15,
contact,other_irrelevant,,
contagious disease,11,7,6
Contextual Factors,17,,
contingency,9,15,other_relevant
Control Groups,other_relevant,,
Cooling,9,,
coping,other_irrelevant ,,
copper,3,,
coproduction,7,9,10
correctional institution,11,17,
Cost-Benefit Analysis,15,1,
cost-benefit analysis,15,1,
Costs,other_irrelevant ,,
costs,other_irrelevant ,,
Crack,other_relevant,,
Creative Writing,19,20,
credibility,other_relevant,,
Crime,16,,
Criminal investigation,16,,
Criminal Justice Systems,16,,
criminology,16,,
critic,19,,
Critical Care,11,,
Cross-Over Studies,other_relevant,,
Cross-Sectional Studies,other_relevant,,
cultural geography,16,20,
cultural relations,20,16,
Curricula,13,,
customer,15,,
Cyberbullying,16,17,18
Cytogenetics,6,,
Cytokines,6,,
Czech Republic,other_irrelevant ,,
damage,other_irrelevant,,
Dams,12,9,
dance,13,,
Dancing,13,,
data analysis,other_relevant ,,
Data Analysis,other_relevant ,,
Data Analytics,other_relevant ,,
Data Collection,other_relevant ,,
data quality,other_relevant ,,
Data Science,8,,
Databases,8,,
Datasets,8,,
Deception,18,6,
Deep Learning,8,,
deficit,16,,
Delphi Technique,11,,
democratization,16,,
Denmark,other_irrelevant ,,
Deprescriptions,11,,
descriptive statistics,1,other_relevant ,
desert,5,4,
Detectors,9,,
detention,18,16,
determinants,other_irrelevant,,
Deuterium,3,2,
Developing countries,16,14,
Developing Countries,16,14,
development model,16,,
development strategy,16,,
Dietetics,11,9,10
dietitians,11,9,10
digital divide,16,20,
Digital Divide,16,20,
Diploidy,6,,
director,15,,
Disabled Persons,17,16,11
Disclosure,19,other_relevant,
discourse,19,other_relevant,
discrimination law,18,,
dismantling,9,,
Display devices,9,9,
district,16,12,other_relevant
DNA,11,6,
DNA barcoding,11,6,10
Docosahexaenoic Acids,6,,
domestic violence,16,18,17
Donna Haraway,other_irrelevant,,
Dopamine,6,11,
drainage,12,9,
Drinking,11,,
drug,11,9,10
Drug-Related Side Effects and Adverse Reactions,11,,
Ecology,5,4,
economic change,14,,
economic development,14,,
Economic Status,14,,
economic success,14,,
Economics,14,,
economics,14,,
economy,14,,
ecosystem,5,4,
ecosystem function,5,4,
Ecosystems,5,4,
educational setting,13,,
effect,other_irrelevant,,
Efficacy,9,10,
eHealth,11,,
Elderly,16,other_relevant,11
election,16,,
Electricity,9,,
Electrodes,3,6,
Electroencephalogram,11,6,17
Electronic Mail,10,18,
electronics,9,2,
Eleocharis,6,,
Emerging Markets,14,15,
employability,14,16,
Empowerment,15,18,
End effectors,10,9,
energy consumption,16,4,5
Energy Metabolism,6,11,
Engagement,other_irrelevant,,
engineer,9,,
engineering,9,,
entrepreneurship,15,,
Environmental Change,5,4,6
Environmental Impact,5,4,6
Environmental justice,5,4,6
environmental law,5,6,
environmental management,5,4,6
environmental policy,5,6,
Ephemeroptera,6,,
Episodic Memory,17,6,
erosion,3,4,5
Error correction,other_irrelevant,,
Estuaries,4,,
ethical concerns,22,,
Ethical Issues,22,,
Ethics,22,,
Ethnography,16,,
Europe,other_irrelevant ,,
European Commission,other_irrelevant ,,
European Union,other_irrelevant ,,
evaluation,other_relevant ,,
event,other_irrelevant ,,
Everyday Life,other_irrelevant ,,
Evidence-Based Practice,6,,
examiner,other_irrelevant ,,
exclusion,other_irrelevant,,
Executive Function,other_relevant,,
exercise,13,,
Exercise,13,,
exercise equipment,other_relevant ,,
experience,other_relevant ,,
experiment,other_relevant ,,
Experiments,other_relevant ,,
expertise,other_relevant ,,
Explosive Agents,3,9,10
exposure,other_relevant,,
Eyeglasses,9,,
Factors,other_relevant,,
Fairness,18,,
family,other_irrelevant ,,
Family Conflict,17,16,
farm,7,,
Farming,7,,
Fasting,11,,
Fats,9,11,6
Fear,17,,
Feature extraction,8,,
Feces,6,,
Federal Government,16,,
Feedback,other_relevant,,
Feeding Behavior,6,,
Femur,11,,
Fever,11,,
Fiction,20,19,
field research,other_relevant,,
Fiji,other_irrelevant ,,
finance,15,,
Finance,15,,
Financial Performance,15,,
Finland,other_irrelevant,,
Fluoroscopy,11,,
Focus Groups,other_irrelevant,,
food,9,10,
Food supply,15,9,7
Food Supply,15,9,7
Food Technology,10,9,
food waste,16,15,
food web,15,6,
Football,13,,
forest management,7,5,
Formal Social Control,16,,
fragmentation,other_irrelevant,,
frog,6,,
frustration,17,,
Funding,15,,
funding,15,,
fungus,6,,
Fuzzy logic,8,1,
Gardening,19,12,
Gastrointestinal Tract,11,,
Gels,6,,
Gender,16,other_relevant,
gender role,16,17,
General Practice,other_relevant,,
General Practitioners,11,,
Genes,6,,
genetic analysis,6,,
Genetic Variation,6,,
Geographic information systems,4,,
geography,4,,
Geometry,1,,
geopolitics,16,,
germination,6,,
Glass,3,9,12
global governance,16,,
Global positioning system,4,9,5
Glucose,11,9,6
Glycated Hemoglobin A,11,9,6
gold,other_relevant,,
Gold,other_relevant,,
gold standard,14,15,
Governance,16,,
governance arrangement,16,,
Government Regulation,16,,
governmentality,16,,
graduate,13,,
grant,13,,
Gray Literature,20,19,
groundwater,4,,
guarantee,other_irrelevant ,,
Hair,other_irrelevant ,,
Hamstring Muscles,11,,
Handover,other_irrelevant,,
HDL Cholesterol,11,9,6
Head,other_irrelevant ,,
Head and Neck Neoplasms,11,,
health behavior,11,,
health care,11,,
Health Care Providers,11,,
Health Promotion,11,,
Health Services,11,,
Health Services Accessibility,11,,
Health Surveys,11,,
Healthcare,11,,
Heart Diseases,11,,
Heart Failure,11,,
Heart Rate,11,6,
heart rate,11,6,
heat,other_relevant,,
Heritage,21,20,22
Hip,11,,
Historic,21,,
HIV,11,6,
home care,11,,
Home Care Services,11,,
Honey,7,9,11
Hospital Departments,11,,
Hotels,other_irrelevant,,
household,other_irrelevant,,
Human,16,21,
Human Body,11,,
Human computer interaction,8,9,
Human Influenza,11,,
human rights,16,,
hybridization,6,,
Hydrocortisone,11,9,
Hyperoxia,11,4,3
Hypertension,11,,
Ice,4,,
Identification (control systems),1,10,
ideology,17,20,19
Imagery,17,20,19
imagination,17,20,19
Immigrants,16,20,
Immunity,11,7,6
Impetigo,7,6,11
Impurities,3,6,
Inbreeding,6,,
Incidence,11,8,7
Income Inequality,14,16,
Independent Living,16,6,
index,other_irrelevant ,,
Indigenous Peoples,16,20,21
Industry 4.0,8,12,16
Inflammation,11,6,
Information systems,8,,
Infrastructure Projects,9,12,
insecticide,7,3,10
Insurance Benefits,15,,
Intellectual Disability,11,,
Intelligence,17,8,6
Interaction,other_relevant,,
intercultural learning,20,16,
intercultural skills,20,16,
Interdependence,other_relevant,,
interdisciplinary research,other_relevant,,
Interleukin-6,11,10,9
internal migration,16,21,20
Internship and Residency,other_relevant ,,
interpretation,17,other_relevant ,
Invertebrates,6,,
Ireland,other_irrelevant,,
Joints,11,9,other_relevant
Journalism,19,20,
journalism,19,20,
jurisdiction,18,16,
jurisprudence,16,,
keratinophilic fungi,6,,
Kinetics,3,6,
Knee Joint,11,,
Knee Osteoarthritis,11,,
knowledge economy,14,,
Knowledge Management,8,,
knowledge production,8,,
lack,other_irrelevant,,
Latent Class Analysis,16,other_irrelevant ,
Law,18,,
law and order,18,16,
Law Enforcement,18,16,
lawyer,18,,
Learning algorithms,8,,
learning disorder,17,,
learning strategy,13,,
Lebanon,other_irrelevant,,
Legal History,18,,
Legislation,18,,
legislation,18,,
legitimacy,18,,
Leisure Activities,other_irrelevant ,,
liberalism,16,20,22
life history,other_irrelevant,,
Life Style,17,other_irrelevant ,
limnology,4,,
Linear Models,1,other_relevant ,
Linguistics,20,,
lipopolysaccharide-binding protein,10,9,6
Lipopolysaccharides,10,9,6
Literacy,11,17,13
Literature Review,20,other_relevant,
livestock,7,,
Lizards,6,,
Local Communities,16,14,20
Long short-term memory,8,,
Long Term Evolution (LTE),8,,
Low Income,16,14,
Lower Extremity,11,6,
lowlands,4,,
Macquaria ambigua,6,,
macroinvertebrates,6,,
Malaria,11,6,
Malnutrition,11,,
mammal,6,,
Mammals,6,,
Mammography,11,,
manager,15,16,
managers,15,,
mangrove,5,4,
Manipulation,17,14,
marketing,15,,
marsupial,6,,
masculinity,17,19,20
mathematics,1,,
Mechanics,9,,
Medial Tibial Stress Syndrome,11,,
mediatization,18,16,
Mediator,18,16,
Medicare,11,,
Medication Adherence,11,,
Medicine,11,,
Mediterranean Diet,20,16,
Melanesia,other_irrelevant,,
Melbourne,other_irrelevant ,,
Membranes,6,,
Memory,17,10,11
Mental Disorders,11,17,
Mental Health,11,17,
Mental Health Services,11,17,
mental illness,11,17,
Mentoring,15,other_irrelevant ,
mesocosm,5,6,
meta-analysis,1,,
Metagenomics,6,,
metal,3,9,
Metals,3,9,
metaphor,20,,
Metatheria,6,,
metropolis,16,12,other_irrelevant 
microcosm,other_irrelevant ,,
MicroRNAs,6,,
Middle Cerebral Artery,11,,
Middle East,other_irrelevant ,,
Military,other_relevant ,,
military personnel,other_relevant ,,
Military Personnel,other_relevant ,,
minister,16,,
ministry,16,,
Misgurnus anguillicaudatus,6,,
mismatch,other_relevant,,
Mitigation,11,17,other_relevant
mobilization,16,other_relaevant,
modeling,other_relevant,,
modernization,16,12,other_relaevant
monitoring,other_relevant,,
Monoclonal Antibodies,6,,
monopoly,14,15,
Morbidity,11,7,6
Motor Skills,11,13,
motor vehicle,9,,
multimedia,19,20,
Multiple Sclerosis,11,,
Muscle,11,6,
Muscle Strength,11,6,
Muscle Weakness,11,6,
Muscles,11,6,
museum,16,21,20
Music,19,,
musician,19,,
Muslim,16,22,20
myth,21,20,22
nation state,16,,
national identity,16,20,17
Neck Pain,11,,
need,other_irrelevant ,,
Needs Assessment,other_relevant ,,
Neoplasms,11,6,
nest,6,other_relevant,
network analysis,10,,
Network architecture,10,,
Network protocols,10,,
networking,10,,
Networking,10,,
New Guinea,other_irrelevant ,,
New Public Management,16,,
New Zealand,other_irrelevant ,,
Newborn Infant,11,,
News Media,19,,
news report,19,,
Nexus,other_relevant ,,
non-governmental organization,16,,
Nonparametric Statistics,1,other_relevant ,
Nurse Practitioners,11,,
Nurse Specialists,11,,
nursing,11,,
Nursing Students,11,,
Nutrients,11,,
obesity,11,,
Obstetrics,11,,
Occupational Stress,17,,
Occupational Therapy,17,11,
occupational therapy,17,11,
ocean,4,,
Oceania,4,,
Oceans and Seas,4,,
Ocular Vision,11,8,
offense,other_irrelevant,,
Oils,3,4,
Olympics,16,13,
ontology,8,,
opposition,other_irrelevant,,
Opuntia,6,,
Oral Health,11,,
Organizations,other_irrelevant,,
Outcomes Research,other_relevant,,
Ovarian Neoplasms,11,,
Ownership,18,,
ownership,18,,
Oxidation-Reduction,3,6,
Oxygen,3,6,4
ozenoxacin,11,10,9
Pakistan,other_irrelevant ,,
Panel Data,other_relevant,,
paradigm shift,1,other_relevant ,
Parasites,6,,
Parents,other_irrelevant ,,
path analysis,1,other_relevant ,
Pathway,other_relevant,,
Patient Care Team,11,,
Pattern recognition,8,,
Peace,16,,
Pedagogy,13,,
pedestrian,15,,
Peer Influence,17,other_relevant ,
penalty,18,,
pension,16,15,
people with disabilities,16,,
Peptides,6,,
Performance,other_relevant,,
Permeability,2,3,6
Personality Disorders,11,17,
Pharmacies,11,,
pharmacist,11,,
Pharmacokinetics,11,,
Pharmacy Education,11,13,
phenomenology,6,,
Phenotype,6,,
Philosophy,22,,
photography,19,,
Photography,19,,
phylogenetics,6,,
Phylogeny,6,,
phylogeny,6,,
physical education,13,,
Physical Fitness,11,,
Physical Therapists,11,,
physical therapy,11,,
Physical therapy,11,,
physiological factors,11,,
physiological response,11,,
planning process,other_irrelevant ,,
plant species,6,,
plastic,3,9,5
playground,16,,
Poem,20,,
Poetics,20,,
poetry,20,,
Pogona vitticeps,6,,
policy,16,,
Policy Change,16,,
policy studies,16,,
political history,16,,
political institution,16,,
political science,16,,
political scientist,16,,
Population,16,,
population characteristics,16,,
population genetics,6,,
Population Health,11,,
Power Relations,16,18,
Practice (Psychology),17,,
prediction,other_relevant,,
Predictors,other_relevant,,
Pregnancy,11,6,16
Prescriptions,11,,
present,other_irrelevant,,
president,16,,
Pressure,other_relevant,,
Primary School,13,,
principal,other_irrelevant,,
Prisons,16,18,12
Private Practice,other_irrelevant,,
Probiotics,6,11,10
Problem Behavior,17,,
Problem-Based Learning,other_relevant,,
production function,9,10,7
Productivity,9,,
Professional Education,13,,
Professional Role,13,,
Program Evaluation,9,15,
project management,15,9,
projection,other_relevant,,
proliferation,6,11,10
propaganda,20,19,16
Property Rights,18,,
Proprioception,17,22,
Prose Poetry,20,,
Prosody,20,,
prosperity,other_irrelevant ,,
Proteins,6,11,
protocols,other_relevant,,
Psychiatry,11,,
Psychological Theory,17,,
Psychology,17,,
Public Health Nursing,11,,
public law,18,16,
public opinion,16,,
public policy,16,,
public sector,16,,
Public Sector,16,,
public space,16,,
Public Space,16,,
Public Sphere,16,,
Pulse,other_relevant,,
Qualification,other_irrelevant,,
qualitative interview,other_relevant,,
Qualitative Research,other_relevant,,
quality control,15,9,12
Quality of Life,16,,
quality of life,16,,
quantitative research,other_relevant,,
questionnaire,other_relevant,,
questionnaire survey,other_relevant,,
radio,10,19,20
Radiography,11,,
Radiotherapy,11,,
Randomized Controlled Trials,other_relevant,,
rate,other_relevant,,
rationality,other_relevant,,
reconciliation,18,20,
recording,other_relevant,,
Recurrence,11,,
recycling,5,3,9
Referral and Consultation,15,9,
reflexivity,1,other_relevant ,
Refrigeration,9,,
Refugees,16,,
regime,16,,
Regulatory framework,16,,
rehabilitation,11,,
remediation,other_relevant,,
Reproducibility of Results,other_relevant,,
Reproduction,11,6,
Republic of South Africa,other_irrelevant,,
reputation,other_irrelevant,,
research focus,other_relevant,,
research planning,other_relevant,,
Research Practice,other_relevant,,
research process,other_relevant,,
research program,other_relevant,,
Research Support,other_relevant,,
resettlement,16,,
Residents,16,,
resilience,11,2,6
Resilience,11,2,6
resource,other_relevant,,
responsibility,other_irrelevant,,
Restoration,15,6,10
restructuring,15,6,10
Retail,15,,
Reward,other_irrelevant,,
rice,7,11,
rights,16,15,18
Rise,other_relevant,,
Risk analysis,15,9,other_relevant
risk factors,other_relevant,,
river,4,,
RNA Viruses,6,11,
road,15,,
roads,15,,
Roads,15,,
Robot,8,9,
Robotics,8,9,
Robots,8,9,
ROC Curve,other_relevant ,,
Running,13,,
Rural women,16,20,
Russia,other_irrelevant ,,
safety,other_relevant ,,
salinity,4,5,
Sample Size,other_relevant,,
sampling,other_relevant,,
sanitation,11,,
Scalability,other_relevant,,
scenario,other_relevant,,
school grade,13,,
science,other_relevant,,
science policy,16,22,
Sea level,4,,
sea level,4,,
search engine,8,,
Seawater,4,,
secondary education,13,,
Secretory Immunoglobulin A,11,10,6
sediments,4,,
seed dispersal,7,5,
Self Efficacy,17,,
Self Report,17,other_relevant,
self-concept,17,,
Self-Control,17,,
Self-efficacy,17,,
self-esteem,17,,
Semantics,20,,
semantics,20,,
servants,16,21,22
service provider,other_relevant,,
Service Quality,other_relevant,,
Set theory,1,,
sex chromosomes,11,6,
Sex Chromosomes,11,6,
sex ratio,11,16,
Sexual Health,11,,
Shame,17,,
Shield,other_irrelevant,,
Short-Term Memory,8,,
Shoulder,11,,
Signal processing,9,10,
simulation,other_relevant,,
Single Nucleotide Polymorphism,10,3,
Skeletal Muscle,11,,
Skin,other_relevant ,,
Sleep,other_relevant ,,
Small and Medium-sized Enterprises,15,14,
Snow,4,,
snow,4,,
social change,16,,
Social Class,16,,
social development,16,,
Social Norms,16,,
Social Policy,16,,
Social Relations,16,,
social science,16,,
social structure,16,,
social system,16,,
Social Welfare,16,,
socioeconomic status,16,,
sociologist,16,,
sociology,16,,
Software,8,,
Song,19,,
source of information,8,,
South America,other_irrelevant ,,
South Korea,other_irrelevant ,,
sovereignty,16,,
Spain,other_irrelevant,,
spatial distribution,1,other_relevant ,
Spatial Learning,1,other_relevant ,
Spatial Reasoning,1,other_relevant ,
spawning,6,,
Speech,19,,
Speech recognition,20,8,
Speech-Language Pathology,11,,
Spinal Cord Injuries,11,,
sport,13,,
stable isotopes,2,4,6
staging,other_irrelevant,,
Stakeholder Participation,16,15,
Stakeholders,15,9,other_relevant
standard of living,16,14,
stereotype,19,20,17
stock enhancement,15,,
storage conditions,15,other_relevant,
Stroop Test,11,17,
Structural Equation Model,1,other_relevant ,
Students,other_irrelevant ,,
subspecies,6,,
Sun,2,7,
Supply chains,15,,
Support vector machines,8,1,
surveillance,other_relevant,,
survey method,other_relevant,,
sustainability,16,14,
Sustainable development,16,14,
Sustainable Development,16,14,
Switzerland,other_irrelevant ,,
symbol,20,21,
symbolic interactionism,20,21,
Systematic Reviews,other_relevant,,
Systems analysis,other_relevant,,
Tablets,other_relevant,,
Tactics,8,,
Tax,15,,
Tax Cuts,15,,
Taxation,15,,
Tea Tree Oil,9,7,
teacher,other_irrelevant ,,
technical innovation,other_relevant,,
Technology Use,other_relevant ,,
telecommunication,10,,
Telecommunications,10,,
Telephone,10,,
Temporality,other_irrelevant,,
Tendons,11,,
Terminology,other_relevant,,
terrorism,16,,
Tertiary Education,13,,
Text,other_irrelevant,,
Textbooks,13,other_relevant,
Textiles,9,15,
theanine,9,10,3
theater,12,19,20
Theoretical Models,other_relevant,,
therapy,11,,
Thinking,other_irrelevant,,
Thorax,11,,
threat,other_relevant,,
tissues,6,11,
Tomography,9,11,10
topical therapy,11,,
Topology,1,,
Torque,9,2,
Torres Strait,other_irrelevant,,
Torsades de Pointes,11,,
tourism,15,,
toy,9,,
Traffic,15,,
training program,13,,
trajectories,9,10,
Transcranial Direct Current Stimulation,11,,
translocation,6,11,
trapping,other_irrelevant,,
travel behavior,other_relevant,,
Triage,11,,
tropics,4,5,other_relevant
tsunami,4,,
Tungiasis,6,,
turbidity,other_relevant,,
twenty first century,other_irrelevant ,,
twitter,20,19,
Uncertainty,other_irrelevant ,,
United Nations,other_irrelevant ,,
university teacher,13,,
urban areas,12,14,16
urban design,16,12,
urban development,14,16,
Urbanization,14,16,
Urinary Tract Infections,11,,
User interfaces,8,,
utilization,other_irrelevant ,,
Utopia,16,20,21
Vaccines,11,9,10
Validation Studies,other_relevant ,,
Value Co-creation,16,14,15
Value Creation,16,14,15
vegetables,9,7,
vertebrate,6,,
Vertebrates,6,,
video,19,20,
Video cameras,9,19,20
Violence,16,17,
virtual community,16,19,20
Virtual Reality,8,,
virtual reality,8,,
Virus Diseases,6,11,7
Viruses,6,11,7
Visual Acuity,11,,
visualization,8,,
vocabulary,20,,
voting,16,,
Vulnerability,11,other_relevant ,
Wages,15,,
walking,13,,
warming,4,5,
water planning,12,,
weblog,20,19,
Websites,8,19,20
Weights and Measures,16,21,other_relevant
welfare,16,,
welfare economics,15,,
well-being,16,,
Wetlands,4,,
WHO,16,,
Widowhood,other_irrelevant,,
Wi-Fi,10,,
wildlife,5,,
Wine,9,7,
Wireless sensor networks,10,,
witness,other_irrelevant ,,
Women's Health Services,11,,
woodlands,7,5,4
Workers,16,15,14
Workforce,16,15,14
Workforce Planning,16,15,14
Working Hours,16,15,14
Workload,other_irrelevant,,
Workplace,other_irrelevant,,
World Bank,16,,
X rays,11,2,
X-Rays,11,2,
Y Chromosome,11,6,
