Tags,,
population growth,DIVISION 16 STUDIES IN HUMAN SOCIETY,
reciprocity,other irrelevant,
Sex Offenses,DIVISION 18 LAW AND LEGAL,
gender-specific factors,DIVISION 16 STUDIES IN HUMAN SOCIETY,
trade agreement,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",
Retirement,DIVISION 16 STUDIES IN HUMAN SOCIETY,
Biodiversity,DIVISION 05 ENVIRONMENTAL SCIENCES,
Surveillance,DIVISION 10 TECHNOLOGY,
Camera,DIVISION 09 ENGINEERING,
integrity,other irrelevant,
Cultural Heritage,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",
Quality of Health Care,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
continent,DIVISION 04 EARTH SCIENCES,
Color,other irrelevant,
Lawyers,DIVISION 18 LAW AND LEGAL,
educator,DIVISION 13 EDUCATION,
Turkey,other irrelevant,
Discourse,research related,
Child Development,DIVISION 13 EDUCATION,
female student,DIVISION 13 EDUCATION,
Degradation,DIVISION 06 BIOLOGICAL SCIENCES,
Connectivity,other irrelevant,
group membership,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",
psychology,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,
educational policy,DIVISION 13 EDUCATION,
human capital,DIVISION 16 STUDIES IN HUMAN SOCIETY,
developing country,other irrelevant,
Domestic Violence,DIVISION 18 LAW AND LEGAL,
intercultural learning,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",
amplification,DIVISION 06 BIOLOGICAL SCIENCES,
life history,DIVISION 21 HISTORY AND ARCHAEOLOGY,
services,other irrelevant,
Criminals,DIVISION 18 LAW AND LEGAL,
World Wide Web,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,
Competency,other irrelevant,
social structure,DIVISION 16 STUDIES IN HUMAN SOCIETY,
Segmentation,other irrelevant,
educational research,DIVISION 13 EDUCATION,
Facebook,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
disaster,DIVISION 05 ENVIRONMENTAL SCIENCES,
Carbidopa,other irrelevant,
research project,research related,
technological change,DIVISION 09 ENGINEERING,
Physiological Adaptation,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,
Data Base,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,
Planning,other irrelevant,
Psychological,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,
High performance liquid chromatography,DIVISION 03 CHEMICAL SCIENCES,
Cell Death,DIVISION 06 BIOLOGICAL SCIENCES,
public transport,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",
Public Interest,DIVISION 16 STUDIES IN HUMAN SOCIETY,
water quality,DIVISION 05 ENVIRONMENTAL SCIENCES,
economic system,DIVISION 14 ECONOMICS,
Singapore,other irrelevant,
Sensitivity and Specificity,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
news value,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",
Habits,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Breast Feeding,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Animation,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,
functional foods,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Victoria (Australia),other irrelevant,
Clone Cells,DIVISION 06 BIOLOGICAL SCIENCES,
PubMed,DIVISION 06 BIOLOGICAL SCIENCES,
athlete,DIVISION 06 BIOLOGICAL SCIENCES,
qualitative research,research related,
physiology,DIVISION 06 BIOLOGICAL SCIENCES,
suburb,DIVISION 12 BUILT ENVIRONMENT AND DESIGN,
Health Occupations,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Extremities,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Ecological Momentary Assessment,DIVISION 05 ENVIRONMENTAL SCIENCES,
Publications,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",
method,research related,
land,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,
UNO,DIVISION 04 EARTH SCIENCES,
Financing,DIVISION 14 ECONOMICS,
Defects,other irrelevant,
stakeholder,research related,
Maccullochella peelii peelii,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,
Access control,DIVISION 09 ENGINEERING,
woman,other irrelevant,
Endurance Training,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Social Problems,DIVISION 16 STUDIES IN HUMAN SOCIETY,
public health,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
peace process,DIVISION 16 STUDIES IN HUMAN SOCIETY,
book review,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,
Adipose Tissue,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Nitric Acid,DIVISION 03 CHEMICAL SCIENCES,
Inhibition (Psychology),DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,
Mixed Methods,research related,
Antioxidants,DIVISION 03 CHEMICAL SCIENCES,
Identification (Psychology),DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,
Optical flows,DIVISION 02 PHYSICAL SCIENCES,
Reptiles,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,
Maintenance,DIVISION 09 ENGINEERING,
mitigation,other irrelevant,
hydrology,DIVISION 04 EARTH SCIENCES,
Scincidae,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,
government supervision,DIVISION 16 STUDIES IN HUMAN SOCIETY,
editor,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",
facebook,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
predator,DIVISION 05 ENVIRONMENTAL SCIENCES,
representative democracy,DIVISION 16 STUDIES IN HUMAN SOCIETY,
Corporate Governance,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",
empowerment,DIVISION 18 LAW AND LEGAL,
asymmetry,DIVISION 01 MATHEMATICAL SCIENCES,
World War I,DIVISION 21 HISTORY AND ARCHAEOLOGY,
intersectionality,other irrelevant,
Population Growth,DIVISION 16 STUDIES IN HUMAN SOCIETY,
social status,DIVISION 16 STUDIES IN HUMAN SOCIETY,
educational practice,DIVISION 13 EDUCATION,
Urban Renewal,DIVISION 12 BUILT ENVIRONMENT AND DESIGN,
Big data,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,
inhabitant,DIVISION 16 STUDIES IN HUMAN SOCIETY,
"Health Knowledge, Attitudes, Practice",DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,
Apoptosis,DIVISION 06 BIOLOGICAL SCIENCES,
Paint,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,
Emerging Asian Countries,other irrelevant,
Family Income,DIVISION 16 STUDIES IN HUMAN SOCIETY,
world,other irrelevant,
Journalists,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,
Pleasure,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,
loss,other irrelevant,
Near infrared spectroscopy,DIVISION 02 PHYSICAL SCIENCES,
developing world,other irrelevant,
quinine,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
construction industry,DIVISION 12 BUILT ENVIRONMENT AND DESIGN,
Internet of things,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,
researchers,other irrelevant,
communication technology,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,
Mask,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Feeding and Eating Disorders,DIVISION 11 MEDICAL AND HEALTH SCIENCES,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
trauma,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,
Emotion,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,
Phylogeography,DIVISION 04 EARTH SCIENCES,
Social Networking,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",DIVISION 16 STUDIES IN HUMAN SOCIETY
East-Timor,other irrelevant,
VIP,other irrelevant,
typology,research related,
soldier,other relevant,
Anterior Cruciate Ligament Injuries,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Food Supply,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,
Australasia,other irrelevant,
Lakes,DIVISION 04 EARTH SCIENCES,
employee,DIVISION 16 STUDIES IN HUMAN SOCIETY,
Accelerometry,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Systematic Review,research related,
social effects,other irrelevant,
Basketball,other irrelevant,
waist circumference,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
innovation,other irrelevant,
assays,DIVISION 06 BIOLOGICAL SCIENCES,
Accidental Falls,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
twentieth century,other irrelevant,
hydrological change,DIVISION 05 ENVIRONMENTAL SCIENCES,
Logic,DIVISION 09 ENGINEERING,
Performance Measurement,other irrelevant,
Emotions,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,
Sitting Position,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,
social isolation,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,
treaty,DIVISION 18 LAW AND LEGAL,
Negotiating,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",
human health,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Sexual and Gender Minorities,DIVISION 16 STUDIES IN HUMAN SOCIETY,
Grassland,DIVISION 04 EARTH SCIENCES,
Ownership,DIVISION 18 LAW AND LEGAL,
hacker,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,
Non-Randomized Controlled Trials,research related,
Percutaneous Coronary Intervention,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
paper,DIVISION 09 ENGINEERING,
anthropology,DIVISION 21 HISTORY AND ARCHAEOLOGY,
Triticum,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,
Pregnant Women,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Narcissism,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,
demographic statistics,DIVISION 16 STUDIES IN HUMAN SOCIETY,
Normative Theory,other irrelevant,
village,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,
Social Theory,DIVISION 16 STUDIES IN HUMAN SOCIETY,
Industrial Design,DIVISION 09 ENGINEERING,
labor,DIVISION 16 STUDIES IN HUMAN SOCIETY,
language policy,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",
Safety,DIVISION 16 STUDIES IN HUMAN SOCIETY,
Drought,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,
Case Management,research related,
television,DIVISION 09 ENGINEERING,
Immunization,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,
political participation,DIVISION 16 STUDIES IN HUMAN SOCIETY,
Macular Degeneration,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Village,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,
economic geography,DIVISION 14 ECONOMICS,
flexibility,other irrelevant,
student teacher,DIVISION 13 EDUCATION,
Relationship Commitment,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",
Neoliberalism,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",
Fatigue of materials,DIVISION 09 ENGINEERING,
Environmental Health,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
athletes,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
retirement age,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",
Diary,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
environmental factors,research related,
Chromosome Mapping,DIVISION 06 BIOLOGICAL SCIENCES,
Cost-Benefit Analysis,DIVISION 14 ECONOMICS,
Chronic Pain,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Income Poverty,DIVISION 16 STUDIES IN HUMAN SOCIETY,
Venous Thromboembolism,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
currency,DIVISION 14 ECONOMICS,
Epidemiology,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Interoperability,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,
Controllers,DIVISION 09 ENGINEERING,
Minerals,DIVISION 04 EARTH SCIENCES,
Carbon Monoxide,DIVISION 03 CHEMICAL SCIENCES,
measuring,other irrelevant,
Cluster Analysis,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,
Automobiles,DIVISION 09 ENGINEERING,
Cyber Physical System,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,
Soils,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,
Sales,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",
Social Environment,DIVISION 16 STUDIES IN HUMAN SOCIETY,
Iraq,other irrelevant,
Positioning,research related,
firm,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",
predators,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,
low income,DIVISION 14 ECONOMICS,
Disaster,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
school education,DIVISION 13 EDUCATION,
private sector,DIVISION 16 STUDIES IN HUMAN SOCIETY,
young adult,DIVISION 13 EDUCATION,
Antennas,DIVISION 10 TECHNOLOGY,
Skills,other irrelevant,
Respect,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",
Delivery of Health Care,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
incubation,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,
Modeling,research related,
Groundwater,DIVISION 04 EARTH SCIENCES,
retapamulin,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Nutrition Policy,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
psychology student,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,
constructivism,other irrelevant,
political attitude,DIVISION 16 STUDIES IN HUMAN SOCIETY,
Resistance Training,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Cultural Diversity,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",
Family Business,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",
health practitioners,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Nursing Models,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Tensors,DIVISION 01 MATHEMATICAL SCIENCES,
Disease Management,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Deliberative Democracy,DIVISION 16 STUDIES IN HUMAN SOCIETY,
Acceleration,DIVISION 02 PHYSICAL SCIENCES,
Microsimulation,research related,
Intention,other irrelevant,
sports science,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Pediatrics,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Information Modeling,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,
Mucosal Immunity,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Forestry,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,
Monitoring,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,
time,other irrelevant,
Occupational Health,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Meals,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
glycohemoglobin,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Confusion,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,
Census,DIVISION 16 STUDIES IN HUMAN SOCIETY,
pain,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Mitochondrial Genome,DIVISION 06 BIOLOGICAL SCIENCES,
Hospitalization,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Body Weight,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
benchmarking,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,
Iron,DIVISION 04 EARTH SCIENCES,
Interpersonal Relations,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",
Methodology,other irrelevant,
genetic variation,DIVISION 06 BIOLOGICAL SCIENCES,
police,DIVISION 18 LAW AND LEGAL,
Eye,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
social inequality,DIVISION 16 STUDIES IN HUMAN SOCIETY,
legal system,DIVISION 18 LAW AND LEGAL,
Blood Platelets,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Labor,DIVISION 16 STUDIES IN HUMAN SOCIETY,
environmental policy,DIVISION 05 ENVIRONMENTAL SCIENCES,
Older People,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Anxiety,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,
Administrative Personnel,DIVISION 16 STUDIES IN HUMAN SOCIETY,
Clinical Practice,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
curriculum development,DIVISION 13 EDUCATION,
storage conditions,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,
cultural difference,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",
Qualitative Study,research related,
dialect,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",
gene flow,DIVISION 06 BIOLOGICAL SCIENCES,
Poetry,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,
Acetaminophen,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
privilege,DIVISION 16 STUDIES IN HUMAN SOCIETY,
public administration,DIVISION 16 STUDIES IN HUMAN SOCIETY,
drying,DIVISION 05 ENVIRONMENTAL SCIENCES,
information and communication technology,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,
Heart,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Parastacidae,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,
regulation,DIVISION 18 LAW AND LEGAL,
Linkage,DIVISION 06 BIOLOGICAL SCIENCES,
Organic carbon,DIVISION 03 CHEMICAL SCIENCES,
Wine,DIVISION 09 ENGINEERING,
Fruit,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,
Emergency,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Electroencephalography,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Interferons,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
friendship,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",
Public Services,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",
profession,other irrelevant,
confidence,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,
invertebrate,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,
travel,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",
resource management,DIVISION 05 ENVIRONMENTAL SCIENCES,
Populism,DIVISION 16 STUDIES IN HUMAN SOCIETY,
Globalization,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",
Olympic Games,research related,
Noise,DIVISION 02 PHYSICAL SCIENCES,
social capital,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",
Muslims,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES,
Assemblages,other irrelevant,
Weight Gain,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Alcohol Drinking,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
cluster analysis,research related,
Criminal Justice,DIVISION 18 LAW AND LEGAL,
Policy Making,DIVISION 16 STUDIES IN HUMAN SOCIETY,
mythology,DIVISION 21 HISTORY AND ARCHAEOLOGY,
airport,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",
Communicable Diseases,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Community Engagement,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",
Classifiers,other irrelevant,
habitats,DIVISION 05 ENVIRONMENTAL SCIENCES,
Confidence Intervals,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,
river system,DIVISION 04 EARTH SCIENCES,
modernity,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",
community service,DIVISION 16 STUDIES IN HUMAN SOCIETY,
Electric Impedance,DIVISION 02 PHYSICAL SCIENCES,
Unemployment,DIVISION 16 STUDIES IN HUMAN SOCIETY,
mouth,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Visual Fields,DIVISION 02 PHYSICAL SCIENCES,
family,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
Machine Learning,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,
Hospital Costs,DIVISION 11 MEDICAL AND HEALTH SCIENCES,
fish,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,
coal,DIVISION 04 EARTH SCIENCES,
rural area,DIVISION 12 BUILT ENVIRONMENT AND DESIGN,
Public-private Partnerships,DIVISION 16 STUDIES IN HUMAN SOCIETY,
Suppliers,DIVISION 09 ENGINEERING,
