Tags,cate_1,cate_2,cate_3
resilience,DIVISION 11 MEDICAL AND HEALTH SCIENCES,DIVISION 02 PHYSICAL SCIENCES,DIVISION 06 BIOLOGICAL SCIENCES
restoration,DIVISION 12 BUILT ENVIRONMENT AND DESIGN,,
roads,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",,
safety,DIVISION 23 OTHERS(RELEVANT),,
sampling,DIVISION 23 OTHERS(RELEVANT),,
sanitation,DIVISION 11 MEDICAL AND HEALTH SCIENCES,,
sea level,DIVISION 04 EARTH SCIENCES,,
search engine,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,,
sediments,DIVISION 04 EARTH SCIENCES,,
semantics,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",,
sex chromosomes,DIVISION 11 MEDICAL AND HEALTH SCIENCES,DIVISION 06 BIOLOGICAL SCIENCES,
simulation,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,DIVISION 09 ENGINEERING,DIVISION 10 TECHNOLOGY
snow,DIVISION 04 EARTH SCIENCES,,
social change,DIVISION 16 STUDIES IN HUMAN SOCIETY,DIVISION 21 HISTORY AND ARCHAEOLOGY,
