word,cate1,cate2,cate3
chronic obstructive pulmonary disease,11 MEDICAL AND HEALTH SCIENCES,,
citizens' participation,16 STUDIES IN HUMAN SOCIETY,,
civil society,16 STUDIES IN HUMAN SOCIETY,21 HISTORY AND ARCHAEOLOGY,
clay,03 CHEMICAL SCIENCES,,
climate,04 EARTH SCIENCES,,
clinical competence,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
clinical studies,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
cloud computing,08 INFORMATION AND COMPUTING SCIENCES,10 TECHNOLOGY,
cloud computing,08 INFORMATION AND COMPUTING SCIENCES,10 TECHNOLOGY,
cluster analysis,08 INFORMATION AND COMPUTING SCIENCES,,
coaching,24 OTHERS(IRRELEVANT),,
coalition,24 OTHERS(IRRELEVANT),,
cognitive impairment,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
cohort,24 OTHERS(IRRELEVANT),,
collective decision,16 STUDIES IN HUMAN SOCIETY,21 HISTORY AND ARCHAEOLOGY,
colonization,21 HISTORY AND ARCHAEOLOGY,,
commitment,24 OTHERS(IRRELEVANT),,
commodity,14 ECONOMICS,21 HISTORY AND ARCHAEOLOGY,18 LAW AND LEGAL STUDIES
commonwealth of nations,24 OTHERS(IRRELEVANT),,
community development,16 STUDIES IN HUMAN SOCIETY,,
community health services,16 STUDIES IN HUMAN SOCIETY,11 MEDICAL AND HEALTH SCIENCES,
community structure,16 STUDIES IN HUMAN SOCIETY,,
comorbidity,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
composite materials,03 CHEMICAL SCIENCES,,
computer simulation,08 INFORMATION AND COMPUTING SCIENCES,10 TECHNOLOGY,
conceptual framework,23 OTHERS(RELEVANT),,
conditioning (psychology),11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
conflict of interest,24 OTHERS(IRRELEVANT),,
conservation,24 OTHERS(IRRELEVANT),,
conservation,24 OTHERS(IRRELEVANT),,
constitution,18 LAW AND LEGAL STUDIES,21 HISTORY AND ARCHAEOLOGY,
constitutional state,18 LAW AND LEGAL STUDIES,21 HISTORY AND ARCHAEOLOGY,
construction industry,12 BUILT ENVIRONMENT AND DESIGN,,
consumer health,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
contamination,05 ENVIRONMENTAL SCIENCES,,
contemporary poetry,20 LANGUAGE COMMUNICATION AND CULTURE,19 STUDIES IN CREATIVE ARTS AND WRITING,
context,19 STUDIES IN CREATIVE ARTS AND WRITING,20 LANGUAGE COMMUNICATION AND CULTURE,08 INFORMATION AND COMPUTING SCIENCES
continuity of patient care,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
convention,24 OTHERS(IRRELEVANT),,
conventional,24 OTHERS(IRRELEVANT),,
conversation,24 OTHERS(IRRELEVANT),,
cooking,24 OTHERS(IRRELEVANT),,
copper,03 CHEMICAL SCIENCES,,03 CHEMICAL SCIENCES
corporate governance,24 OTHERS(IRRELEVANT),,
corporation,24 OTHERS(IRRELEVANT),,
corruption,18 LAW AND LEGAL STUDIES,08 INFORMATION AND COMPUTING SCIENCES,"20 LANGUAGE, COMMUNICATION AND CULTURE"
cost,24 OTHERS(IRRELEVANT),,
cost of illness,11 MEDICAL AND HEALTH SCIENCES,,
cost-benefit analysis,23 OTHERS(RELEVANT),,
counterfeit drugs,11 MEDICAL AND HEALTH SCIENCES,,
creative arts,19 STUDIES IN CREATIVE ARTS AND WRITING,20 LANGUAGE COMMUNICATION AND CULTURE,
creative work,19 STUDIES IN CREATIVE ARTS AND WRITING,20 LANGUAGE COMMUNICATION AND CULTURE,
creativity,19 STUDIES IN CREATIVE ARTS AND WRITING,20 LANGUAGE COMMUNICATION AND CULTURE,
creativity,19 STUDIES IN CREATIVE ARTS AND WRITING,20 LANGUAGE COMMUNICATION AND CULTURE,
credit,24 OTHERS(IRRELEVANT),,
crime,16 STUDIES IN HUMAN SOCIETY,,
criminal law,16 STUDIES IN HUMAN SOCIETY,18 LAW AND LEGAL STUDIES,
critical success factors,23 OTHERS(RELEVANT),,
criticism,19 STUDIES IN CREATIVE ARTS AND WRITING,,
criticism,19 STUDIES IN CREATIVE ARTS AND WRITING,,
cross-cultural communication,19 STUDIES IN CREATIVE ARTS AND WRITING,,
cues,24 OTHERS(IRRELEVANT),,
cultural change,19 STUDIES IN CREATIVE ARTS AND WRITING,21 HISTORY AND ARCHAEOLOGY,
cultural diversity,19 STUDIES IN CREATIVE ARTS AND WRITING,21 HISTORY AND ARCHAEOLOGY,
cultural studies,19 STUDIES IN CREATIVE ARTS AND WRITING,,
customer satisfaction,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
cytochrome,06 BIOLOGICAL SCIENCES,10 TECHNOLOGY,
data analysis,08 INFORMATION AND COMPUTING SCIENCES,,
death,24 OTHERS(IRRELEVANT),,
decentralization,16 STUDIES IN HUMAN SOCIETY,21 HISTORY AND ARCHAEOLOGY,
decision,23 OTHERS(RELEVANT),,
decision making,23 OTHERS(RELEVANT),,
decision support systems,08 INFORMATION AND COMPUTING SCIENCES,09 ENGINEERING,10 TECHNOLOGY
decision support techniques,08 INFORMATION AND COMPUTING SCIENCES,09 ENGINEERING,10 TECHNOLOGY
decomposition,23 OTHERS(RELEVANT),,
deliberation,16 STUDIES IN HUMAN SOCIETY,21 HISTORY AND ARCHAEOLOGY,
democratic institutions,16 STUDIES IN HUMAN SOCIETY,21 HISTORY AND ARCHAEOLOGY,
depression,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
design of experiments,23 OTHERS(RELEVANT),,
development policy,16 STUDIES IN HUMAN SOCIETY,21 HISTORY AND ARCHAEOLOGY,
devolution,16 STUDIES IN HUMAN SOCIETY,21 HISTORY AND ARCHAEOLOGY,
diagnostic imaging,11 MEDICAL AND HEALTH SCIENCES,,
dichotomy,01 MATHEMATICAL SCIENCES,,
diet,11 MEDICAL AND HEALTH SCIENCES,,
dietary supplements,11 MEDICAL AND HEALTH SCIENCES,,
digital forensics,10 TECHNOLOGY,08 INFORMATION AND COMPUTING SCIENCES,
digital media,10 TECHNOLOGY,08 INFORMATION AND COMPUTING SCIENCES,
digital storage,10 TECHNOLOGY,08 INFORMATION AND COMPUTING SCIENCES,
digitalization,10 TECHNOLOGY,08 INFORMATION AND COMPUTING SCIENCES,
diploidy,06 BIOLOGICAL SCIENCES,,06 BIOLOGICAL SCIENCES
direction compound,03 CHEMICAL SCIENCES,,
disability,11 MEDICAL AND HEALTH SCIENCES,,
disability insurance,11 MEDICAL AND HEALTH SCIENCES,16 STUDIES IN HUMAN SOCIETY,18 LAW AND LEGAL STUDIES
disabled children,11 MEDICAL AND HEALTH SCIENCES,,
disasters,04 EARTH SCIENCES,,
discrimination,17 PSYCHOLOGY AND COGNITIVE SCIENCES,16 STUDIES IN HUMAN SOCIETY,21 HISTORY AND ARCHAEOLOGY
disposition,05 ENVIRONMENTAL SCIENCES,,
dispute,24 OTHERS(IRRELEVANT),,
distribution,23 OTHERS(RELEVANT),,
divergence,23 OTHERS(RELEVANT),,
documentation,24 OTHERS(IRRELEVANT),,
dosimetry,11 MEDICAL AND HEALTH SCIENCES,,
drama,19 STUDIES IN CREATIVE ARTS AND WRITING,,
drive,24 OTHERS(IRRELEVANT),,
driver,24 OTHERS(IRRELEVANT),,
droughts,09 ENGINEERING,,
drugs,11 MEDICAL AND HEALTH SCIENCES,,
drugs,11 MEDICAL AND HEALTH SCIENCES,,
early detection of cancer,11 MEDICAL AND HEALTH SCIENCES,,
earthquakes,04 EARTH SCIENCES,,
eating,24 OTHERS(IRRELEVANT),,
eating behavior,11 MEDICAL AND HEALTH SCIENCES,,
ecological system,06 BIOLOGICAL SCIENCES,,
ecology,06 BIOLOGICAL SCIENCES,10 TECHNOLOGY,
economic change,14 ECONOMICS,,
economic factors,14 ECONOMICS,,
economic growth,14 ECONOMICS,,
ecosystem,06 BIOLOGICAL SCIENCES,10 TECHNOLOGY,
ecosystems,06 BIOLOGICAL SCIENCES,10 TECHNOLOGY,
ecotourism,14 ECONOMICS,"15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",
edition,24 OTHERS(IRRELEVANT),,
education,13 EDUCATION,,
education,13 EDUCATION,,
education system,13 EDUCATION,,
educational reform,16 STUDIES IN HUMAN SOCIETY,,
efficiency,24 OTHERS(IRRELEVANT),,
ego,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
election campaign,16 STUDIES IN HUMAN SOCIETY,21 HISTORY AND ARCHAEOLOGY,
electronic mail,08 INFORMATION AND COMPUTING SCIENCES,10 TECHNOLOGY,
elite,24 OTHERS(IRRELEVANT),,
emancipation,16 STUDIES IN HUMAN SOCIETY,21 HISTORY AND ARCHAEOLOGY,
emergencies,24 OTHERS(IRRELEVANT),,
emergency responders,24 OTHERS(IRRELEVANT),,
emerging economies,14 ECONOMICS,,
emigration and immigration,21 HISTORY AND ARCHAEOLOGY,18 LAW AND LEGAL STUDIES,16 STUDIES IN HUMAN SOCIETY
emotion,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
empirical analysis,23 OTHERS(RELEVANT),,
empirical investigation,23 OTHERS(RELEVANT),,
employees,24 OTHERS(IRRELEVANT),,
endangered species,06 BIOLOGICAL SCIENCES,,
endangered species,06 BIOLOGICAL SCIENCES,,
energy,02 PHYSICAL SCIENCES,,
energy,02 PHYSICAL SCIENCES,,
energy conservation,02 PHYSICAL SCIENCES,,
energy efficiency,02 PHYSICAL SCIENCES,,
energy efficiency,02 PHYSICAL SCIENCES,,
energy intake,02 PHYSICAL SCIENCES,,
energy utilization,02 PHYSICAL SCIENCES,,
engineer,09 ENGINEERING,,
english language,20 LANGUAGE COMMUNICATION AND CULTURE,,
entrepreneur,24 OTHERS(IRRELEVANT),,
entropy,02 PHYSICAL SCIENCES,,
environmental change,05 ENVIRONMENTAL SCIENCES,,
environmental governance,05 ENVIRONMENTAL SCIENCES,,
environmental issues,05 ENVIRONMENTAL SCIENCES,,
environmental policy,05 ENVIRONMENTAL SCIENCES,18 LAW AND LEGAL STUDIES,
environmental sustainability,05 ENVIRONMENTAL SCIENCES,,
epistemology,16 STUDIES IN HUMAN SOCIETY,,
equality,23 OTHERS(RELEVANT),,
equipment and supplies,24 OTHERS(IRRELEVANT),,
equity,23 OTHERS(RELEVANT),,
equity,23 OTHERS(RELEVANT),,
estuary,04 EARTH SCIENCES,,
ethiopia,24 OTHERS(IRRELEVANT),,
ethnic group,16 STUDIES IN HUMAN SOCIETY,21 HISTORY AND ARCHAEOLOGY,
eu,24 OTHERS(IRRELEVANT),,
evaluation studies,23 OTHERS(RELEVANT),,
evidence,24 OTHERS(IRRELEVANT),,
exanthema,11 MEDICAL AND HEALTH SCIENCES,,
exercise equipment,11 MEDICAL AND HEALTH SCIENCES,,
exercise test,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
experiential knowledge,23 OTHERS(RELEVANT),,
expertise,24 OTHERS(IRRELEVANT),,
expropriation,23 OTHERS(RELEVANT),,
extinction,06 BIOLOGICAL SCIENCES,,
fabrication,03 CHEMICAL SCIENCES,09 ENGINEERING,
facilitation,23 OTHERS(RELEVANT),,
factor analysis,23 OTHERS(RELEVANT),,
fairness,23 OTHERS(RELEVANT),,
family,24 OTHERS(IRRELEVANT),,
fan,24 OTHERS(IRRELEVANT),,
farmers,07 AGRICULTURAL AND VETERINARY SCIENCES,,
farming system,07 AGRICULTURAL AND VETERINARY SCIENCES,,
farming systems,07 AGRICULTURAL AND VETERINARY SCIENCES,,
fast foods,09 ENGINEERING,,
father,24 OTHERS(IRRELEVANT),,
fatigue,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
fauna,06 BIOLOGICAL SCIENCES,,
feasibility studies,23 OTHERS(RELEVANT),,
federal budget,18 LAW AND LEGAL STUDIES,,
federal police,24 OTHERS(IRRELEVANT),,
feminism,16 STUDIES IN HUMAN SOCIETY,,
femtocell,06 BIOLOGICAL SCIENCES,,
festival,20 LANGUAGE COMMUNICATION AND CULTURE,,
financial literacy,14 ECONOMICS,,
fire management,05 ENVIRONMENTAL SCIENCES,,
firefighters,05 ENVIRONMENTAL SCIENCES,,
fish oils,09 ENGINEERING,,
fitness,11 MEDICAL AND HEALTH SCIENCES,,
floodplain,04 EARTH SCIENCES,,
floodplains,04 EARTH SCIENCES,,
folic acid,03 CHEMICAL SCIENCES,,
food preferences,23 OTHERS(RELEVANT),,
food security,09 ENGINEERING,,
food supply,23 OTHERS(RELEVANT),,
food webs,06 BIOLOGICAL SCIENCES,,
foods,09 ENGINEERING,,
foot,06 BIOLOGICAL SCIENCES,,
foreign language,20 LANGUAGE COMMUNICATION AND CULTURE,,
forensic genetics,11 MEDICAL AND HEALTH SCIENCES,10 TECHNOLOGY,
forestry,04 EARTH SCIENCES,06 BIOLOGICAL SCIENCES,
forests,04 EARTH SCIENCES,,
formicidae,06 BIOLOGICAL SCIENCES,,
fossil fuels,02 PHYSICAL SCIENCES,,
framework,24 OTHERS(IRRELEVANT),,
fresh water,04 EARTH SCIENCES,,
freshwater ecosystem,04 EARTH SCIENCES,06 BIOLOGICAL SCIENCES,
fuzzy inference,01 MATHEMATICAL SCIENCES,,
fuzzy rules,01 MATHEMATICAL SCIENCES,,
gadiformes,06 BIOLOGICAL SCIENCES,,
gadopsis,06 BIOLOGICAL SCIENCES,,
gait,11 MEDICAL AND HEALTH SCIENCES,,
galaxias,09 ENGINEERING,,
gambling,16 STUDIES IN HUMAN SOCIETY,,
garden,07 AGRICULTURAL AND VETERINARY SCIENCES,,
gases,03 CHEMICAL SCIENCES,,
gastrointestinal microbiome,06 BIOLOGICAL SCIENCES,10 TECHNOLOGY,11 MEDICAL AND HEALTH SCIENCES
gastrointestinal tract,06 BIOLOGICAL SCIENCES,10 TECHNOLOGY,11 MEDICAL AND HEALTH SCIENCES
gekkonidae,06 BIOLOGICAL SCIENCES,,
gender,06 BIOLOGICAL SCIENCES,,
gender equality,16 STUDIES IN HUMAN SOCIETY,,
gene,06 BIOLOGICAL SCIENCES,10 TECHNOLOGY,
generation y,10 TECHNOLOGY,,
genes,10 TECHNOLOGY,,
genetic diversity,06 BIOLOGICAL SCIENCES,10 TECHNOLOGY,
genetic markers,06 BIOLOGICAL SCIENCES,10 TECHNOLOGY,
genetic structure,06 BIOLOGICAL SCIENCES,10 TECHNOLOGY,
genome,06 BIOLOGICAL SCIENCES,10 TECHNOLOGY,17 PSYCHOLOGY AND COGNITIVE SCIENCES
genomics,06 BIOLOGICAL SCIENCES,10 TECHNOLOGY,
geographic information systems,04 EARTH SCIENCES,08 INFORMATION AND COMPUTING SCIENCES,
geology,04 EARTH SCIENCES,,
germany,24 OTHERS(IRRELEVANT),,
global burden of disease,11 MEDICAL AND HEALTH SCIENCES,,
global health,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
god,22 PHILOSOPHY AND RELIGIOUS STUDIES,,
governance,23 OTHERS(RELEVANT),,
governance system,16 STUDIES IN HUMAN SOCIETY,,
government,16 STUDIES IN HUMAN SOCIETY,,
government agency,16 STUDIES IN HUMAN SOCIETY,,
government policy,16 STUDIES IN HUMAN SOCIETY,,
grassland,04 EARTH SCIENCES,06 BIOLOGICAL SCIENCES,
grasslands,07 AGRICULTURAL AND VETERINARY SCIENCES,,
grazing,07 AGRICULTURAL AND VETERINARY SCIENCES,,
green space,07 AGRICULTURAL AND VETERINARY SCIENCES,,
grief,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
grounded theory,23 OTHERS(RELEVANT),,
group cohesion,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
grouping,23 OTHERS(RELEVANT),,
growth,24 OTHERS(IRRELEVANT),,
gryllidae,06 BIOLOGICAL SCIENCES,,
habitat,04 EARTH SCIENCES,,
habitat fragmentation,04 EARTH SCIENCES,,
habitat use,04 EARTH SCIENCES,,
habits,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
handwriting,24 OTHERS(IRRELEVANT),,
happiness,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
hazards,24 OTHERS(IRRELEVANT),,
health behavior,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
health care,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
health care costs,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
health education,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
health expenditures,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
health personnel,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
health policy,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
health professionals,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
health promotion,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
health service,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
health services,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
health services needs and demand,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
healthy aging,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
healthy diet,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
heating,02 PHYSICAL SCIENCES,,
heat-shock response,11 MEDICAL AND HEALTH SCIENCES,,
helping behavior,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
hemodynamics,11 MEDICAL AND HEALTH SCIENCES,,
hermeneutics,23 OTHERS(RELEVANT),,
heterogeneous networks,10 TECHNOLOGY,,
heuristics,23 OTHERS(RELEVANT),,
high-intensity interval training,11 MEDICAL AND HEALTH SCIENCES,,
highlands,04 EARTH SCIENCES,,
history,13 EDUCATION,21 HISTORY AND ARCHAEOLOGY,
holocene,06 BIOLOGICAL SCIENCES,,
homelessness,16 STUDIES IN HUMAN SOCIETY,,
homicide,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
honey,09 ENGINEERING,,
honor,24 OTHERS(IRRELEVANT),,
hospital information systems,11 MEDICAL AND HEALTH SCIENCES,,
household,24 OTHERS(IRRELEVANT),,
households,24 OTHERS(IRRELEVANT),,
human being,06 BIOLOGICAL SCIENCES,,
human rights,16 STUDIES IN HUMAN SOCIETY,,
hypoxia,11 MEDICAL AND HEALTH SCIENCES,,
ice,04 EARTH SCIENCES,06 BIOLOGICAL SCIENCES,
ideologies,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
image quality,08 INFORMATION AND COMPUTING SCIENCES,,
immigrant,16 STUDIES IN HUMAN SOCIETY,18 LAW AND LEGAL STUDIES,21 HISTORY AND ARCHAEOLOGY
