ATM ID,Category,Description,Title,_id
AusAID002/04,Education and Training Services,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender",Phillipines Human Resource Development Facility,6162aa1fe1b7f5c73e6fdfda
DFAT04/070035,Engineering and Research and Technology Based Services,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender.",Facilities Management - Technical Drawing Office,6162aa1fe1b7f5c73e6fdfdb
RFT 116 / 0304,Management advisory services,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender.",Evaluate the Impact of Accreditation...,6162aa1fe1b7f5c73e6fdfdc
SA02/0304,Management advisory services,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender.",Review of Aboriginal Drug and Alcohol Council (ADA,6162aa1fe1b7f5c73e6fdfdd
2004/1027521/1,Specialised educational services,External Evaluation of Avionics and Aircraft Trades Training Delivered at the RAAF School of Technical Training,Procurement of Services,6162aa1fe1b7f5c73e6fdfde
DEST5285,Education and Training Services,Management of Endeavour Language Teacher Fellowships,Endeavour Language Teacher Fellowships Programme,6162aa1fe1b7f5c73e6fdfdf
159 / 0304,Management advisory services,Review for the National Diabetes Services Scheme,Review for the National Diabetes Services Scheme,6162aa1fe1b7f5c73e6fdfe0
DEST5108,Education and Training Services,"A review of the current quality and status of teaching and learning of music in Australian government and non-government schools, including an identification of the factors that affect the quality and status of teaching and learning of school music.",National Review of School Music Education,6162aa1fe1b7f5c73e6fdfe1
ROP 01/2004,Environmental Services,Provision of Environmental Services on behalf of the Australian Government in the external Commonwealth Territories of Chrismtas Island and the Cocos (Keeling) Islands,Environmental Service Provision - Indian Ocean Territories,6162aa1fe1b7f5c73e6fdfe2
FIN04/1119,Management advisory services,Appointment of a panel to provide a range of private financing advisory services to both the Department of Finance and Administration and other Australian Government departments and agencies interested in using this procurement method.,Private Financing Advisory Services Panel,6162aa1fe1b7f5c73e6fdfe3
158 / 0304,Management advisory services,Analysis of Service Activity Reporting for Australian Government funded Aboriginal and Torres Strait Islander primary health care services,Analysis of Service Activity Reporting for Australian Government funded Aboriginal and Torres Strait Islander primary health care services,6162aa1fe1b7f5c73e6fdfe4
RFTG04/0001,Healthcare Services,Centrelink requires a suitably qualified organisation to provide professional counselling services.,EMPLOYEE COUNSELLING SERVICES,6162aa1fe1b7f5c73e6fdfe5
110/0304,Specialised educational services,Provision of IT Training Services,Provision of IT Training Services,6162aa1fe1b7f5c73e6fdfe6
153/0304,Management advisory services,Systematic Review of literature on Cardiac Rehabilitation Services for Aboriginal and Torres Strait Islander peoples,Systematic Review of literature on Cardiac Rehabilitation Services for Aboriginal and Torres Strait Islander peoples,6162aa1fe1b7f5c73e6fdfe7
163/0304,Management advisory services,External evaluation of PBAC submissions,External evaluation of PBAC submissions,6162aa1fe1b7f5c73e6fdfe8
ACON_04_16,Management advisory services,The Australian Government Information Management Office (AGIMO) is seeking to establish three panels of suitably qualified and experienced organisations to provide ongoing website management services and advice.,AGIMO - Website Management Services Panel Arrengement,6162aa1fe1b7f5c73e6fdfe9
ACON/04/10,Management advisory services,Consultancy to conduct a review of the corporate services for the Australian Government Information Management Office (AGIMO),AGIMO - Consultancy services to conduct a review of the AGIMO corporate services function,6162aa1fe1b7f5c73e6fdfea
RFT NO. 01/2004,Management advisory services,BEFR: Phase 3 Solution Development and Implementation,Provision of Solution Development and Implementation Services to the Department of Finance and Administration,6162aa1fe1b7f5c73e6fdfeb
APCM 51.04,Management advisory services,Invitation to tender for the provision of Executive Coaching Services under a panel arrangement.,ATO – Executive Coaching Services,6162aa1fe1b7f5c73e6fdfec
41/2004DEH,Environmental Services,Prioritisation of wetlands for investment.,Wetland prioritisation - decision support system development,6162aa1fe1b7f5c73e6fdfed
CSIRO 2004-008,Education and Training Services,"The purpose of the CSIRO IT Team Building and Change Management Programme is to establish the new culture for CSIRO IT by providing CSIRO IT staff with the skills to understand, manage and drive change, and to work as teams to build an effective One-CSIRO IT research support function.",CSIRO RFT 2004-008 Team Building and Change Management Programme,6162aa1fe1b7f5c73e6fdfee
CON G 188/2004,Management advisory services,"The Department of Defence is seeking to identify capable and experienced organisations, companies or consortia that have the ability to provide expertise to assist DSTO in commercialising its innovations. It is anticipated the TTAG will comprise three org",DSTO Technology Transfer Advisory Group (TTAG),6162aa1fe1b7f5c73e6fdfef
5508,Education and Training Services,"A project to support a number of pilot projects, one in each state and territory, to develop, trial and evaluate forms of partnerships between universities, system and schools.",Strategic Partnerships in Information and Communication Technology (ICT) Teacher Development,6162aa1fe1b7f5c73e6fdff0
2004/1123,Management advisory services,"Regional research project on diversity and inclusion, the  impacts on regional Communities",Regional research project: Diversity and Inclusion,6162aa1fe1b7f5c73e6fdff1
ATCAAF1,Management advisory services,Austrade is seeking an  Expression of Interest from organisations with relevant experience in developing administrative accountability frameworks in public and private sector entities.,Administrative Accountability Frameworks EOI,6162aa1fe1b7f5c73e6fdff2
CONG 194/2004,Disease prevention and control,"The Department of Defence invites suitably qualified and experienced private and public organisations to register interest for the provision of Pathology Services, for the Joint Health Support Agency.    Pathology Services will be required for Defence per",Pathology Services for the Joint Health Support Agency,6162aa1fe1b7f5c73e6fdff3
019/0405,Management advisory services,PROPOSAL TO ESTABLISH A MEDICAL RESEARCH ENDOWMENT SCHEME,PROPOSAL TO ESTABLISH A MEDICAL RESEARCH ENDOWMENT SCHEME (MRES) FOR THE NATIONAL HEALTH AND MEDICAL RESEARCH COUNCIL ( NHMRC),6162aa1fe1b7f5c73e6fdff4
21/2004,Education and Training Services,The delivery of Team Building Training Programs,Provision of Team Building Services,6162aa1fe1b7f5c73e6fdff5
CON G 204/2004,Specialised educational services,"The Department of Defence (Defence), through the Defence Business Training Centre (DBTC), is seeking to establish Standing Offer arrangements for the delivery of Finance and Business Management (FBM) training to members of the Defence organisation across",Delivery of Finance and Business Management Training Courses,6162aa1fe1b7f5c73e6fdff6
R0018,Engineering and Research and Technology Based Services,Laboratory And Technical Services For Illicit Drug Testing To The ADF,Laboratory And Technical Services For Illicit Drug Testing To The ADF,6162aa1fe1b7f5c73e6fdff7
CSIRO2004-009,Management advisory services,"CSIRO invites tenders to conduct a CSIRO National Branding, Positioning and Performance Study for its Marketing Research Program. The successful consultant may be required to undertake other phases of the research program related to the development and implementation of research such as benchmarking analysis, competitor analysis and attitude tracking programs. ",CSIRO Communications National Branding,6162aa1fe1b7f5c73e6fdff8
DAFF04YRLC,Specialised educational services,"The Australian Government Department of Agriculture, Fisheries and Forestry is seeking tenders for the development, delivery, and evaluation of the Young Rural Leaders’ Course.",Young Rural Leaders` Course,6162aa1fe1b7f5c73e6fdff9
CON-G 195-2004,Specialised educational services,The Commonwealth is seeking a service provider with relevant training development and assessment experience and/or qualifications in a competency-based training environment.,Development and Delivery of the Militray Communications Program (MCP),6162aa1fe1b7f5c73e6fdffa
DCON/04/126,Environmental Services,"The Department of Communications, Information Technology and the Arts invites suitably qualified consultants to submit a proposal for Provision of occasional heritage and conservation advice to Old Parliament House (OPH).",REQUEST FOR TENDER NO.DCON/04/126,6162aa1fe1b7f5c73e6fdffb
COOD/1499/2/0003,Engineering and Research and Technology Based Services,Product Lifecycle And Common Maintenance Management Systems.,Product Lifecycle And Common Maintenance Management Systems.,6162aa1fe1b7f5c73e6fdffc
E1-203353,Education and Training Services,Forward Deployable Biological Agent Analysis Capability,Forward Deployable Biological Agent Analysis Capability,6162aa1fe1b7f5c73e6fdffd
RFT019-HQ04,Specialised educational services,Communication and Information Systems Technology Trends Training,Subject Four Sergeant ECN 405 Technology Module and ECN 405 Manager Telecommunicatins Systems Update Course for the Defence Force School of Signals,6162aa1fe1b7f5c73e6fdffe
RFT022-HQ04,Specialised educational services,"This project seeks to use a Defence Contractor to provide Illustrator Reprographic training to selected corporals and sergeants, as a component of their trade and promotion training for the School of Military Engineering.",Provision of Illustrator Reprographic Trade Training,6162aa1fe1b7f5c73e6fdfff
APCM 132.04,Specialised educational services,Professional Development and Education Services to be provided under a Deed of Agreement.,ATO - Professional Development & Education Services,6162aa1fe1b7f5c73e6fe000
RFTS04/0781,Management advisory services,Centrelink seeks tenders from suitably qualified organisations to provide cultural mapping service to its offices across Australia.  Centrelink seeks to engage a consultant for a three year period under a standing offer arrangement. ,Request for tender for provision of cultural mapping service,6162aa1fe1b7f5c73e6fe001
DCA 014/2004,Education and Training Services,"        A project to raise awareness about  Indigenous Intellectual Property has been developed by the Cultural Ministers’  Council, as part of the Council of Australian Governments’ (COAG)  Reconciliation Framework. The project recognises Indigenous people as the  custodians of their cultural heritage and promotes greater respect and  responsibility in the dissemination of Indigenous stories, art works and  cultural knowledge. The project will educate people about copyright and moral  rights that apply to the publication and reproduction of Indigenous cultural  expressions. It will also improve understandings between commercial business  operators and Indigenous communities.             ",Development of an Indigenous Intellectual Property Toolkit for the Cultural Ministers’ Council,6162aa1fe1b7f5c73e6fe002
RFTS04/0806,Specialised educational services,Development of Self Paced Learning and Assessment Resources on a Standing Offer Arrangement,Provision of Services to Develop Self Paced Learning and Assessment Resources on a Standing Offer Arrangement,6162aa1fe1b7f5c73e6fe003
RFT 2004/1076317/1,Specialised educational services,"Develop curricula and associated courseware, then deliver training to Air Force Safety Advisers and Safety Coordinators.",Provision of services to develop and deliver Occupational Health and Safety courses,6162aa1fe1b7f5c73e6fe004
053/0405,Management advisory services,Provision of Management Services for the Relocation of Staff and Equipment,Provision of Management Services for the Relocation of Staff and Equipment,6162aa1fe1b7f5c73e6fe005
APCM 28.05,Management advisory services,Provision of Complex Academic Research Services for the Tax Office.,Provision of Complex Academic Research Services for the Tax Office.,6162aa1fe1b7f5c73e6fe006
APCM 104.03.10,Management advisory services,Performance Audit - Fraud Planning.,ATO –Performance Audit – Fraud Planning process,6162aa1fe1b7f5c73e6fe007
APCM 104.03.09,Management advisory services,Performance Audit Strategic IT Governance,ATO –Performance Audit Strategic IT Governance,6162aa1fe1b7f5c73e6fe008
IA04/00498,Education and Training Services,Invest Australia - the Australian Government`s inward investment agency - is seeking to appoint a training provider to develop and deliver the Winning Investment for Australia training program.   ,Training Program - Winning Investment for Australia,6162aa1fe1b7f5c73e6fe009
PMC2004/0035,Management advisory services,Provision of IT Security Assessment Review Services,PROVISION OF IT SECURITY ASSESSMENT REVIEW SERVICES,6162aa1fe1b7f5c73e6fe00a
Expression of Interest 04/49,Education and Training Services,BSG within the Department of Immigration and Multicultural and Indigenous Affairs (DIMIA) is seeking Expressions of Interest (EOI) from providers of managed training services (MTS).,Managed Training Service Providers,6162aa1fe1b7f5c73e6fe00b
24/2004,Specialised educational services,The Australian Federal Police (AFP) is seeking proposals for the provision of Team Leader Development Training,Provision of Team Leader Development Training,6162aa1fe1b7f5c73e6fe00c
RFP 2004/3136,Management advisory services,Provision of a Report recommending an Identity Management Strategy for Geoscience Australia computing environment,Provision of a Report recommending an Identity Management Strategy for Geoscience Australia,6162aa1fe1b7f5c73e6fe00d
DEST6587,Education and Training Services,The forum will showcase and explore values in Australian schools,Values Education National Forum 2005,6162aa1fe1b7f5c73e6fe00e
DEST5129,Education and Training Services,"The Department of Education, Science and Training wishes to contract  for the delivery of up to 50 regional conferences for parents about gifted and talented education which will help support parents in regional areas of Australia",Delivery of Regional Conferences for Parents about Gifted and Talented Education,6162aa1fe1b7f5c73e6fe00f
Notice 04-1-4,Engineering and Research and Technology Based Services,Austrade US Government Procurement Seminars – ICT & Homeland Security.  Austrade will hold a seminar series in Australia to highlight the opportunities and challenges of selling technology and homeland security solutions to the US Government.,Business opportunities in the US Government Market,6162aa1fe1b7f5c73e6fe010
COO-MSB/1609/2/1,Education and Training Services,"Analysis, Design And Development of Training Packages For SDSS Version 4 MIMS Maintenance Module (MMM) Training","Analysis, Design And Development of Training Packages For SDSS Version 4 MIMS Maintenance Module (MMM) Training",6162aa1fe1b7f5c73e6fe011
6595,Education and Training Services,"Values education website and curriculum resources, 2004-2005","Values education website and curriculum resources, 2004-2005",6162aa1fe1b7f5c73e6fe012
RFT CRS07/04,Management advisory services,"COMPLEX PROCUREMENT SERVICES, ADVICE AND SUPPORT FOR CRS AUSTRALIA","THE PROVISION OF COMPLEX PROCUREMENT SERVICES, ADVICE AND SUPPORT FOR CRS AUSTRALIA",6162aa1fe1b7f5c73e6fe013
ABS FM 09/04,Specialised educational services,PROVISION OF A CENSUS FIELD STAFF TRAINING VIDEO FOR THE AUSTRALIAN BUREAU OF STATISTICS,EXPRESSION OF INTEREST,6162aa1fe1b7f5c73e6fe014
DMO/MPP/DTD/RFT04/02,Education and Training Services,"The Defence Materiel Organisation (DMO) seeks proposals from education and training providers (including universities, vocational education and training institutions and registered training providers) to work in partnership with the organisation to design",Provision of Business Acumen Training,6162aa1fe1b7f5c73e6fe015
PRN6634,Specialised educational services,Promotion of widespread use of Mutual Recognition Arrangements (MRAs) across Australia.,Identify good practice in achieving mutual recognition arrangements (MRAs) and develop effective strategies for promotion of widespread use of MRAs by professions across Australia.,6162aa1fe1b7f5c73e6fe016
PRN6629,Specialised educational services,Promotion of the Diploma Supplement in Australia.,Provision of strategies to promote the widespread use of the Diploma Supplement in Australia.,6162aa1fe1b7f5c73e6fe017
04/ACA 057,Management advisory services,IT Strategic Plan,Development of an IT Strategic Plan for the ACMA,6162aa1fe1b7f5c73e6fe018
100/2004DEH,Environmental Services,Repair and conserve the natural environment and ensure the sustainable use of the nation’s natural resources.,Evaluation of biodiversity outcomes,6162aa1fe1b7f5c73e6fe019
101/2004DEH,Environmental Services,Repair and conserve the natural environment and ensure the sustainable use of the nation’s natural resources.,Evaluation of governance arrangements,6162aa1fe1b7f5c73e6fe01a
102/2004DEH,Environmental Services,Repair and conserve the natural environment and ensure the sustainable use of the nation’s natural resources.,Evaluation of weeds outcomes,6162aa1fe1b7f5c73e6fe01b
RFT2004/13,Management advisory services,Regional Economic Intelligence Reports’,Regional Economic Intelligence Reports,6162aa1fe1b7f5c73e6fe01c
DIMIA EOI 04/61,Management advisory services,"Expressions of Interest (EOI) are called by the Department of Immigration and Multicultural and Indigenous Affairs (DIMIA) for the prequalification of suitable individuals/firms for the supply of project management services for a program of works at the Baxter Immigration Detention Facility, at Port Augusta, South Australia.",Project Management Services,6162aa1fe1b7f5c73e6fe01d
ABS FM 18/04,Management advisory services,For the Provision of Fit-out Design and Construction Works Services on behalf of the Australian Bureau of Statistics – ABS FM 18/04,REQUEST FOR TENDER,6162aa1fe1b7f5c73e6fe01e
6555,Education and Training Services,Development of Professional Learning Modules in Boys’ Education for Teachers  (Stage One of Success for Boys initiative),Development of Professional Learning Modules in Boys’ Education for Teachers,6162aa1fe1b7f5c73e6fe01f
105/2004 DEH,Environmental Services,Deliver a national scale on ground tender-based stewardship programme,Delivery of the Stewardship Component of the Maintaining Australia`s Biodiversity Hotspots Programme,6162aa1fe1b7f5c73e6fe020
TSSB01,Management advisory services,"The Australian Government Department of Finance and Administration (`Finance`) is conducting a two-phase selection process for the engagement of business adviser(s) for the Telstra Scoping Study and, depending on the outcome of that study, potentially a Telstra sale.",Telstra Scoping Study: Business Advisory Services,6162aa1fe1b7f5c73e6fe021
CON - G  218/2004,Specialised educational services,"The Commonwealth is seeking tenders from suitably experienced organisations or individuals to operate the ADFA Bookshop, Con (G) 218/2004.",Provision of Bookshop at the Australian Defence Force Academy,6162aa1fe1b7f5c73e6fe022
ITRIA17122004,Management advisory services,Conduct an evaluation of the National Strategic Framework for Attracting Foreign Direct Investment and its implementation by Invest Australia,Evaluation of Invest Australia and its Operations,6162aa1fe1b7f5c73e6fe023
TSYEOI 001/05,Management advisory services,"Request for expressions of  interset, MAJOR CONFERENCE ORGANISER FOR FOUR INTERNATIONAL CONFERENCES IN 2005 AND 2006  ",RFEOI MAJOR CONFERENCE ORGANISER,6162aa1fe1b7f5c73e6fe024
EMA 0003,Specialised educational services,Aims to facilitate the capture & transfer of innovative practice & disaster research outcomes across the sector. The program is seeking expressions of interest from organisations wishing to participate in the program for 2005/2006.,EMA Research & Innovation Program - Expression of Interest,6162aa1fe1b7f5c73e6fe025
NBA 01/2004,Management advisory services,One suitably qualified organisation to provide claims management services and advice to the NBA on behalf of the National Managed Fund (NMF),National Managed Fund Request for Tender Claims and Management Advice Services,6162aa1fe1b7f5c73e6fe026
DMO/MPP/DTD/RFP04/01,Education and Training Services,"The Defence Materiel Organisation (DMO) seeks proposals from education and training providers (including universities, vocational education and training institutions and registered training providers) to establish a Strategic Partnership with the DMO to d",Provision of Education and Training Services through a Strategic Partnership,6162aa1fe1b7f5c73e6fe027
DMO/MPP/DTD/RFP04-01 - AMENDME,Education and Training Services,Provision of Education and Training Services through a Strategic Partnership,Provision of Education and Training Services through a Startegic Partnership,6162aa1fe1b7f5c73e6fe028
EOI 2004/1163,Earth science services,"Geoscience Australia wishes to identify respondents who are willing and capable of acquiring, processing and supplying Gravity Data as per required technical specification.  ",Acquisition and Supply of Gravity Data,6162aa1fe1b7f5c73e6fe029
EOI 2004/158,Earth science services,"Geoscience Australia wishes to identify respondents who are willing and capable of acquiring, processing and supplying airborne geophysical data as per required technical specification.  ",Acquisition and Supply of Airborne Geophysical Data,6162aa1fe1b7f5c73e6fe02a
ITREE23122004,Management advisory services,Invite suitably qualified consultant or consortium to participate in an international project with the International Energy Agency (IEA).,International Energy Agency Energy Efficiency project,6162aa1fe1b7f5c73e6fe02b
7009,Specialised educational services,"providing support for up to 60 schools to demonstrate, document and evaluate innovative family-school partnerships programmes/initiatives",Services to Administer and Facilitate the Trialling in Schools of Innovative Family-School Partnership Models,6162aa1fe1b7f5c73e6fe02c
04/05-90,Management advisory services,"Airservices Australia is seeking proposals from organisations with the capability and capacity to undertake Phase 2 of the AeroBank project, which aims to define a decision information network for Australia`s aviation industry.",Consultancy Services for AeroBank Phase 2,6162aa1fe1b7f5c73e6fe02d
DPS04186,Management advisory services,DPS wishes to egage a suitably qualified Consultant to undertake an independent valuation of the Parliament House Art Collection.,Consultancy Services for the Valuation of the Parliament House Art Collection,6162aa1fe1b7f5c73e6fe02e
ITRBARFT21012005,Management advisory services,"RFT for developing and testing a methodology(ies) for measuring biotechnology`s contribution to the ecomony, and to particular industry activities.",Biotechnology`s Contribution to the Economy,6162aa1fe1b7f5c73e6fe02f
TSY RFT 001/05,Specialised educational services,"The design, development and delivery of an ethics and fraud awareness education program over the life of the Treasury Fraud Control Plan 2004-2006.","Design, development and delivery of ethics and fraud awareness education services.",6162aa1fe1b7f5c73e6fe030
TSYRFT 002/05,Specialised educational services," Treasury Wishes to Advise You That This Tender Has Been Terminated  Design and develop, in consultation with Treasury, a Security Awareness and Education Program consistent with the Protective Security Manual 2000 and Treasury`s Departmental Security Instructions, for employees of and third party providers to the Department of the Treasury.","DESIGN, DEVELOPMENT AND DELIVERY OF SECURITY AWARENESS AND EDUCATION TRAINING",6162aa1fe1b7f5c73e6fe031
9/2005DEH,Environmental Services,Development of business cases for eleven introduced marine species.  The business cases will be key inputs to inter-governmental processes to determine whether a National Control Plan (NCP) is required for each species,Preparation of business cases for the development of National Control Plans for eleven introduced marine species,6162aa1fe1b7f5c73e6fe032
APCM94.05,Management advisory services,Technical Quality Improvement advice and training services.,ATO – Provision of Technical Quality Improvement Advice and Training,6162aa1fe1b7f5c73e6fe033
DIMIA RFT 04/57,Management advisory services,The Office of the Registrar of Aboriginal Corporations (ORAC) is seeking to establish a register of pre-qualified consultants to respond to the special needs and risks of Aboriginal and Torres Strait Islander corporations.  Tenders are sought from qualified firms and individuals in the areas of:    ,"For an Australia-wide register of consultants with demonstrated expertise in a broad range of fields relevant to the functions of the Registrar, under the Aboriginal Councils and Associations Act 1976.",6162aa1fe1b7f5c73e6fe034
001/CAAR/05,Management advisory services,CAAR - Sponsorship - Expression of Interest,Council for Australian-Arab Relations - Sponsorship opportunity,6162aa1fe1b7f5c73e6fe035
APCM107.04,Management advisory services,In the November edition of the Australian Insolvency Journal The Tax Office advised that it would issue a Request for Tender (RFT) for Liquidation Services on 5 February 2005.  Unfortunately the RFT will not be issued on that date.    If you wish to be advised by email when the RFT is to be issued please advise the contact officer by email.    Note that when the RFT is available for issue it will be advertised in the next available edition of the Weekend Australian and on the AusTender site.    ,Provision of Liquidation Services,6162aa1fe1b7f5c73e6fe036
8/2005DEH,Education and Training Services,"Purpose of the Forum is to share knowledge, experience and the skills required to manage conservation incentive programs.",Provide training and facilitation for the National Conservation Incentives Forum 2005,6162aa1fe1b7f5c73e6fe037
04/ACA 060,Management advisory services,Change Management Consultancy,Change Management Consultancy for the ACA,6162aa1fe1b7f5c73e6fe038
7/2005DEH,Environmental Services,Development of up to four gene probes for introduced marine pest species.,Development of gene probes for introduced marine pest species,6162aa1fe1b7f5c73e6fe039
RFTS04/0943,Engineering and Research and Technology Based Services,Centrelink is seeking suitably qualified and experienced research practitioners and institutions to provide a high quality research consultancy service to support  the research agenda of the Fraud Control and Compliance Strategy Team  in Centrelink`s National Support Office.  ,FOR THE PROVISION OF RESEARCH CONSULTANCY AND RESEARCH SUPPORT SERVICES ON AN `AS REQUIRED` BASIS,6162aa1fe1b7f5c73e6fe03a
211/2004,Education and Training Services,"ACSC’s existing contract for the delivery of units in Communications and Staff Skills, Strategic Studies, and Command Leadership and Management will expire at the end of 2005.  ACSC will be seeking tenders for the delivery of similar academic services commencing in January 2006.Interested parties can view information about ACSC on their website at www.defence.gov.au/acsc . ACSC is presently completing a major curriculum review and while the content is anticipated to remain similar, the actual delivery methodology for these units may be altered in the new contract.  Tenderers will have the option of bidding for one, all or any combination of the units on offer.  We plan for information on the RFT to be published in The Australian newspaper, and for the RFT to be available from this website in early November 2004.  Interested parties that respond to the promulgation of the RFT will be provided with detailed packs containing a draft Statement of Work and outline Contract Arrangements.  ",Request For Tender (RFT) for academic services to the Australian Command and Staff College (ACSC) at Weston Creek in Canberra.,6162aa1fe1b7f5c73e6fe03b
NBA RFQ 003/2005,Management advisory services,The National Blood Authority (NBA) is seeking to engage a consultant to complete the Authority’s understanding of its information requirements for the period 2005-2010.,National Blood Authority Information Management Strategic Plan,6162aa1fe1b7f5c73e6fe03c
14/2005DEH,Environmental Services,Suitably qualified and experienced consultants to produce a comprehensive description of the hydrology of the Lake Eyre Basin,Lake Eyre Basin Hydrological Atlas,6162aa1fe1b7f5c73e6fe03d
FACS/04/T425,Specialised educational services,Provision of services to undertake the delivery of a series of information seminars to the Business/ Corporate sectors addressing the impact of domestic violence in the workplace.,Delivery of Information Seminars Addressing the Impact of Domestic Violence in the Workplace,6162aa1fe1b7f5c73e6fe03e
ITRTOURRFT280105,Management advisory services,"Tender for research into the demographic changes underway in Australia and in our top 10 source markets plus India, and their impact on tourism demand and supply in Australia.",Demographics of Visitors,6162aa1fe1b7f5c73e6fe03f
RFTEERFT240105,Management advisory services,To submit a proposal to collate examples of industry good practice in Critical Infrastructure Protection (CIP) into an easy to access source to stimulate the sharing of information and experiences across the energy sector,Collation and Assessment of Industry Good Practice CIP Examples in the Energy Sector,6162aa1fe1b7f5c73e6fe040
DCON/05/7,Engineering and Research and Technology Based Services,The Department is seeking tenders for a research consultancy to explore how the present methodologies might be extended or modified to reflect these new developments.  It is expected that the research will increase understanding of the complexes relationship between ICT advances and Australia’s economic progress.,DCITA - MEASURING AUSTRALIA`S PRODUCTIVITY INFORMATION ECONOMY ISSUES,6162aa1fe1b7f5c73e6fe041
AFMA IT 2005/01,Management advisory services,Consulting services for a Strategic Information Technology Review for the Australian Fisheries Management Authority,Consulting Services for a Strategic Information Technology Review for the Australian Fisheries Management Authority,6162aa1fe1b7f5c73e6fe042
T2005/3985,Management advisory services,Request for Tender relating to the provision of professional services to develop technical material as it relates to the environmental performance of heavy diesel vehicles to support a new Australian Government fuel taxation business credits measure.,Environmental Performance Criteria for Heavy Diesel Vehicles,6162aa1fe1b7f5c73e6fe043
17/2005DEH,Environmental Services,A project that develops agreed hygiene protocols for the control of diseases (particularly beak & feather disease) in Australian birds,A project that develops agreed hygiene protocols for the control of diseases (particularly beak & feather disease) in Australian birds,6162aa1fe1b7f5c73e6fe044
22/2005DEH,Environmental Services,"Consultants with expertise and experience in public policy analysis and development, parlicularly in the areas of energy, climate change, and industry regulation, development and assistance, to provide policy and technical advice",Greenhouse Challenge membership for proponents of large energy resource development projects,6162aa1fe1b7f5c73e6fe045
11/2005DEH,Environmental Services,An overview of the impacts of introduced aquarium fish species that have established wild populations in Australia.,An overview of the impacts of introduced aquarium fish species that have established wild populations in Australia.,6162aa1fe1b7f5c73e6fe046
12/2005DEH,Environmental Services,An updated overview of the impacts of introduced salmonids in Australia.,An updated overview of the impacts of introduced salmonids in Australia.,6162aa1fe1b7f5c73e6fe047
16/2005DEH,Environmental Services,"Experimental research to develop standardised diagnostic tests for beak & feather disease that allow for differentiation between prior exposure, active infection and protective immunity","Experimental research to develop standardised diagnostic tests for beak & feather disease that allow for differentiation between prior exposure, active infection and protective immunity",6162aa1fe1b7f5c73e6fe048
18/2005DEH,Environmental Services,Experimental research to obtain a better understanding of the epidmiology and transmission of Phytophthora cinnamomi,Experimental research to obtain a better understanding of the epidmiology and transmission of Phytophthora cinnamomi,6162aa1fe1b7f5c73e6fe049
