Staff ID,value,weight
Canberra00392,STUDIES IN HUMAN SOCIETY,10.18
Canberra00237,STUDIES IN HUMAN SOCIETY,10.09
Canberra00063,STUDIES IN HUMAN SOCIETY,10.08
Canberra00248,STUDIES IN HUMAN SOCIETY,10.07
Canberra00095,ENVIRONMENTAL,10.03
Canberra00094,EARTH,10.02
Canberra00419,OTHERS(IRRELEVANT),9.98
Canberra00022,BIOLOGICAL,9.97
Canberra00387,EARTH,9.91
Canberra00420,STUDIES IN HUMAN SOCIETY,9.91
Canberra00315,STUDIES IN HUMAN SOCIETY,9.72
Canberra00331,OTHERS(IRRELEVANT),9.64
Canberra00132,BIOLOGICAL,9.54
Canberra00320,OTHERS(IRRELEVANT),9.51
Canberra00360,ENVIRONMENTAL,9.5
Canberra00094,ENVIRONMENTAL,9.36
Canberra00278,MEDICAL AND HEALTH,9.36
Canberra00430,EDUCATION,9.24
Canberra00201,MEDICAL AND HEALTH,9.19
Canberra00059,STUDIES IN HUMAN SOCIETY,9.12
Canberra00087,OTHERS(IRRELEVANT),9.12
Canberra00008,OTHERS(IRRELEVANT),9.1
Canberra00216,EARTH,9.05
Canberra00360,AGRICULTURAL AND VETERINARY,8.89
Canberra00346,STUDIES IN HUMAN SOCIETY,8.87
Canberra00262,OTHERS(IRRELEVANT),8.85
Canberra00298,STUDIES IN CREATIVE ARTS AND WRITING,8.84
Canberra00249,STUDIES IN HUMAN SOCIETY,8.76
Canberra00354,STUDIES IN HUMAN SOCIETY,8.7
Canberra00190,BIOLOGICAL,8.65
Canberra00181,INFORMATION AND COMPUTING,8.64
Canberra00220,ECONOMICS,8.64
Canberra00127,OTHERS(IRRELEVANT),8.63
Canberra00044,"LANGUAGE, COMMUNICATION AND CULTURE",8.62
Canberra00304,STUDIES IN HUMAN SOCIETY,8.57
Canberra00165,STUDIES IN HUMAN SOCIETY,8.57
Canberra00181,OTHERS(IRRELEVANT),8.53
Canberra00298,INFORMATION AND COMPUTING,8.43
Canberra00430,STUDIES IN HUMAN SOCIETY,8.35
Canberra00401,STUDIES IN HUMAN SOCIETY,8.32
Canberra00181,STUDIES IN CREATIVE ARTS AND WRITING,8.25
Canberra00297,ENVIRONMENTAL,8.22
Canberra00298,STUDIES IN HUMAN SOCIETY,8.21
Canberra00127,LAW AND LEGAL STUDIES,8.19
Canberra00410,STUDIES IN HUMAN SOCIETY,8.19
Canberra00369,STUDIES IN HUMAN SOCIETY,8.19
Canberra00433,LAW AND LEGAL STUDIES,8.16
Canberra00380,HISTORY AND ARCHAEOLOGY,8.15
Canberra00256,OTHERS(IRRELEVANT),8.13
Canberra00410,OTHERS(IRRELEVANT),8.12
Canberra00163,STUDIES IN HUMAN SOCIETY,8.05
Canberra00284,ENVIRONMENTAL,8.03
Canberra00026,OTHERS(IRRELEVANT),8.02
Canberra00121,STUDIES IN HUMAN SOCIETY,7.99
Canberra00243,OTHERS(IRRELEVANT),7.95
Canberra00076,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",7.92
Canberra00133,TECHNOLOGY,7.92
Canberra00428,STUDIES IN CREATIVE ARTS AND WRITING,7.89
Canberra00336,EDUCATION,7.88
Canberra00291,OTHERS(IRRELEVANT),7.83
Canberra00369,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",7.83
Canberra00357,OTHERS(IRRELEVANT),7.82
Canberra00176,MEDICAL AND HEALTH,7.78
Canberra00019,OTHERS(IRRELEVANT),7.78
Canberra00062,ENVIRONMENTAL,7.77
Canberra00336,OTHERS(IRRELEVANT),7.77
Canberra00170,BUILT ENVIRONMENT AND DESIGN,7.74
Canberra00140,STUDIES IN HUMAN SOCIETY,7.73
Canberra00049,STUDIES IN HUMAN SOCIETY,7.7
Canberra00237,EDUCATION,7.69
Canberra00077,EDUCATION,7.66
Canberra00111,STUDIES IN CREATIVE ARTS AND WRITING,7.64
Canberra00029,OTHERS(IRRELEVANT),7.62
Canberra00149,OTHERS(IRRELEVANT),7.6
Canberra00162,PSYCHOLOGY AND COGNITIVE SCIENCES,7.58
Canberra00262,ECONOMICS,7.52
Canberra00419,ECONOMICS,7.5
Canberra00079,MEDICAL AND HEALTH,7.49
Canberra00121,PSYCHOLOGY AND COGNITIVE SCIENCES,7.48
Canberra00231,EDUCATION,7.48
Canberra00080,ENVIRONMENTAL,7.47
Canberra00277,STUDIES IN HUMAN SOCIETY,7.45
Canberra00380,OTHERS(RELEVANT),7.43
Canberra00237,"LANGUAGE, COMMUNICATION AND CULTURE",7.43
Canberra00380,OTHERS(IRRELEVANT),7.4
Canberra00157,STUDIES IN HUMAN SOCIETY,7.39
Canberra00026,STUDIES IN HUMAN SOCIETY,7.37
Canberra00290,OTHERS(IRRELEVANT),7.36
Canberra00162,MEDICAL AND HEALTH,7.36
Canberra00369,LAW AND LEGAL STUDIES,7.36
Canberra00357,ECONOMICS,7.36
Canberra00022,ENVIRONMENTAL,7.31
Canberra00228,STUDIES IN HUMAN SOCIETY,7.27
Canberra00223,ENVIRONMENTAL,7.25
Canberra00162,STUDIES IN CREATIVE ARTS AND WRITING,7.23
Canberra00287,OTHERS(IRRELEVANT),7.22
Canberra00076,OTHERS(IRRELEVANT),7.22
Canberra00304,"LANGUAGE, COMMUNICATION AND CULTURE",7.19
Canberra00076,STUDIES IN HUMAN SOCIETY,7.17
Canberra00009,STUDIES IN HUMAN SOCIETY,7.16
Canberra00148,EDUCATION,7.16
Canberra00059,LAW AND LEGAL STUDIES,7.1
Canberra00026,EDUCATION,7.07
Canberra00145,TECHNOLOGY,7.05
Canberra00121,"LANGUAGE, COMMUNICATION AND CULTURE",7.04
Canberra00093,OTHERS(IRRELEVANT),7.01
Canberra00181,HISTORY AND ARCHAEOLOGY,6.99
Canberra00354,STUDIES IN CREATIVE ARTS AND WRITING,6.97
Canberra00277,OTHERS(IRRELEVANT),6.92
Canberra00336,STUDIES IN HUMAN SOCIETY,6.92
Canberra00194,OTHERS(IRRELEVANT),6.91
Canberra00145,OTHERS(RELEVANT),6.9
Canberra00309,AGRICULTURAL AND VETERINARY,6.88
Canberra00435,EARTH,6.86
Canberra00397,MEDICAL AND HEALTH,6.86
Canberra00381,OTHERS(RELEVANT),6.85
Canberra00106,OTHERS(RELEVANT),6.82
Canberra00150,OTHERS(IRRELEVANT),6.8
Canberra00123,OTHERS(IRRELEVANT),6.8
Canberra00165,OTHERS(IRRELEVANT),6.76
Canberra00317,OTHERS(IRRELEVANT),6.76
Canberra00300,EARTH,6.72
Canberra00309,STUDIES IN HUMAN SOCIETY,6.7
Canberra00121,HISTORY AND ARCHAEOLOGY,6.7
Canberra00121,INFORMATION AND COMPUTING,6.69
Canberra00419,OTHERS(RELEVANT),6.67
Canberra00343,LAW AND LEGAL STUDIES,6.62
Canberra00162,OTHERS(IRRELEVANT),6.61
Canberra00183,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",6.6
Canberra00342,OTHERS(IRRELEVANT),6.58
Canberra00281,EDUCATION,6.54
Canberra00048,MEDICAL AND HEALTH,6.52
Canberra00220,OTHERS(IRRELEVANT),6.5
Canberra00433,OTHERS(IRRELEVANT),6.48
Canberra00374,OTHERS(RELEVANT),6.46
Canberra00392,OTHERS(RELEVANT),6.45
Canberra00298,OTHERS(IRRELEVANT),6.44
Canberra00291,ENVIRONMENTAL,6.43
Canberra00156,EARTH,6.42
Canberra00298,HISTORY AND ARCHAEOLOGY,6.4
Canberra00077,OTHERS(IRRELEVANT),6.39
Canberra00034,EARTH,6.39
Canberra00195,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",6.39
Canberra00440,STUDIES IN CREATIVE ARTS AND WRITING,6.38
Canberra00281,STUDIES IN CREATIVE ARTS AND WRITING,6.37
Canberra00215,STUDIES IN CREATIVE ARTS AND WRITING,6.36
Canberra00237,OTHERS(IRRELEVANT),6.34
Canberra00291,STUDIES IN HUMAN SOCIETY,6.33
Canberra00020,STUDIES IN HUMAN SOCIETY,6.32
Canberra00095,AGRICULTURAL AND VETERINARY,6.31
Canberra00399,AGRICULTURAL AND VETERINARY,6.3
Canberra00130,MEDICAL AND HEALTH,6.29
Canberra00039,OTHERS(RELEVANT),6.28
Canberra00192,ENGINEERING,6.28
Canberra00073,OTHERS(IRRELEVANT),6.24
Canberra00286,OTHERS(IRRELEVANT),6.23
Canberra00215,"LANGUAGE, COMMUNICATION AND CULTURE",6.23
Canberra00412,CHEMICAL,6.22
Canberra00121,OTHERS(IRRELEVANT),6.21
Canberra00305,OTHERS(IRRELEVANT),6.2
Canberra00290,STUDIES IN CREATIVE ARTS AND WRITING,6.19
Canberra00315,ENVIRONMENTAL,6.19
Canberra00063,MEDICAL AND HEALTH,6.17
Canberra00290,"LANGUAGE, COMMUNICATION AND CULTURE",6.17
Canberra00334,EDUCATION,6.15
Canberra00354,"LANGUAGE, COMMUNICATION AND CULTURE",6.15
Canberra00251,ENVIRONMENTAL,6.14
Canberra00190,OTHERS(RELEVANT),6.14
Canberra00093,OTHERS(RELEVANT),6.13
Canberra00286,PSYCHOLOGY AND COGNITIVE SCIENCES,6.12
Canberra00076,EDUCATION,6.12
Canberra00087,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",6.11
Canberra00227,EDUCATION,6.1
Canberra00145,ENVIRONMENTAL,6.08
Canberra00122,OTHERS(RELEVANT),6.03
Canberra00160,EARTH,6.02
Canberra00280,EDUCATION,6.02
Canberra00412,BIOLOGICAL,6.01
Canberra00132,EARTH,6.01
Canberra00118,TECHNOLOGY,5.98
Canberra00073,HISTORY AND ARCHAEOLOGY,5.97
Canberra00170,ECONOMICS,5.96
Canberra00414,ENVIRONMENTAL,5.95
Canberra00080,OTHERS(RELEVANT),5.94
Canberra00304,STUDIES IN CREATIVE ARTS AND WRITING,5.93
Canberra00106,HISTORY AND ARCHAEOLOGY,5.91
Canberra00190,ENVIRONMENTAL,5.89
Canberra00329,OTHERS(IRRELEVANT),5.88
Canberra00374,EARTH,5.88
Canberra00252,STUDIES IN CREATIVE ARTS AND WRITING,5.87
Canberra00281,OTHERS(IRRELEVANT),5.87
Canberra00095,OTHERS(RELEVANT),5.86
Canberra00243,MEDICAL AND HEALTH,5.84
Canberra00183,STUDIES IN HUMAN SOCIETY,5.84
Canberra00270,STUDIES IN HUMAN SOCIETY,5.84
Canberra00298,"LANGUAGE, COMMUNICATION AND CULTURE",5.81
Canberra00403,OTHERS(IRRELEVANT),5.8
Canberra00305,EDUCATION,5.77
Canberra00299,OTHERS(IRRELEVANT),5.75
Canberra00210,MEDICAL AND HEALTH,5.73
Canberra00411,STUDIES IN HUMAN SOCIETY,5.73
Canberra00243,OTHERS(RELEVANT),5.72
Canberra00139,STUDIES IN HUMAN SOCIETY,5.72
Canberra00175,OTHERS(IRRELEVANT),5.72
Canberra00039,ENVIRONMENTAL,5.71
Canberra00284,TECHNOLOGY,5.7
Canberra00133,OTHERS(RELEVANT),5.7
Canberra00237,PSYCHOLOGY AND COGNITIVE SCIENCES,5.69
Canberra00213,"LANGUAGE, COMMUNICATION AND CULTURE",5.68
Canberra00219,PSYCHOLOGY AND COGNITIVE SCIENCES,5.68
Canberra00216,OTHERS(RELEVANT),5.68
Canberra00163,ENVIRONMENTAL,5.67
Canberra00111,STUDIES IN HUMAN SOCIETY,5.66
Canberra00420,HISTORY AND ARCHAEOLOGY,5.65
Canberra00094,AGRICULTURAL AND VETERINARY,5.65
Canberra00304,OTHERS(IRRELEVANT),5.65
Canberra00077,"LANGUAGE, COMMUNICATION AND CULTURE",5.64
Canberra00080,OTHERS(IRRELEVANT),5.64
Canberra00094,OTHERS(RELEVANT),5.63
Canberra00118,OTHERS(IRRELEVANT),5.62
Canberra00133,AGRICULTURAL AND VETERINARY,5.61
Canberra00130,OTHERS(IRRELEVANT),5.61
Canberra00291,EARTH,5.58
Canberra00320,MEDICAL AND HEALTH,5.56
Canberra00317,ECONOMICS,5.56
Canberra00303,OTHERS(RELEVANT),5.55
Canberra00174,OTHERS(IRRELEVANT),5.55
Canberra00070,PSYCHOLOGY AND COGNITIVE SCIENCES,5.54
Canberra00063,OTHERS(IRRELEVANT),5.53
Canberra00374,ENVIRONMENTAL,5.52
Canberra00360,OTHERS(RELEVANT),5.51
Canberra00243,STUDIES IN HUMAN SOCIETY,5.51
Canberra00357,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",5.5
Canberra00392,ECONOMICS,5.47
Canberra00093,HISTORY AND ARCHAEOLOGY,5.46
Canberra00163,MEDICAL AND HEALTH,5.45
Canberra00430,OTHERS(IRRELEVANT),5.44
Canberra00145,AGRICULTURAL AND VETERINARY,5.42
Canberra00280,PSYCHOLOGY AND COGNITIVE SCIENCES,5.41
Canberra00059,EARTH,5.4
Canberra00263,ENVIRONMENTAL,5.39
Canberra00132,AGRICULTURAL AND VETERINARY,5.38
Canberra00277,OTHERS(RELEVANT),5.38
Canberra00026,"LANGUAGE, COMMUNICATION AND CULTURE",5.37
Canberra00249,"LANGUAGE, COMMUNICATION AND CULTURE",5.32
Canberra00062,MEDICAL AND HEALTH,5.31
Canberra00231,OTHERS(IRRELEVANT),5.3
Canberra00132,ENVIRONMENTAL,5.3
Canberra00249,OTHERS(IRRELEVANT),5.28
Canberra00079,STUDIES IN HUMAN SOCIETY,5.28
Canberra00190,EARTH,5.28
Canberra00297,EARTH,5.25
Canberra00215,INFORMATION AND COMPUTING,5.25
Canberra00411,MEDICAL AND HEALTH,5.25
Canberra00278,ENGINEERING,5.23
Canberra00122,EARTH,5.23
Canberra00089,OTHERS(IRRELEVANT),5.23
Canberra00297,BIOLOGICAL,5.22
Canberra00373,OTHERS(IRRELEVANT),5.21
Canberra00273,STUDIES IN HUMAN SOCIETY,5.19
Canberra00286,"LANGUAGE, COMMUNICATION AND CULTURE",5.19
Canberra00211,STUDIES IN HUMAN SOCIETY,5.19
Canberra00411,OTHERS(IRRELEVANT),5.18
Canberra00248,OTHERS(IRRELEVANT),5.18
Canberra00056,STUDIES IN HUMAN SOCIETY,5.17
Canberra00170,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",5.16
Canberra00074,OTHERS(IRRELEVANT),5.15
Canberra00099,ENVIRONMENTAL,5.12
Canberra00309,OTHERS(RELEVANT),5.12
Canberra00381,OTHERS(IRRELEVANT),5.12
Canberra00374,STUDIES IN HUMAN SOCIETY,5.1
Canberra00018,EDUCATION,5.08
Canberra00382,OTHERS(IRRELEVANT),5.06
Canberra00291,ECONOMICS,5.06
Canberra00250,OTHERS(IRRELEVANT),5.05
Canberra00256,ECONOMICS,5.05
Canberra00213,OTHERS(RELEVANT),5.04
Canberra00087,ECONOMICS,5.02
Canberra00157,ECONOMICS,5.02
Canberra00336,OTHERS(RELEVANT),5.01
Canberra00419,MEDICAL AND HEALTH,5.01
Canberra00257,ENGINEERING,4.98
Canberra00019,LAW AND LEGAL STUDIES,4.97
Canberra00231,OTHERS(RELEVANT),4.97
Canberra00439,EDUCATION,4.96
Canberra00156,BIOLOGICAL,4.96
Canberra00298,ECONOMICS,4.95
Canberra00299,LAW AND LEGAL STUDIES,4.94
Canberra00277,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",4.94
Canberra00357,STUDIES IN HUMAN SOCIETY,4.94
Canberra00192,TECHNOLOGY,4.94
Canberra00176,PSYCHOLOGY AND COGNITIVE SCIENCES,4.93
Canberra00073,OTHERS(RELEVANT),4.92
Canberra00279,MEDICAL AND HEALTH,4.92
Canberra00165,"LANGUAGE, COMMUNICATION AND CULTURE",4.92
Canberra00115,STUDIES IN CREATIVE ARTS AND WRITING,4.91
Canberra00270,BUILT ENVIRONMENT AND DESIGN,4.9
Canberra00360,EARTH,4.89
Canberra00139,MEDICAL AND HEALTH,4.87
Canberra00098,EDUCATION,4.87
Canberra00305,OTHERS(RELEVANT),4.86
Canberra00149,OTHERS(RELEVANT),4.84
Canberra00153,AGRICULTURAL AND VETERINARY,4.82
Canberra00356,EARTH,4.81
Canberra00034,BIOLOGICAL,4.77
Canberra00145,STUDIES IN HUMAN SOCIETY,4.77
Canberra00204,BIOLOGICAL,4.75
Canberra00212,OTHERS(IRRELEVANT),4.74
Canberra00026,OTHERS(RELEVANT),4.74
Canberra00162,INFORMATION AND COMPUTING,4.73
Canberra00369,OTHERS(IRRELEVANT),4.73
Canberra00105,EDUCATION,4.72
Canberra00192,PSYCHOLOGY AND COGNITIVE SCIENCES,4.7
Canberra00106,ECONOMICS,4.7
Canberra00150,HISTORY AND ARCHAEOLOGY,4.7
Canberra00062,TECHNOLOGY,4.69
Canberra00215,STUDIES IN HUMAN SOCIETY,4.69
Canberra00257,MEDICAL AND HEALTH,4.68
Canberra00022,EARTH,4.67
Canberra00026,PSYCHOLOGY AND COGNITIVE SCIENCES,4.67
Canberra00037,PSYCHOLOGY AND COGNITIVE SCIENCES,4.67
Canberra00105,OTHERS(IRRELEVANT),4.66
Canberra00273,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",4.66
Canberra00428,STUDIES IN HUMAN SOCIETY,4.65
Canberra00162,"LANGUAGE, COMMUNICATION AND CULTURE",4.65
Canberra00277,BUILT ENVIRONMENT AND DESIGN,4.63
Canberra00010,OTHERS(IRRELEVANT),4.62
Canberra00059,ENVIRONMENTAL,4.61
Canberra00289,MEDICAL AND HEALTH,4.61
Canberra00277,ENGINEERING,4.61
Canberra00047,OTHERS(RELEVANT),4.61
Canberra00031,MEDICAL AND HEALTH,4.6
Canberra00194,PSYCHOLOGY AND COGNITIVE SCIENCES,4.59
Canberra00203,MEDICAL AND HEALTH,4.59
Canberra00035,EDUCATION,4.59
Canberra00044,STUDIES IN CREATIVE ARTS AND WRITING,4.58
Canberra00148,OTHERS(IRRELEVANT),4.58
Canberra00356,STUDIES IN HUMAN SOCIETY,4.57
Canberra00105,MEDICAL AND HEALTH,4.56
Canberra00221,ECONOMICS,4.55
Canberra00320,EDUCATION,4.5
Canberra00256,OTHERS(RELEVANT),4.49
Canberra00150,OTHERS(RELEVANT),4.48
Canberra00434,ENVIRONMENTAL,4.47
Canberra00013,PSYCHOLOGY AND COGNITIVE SCIENCES,4.45
Canberra00133,EARTH,4.45
Canberra00287,OTHERS(RELEVANT),4.44
Canberra00419,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",4.44
Canberra00008,OTHERS(RELEVANT),4.44
Canberra00356,MEDICAL AND HEALTH,4.44
Canberra00275,ENVIRONMENTAL,4.42
Canberra00407,MEDICAL AND HEALTH,4.41
Canberra00121,OTHERS(RELEVANT),4.41
Canberra00062,EARTH,4.41
Canberra00374,LAW AND LEGAL STUDIES,4.41
Canberra00176,OTHERS(IRRELEVANT),4.4
Canberra00412,EARTH,4.4
Canberra00227,OTHERS(RELEVANT),4.4
Canberra00056,INFORMATION AND COMPUTING,4.4
Canberra00329,ENVIRONMENTAL,4.39
Canberra00256,HISTORY AND ARCHAEOLOGY,4.39
Canberra00037,STUDIES IN HUMAN SOCIETY,4.38
Canberra00044,OTHERS(IRRELEVANT),4.36
Canberra00427,HISTORY AND ARCHAEOLOGY,4.36
Canberra00373,EDUCATION,4.35
Canberra00130,STUDIES IN HUMAN SOCIETY,4.35
Canberra00369,ECONOMICS,4.35
Canberra00118,STUDIES IN HUMAN SOCIETY,4.34
Canberra00300,STUDIES IN HUMAN SOCIETY,4.34
Canberra00337,OTHERS(IRRELEVANT),4.34
Canberra00210,OTHERS(IRRELEVANT),4.33
Canberra00265,STUDIES IN HUMAN SOCIETY,4.32
Canberra00075,MEDICAL AND HEALTH,4.31
Canberra00303,OTHERS(IRRELEVANT),4.3
Canberra00251,BIOLOGICAL,4.3
Canberra00249,STUDIES IN CREATIVE ARTS AND WRITING,4.29
Canberra00119,MEDICAL AND HEALTH,4.29
Canberra00044,EDUCATION,4.27
Canberra00262,MEDICAL AND HEALTH,4.26
Canberra00145,MEDICAL AND HEALTH,4.25
Canberra00428,OTHERS(RELEVANT),4.25
Canberra00415,STUDIES IN HUMAN SOCIETY,4.25
Canberra00399,TECHNOLOGY,4.25
Canberra00434,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",4.25
Canberra00111,"LANGUAGE, COMMUNICATION AND CULTURE",4.23
Canberra00223,AGRICULTURAL AND VETERINARY,4.22
Canberra00164,AGRICULTURAL AND VETERINARY,4.22
Canberra00163,AGRICULTURAL AND VETERINARY,4.22
Canberra00356,AGRICULTURAL AND VETERINARY,4.21
Canberra00019,PSYCHOLOGY AND COGNITIVE SCIENCES,4.21
Canberra00270,OTHERS(RELEVANT),4.2
Canberra00334,OTHERS(IRRELEVANT),4.18
Canberra00220,OTHERS(RELEVANT),4.18
Canberra00170,STUDIES IN CREATIVE ARTS AND WRITING,4.17
Canberra00403,STUDIES IN CREATIVE ARTS AND WRITING,4.16
Canberra00331,OTHERS(RELEVANT),4.15
Canberra00059,HISTORY AND ARCHAEOLOGY,4.15
Canberra00329,LAW AND LEGAL STUDIES,4.15
Canberra00287,ENVIRONMENTAL,4.14
Canberra00277,MEDICAL AND HEALTH,4.14
Canberra00300,AGRICULTURAL AND VETERINARY,4.13
Canberra00115,STUDIES IN HUMAN SOCIETY,4.13
Canberra00115,"LANGUAGE, COMMUNICATION AND CULTURE",4.13
Canberra00222,MEDICAL AND HEALTH,4.13
Canberra00192,OTHERS(RELEVANT),4.12
Canberra00227,OTHERS(IRRELEVANT),4.12
Canberra00401,OTHERS(IRRELEVANT),4.12
Canberra00363,MEDICAL AND HEALTH,4.11
Canberra00010,PSYCHOLOGY AND COGNITIVE SCIENCES,4.1
Canberra00210,EDUCATION,4.1
Canberra00389,OTHERS(IRRELEVANT),4.1
Canberra00145,OTHERS(IRRELEVANT),4.1
Canberra00377,OTHERS(RELEVANT),4.1
Canberra00073,"LANGUAGE, COMMUNICATION AND CULTURE",4.09
Canberra00160,BIOLOGICAL,4.09
Canberra00029,AGRICULTURAL AND VETERINARY,4.09
Canberra00170,"LANGUAGE, COMMUNICATION AND CULTURE",4.09
Canberra00105,OTHERS(RELEVANT),4.08
Canberra00372,MEDICAL AND HEALTH,4.08
Canberra00320,HISTORY AND ARCHAEOLOGY,4.07
Canberra00105,BIOLOGICAL,4.05
Canberra00062,AGRICULTURAL AND VETERINARY,4.05
Canberra00114,CHEMICAL,4.05
Canberra00118,AGRICULTURAL AND VETERINARY,4.05
Canberra00165,STUDIES IN CREATIVE ARTS AND WRITING,4.04
Canberra00106,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",4.04
Canberra00058,MEDICAL AND HEALTH,4.03
Canberra00382,"LANGUAGE, COMMUNICATION AND CULTURE",4.03
Canberra00022,AGRICULTURAL AND VETERINARY,4.02
Canberra00272,MEDICAL AND HEALTH,4.02
Canberra00243,LAW AND LEGAL STUDIES,4.01
Canberra00093,ENVIRONMENTAL,4
Canberra00249,PSYCHOLOGY AND COGNITIVE SCIENCES,4
Canberra00095,TECHNOLOGY,3.99
Canberra00430,"LANGUAGE, COMMUNICATION AND CULTURE",3.99
Canberra00228,OTHERS(IRRELEVANT),3.99
Canberra00049,OTHERS(IRRELEVANT),3.98
Canberra00047,OTHERS(IRRELEVANT),3.97
Canberra00013,STUDIES IN HUMAN SOCIETY,3.97
Canberra00010,TECHNOLOGY,3.95
Canberra00010,ENGINEERING,3.95
Canberra00170,OTHERS(RELEVANT),3.95
Canberra00059,OTHERS(IRRELEVANT),3.95
Canberra00349,OTHERS(IRRELEVANT),3.94
Canberra00401,ENVIRONMENTAL,3.94
Canberra00012,MEDICAL AND HEALTH,3.93
Canberra00192,OTHERS(IRRELEVANT),3.93
Canberra00343,OTHERS(IRRELEVANT),3.92
Canberra00309,OTHERS(IRRELEVANT),3.92
Canberra00316,OTHERS(RELEVANT),3.91
Canberra00056,ECONOMICS,3.91
Canberra00291,BUILT ENVIRONMENT AND DESIGN,3.91
Canberra00220,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",3.9
Canberra00430,STUDIES IN CREATIVE ARTS AND WRITING,3.9
Canberra00360,ECONOMICS,3.89
