Tag,division,weight
cherax destructor,MATHEMATICAL,1
child,BIOLOGICAL,1
child abuse,STUDIES IN HUMAN SOCIETY,1
child behavior,PSYCHOLOGY AND COGNITIVE SCIENCES,1
child health,MEDICAL AND HEALTH,1
childhood,BIOLOGICAL,1
china,EARTH,1
chromosome,BIOLOGICAL,1
chronic diseases,MEDICAL AND HEALTH,1
chronic obstructive pulmonary disease,MEDICAL AND HEALTH,1
citizens' participation,STUDIES IN HUMAN SOCIETY,1
civil society,STUDIES IN HUMAN SOCIETY,0.5
civil society,HISTORY AND ARCHAEOLOGY,0.5
clay,CHEMICAL,1
clinical competence,MEDICAL AND HEALTH,0.5
clinical competence,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
clinical studies,MEDICAL AND HEALTH,0.5
clinical studies,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
coaching,OTHERS(IRRELEVANT),1
coalition,OTHERS(IRRELEVANT),1
cognitive impairment,MEDICAL AND HEALTH,0.5
cognitive impairment,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
cohort,OTHERS(IRRELEVANT),1
collective decision,STUDIES IN HUMAN SOCIETY,0.5
collective decision,HISTORY AND ARCHAEOLOGY,0.5
colonization,HISTORY AND ARCHAEOLOGY,1
commitment,OTHERS(IRRELEVANT),1
commodity,ECONOMICS,0.333333333
commodity,HISTORY AND ARCHAEOLOGY,0.333333333
commodity,LAW AND LEGAL STUDIES,0.333333333
commonwealth of nations,OTHERS(IRRELEVANT),1
community development,STUDIES IN HUMAN SOCIETY,1
community health services,STUDIES IN HUMAN SOCIETY,0.5
community health services,MEDICAL AND HEALTH,0.5
community structure,STUDIES IN HUMAN SOCIETY,1
comorbidity,MEDICAL AND HEALTH,0.5
comorbidity,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
composite materials,CHEMICAL,1
computer simulation,INFORMATION AND COMPUTING,0.5
computer simulation,TECHNOLOGY,0.5
conditioning (psychology),MEDICAL AND HEALTH,0.5
conditioning (psychology),PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
conflict of interest,OTHERS(IRRELEVANT),1
constitution,LAW AND LEGAL STUDIES,0.5
constitution,HISTORY AND ARCHAEOLOGY,0.5
constitutional state,LAW AND LEGAL STUDIES,0.5
constitutional state,HISTORY AND ARCHAEOLOGY,0.5
consumer health,MEDICAL AND HEALTH,0.5
consumer health,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
contemporary poetry,"LANGUAGE, COMMUNICATION AND CULTURE",0.5
contemporary poetry,STUDIES IN CREATIVE ARTS AND WRITING,0.5
context,STUDIES IN CREATIVE ARTS AND WRITING,0.333333333
context,"LANGUAGE, COMMUNICATION AND CULTURE",0.333333333
context,INFORMATION AND COMPUTING,0.333333333
continuity of patient care,MEDICAL AND HEALTH,0.5
continuity of patient care,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
convention,OTHERS(IRRELEVANT),1
conventional,OTHERS(IRRELEVANT),1
conversation,OTHERS(IRRELEVANT),1
corporation,OTHERS(IRRELEVANT),1
cost,OTHERS(IRRELEVANT),1
cost of illness,MEDICAL AND HEALTH,1
counterfeit drugs,MEDICAL AND HEALTH,1
creative arts,STUDIES IN CREATIVE ARTS AND WRITING,0.5
creative arts,"LANGUAGE, COMMUNICATION AND CULTURE",0.5
creative work,STUDIES IN CREATIVE ARTS AND WRITING,0.5
creative work,"LANGUAGE, COMMUNICATION AND CULTURE",0.5
credit,OTHERS(IRRELEVANT),1
criminal law,STUDIES IN HUMAN SOCIETY,0.5
criminal law,LAW AND LEGAL STUDIES,0.5
critical success factors,OTHERS(RELEVANT),1
cross-cultural communication,STUDIES IN CREATIVE ARTS AND WRITING,1
cues,OTHERS(IRRELEVANT),1
cultural change,STUDIES IN CREATIVE ARTS AND WRITING,0.5
cultural change,HISTORY AND ARCHAEOLOGY,0.5
cultural studies,STUDIES IN CREATIVE ARTS AND WRITING,1
customer satisfaction,PSYCHOLOGY AND COGNITIVE SCIENCES,1
cytochrome,BIOLOGICAL,0.5
cytochrome,TECHNOLOGY,0.5
death,OTHERS(IRRELEVANT),1
decision,OTHERS(RELEVANT),1
decision support systems,INFORMATION AND COMPUTING,0.333333333
decision support systems,ENGINEERING,0.333333333
decision support systems,TECHNOLOGY,0.333333333
decision support techniques,INFORMATION AND COMPUTING,0.333333333
decision support techniques,ENGINEERING,0.333333333
decision support techniques,TECHNOLOGY,0.333333333
decomposition,OTHERS(RELEVANT),1
democratic institutions,STUDIES IN HUMAN SOCIETY,0.5
democratic institutions,HISTORY AND ARCHAEOLOGY,0.5
depression,PSYCHOLOGY AND COGNITIVE SCIENCES,1
design of experiments,OTHERS(RELEVANT),1
development policy,STUDIES IN HUMAN SOCIETY,0.5
development policy,HISTORY AND ARCHAEOLOGY,0.5
devolution,STUDIES IN HUMAN SOCIETY,0.5
devolution,HISTORY AND ARCHAEOLOGY,0.5
diagnostic imaging,MEDICAL AND HEALTH,1
dichotomy,MATHEMATICAL,1
dietary supplements,MEDICAL AND HEALTH,1
digital forensics,TECHNOLOGY,0.5
digital forensics,INFORMATION AND COMPUTING,0.5
digital media,TECHNOLOGY,0.5
digital media,INFORMATION AND COMPUTING,0.5
digital storage,TECHNOLOGY,0.5
digital storage,INFORMATION AND COMPUTING,0.5
digitalization,TECHNOLOGY,0.5
digitalization,INFORMATION AND COMPUTING,0.5
direction compound,CHEMICAL,1
disability,MEDICAL AND HEALTH,1
disability insurance,MEDICAL AND HEALTH,0.333333333
disability insurance,STUDIES IN HUMAN SOCIETY,0.333333333
disability insurance,LAW AND LEGAL STUDIES,0.333333333
disabled children,MEDICAL AND HEALTH,1
disasters,EARTH,1
discrimination,PSYCHOLOGY AND COGNITIVE SCIENCES,0.333333333
discrimination,STUDIES IN HUMAN SOCIETY,0.333333333
discrimination,HISTORY AND ARCHAEOLOGY,0.333333333
disposition,ENVIRONMENTAL,1
dispute,OTHERS(IRRELEVANT),1
distribution,OTHERS(RELEVANT),1
divergence,OTHERS(RELEVANT),1
documentation,OTHERS(IRRELEVANT),1
dosimetry,MEDICAL AND HEALTH,1
drama,STUDIES IN CREATIVE ARTS AND WRITING,1
drive,OTHERS(IRRELEVANT),1
driver,OTHERS(IRRELEVANT),1
droughts,ENGINEERING,1
early detection of cancer,MEDICAL AND HEALTH,1
earthquakes,EARTH,1
eating,OTHERS(IRRELEVANT),1
eating behavior,MEDICAL AND HEALTH,1
ecological system,BIOLOGICAL,1
economic factors,ECONOMICS,1
ecosystems,BIOLOGICAL,0.25
ecosystems,ENVIRONMENTAL,0.25
ecosystems,TECHNOLOGY,0.25
ecosystems,EARTH,0.25
ecotourism,ECONOMICS,0.5
ecotourism,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",0.5
edition,OTHERS(IRRELEVANT),1
education system,EDUCATION,1
educational reform,STUDIES IN HUMAN SOCIETY,1
efficiency,OTHERS(IRRELEVANT),1
ego,PSYCHOLOGY AND COGNITIVE SCIENCES,1
election campaign,STUDIES IN HUMAN SOCIETY,0.5
election campaign,HISTORY AND ARCHAEOLOGY,0.5
elite,OTHERS(IRRELEVANT),1
emancipation,STUDIES IN HUMAN SOCIETY,0.5
emancipation,HISTORY AND ARCHAEOLOGY,0.5
emergencies,OTHERS(IRRELEVANT),1
emergency responders,OTHERS(IRRELEVANT),1
emerging economies,ECONOMICS,1
emigration and immigration,HISTORY AND ARCHAEOLOGY,0.333333333
emigration and immigration,LAW AND LEGAL STUDIES,0.333333333
emigration and immigration,STUDIES IN HUMAN SOCIETY,0.333333333
empirical analysis,OTHERS(RELEVANT),1
empirical investigation,OTHERS(RELEVANT),1
employees,OTHERS(IRRELEVANT),1
energy conservation,PHYSICAL,1
energy intake,PHYSICAL,1
energy utilization,PHYSICAL,1
english language,"LANGUAGE, COMMUNICATION AND CULTURE",1
entrepreneur,OTHERS(IRRELEVANT),1
entropy,PHYSICAL,1
environmental governance,ENVIRONMENTAL,1
environmental issues,ENVIRONMENTAL,1
environmental sustainability,ENVIRONMENTAL,1
epistemology,STUDIES IN HUMAN SOCIETY,1
equality,OTHERS(RELEVANT),1
equipment and supplies,OTHERS(IRRELEVANT),1
estuary,EARTH,1
ethiopia,OTHERS(IRRELEVANT),1
ethnic group,STUDIES IN HUMAN SOCIETY,0.5
ethnic group,HISTORY AND ARCHAEOLOGY,0.5
eu,OTHERS(IRRELEVANT),1
evaluation studies,OTHERS(RELEVANT),1
evidence,OTHERS(IRRELEVANT),1
exanthema,MEDICAL AND HEALTH,1
experiential knowledge,OTHERS(RELEVANT),1
expropriation,OTHERS(RELEVANT),1
extinction,BIOLOGICAL,1
fabrication,CHEMICAL,0.5
fabrication,ENGINEERING,0.5
facilitation,OTHERS(RELEVANT),1
factor analysis,OTHERS(RELEVANT),1
fan,OTHERS(IRRELEVANT),1
farmers,AGRICULTURAL AND VETERINARY,1
farming system,AGRICULTURAL AND VETERINARY,1
farming systems,AGRICULTURAL AND VETERINARY,1
fast foods,ENGINEERING,1
father,OTHERS(IRRELEVANT),1
fatigue,MEDICAL AND HEALTH,0.5
fatigue,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
fauna,BIOLOGICAL,1
feasibility studies,OTHERS(RELEVANT),1
federal budget,LAW AND LEGAL STUDIES,1
federal police,OTHERS(IRRELEVANT),1
feminism,STUDIES IN HUMAN SOCIETY,1
femtocell,BIOLOGICAL,1
festival,"LANGUAGE, COMMUNICATION AND CULTURE",1
financial literacy,ECONOMICS,1
fire management,ENVIRONMENTAL,1
firefighters,ENVIRONMENTAL,1
fish oils,ENGINEERING,1
fitness,MEDICAL AND HEALTH,1
floodplain,EARTH,1
floodplains,EARTH,1
folic acid,CHEMICAL,1
food preferences,OTHERS(RELEVANT),1
food security,ENGINEERING,1
food webs,BIOLOGICAL,1
foods,ENGINEERING,1
foot,BIOLOGICAL,1
foreign language,"LANGUAGE, COMMUNICATION AND CULTURE",1
forensic genetics,MEDICAL AND HEALTH,0.5
forensic genetics,TECHNOLOGY,0.5
forests,EARTH,1
formicidae,BIOLOGICAL,1
fossil fuels,PHYSICAL,1
framework,OTHERS(IRRELEVANT),1
fresh water,EARTH,1
freshwater ecosystem,EARTH,0.5
freshwater ecosystem,BIOLOGICAL,0.5
fuzzy inference,MATHEMATICAL,1
fuzzy rules,MATHEMATICAL,1
gadiformes,BIOLOGICAL,1
gadopsis,BIOLOGICAL,1
gait,MEDICAL AND HEALTH,1
galaxias,ENGINEERING,1
gambling,STUDIES IN HUMAN SOCIETY,1
garden,AGRICULTURAL AND VETERINARY,1
gases,CHEMICAL,1
gastrointestinal microbiome,BIOLOGICAL,0.333333333
gastrointestinal microbiome,TECHNOLOGY,0.333333333
gastrointestinal microbiome,MEDICAL AND HEALTH,0.333333333
gekkonidae,BIOLOGICAL,1
gender equality,STUDIES IN HUMAN SOCIETY,1
gene,BIOLOGICAL,0.5
gene,TECHNOLOGY,0.5
generation y,TECHNOLOGY,1
genetic diversity,BIOLOGICAL,0.5
genetic diversity,TECHNOLOGY,0.5
genetic markers,BIOLOGICAL,0.5
genetic markers,TECHNOLOGY,0.5
genetic structure,BIOLOGICAL,0.5
genetic structure,TECHNOLOGY,0.5
genomics,BIOLOGICAL,0.5
genomics,TECHNOLOGY,0.5
geology,EARTH,1
germany,OTHERS(IRRELEVANT),1
global burden of disease,MEDICAL AND HEALTH,1
global health,MEDICAL AND HEALTH,0.5
global health,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
god,PHILOSOPHY AND RELIGIOUS STUDIES,1
governance system,STUDIES IN HUMAN SOCIETY,1
government,STUDIES IN HUMAN SOCIETY,1
government agency,STUDIES IN HUMAN SOCIETY,1
government policy,STUDIES IN HUMAN SOCIETY,1
grasslands,AGRICULTURAL AND VETERINARY,1
grazing,AGRICULTURAL AND VETERINARY,1
green space,AGRICULTURAL AND VETERINARY,1
grief,PSYCHOLOGY AND COGNITIVE SCIENCES,1
grounded theory,OTHERS(RELEVANT),1
group cohesion,PSYCHOLOGY AND COGNITIVE SCIENCES,1
grouping,OTHERS(RELEVANT),1
growth,OTHERS(IRRELEVANT),1
gryllidae,BIOLOGICAL,1
habitat,EARTH,1
habitat fragmentation,EARTH,1
habitat use,EARTH,1
handwriting,OTHERS(IRRELEVANT),1
hazards,OTHERS(IRRELEVANT),1
health care costs,MEDICAL AND HEALTH,0.5
health care costs,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
health education,MEDICAL AND HEALTH,0.5
health education,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
health expenditures,MEDICAL AND HEALTH,0.5
health expenditures,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
health personnel,MEDICAL AND HEALTH,0.5
health personnel,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
health professionals,MEDICAL AND HEALTH,0.5
health professionals,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
health service,MEDICAL AND HEALTH,0.5
health service,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
health services needs and demand,MEDICAL AND HEALTH,0.5
health services needs and demand,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
healthy aging,MEDICAL AND HEALTH,0.5
healthy aging,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
healthy diet,MEDICAL AND HEALTH,0.5
healthy diet,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
heating,PHYSICAL,1
heat-shock response,MEDICAL AND HEALTH,1
helping behavior,PSYCHOLOGY AND COGNITIVE SCIENCES,1
hemodynamics,MEDICAL AND HEALTH,1
hermeneutics,OTHERS(RELEVANT),1
heterogeneous networks,TECHNOLOGY,1
heuristics,OTHERS(RELEVANT),1
high-intensity interval training,MEDICAL AND HEALTH,1
highlands,EARTH,1
holocene,BIOLOGICAL,1
homelessness,STUDIES IN HUMAN SOCIETY,1
homicide,MEDICAL AND HEALTH,0.5
homicide,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
honor,OTHERS(IRRELEVANT),1
hospital information systems,MEDICAL AND HEALTH,1
households,OTHERS(IRRELEVANT),1
human being,BIOLOGICAL,1
hypoxia,MEDICAL AND HEALTH,1
ideologies,PSYCHOLOGY AND COGNITIVE SCIENCES,1
image quality,INFORMATION AND COMPUTING,1
immigrant,STUDIES IN HUMAN SOCIETY,0.333333333
immigrant,LAW AND LEGAL STUDIES,0.333333333
immigrant,HISTORY AND ARCHAEOLOGY,0.333333333
impulsive behavior,PSYCHOLOGY AND COGNITIVE SCIENCES,1
incident,OTHERS(RELEVANT),1
income distribution,ECONOMICS,0.5
income distribution,STUDIES IN HUMAN SOCIETY,0.5
indebtedness,ECONOMICS,1
indian ocean,EARTH,1
indigenous species,EARTH,1
individuality,OTHERS(RELEVANT),1
indonesia,OTHERS(IRRELEVANT),1
influencing factors,OTHERS(RELEVANT),1
information use,INFORMATION AND COMPUTING,1
infrared spectroscopy,PHYSICAL,1
infrastructure,OTHERS(IRRELEVANT),1
ingestion,BIOLOGICAL,1
inpatients,MEDICAL AND HEALTH,0.5
inpatients,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
insulin,BIOLOGICAL,0.5
insulin,TECHNOLOGY,0.5
insulin resistance,BIOLOGICAL,0.5
insulin resistance,TECHNOLOGY,0.5
insurance,STUDIES IN HUMAN SOCIETY,1
integrated,OTHERS(IRRELEVANT),1
intensive care units,MEDICAL AND HEALTH,0.5
intensive care units,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
intercultural education,EDUCATION,0.5
intercultural education,"LANGUAGE, COMMUNICATION AND CULTURE",0.5
interferon-alpha,BIOLOGICAL,1
international organizations,STUDIES IN HUMAN SOCIETY,1
internationalization,STUDIES IN HUMAN SOCIETY,0.5
internationalization,HISTORY AND ARCHAEOLOGY,0.5
internet,ENGINEERING,1
interview,OTHERS(IRRELEVANT),1
interviews,OTHERS(IRRELEVANT),1
intimate partner violence,STUDIES IN HUMAN SOCIETY,1
introduced species,BIOLOGICAL,1
islands,EARTH,1
israel,OTHERS(IRRELEVANT),1
job satisfaction,PSYCHOLOGY AND COGNITIVE SCIENCES,1
journalist,STUDIES IN CREATIVE ARTS AND WRITING,1
justice,STUDIES IN HUMAN SOCIETY,0.5
justice,LAW AND LEGAL STUDIES,0.5
kenya,OTHERS(IRRELEVANT),1
kidney,BIOLOGICAL,1
knee,BIOLOGICAL,1
knowledge,OTHERS(RELEVANT),1
knowledge transfer,OTHERS(RELEVANT),1
korea,OTHERS(IRRELEVANT),1
kuwait,OTHERS(IRRELEVANT),1
labour market,ECONOMICS,1
lake,EARTH,1
lasers,PHYSICAL,1
leader,OTHERS(IRRELEVANT),1
learning environment,EDUCATION,1
learning objective,EDUCATION,1
learning organization,EDUCATION,1
leaves,BIOLOGICAL,1
leg,BIOLOGICAL,0.5
leg,MEDICAL AND HEALTH,0.5
length of stay,OTHERS(IRRELEVANT),1
lepidoptera,BIOLOGICAL,1
libraries,OTHERS(IRRELEVANT),1
licensure,OTHERS(IRRELEVANT),1
life cycle,OTHERS(IRRELEVANT),1
life history trait,HISTORY AND ARCHAEOLOGY,0.5
life history trait,LAW AND LEGAL STUDIES,0.5
literature,"LANGUAGE, COMMUNICATION AND CULTURE",1
litigation,LAW AND LEGAL STUDIES,1
livelihood,OTHERS(IRRELEVANT),1
liver,BIOLOGICAL,1
lizard,BIOLOGICAL,1
local authorities,STUDIES IN HUMAN SOCIETY,1
local politics,STUDIES IN HUMAN SOCIETY,1
longitudinal studies,OTHERS(RELEVANT),1
longitudinal study,OTHERS(RELEVANT),1
love,PSYCHOLOGY AND COGNITIVE SCIENCES,1
maccullochella macquariensis,BIOLOGICAL,1
macquaria australasica,BIOLOGICAL,1
macroinvertebrate,BIOLOGICAL,1
macropodidae,BIOLOGICAL,1
malaysia,OTHERS(IRRELEVANT),1
management,OTHERS(IRRELEVANT),1
manufacturing,OTHERS(IRRELEVANT),1
manuscripts,OTHERS(IRRELEVANT),1
marital status,STUDIES IN HUMAN SOCIETY,1
marker,OTHERS(IRRELEVANT),1
marriage,STUDIES IN HUMAN SOCIETY,1
marsupialia,BIOLOGICAL,1
mass drug administration,MEDICAL AND HEALTH,1
mass media,INFORMATION AND COMPUTING,0.333333333
mass media,ENGINEERING,0.333333333
mass media,TECHNOLOGY,0.333333333
media consumption,STUDIES IN CREATIVE ARTS AND WRITING,0.5
media consumption,INFORMATION AND COMPUTING,0.5
media industry,STUDIES IN CREATIVE ARTS AND WRITING,0.5
media industry,INFORMATION AND COMPUTING,0.5
medical problems,MEDICAL AND HEALTH,1
member state,OTHERS(IRRELEVANT),1
men's health,MEDICAL AND HEALTH,1
menstruation,MEDICAL AND HEALTH,1
mental competency,PSYCHOLOGY AND COGNITIVE SCIENCES,1
mentors,EDUCATION,1
mercury,PHYSICAL,1
metadata,INFORMATION AND COMPUTING,1
microbiota,BIOLOGICAL,1
midwifery,MEDICAL AND HEALTH,1
migrants,STUDIES IN HUMAN SOCIETY,0.333333333
migrants,LAW AND LEGAL STUDIES,0.333333333
migrants,HISTORY AND ARCHAEOLOGY,0.333333333
migration,STUDIES IN HUMAN SOCIETY,0.333333333
migration,LAW AND LEGAL STUDIES,0.333333333
migration,HISTORY AND ARCHAEOLOGY,0.333333333
milk,ENGINEERING,1
minority,OTHERS(IRRELEVANT),1
mobile applications,TECHNOLOGY,1
mobile computing,INFORMATION AND COMPUTING,0.5
mobile computing,TECHNOLOGY,0.5
mobile robots,TECHNOLOGY,1
model,OTHERS(IRRELEVANT),1
money,OTHERS(IRRELEVANT),1
mortgages,ECONOMICS,1
motion,PHYSICAL,1
motivation,OTHERS(IRRELEVANT),1
multi agent systems,INFORMATION AND COMPUTING,1
mutation,BIOLOGICAL,1
myalgia,MEDICAL AND HEALTH,1
myopia,MEDICAL AND HEALTH,1
nails,OTHERS(IRRELEVANT),1
names,OTHERS(IRRELEVANT),1
narrative therapy,PSYCHOLOGY AND COGNITIVE SCIENCES,1
national policy,STUDIES IN HUMAN SOCIETY,0.5
national policy,LAW AND LEGAL STUDIES,0.5
nationalism,STUDIES IN HUMAN SOCIETY,1
nature,BIOLOGICAL,1
navigation,ENGINEERING,1
needles,ENGINEERING,1
network security,INFORMATION AND COMPUTING,0.333333333
network security,ENGINEERING,0.333333333
network security,TECHNOLOGY,0.333333333
neuromuscular agents,MEDICAL AND HEALTH,1
new labour,OTHERS(RELEVANT),1
new south wales,OTHERS(IRRELEVANT),1
new species,BIOLOGICAL,1
new technology,OTHERS(IRRELEVANT),1
newspaper,STUDIES IN CREATIVE ARTS AND WRITING,0.5
newspaper,INFORMATION AND COMPUTING,0.5
nineteenth century,OTHERS(IRRELEVANT),1
nitrates,CHEMICAL,1
noncommunicable diseases,MEDICAL AND HEALTH,1
norm,MATHEMATICAL,1
northern territory,OTHERS(IRRELEVANT),1
nucleic acid repetitive sequences,TECHNOLOGY,0.5
nucleic acid repetitive sequences,BIOLOGICAL,0.5
nurse midwives,MEDICAL AND HEALTH,1
nurses,MEDICAL AND HEALTH,1
nurse's role,MEDICAL AND HEALTH,1
nursing care,MEDICAL AND HEALTH,1
nursing education,MEDICAL AND HEALTH,1
nursing staff,MEDICAL AND HEALTH,1
nutrition situation,MEDICAL AND HEALTH,1
object attachment,OTHERS(RELEVANT),1
observational studies,OTHERS(RELEVANT),1
occupational exposure,OTHERS(IRRELEVANT),1
occupational therapists,MEDICAL AND HEALTH,1
odds ratio,MATHEMATICAL,1
oecd,OTHERS(IRRELEVANT),1
offender,STUDIES IN HUMAN SOCIETY,1
online survey,OTHERS(RELEVANT),1
organizational culture,OTHERS(IRRELEVANT),1
ornithorhynchus anatinus,BIOLOGICAL,1
osteoarthritis,MEDICAL AND HEALTH,1
outcome assessment (health care),MEDICAL AND HEALTH,1
overseas,STUDIES IN CREATIVE ARTS AND WRITING,1
overweight,MEDICAL AND HEALTH,1
oxidative stress,PSYCHOLOGY AND COGNITIVE SCIENCES,1
pain management,MEDICAL AND HEALTH,0.5
pain management,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
papua new guinea,STUDIES IN CREATIVE ARTS AND WRITING,1
paradigm,OTHERS(RELEVANT),1
parenting,EDUCATION,1
parkinson disease,MEDICAL AND HEALTH,1
pathogen,MEDICAL AND HEALTH,1
patient care,MEDICAL AND HEALTH,0.5
patient care,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
pedestrians,OTHERS(IRRELEVANT),1
pediatric obesity,MEDICAL AND HEALTH,1
peer review,OTHERS(RELEVANT),1
pelvic floor,BIOLOGICAL,1
performance management,OTHERS(RELEVANT),1
performance-enhancing substances,OTHERS(RELEVANT),1
persistence,OTHERS(IRRELEVANT),1
person,OTHERS(IRRELEVANT),1
pesticide,PHYSICAL,1
pesticides,PHYSICAL,1
pharmaceutical services,MEDICAL AND HEALTH,1
pharmacists,MEDICAL AND HEALTH,1
pharmacy,MEDICAL AND HEALTH,1
philippines,STUDIES IN CREATIVE ARTS AND WRITING,1
phosphorylation,PHYSICAL,1
photon absorptiometry,PHYSICAL,1
physical,MEDICAL AND HEALTH,1
physical education and training,MEDICAL AND HEALTH,0.5
physical education and training,EDUCATION,0.5
physical endurance,MEDICAL AND HEALTH,1
physiological stress,MEDICAL AND HEALTH,1
pisa study,PHYSICAL,1
pixels,INFORMATION AND COMPUTING,1
placebos,MEDICAL AND HEALTH,1
plan,OTHERS(IRRELEVANT),1
