Tags,Weight,Staff ID,tagsType
examination,22%,Canberra00002,StaffTags
student,19%,Canberra00002,StaffTags
learning aid,13%,Canberra00002,StaffTags
experience,12%,Canberra00002,StaffTags
software,10%,Canberra00002,StaffTags
history of science,10%,Canberra00002,StaffTags
philosophy of science,9%,Canberra00002,StaffTags
self-determination,9%,Canberra00002,StaffTags
university,8%,Canberra00002,StaffTags
research planning,6%,Canberra00002,StaffTags
communication,5%,Canberra00002,StaffTags
methodology,5%,Canberra00002,StaffTags
Cost-benefit Analysis,100%,Canberra00005,StaffTags
Distributional Impacts,89%,Canberra00005,StaffTags
Codes of Conduct,84%,Canberra00005,StaffTags
Microfinance,73%,Canberra00005,StaffTags
Airports,68%,Canberra00005,StaffTags
Discount Rate,68%,Canberra00005,StaffTags
Microfinance Institutions,63%,Canberra00005,StaffTags
India,29%,Canberra00005,StaffTags
Workable Competition,25%,Canberra00005,StaffTags
Central Bank,24%,Canberra00005,StaffTags
Reserve Bank,16%,Canberra00005,StaffTags
Toolkit,15%,Canberra00005,StaffTags
Enforcement,15%,Canberra00005,StaffTags
Regulatory Framework,14%,Canberra00005,StaffTags
Business Practices,13%,Canberra00005,StaffTags
Functioning,11%,Canberra00005,StaffTags
Investors,8%,Canberra00005,StaffTags
trade agreement,74%,Canberra00005,StaffTags
insurance,65%,Canberra00005,StaffTags
dispute resolution mechanism,50%,Canberra00005,StaffTags
investment policy,47%,Canberra00005,StaffTags
welfare economics,46%,Canberra00005,StaffTags
trade policy,39%,Canberra00005,StaffTags
constitutional state,34%,Canberra00005,StaffTags
investor,33%,Canberra00005,StaffTags
productivity,28%,Canberra00005,StaffTags
deliberative democracy,100%,Canberra00007,StaffTags
democracy,88%,Canberra00007,StaffTags
anonymity,77%,Canberra00007,StaffTags
subjectivity,62%,Canberra00007,StaffTags
political participation,58%,Canberra00007,StaffTags
deliberation,56%,Canberra00007,StaffTags
inclusion,52%,Canberra00007,StaffTags
politics,50%,Canberra00007,StaffTags
corporeality,49%,Canberra00007,StaffTags
participation,38%,Canberra00007,StaffTags
political theory,37%,Canberra00007,StaffTags
protest,35%,Canberra00007,StaffTags
wisdom,32%,Canberra00007,StaffTags
nihilism,26%,Canberra00007,StaffTags
speaking,26%,Canberra00007,StaffTags
virtual reality,26%,Canberra00007,StaffTags
emotion,25%,Canberra00007,StaffTags
Austria,23%,Canberra00007,StaffTags
innovation,22%,Canberra00007,StaffTags
idealism,22%,Canberra00007,StaffTags
equality,21%,Canberra00007,StaffTags
cohabitation,20%,Canberra00007,StaffTags
economic theory,19%,Canberra00007,StaffTags
communication,18%,Canberra00007,StaffTags
humor,18%,Canberra00007,StaffTags
frustration,17%,Canberra00007,StaffTags
anger,16%,Canberra00007,StaffTags
political science,16%,Canberra00007,StaffTags
Ideologies,15%,Canberra00007,StaffTags
persistence,15%,Canberra00007,StaffTags
non-verbal communication,14%,Canberra00007,StaffTags
empowerment,14%,Canberra00007,StaffTags
public policy,13%,Canberra00007,StaffTags
interaction,12%,Canberra00007,StaffTags
queer theory,11%,Canberra00007,StaffTags
moderator,11%,Canberra00007,StaffTags
gender,10%,Canberra00007,StaffTags
national minority,10%,Canberra00007,StaffTags
expertise,8%,Canberra00007,StaffTags
domination,8%,Canberra00007,StaffTags
minority,8%,Canberra00007,StaffTags
citizen,7%,Canberra00007,StaffTags
decision making,7%,Canberra00007,StaffTags
Group,7%,Canberra00007,StaffTags
criticism,7%,Canberra00007,StaffTags
graffiti,6%,Canberra00007,StaffTags
discrimination,6%,Canberra00007,StaffTags
citizens' participation,6%,Canberra00007,StaffTags
subversion,6%,Canberra00007,StaffTags
Political Theory,51%,Canberra00007,StaffTags
Democratic Theory,46%,Canberra00007,StaffTags
Perestroika,45%,Canberra00007,StaffTags
Discursive,44%,Canberra00007,StaffTags
Corporeality,42%,Canberra00007,StaffTags
Subjectivity,39%,Canberra00007,StaffTags
History of Ideas,38%,Canberra00007,StaffTags
Materialist,35%,Canberra00007,StaffTags
Democracy,35%,Canberra00007,StaffTags
Russia,26%,Canberra00007,StaffTags
Political Participation,26%,Canberra00007,StaffTags
Political Science,21%,Canberra00007,StaffTags
Cyberspace,21%,Canberra00007,StaffTags
Textuality,20%,Canberra00007,StaffTags
Digital Age,20%,Canberra00007,StaffTags
Economic Theory,19%,Canberra00007,StaffTags
Public Policy,18%,Canberra00007,StaffTags
Social Theory,18%,Canberra00007,StaffTags
Social Interaction,17%,Canberra00007,StaffTags
Materialism,17%,Canberra00007,StaffTags
Materiality,16%,Canberra00007,StaffTags
Philosophy,15%,Canberra00007,StaffTags
Socialist,14%,Canberra00007,StaffTags
Regular,14%,Canberra00007,StaffTags
Participation,13%,Canberra00007,StaffTags
Samizdat,13%,Canberra00007,StaffTags
End of History,11%,Canberra00007,StaffTags
Mikhail Gorbachev,11%,Canberra00007,StaffTags
Hindsight,10%,Canberra00007,StaffTags
Civil Society,10%,Canberra00007,StaffTags
Moscow,10%,Canberra00007,StaffTags
Thought,10%,Canberra00007,StaffTags
Social Organization,9%,Canberra00007,StaffTags
Clubs,8%,Canberra00007,StaffTags
Declaration,8%,Canberra00007,StaffTags
Demise,8%,Canberra00007,StaffTags
Activists,7%,Canberra00007,StaffTags
Historic,7%,Canberra00007,StaffTags
Paradigm,6%,Canberra00007,StaffTags
Experiment,5%,Canberra00007,StaffTags
Myopia,100%,Canberra00008,StaffTags
Eye,32%,Canberra00008,StaffTags
Lenses,32%,Canberra00008,StaffTags
Chickens,24%,Canberra00008,StaffTags
Growth,22%,Canberra00008,StaffTags
Light,21%,Canberra00008,StaffTags
Levodopa,19%,Canberra00008,StaffTags
Dopamine,19%,Canberra00008,StaffTags
Bees,17%,Canberra00008,StaffTags
Retina,13%,Canberra00008,StaffTags
Honey,13%,Canberra00008,StaffTags
RNA,10%,Canberra00008,StaffTags
ADTN,8%,Canberra00008,StaffTags
Social Class,8%,Canberra00008,StaffTags
Carbidopa,7%,Canberra00008,StaffTags
MicroRNAs,7%,Canberra00008,StaffTags
Swainsonine,7%,Canberra00008,StaffTags
Mannosidases,7%,Canberra00008,StaffTags
Atropine,7%,Canberra00008,StaffTags
Animals,7%,Canberra00008,StaffTags
Amacrine Cells,6%,Canberra00008,StaffTags
Refractive Errors,6%,Canberra00008,StaffTags
Muscarinic Antagonists,6%,Canberra00008,StaffTags
Dopamine Agonists,6%,Canberra00008,StaffTags
Spiperone,6%,Canberra00008,StaffTags
Animal Models,5%,Canberra00008,StaffTags
Crystallins,5%,Canberra00008,StaffTags
levodopa drug combination carbidopa,5%,Canberra00008,StaffTags
Dopamine D1 Receptors,5%,Canberra00008,StaffTags
Apis mellifera,9%,Canberra00008,StaffTags
honey bees,8%,Canberra00008,StaffTags
swainsonine,6%,Canberra00008,StaffTags
mannosidases,6%,Canberra00008,StaffTags
Social Presence,100%,Canberra00009,StaffTags
Self-service Technology,98%,Canberra00009,StaffTags
Service Provider,58%,Canberra00009,StaffTags
Costs,55%,Canberra00009,StaffTags
Web Sites,44%,Canberra00009,StaffTags
Service Encounter,42%,Canberra00009,StaffTags
Service Employees,42%,Canberra00009,StaffTags
Technology Use,40%,Canberra00009,StaffTags
Service Quality,40%,Canberra00009,StaffTags
Interaction,40%,Canberra00009,StaffTags
Cost Control,38%,Canberra00009,StaffTags
Quality of Life,35%,Canberra00009,StaffTags
Well-being,31%,Canberra00009,StaffTags
Service Sector,31%,Canberra00009,StaffTags
Online Presence,21%,Canberra00009,StaffTags
Travel Agents,19%,Canberra00009,StaffTags
Online Sales,19%,Canberra00009,StaffTags
Airlines,18%,Canberra00009,StaffTags
Online Channel,18%,Canberra00009,StaffTags
Distribution Channels,15%,Canberra00009,StaffTags
Excellence,15%,Canberra00009,StaffTags
Accommodation,14%,Canberra00009,StaffTags
Hotels,12%,Canberra00009,StaffTags
Purchasing,11%,Canberra00009,StaffTags
travel,66%,Canberra00009,StaffTags
services,46%,Canberra00009,StaffTags
service quality,35%,Canberra00009,StaffTags
need,33%,Canberra00009,StaffTags
video,22%,Canberra00009,StaffTags
student,20%,Canberra00009,StaffTags
effect,17%,Canberra00009,StaffTags
distribution,8%,Canberra00009,StaffTags
Infant Health,100%,Canberra00010,StaffTags
Midwifery,86%,Canberra00010,StaffTags
Breast Feeding,67%,Canberra00010,StaffTags
Students,19%,Canberra00010,StaffTags
Practice (Psychology),19%,Canberra00010,StaffTags
United Nations,18%,Canberra00010,StaffTags
Curriculum,16%,Canberra00010,StaffTags
Accreditation,16%,Canberra00010,StaffTags
Administrative Personnel,15%,Canberra00010,StaffTags
Health,14%,Canberra00010,StaffTags
Translational Medical Research,14%,Canberra00010,StaffTags
Delivery of Health Care,14%,Canberra00010,StaffTags
Interviews,13%,Canberra00010,StaffTags
Education,13%,Canberra00010,StaffTags
Subcutaneous Infusions,11%,Canberra00010,StaffTags
Intimate Partner Violence,11%,Canberra00010,StaffTags
Health Policy,10%,Canberra00010,StaffTags
Job Satisfaction,10%,Canberra00010,StaffTags
Continuity of Patient Care,10%,Canberra00010,StaffTags
Federal Government,10%,Canberra00010,StaffTags
Health Promotion,9%,Canberra00010,StaffTags
Global Health,9%,Canberra00010,StaffTags
Type 1 Diabetes Mellitus,8%,Canberra00010,StaffTags
Self Report,8%,Canberra00010,StaffTags
Walking,7%,Canberra00010,StaffTags
Learning,7%,Canberra00010,StaffTags
Civil Rights,6%,Canberra00010,StaffTags
Systematic Reviews,6%,Canberra00010,StaffTags
Hand,6%,Canberra00010,StaffTags
Insulin,6%,Canberra00010,StaffTags
Pregnancy,5%,Canberra00010,StaffTags
deliberative democracy,100%,Canberra00011,StaffTags
deliberation,48%,Canberra00011,StaffTags
democracy,44%,Canberra00011,StaffTags
protest,29%,Canberra00011,StaffTags
multicultural society,21%,Canberra00011,StaffTags
Turkey,5%,Canberra00011,StaffTags
citizen,18%,Canberra00011,StaffTags
coal,17%,Canberra00011,StaffTags
honor,17%,Canberra00011,StaffTags
politics,16%,Canberra00011,StaffTags
Brazil,13%,Canberra00011,StaffTags
political science,12%,Canberra00011,StaffTags
representative democracy,10%,Canberra00011,StaffTags
dramaturgy,9%,Canberra00011,StaffTags
polarization,9%,Canberra00011,StaffTags
communication,9%,Canberra00011,StaffTags
Democratic institutions,8%,Canberra00011,StaffTags
pluralism,8%,Canberra00011,StaffTags
protest movement,8%,Canberra00011,StaffTags
inclusion,7%,Canberra00011,StaffTags
policy studies,7%,Canberra00011,StaffTags
society,7%,Canberra00011,StaffTags
emotion,7%,Canberra00011,StaffTags
political participation,7%,Canberra00011,StaffTags
peace process,7%,Canberra00011,StaffTags
festival,7%,Canberra00011,StaffTags
radicalism,7%,Canberra00011,StaffTags
conversation,7%,Canberra00011,StaffTags
politician,6%,Canberra00011,StaffTags
time,6%,Canberra00011,StaffTags
facebook,6%,Canberra00011,StaffTags
ontology,5%,Canberra00011,StaffTags
epistemology,5%,Canberra00011,StaffTags
anger,5%,Canberra00011,StaffTags
opposition,5%,Canberra00011,StaffTags
collective decision,5%,Canberra00011,StaffTags
qualitative method,5%,Canberra00011,StaffTags
social media,5%,Canberra00011,StaffTags
Muslim,5%,Canberra00011,StaffTags
integrity,5%,Canberra00011,StaffTags
event,5%,Canberra00011,StaffTags
Democracy,22%,Canberra00011,StaffTags
Deliberative Democracy,21%,Canberra00011,StaffTags
Crisis of Democracy,21%,Canberra00011,StaffTags
Normative Theory,11%,Canberra00011,StaffTags
Islamic Discourse,9%,Canberra00011,StaffTags
Muslim Societies,7%,Canberra00011,StaffTags
Emergency,6%,Canberra00011,StaffTags
Longitudinal Study,6%,Canberra00011,StaffTags
Discourse,5%,Canberra00011,StaffTags
Pathway,5%,Canberra00011,StaffTags
Policymaker,5%,Canberra00011,StaffTags
warfare,100%,Canberra00012,StaffTags
threat,61%,Canberra00012,StaffTags
African Union,60%,Canberra00012,StaffTags
International Criminal Court,59%,Canberra00012,StaffTags
terrorism,49%,Canberra00012,StaffTags
Russia,43%,Canberra00012,StaffTags
statute,41%,Canberra00012,StaffTags
ECHR,37%,Canberra00012,StaffTags
aggression,36%,Canberra00012,StaffTags
international criminal justice,36%,Canberra00012,StaffTags
anti-terrorism,32%,Canberra00012,StaffTags
international crimes,28%,Canberra00012,StaffTags
legality,27%,Canberra00012,StaffTags
justice,27%,Canberra00012,StaffTags
global power,26%,Canberra00012,StaffTags
Military,26%,Canberra00012,StaffTags
international terrorism,25%,Canberra00012,StaffTags
Prevention of Terrorism,25%,Canberra00012,StaffTags
Indigenous peoples rights,23%,Canberra00012,StaffTags
constitutional state,23%,Canberra00012,StaffTags
campaign,23%,Canberra00012,StaffTags
information warfare,22%,Canberra00012,StaffTags
Law,21%,Canberra00012,StaffTags
Indigenous rights,20%,Canberra00012,StaffTags
Civil Liability,20%,Canberra00012,StaffTags
offense,19%,Canberra00012,StaffTags
Republic of South Africa,19%,Canberra00012,StaffTags
Victims of terrorism,18%,Canberra00012,StaffTags
sovereignty,18%,Canberra00012,StaffTags
human rights,18%,Canberra00012,StaffTags
present,18%,Canberra00012,StaffTags
human rights violation,18%,Canberra00012,StaffTags
Arab Spring,18%,Canberra00012,StaffTags
environmental protection,18%,Canberra00012,StaffTags
bank,17%,Canberra00012,StaffTags
Middle East,17%,Canberra00012,StaffTags
great power,17%,Canberra00012,StaffTags
Ukraine,17%,Canberra00012,StaffTags
peace,16%,Canberra00012,StaffTags
disinformation,16%,Canberra00012,StaffTags
erosion,16%,Canberra00012,StaffTags
civil litigation,16%,Canberra00012,StaffTags
UNO,15%,Canberra00012,StaffTags
money laundering,15%,Canberra00012,StaffTags
national security,14%,Canberra00012,StaffTags
Territories,14%,Canberra00012,StaffTags
European Court,14%,Canberra00012,StaffTags
Nutritionists,100%,Canberra00013,StaffTags
Students,96%,Canberra00013,StaffTags
Dietetics,84%,Canberra00013,StaffTags
Education,45%,Canberra00013,StaffTags
Healthy Diet,39%,Canberra00013,StaffTags
Blogging,38%,Canberra00013,StaffTags
Mental Competency,30%,Canberra00013,StaffTags
Malnutrition,28%,Canberra00013,StaffTags
Delphi Technique,27%,Canberra00013,StaffTags
Focus Groups,25%,Canberra00013,StaffTags
Case Management,24%,Canberra00013,StaffTags
Clinical Competence,24%,Canberra00013,StaffTags
Learning,21%,Canberra00013,StaffTags
Interviews,17%,Canberra00013,StaffTags
Practice (Psychology),16%,Canberra00013,StaffTags
Food,16%,Canberra00013,StaffTags
Internship and Residency,14%,Canberra00013,StaffTags
Nutrition Policy,13%,Canberra00013,StaffTags
Video Recording,12%,Canberra00013,StaffTags
Workplace,11%,Canberra00013,StaffTags
Telemedicine,11%,Canberra00013,StaffTags
Health Services,11%,Canberra00013,StaffTags
Dental Caries,11%,Canberra00013,StaffTags
Motor Vehicles,11%,Canberra00013,StaffTags
Counseling,10%,Canberra00013,StaffTags
Pandemics,10%,Canberra00013,StaffTags
Feeding and Eating Disorders,10%,Canberra00013,StaffTags
Referral and Consultation,10%,Canberra00013,StaffTags
Oral Health,10%,Canberra00013,StaffTags
Workforce,10%,Canberra00013,StaffTags
Communication,10%,Canberra00013,StaffTags
Primary Health Care,10%,Canberra00013,StaffTags
Disability Insurance,8%,Canberra00013,StaffTags
Research Design,8%,Canberra00013,StaffTags
Teaching,7%,Canberra00013,StaffTags
Delivery of Health Care,7%,Canberra00013,StaffTags
Health,7%,Canberra00013,StaffTags
Language,7%,Canberra00013,StaffTags
Chronic Disease,6%,Canberra00013,StaffTags
Pediatrics,6%,Canberra00013,StaffTags
Sugars,6%,Canberra00013,StaffTags
Negotiating,6%,Canberra00013,StaffTags
Occupational Therapy,6%,Canberra00013,StaffTags
Obesity,5%,Canberra00013,StaffTags
Guidelines,5%,Canberra00013,StaffTags
Medical Students,5%,Canberra00013,StaffTags
Ambulatory Care,5%,Canberra00013,StaffTags
dietetics,48%,Canberra00013,StaffTags
food service,18%,Canberra00013,StaffTags
dietitians,17%,Canberra00013,StaffTags
meals (menu),13%,Canberra00013,StaffTags
hemodialysis,13%,Canberra00013,StaffTags
education,9%,Canberra00013,StaffTags
nutrition,30%,Canberra00013,StaffTags
remediation,11%,Canberra00013,StaffTags
sandwiches,11%,Canberra00013,StaffTags
health services,10%,Canberra00013,StaffTags
dialysis,10%,Canberra00013,StaffTags
labor force,10%,Canberra00013,StaffTags
students,10%,Canberra00013,StaffTags
community structure,9%,Canberra00013,StaffTags
cooking,9%,Canberra00013,StaffTags
nutritional adequacy,8%,Canberra00013,StaffTags
nutrition information,7%,Canberra00013,StaffTags
healthy diet,6%,Canberra00013,StaffTags
body mass index,6%,Canberra00013,StaffTags
communication (human),5%,Canberra00013,StaffTags
business management,5%,Canberra00013,StaffTags
obesity,5%,Canberra00013,StaffTags
community health,5%,Canberra00013,StaffTags
student,20%,Canberra00013,StaffTags
eating behavior,16%,Canberra00013,StaffTags
clinical services,15%,Canberra00013,StaffTags
learning,15%,Canberra00013,StaffTags
food,14%,Canberra00013,StaffTags
acute care,13%,Canberra00013,StaffTags
employability,10%,Canberra00013,StaffTags
occupational therapy,10%,Canberra00013,StaffTags
educational practice,9%,Canberra00013,StaffTags
habits,8%,Canberra00013,StaffTags
experience,8%,Canberra00013,StaffTags
driver,8%,Canberra00013,StaffTags
simulation,8%,Canberra00013,StaffTags
Territories,8%,Canberra00013,StaffTags
assistance,7%,Canberra00013,StaffTags
university,6%,Canberra00013,StaffTags
hospital setting,6%,Canberra00013,StaffTags
health,6%,Canberra00013,StaffTags
group discussion,6%,Canberra00013,StaffTags
resilience,5%,Canberra00013,StaffTags
interview,5%,Canberra00013,StaffTags
one-person household,5%,Canberra00013,StaffTags
ethnography,5%,Canberra00013,StaffTags
Dementia,100%,Canberra00014,StaffTags
Nurses,92%,Canberra00014,StaffTags
Pharmacists,65%,Canberra00014,StaffTags
Homes for the Aged,61%,Canberra00014,StaffTags
Nursing,60%,Canberra00014,StaffTags
Home Care Services,43%,Canberra00014,StaffTags
Nursing Care,36%,Canberra00014,StaffTags
Delirium,30%,Canberra00014,StaffTags
Infection Control,26%,Canberra00014,StaffTags
Cohort Studies,21%,Canberra00014,StaffTags
Retrospective Studies,21%,Canberra00014,StaffTags
Length of Stay,20%,Canberra00014,StaffTags
Costs and Cost Analysis,19%,Canberra00014,StaffTags
