,ATM ID,Agency,Category,Close Date & Time,Description,Title,_id,ID,isRelated
1459,04/ACA 084,Australian Communications Authority,Engineering and Research and Technology Based Services,10-May-05 2:00 pm,Consultancy for research into international cabling regulation practices,Consultancy for research into international cabling regulation practices,6159c38e9107b6df81b13c55,81000000.0,1.0
1526,CSIRO-019,CSIRO,Engineering and Research and Technology Based Services,19-May-05 2:00 pm,"CSIRO Geelong (VIC) - period supply of Variable Speed AC Drives and assoicated software, training and support for the Australian Animal Health Laboratory at Geelong, Victoria.",CSIRO Geelong (VIC) - supply of Variable Speed AC Drives,6159c38e9107b6df81b13c98,81000000.0,1.0
1527,CSIRO2005-020,CSIRO,Engineering and Research and Technology Based Services,19-May-05 2:00 pm,"CSIRO Geelong (Vic) - period supply of Programmable Logic Controllers and associated software, training and support to the Australian Animal Health Laboratory at Geelong, Victoria.",CSIRO Geelong (Vic) - Supply of Programmable Controllers,6159c38e9107b6df81b13c99,81000000.0,1.0
1528,CSIRO2005-021,CSIRO,Engineering and Research and Technology Based Services,19-May-05 2:00 pm,"CSIRO Geelong (Vic) -  for the design, supply, configuration, installation , commission and documentation of Scada systems at the Australian Animal Health Laboratory Geelong, Victoria.",CSIRO Geelong (Vic) - supply and engineering - SCADA Systems and Associated Infrastructure,6159c38e9107b6df81b13c9a,81000000.0,1.0
1529,CSIRO2005-022,CSIRO,Engineering and Research and Technology Based Services,19-May-05 2:00 pm,CSIRO Geelong (Vic) - Supply of Remote Terminal Units,CSIRO Geelong (Vic) - Supply of Remote Terminal Units,6159c38e9107b6df81b13c9b,81000000.0,1.0
1690,DAFF1565-2,Department of Agriculture,Engineering and Research and Technology Based Services,10-Jun-05 5:00 pm,The Centre of Excellence for Risk Analysis is a government initiative to build on Australia`s capacity to analyse and assess risks,Call for Expressions of Interest to host the Australian Centre of Excellence for Risk Analysis,6159c38e9107b6df81b13d3c,81000000.0,1.0
1709,DAFF 11/05,Department of Agriculture,Engineering and Research and Technology Based Services,15-Jun-05 2:00 pm,Expressions of Interest are requested for residue testing for the period 2006-2008,Chemical Analytical Testing for the National Residue Survey,6159c38e9107b6df81b13d4f,81000000.0,1.0
1752,FIN05/FES006,Department of Finance and Administration,Engineering and Research and Technology Based Services,20-Jun-05 2:00 pm,"The Department of Finance and Administration (Finance) is seeking tenders from suitably endorsed suppliers to replace the IT Infrastructure for its Core Services (Messaging, File, and Print) and for its Standard Operating Environment (SOE).",Request for Tender - Core Infrastructure Upgrade,6159c38e9107b6df81b13d7a,81000000.0,1.0
2008,FIN05/MPS007,Department of Finance and Administration,Engineering and Research and Technology Based Services,05-Aug-05 2:00 pm,This Request for Tender involves the development and support of a new Parliamentary Entitlements Management System (PEMS) for Ministerial and Parliamentary Services within the Department of Finance and Administration.,Development and Support of a Paliamentary Entitlements Management System,6159c38e9107b6df81b13e7a,81000000.0,1.0
2610,DAFF 11/05A,Department of Agriculture,Engineering and Research and Technology Based Services,09-Nov-05 2:00 pm,DAFF is seeking tenders for analytical testing for the range of NRS random monitoring programmes.,Request for Tender for Chemical Analytical Testing for the National Residue Survey,6159c38e9107b6df81b140d4,81000000.0,1.0
2628,APVMA REOI 01/05,Australian Pesticides and Veterinary Medicines Authority,Engineering and Research and Technology Based Services,11-Nov-05 5:00 pm,Chemical Analysis,Request for Expressions of Interest - Chemical Analysis of Agricultural Chemical Products 2005-06,6159c38e9107b6df81b140e6,81000000.0,1.0
2758,90/2005DEH,Department of the Environment and Heritage,Engineering and Research and Technology Based Services,01-Dec-05 2:00 pm,Undertake audits to gauge the degree to which the industry in general has accepted and is operating in accord with the,Auditing the Used Electronic Equipment Export Industry,6159c38e9107b6df81b14168,81000000.0,1.0
3089,DAFF 38/05,Department of Agriculture,Crop production and management and protection,01-Feb-06 2:00 pm,Develop a GM Canola information package,GM Canola - Information Package and Issues,6159c38e9107b6df81b142b3,70140000.0,1.0
3090,DAFF 36/05,Department of Agriculture,Crop production and management and protection,01-Feb-06 2:00 pm,A study of the current and potential value to Australian agriculture of biotechnology applications that do not involve commercial release of a genetically modified organism,The Value of Biotechnology Applications to Australian Agriculture,6159c38e9107b6df81b142b4,70140000.0,1.0
3091,DAFF 37/05,Department of Agriculture,Crop production and management and protection,01-Feb-06 2:00 pm,Undertake a study on the path to market for the introduction of GM Canola in Australia,GM Canola - A Path to Market,6159c38e9107b6df81b142b5,70140000.0,1.0
3103,APVMA REOI 01/06,Australian Pesticides and Veterinary Medicines Authority,Engineering and Research and Technology Based Services,03-Feb-06 5:00 pm,The APVMA is responsible for the registration of pesticides and veterinary medicines in Australia. The evaluation of toxicological hazard and occupational health and safety exposure data is a critical part of the assessment of such chemical products.,Request for Expressions of Interest (EOI) for the provision of data assessment - Toxicological Hazard and / or Occupational Health and Safety Exposure,6159c38e9107b6df81b142c1,81000000.0,1.0
3109,DCON/06/1,"Department of Communications, Information Technology and the Arts",Engineering and Research and Technology Based Services,06-Feb-06 2:00 pm,"The purpose of this tender is to engage a suitable consultant to produce a research report that extends present insights on the role of ICT in innovation and productivity growth, and so advances the understanding of the growth mechanisms important to Australian living standards. ",Information Economy New Research Directions,6159c38e9107b6df81b142c7,81000000.0,1.0
3244,DCON/06/8,"Department of Communications, Information Technology and the Arts",Engineering and Research and Technology Based Services,27-Feb-06 2:00 pm,"The Department of Communications, Information Technology and the Arts invites suitably qualified consultants to submit a proposal for an analysis of impacts of ICT R&D undertaken in the Australian public sector.",Impacts of Public Information and Communications Technology (ICT) Research and Development (R&D) in Australia,6159c38e9107b6df81b1434e,81000000.0,1.0
3310,RFT FIN06/TEL004,Department of Finance and Administration - T3 Taskforce,Engineering and Research and Technology Based Services,10-Mar-06 4:00 pm,Request for Tender for a web services provider in preparation for a possible sale of the Australian Government`s remaining shares in Telstra.,Preparation for possible Telstra sale: Web Services Provider,6159c38e9107b6df81b14390,81000000.0,1.0
3388,RFT FIN06/TEL007,Department of Finance and Administration - T3 Taskforce,Engineering and Research and Technology Based Services,24-Mar-06 4:00 pm,Request for Tender for application processing services in preparation for a possible sale of the Australian Government`s remaining shares in Telstra. ,Preparation for possible Telstra sale: Application Processing Centre,6159c38e9107b6df81b143de,81000000.0,1.0
3605,CSIRO2006-026,CSIRO,Engineering and Research and Technology Based Services,28-Apr-06 2:00 pm,"CSIRO is issuing this Request for Proposal (RFP) in order to seek proposals for the for the design, construction, installation and commissioning of a peak power generator based on a standard 6 cylinder engine converted to natural gas connected to a grid paralleled induction motor.",Automotive Gas Engine Peaking Plant (AGEPP),6159c38e9107b6df81b144b7,81000000.0,1.0
3811,135/2006DEH,Department of the Environment and Heritage,Engineering and Research and Technology Based Services,30-May-06 2:00 pm,The Department of the Environment and Heritage (DEH) invites tenders for a study into the use of methanol as an automotive fuel.,Methanol as an automotive fuel - a discussion paper,6159c38e9107b6df81b14585,81000000.0,1.0
3984,ITR-JCCC018,Defence Materiel Organisation,Engineering and Research and Technology Based Services,21-Jun-06 12:00 pm,The Provision of Logistic Support Services To Elements In Timor Leste (Op Astute),The Provision of Logistic Support Services To Elements In Timor Leste (Op Astute),6159c38e9107b6df81b14632,81000000.0,1.0
4095,CSIRO2006-043,CSIRO,Engineering and Research and Technology Based Services,10-Jul-06 11:00 am,"CSIRO is issuing this Request for Tender in order to seek proposals for a consultancy study of the Preliminary Design, Costing and Business Plan for a National Low Emissions Gasification Test Facility in accordance with the requirements specified in this Tender.",National Low Emissions Gasification Test Facility Consultancy,6159c38e9107b6df81b146a1,81000000.0,1.0
4221,AESSO A06010,Department of Defence - Melbourne,Engineering and Research and Technology Based Services,28-Jul-06 12:00 pm,Australian Defence Force Calibration Services.,Australian Defence Force Calibration Services.,6159c38e9107b6df81b1471f,81000000.0,1.0
4347,ITR 06/029/EWS,Department of Defence,Engineering and Research and Technology Based Services,15-Aug-06 12:00 pm,"Defence Materiel Organisation (DMO) invites suitably qualified and experienced companies to register their interest in becoming one of the suppliers for the development of a single integrated ADF command support system, the Joint Command Support Environme",Joint Project 2030 Phase 8,6159c38e9107b6df81b1479d,81000000.0,1.0
4415,2006UMPNER0001,Department of the Prime Minister and Cabinet,Engineering and Research and Technology Based Services,23-Aug-06 10:30 am,RFT for the Establishment of a Panel Arrangement for the Provision of Expert Advice to the Uranium Mining and Processing and Nuclear Energy Review.,RFT to Establish a Panel of Expert Advisers,6159c38e9107b6df81b147e1,81000000.0,1.0
4551,RFT-0607-111,Department of Defence - Melbourne,Engineering and Research and Technology Based Services,07-Sep-06 12:00 pm,Provision of Research Service For The Further Development of PMAST Software.,Provision of Research Service For The Further Development of PMAST Software.,6159c38e9107b6df81b14869,81000000.0,1.0
5563,038/06,AusAid,Crop production and management and protection,19-Dec-06 2:00 pm,"The CAVAC Program will address in an integrated and flexible fashion the key constraints in the agriculture sector related to the production, distribution and marketing processes (the ""value chain"") in rice-based farming systems.",Cambodia Agriculture Value Chain (CAVAC) Program,6159c38e9107b6df81b14c5d,70140000.0,1.0
5645,RFT 06-035 - EWS,Department of Defence,Engineering and Research and Technology Based Services,17-Jan-07 12:00 pm,The Defence Materiel Organisation (DMO) invites suitably qualified and experienced companies to submit a tender in response to RFT 06/035 (EWS) for Joint Project 2030 Phase 8 (JP2030PH8) - Joint Command Support Environment (JCSE).,Joint Project 2030 Phase 8,6159c38e9107b6df81b14caf,81000000.0,1.0
5711,CCR/06/2994,"Department of Communications, Information Technology and the Arts",Engineering and Research and Technology Based Services,25-Jan-07 10:00 am,The purpose of the consultancy is to establish facts to support Australian policy development on the use and application of satellite networks in the Pacific Region.,Investigation into the use and Application of Satellite Networks in the Pacific Region,6159c38e9107b6df81b14cf1,81000000.0,1.0
5717,CCR/06/2962,"Department of Communications, Information Technology and the Arts",Engineering and Research and Technology Based Services,25-Jan-07 2:00 pm,An expert consultant will be engaged to provide an analysis of international public policy trends used to support technology and service digitalisation.  ,Analysis of Spectrum Policy Trends,6159c38e9107b6df81b14cf7,81000000.0,1.0
5777,DAFF 87/06,Department of Agriculture,Engineering and Research and Technology Based Services,31-Jan-07 2:00 pm,"Request for Tender for the provision of Investigation of the impacts of contaminants in fertilizers and fertilizer ingredients, including industrial residues.","RFT for the provision of Investigation of the impacts of contaminants in Fertilizers and Fertilizer Ingredients, including Industrial Residues",6159c38e9107b6df81b14d33,81000000.0,1.0
5786,MR01/07,Department of Veterans' Affairs,Engineering and Research and Technology Based Services,31-Jan-07 5:00 pm,Panel of Military Researchers,Military Researchers,6159c38e9107b6df81b14d3c,81000000.0,1.0
6029,DHS 0607/058,Department of Human Services Retired,Engineering and Research and Technology Based Services,01-Mar-07 5:00 pm,The Department of Human Services is seeking Tenderers for  the delivery of certain system integration elements of the Access Card Systems and related services.,Systems Integrator for Access Card Program,6159c38e9107b6df81b14e2f,81000000.0,1.0
6052,CCR-07-192,"Department of Communications, Information Technology and the Arts",Engineering and Research and Technology Based Services,06-Mar-07 10:00 am,"This consultancy requires research to inform communication policy by exploring and reporting on how the Internet?s development might influence the prosperity and wellbeing of Australians, and by identifying the factors that might assist or impede realisation of the potential economic benefits from that development. ",FUTURE OF THE INTERNET (FOTI) PROJECT,6159c38e9107b6df81b14e46,81000000.0,1.0
6067,CCR-07-193,"Department of Communications, Information Technology and the Arts",Engineering and Research and Technology Based Services,06-Mar-07 2:00 pm,"This consultancy requires research to inform Information and Communications Technology policy by exploring and reporting on the vulnerability of critical Internet infrastructure to external threats, and the potential consequences of infrastructure failure. Of particular significance is how Internet reliability impacts on Internet development and how that might influence the prosperity and wellbeing of Australians.",FOTI- RELIABILITY OF THE INTERNET,6159c38e9107b6df81b14e55,81000000.0,1.0
6073,CCR/07/159,"Department of Communications, Information Technology and the Arts",Engineering and Research and Technology Based Services,07-Mar-07 10:00 am,"The Department requires a Consultant to organise, conduct and report on a set of focus groups comprised of SME representatives with a broad knowledge of their businesses online activities and procedures.",SME Trust in the Online Environment,6159c38e9107b6df81b14e5b,81000000.0,1.0
6112,GR006/2007DNP,Director of National Parks,Engineering and Research and Technology Based Services,12-Mar-07 5:00 pm,"The Director of National Parks invites Tenders to design a containment facility, and undertake related planning work, to manage former uranium mining and milling operations in Kakadu National Park.",Planning and designing a containment facility - Kakadu National Park,6159c38e9107b6df81b14e82,81000000.0,1.0
6127,DHS0607/079,Department of Human Services Retired,Engineering and Research and Technology Based Services,13-Mar-07 5:00 pm,The Department of Human Services is seeking a Tenderer for the Access Card Issuance and Management module of the Access Card Program,Access Card Issuance and Management,6159c38e9107b6df81b14e91,81000000.0,1.0
6191,CCR/07/279,"Department of Communications, Information Technology and the Arts",Engineering and Research and Technology Based Services,23-Mar-07 10:00 am,"The Department of Communications, Information Technology and the Arts (the Department) invites suitably qualified organisations/Service Providers to submit a proposal for designing and delivering a Telework Awareness Initiative (the initiative) in the Australian business and working environment",TELEWORK AWARENESS INITIATIVE,6159c38e9107b6df81b14ed1,81000000.0,1.0
6207,CCR/07/240,"Department of Communications, Information Technology and the Arts",Engineering and Research and Technology Based Services,26-Mar-07 10:00 am,"The Department of Communications, Information Technology and the Arts invites your organisation to submit a proposal to undertake a study and provide a written report analysing the cultural and creative sectorýs technical capability in the digital environment.    On behalf of Cultural Ministers Council (CMC), the Department has convened a ýRoundtableý of officials from the Australian Government, all Australian States and Territories as well as New Zealand to undertake a mapping exercise identifying opportunities to strengthen the prospects for the creative sector in the digital environment. The Department is providing secretariat support to the Roundtable and is currently gathering information from a variety of sources, for a policy based mapping exercise. More information is at www.culture.gov.au/cmcroundtable/.    A technical capability study is sought to help inform the broader CMC Roundtable mapping exercise which the Department is currently undertaking. The study is to cover the full range of major government arts based agencies including performing arts, film, collection and training organisations as well as relevant peak bodies.  ",CULTURAL AND CREATIVE SECTORýS TECHNICAL CAPABILITY IN THE DIGITAL ENVIRONMENT,6159c38e9107b6df81b14ee1,81000000.0,1.0
6217,CCR/07/252,"Department of Communications, Information Technology and the Arts",Engineering and Research and Technology Based Services,26-Mar-07 2:00 pm,"The Department of Communications, Information Technology and the Arts invites Tenderers to research and provide a comprehensive written report into the investment environment in the Australian digital content industry.    The report will be made available to participants in a planned Investment Scoping Forum, as a reference for investigating ways to boost commercial investment in Australiaýs digital content industry.  The report will also be made available as a resource to the digital content industry.  ",AUSTRALIAN DIGITAL CONTENT INDUSTRY INVESTMENT REPORT,6159c38e9107b6df81b14eeb,81000000.0,1.0
6478,RFT 0607-182,Department of Defence - Melbourne,Engineering and Research and Technology Based Services,01-May-07 12:00 pm,To Provide An Experienced Engineer/Analyst.,To Provide An Experienced Engineer/Analyst.,6159c38e9107b6df81b14ff0,81000000.0,1.0
6708,RFT2007/811,Geoscience Australia,Geology and earth science,28-May-07 2:00 pm,Request for Tender for the provision of Marine Vessels for Industry Standard Seismic data Collection Services in Australian Waters.,Request for Tender for the provision of Marine Vessels for Industry Standard Seismic data Collection Services in Australian Waters,6159c38e9107b6df81b150d6,60104400.0,1.0
6872,342/0607,Department of Health,Medical science and research,14-Jun-07 2:00 pm,"The Department of Health and Ageing is seeking tenders from capable and experienced individuals or organisations to provide advice on a Trans-Tasman regulatory framework for Solid Organs, Tissues and Reproductive Tissues. Required advice will be formulated on the basis of information, to be provided by the Department, on existing regulations, non-legislative guidelines and stakeholders in Australian States and Territories and in New Zealand.","PROPOSED REGULATORY FRAMEWORK FOR SOLID ORGANS, TISSUES AND REPRODUCTIVE TISSUES",6159c38e9107b6df81b1517a,85131700.0,1.0
6889,225/0607,Department of Health,Medical science and research,15-Jun-07 2:00 pm,The Department of Health and Ageing is seeking tenders from capable and experienced individuals or organisations to undertake an evaluation of drug and alcohol and mental health cormorbidity treatment service models.,Service model evaluation of Drugs and Alcohol and Mental Health Comorbidity Treatment,6159c38e9107b6df81b1518b,85131700.0,1.0
6943,341/0607,Department of Health,Medical science and research,22-Jun-07 2:00 pm,.,Ecological Study: Investigation of the association of BreastScreen Australia participation with breast cancer mortality by statistical local area,6159c38e9107b6df81b151c1,85131700.0,1.0
6946,377/0607,Department of Health,Medical science and research,22-Jun-07 2:00 pm,"The Department of Health and Ageing is seeking tenders from capable and experienced individuals or organisations to develop guidelines on the management and treatment approaches for methamphetamine use for the general Alcohol and Other Drug workforce, pareticularly those frontline Alcohol and Other Drug workers that mayhave limited or no formal qualifications.",Guidelines on the management of methamphetamine use for the Alcohol and Other Drug workforce,6159c38e9107b6df81b151c4,85131700.0,1.0
6971,SO 2007/1055889,Department of Defence,Engineering and Research and Technology Based Services,26-Jun-07 5:00 pm,"Provide the Services for Project & Engineering Support to Defence Science and Technol;ogy Organisation's Weapons Systems Division, located at Edinburgh, South Australia, under a Standing Offer Panel Arrangement.",Standing Offer Panel Arrangement for Project & Engineering Support,6159c38e9107b6df81b151dd,81000000.0,1.0
6986,ITR 2007/09,Department of Defence,Engineering and Research and Technology Based Services,28-Jun-07 12:00 pm,"The Commonwealth, as represented by the Defence Signals Directorate (DSD), has a requirement for the establishment of a technical services panel to deliver a variety of services including software integration, communications systems engineering, infrastructure systems, network installation and software testing.",Technical Services Panel for the Department of Defence,6159c38e9107b6df81b151ec,81000000.0,1.0
7068,DAFF 120/07,Department of Agriculture,Engineering and Research and Technology Based Services,11-Jul-07 4:00 pm,"The Department of Agriculture, Fisheries and Forestry (DAFF), is seeking Expressions of Interest (EOI) from suitable laboratories for analytical testing for the range of NRS random monitoring programmes that will be operating in the 1 July 2008 to 30 June 2011 contract period.",Expressions of Interest for Chemical Analytical Testing for the NRS,6159c38e9107b6df81b1523e,81000000.0,1.0
7118,06/ACMA125,Australian Communications and Media Authority (ACMA),Research or testing facilities,18-Jul-07 2:00 pm,"ACMA requires a suitable organisation to perform tests to evaluate the effectiveness of ISP level content filtering products, perform an analysis of the features presently available in ISP content filtering products, and ascertain whether currently available ISP content filtering products are capable of filtering internet traffic other than HTTP based content.",Provision of closed environment testing of ISP level Internet Content Filters,6159c38e9107b6df81b15270,30222309.0,1.0
7149,CTDPO1/2007,Department of Defence,Engineering and Research and Technology Based Services,20-Jul-07 5:00 pm,The Department of Defence is seeking industry proposals for participation in the Capability and Technology Demonstrator (CTD) Program. ,Capability and Technology Demonstration Program call for Proposals,6159c38e9107b6df81b1528f,81000000.0,1.0
7212,EEO Roadmap,"Department of Industry, Tourism and Resources",Engineering and Research and Technology Based Services,30-Jul-07 2:00 pm,"The Commonwealth of Australia, acting through the Department of Industry, Tourism and Resources invites suitably qualified consultants/contractors to submit a proposal for a roadmap for the development of hydrogen technology in Australia.",Roadmap for the Development of Hydrogen Technology in Australia,6159c38e9107b6df81b152ce,81000000.0,1.0
7262,RFT 8-2007,Australian Federal Police,Engineering and Research and Technology Based Services,07-Aug-07 2:00 pm,The Provision of Information and Communication Technology Services,The Provision of Information and Communication Technology Services,6159c38e9107b6df81b15300,81000000.0,1.0
7267,0607-496,Department of the Environment and Water Resources,Engineering and Research and Technology Based Services,07-Aug-07 4:00 pm,"Provision of research services, using fire as an example, into the implications of changes arising from Climate Change to disturbance regimes for Biodiversity Conservation and Management.",National Case Study to Integrate Climate Change into Management of Fire in Areas Managed for Biodiversity Conservation,6159c38e9107b6df81b15305,81000000.0,1.0
7270,DITR GEOTHERMAL FRAMEWORK RFT 090707,"Department of Industry, Tourism and Resources",Engineering and Research and Technology Based Services,08-Aug-07 2:00 pm,"The Commonwealth of Australia, acting through the Department of Industry, Tourism and Resources invites suitably qualified consultants/contractors to submit a proposal for preparation of the Geothermal Industry Development Framework and Technology Roadmap.",Geothermal Industry Development Framework and Technology Roadmap,6159c38e9107b6df81b15308,81000000.0,1.0
7283,0607-457,Department of the Environment and Water Resources,Engineering and Research and Technology Based Services,09-Aug-07 4:00 pm,Provision of independent and accredited laboratory services for the testing of fuel samples taken by inspectors authorised under the Fuel Quality Standards Act 2000.,Provision of Laboratory Testing of Fuel Samples,6159c38e9107b6df81b15315,81000000.0,1.0
7321,2007-1080926,Department of Defence - DSRG,Engineering and Research and Technology Based Services,14-Aug-07 5:00 pm,"Command Control Communications and Intelligence Division  conducts research and development in advanced RF surveillance technologies to enhance the capabilities of the Australian Defence Organisation. Secure Communications Branch in C3ID has an active research program advanced multi-channel RF processing systems for the defence community.  C3ID is seeking the services of a software engineer in developing additional software components for an existing multi-channel, multi-processor Linux cluster based RF test-bed system. These services are required on a full time basis for 840 hours.",Linux Cluster Programming Support for SSL MultiChannel RF Tested,6159c38e9107b6df81b1533b,81000000.0,1.0
7351,DITR PPPE RFT 23072007,"Department of Industry, Tourism and Resources",Pharmaceutical research services,17-Aug-07 3:00 pm,The successful Tenderer will evaluate the performance of the Pharmaceuticals Partnerships Program (P3) in its first three years of operation,Pharmaceuticals Partnerships Program Evaluation,6159c38e9107b6df81b15359,85131701.0,1.0
7392,RFT 07.085,Australian Taxation Office,Engineering and Research and Technology Based Services,24-Aug-07 10:00 am,The Tax Office is involved in a cross government project called the Streamlining Australian Business Number (ABN) and Business Names Registration project.  The Tax Office has agreed to engage an external consultancy to assist in evaluating options for developing an automated names determination service. ,Automated Name Determination Service Consultancy,6159c38e9107b6df81b15382,81000000.0,1.0
7558,2007/1097373,Department of Defence - DSRG,Engineering and Research and Technology Based Services,12-Sep-07 5:00 pm,"Provide Staff to deliver a range of Design Drafting Services in support of Intelligence, Surveillance and Reconnaissance Division (ISRD)","Provision of Drawing Office Support for the Intelligence, Surveillance and Reconnaissance Division (ISRD), Defence Science & Technology Organisation (DSTO), Edinburgh SA",6159c38e9107b6df81b15428,81000000.0,1.0
7559,2007/1098882,Department of Defence - DSRG,Engineering and Research and Technology Based Services,12-Sep-07 5:00 pm,"Provision of an analogue Radio Frequency (RF) expert to support Intelligence, Surviellance & Reconnaissance Division's High Frequency (HF) Radar Program.","Provision of Radio Frequency (RF) Technical Advice in Design, Manufacture & Testing of High Frequency (HF) components for Intelligence, Surveillance and ReconnaissanceDivision (ISRD), Defence Science & Technology Organisation (DSTO), Edinburgh SA.",6159c38e9107b6df81b15429,81000000.0,1.0
7665,2007/1108016,Department of Defence - DSRG,Engineering and Research and Technology Based Services,25-Sep-07 5:00 pm,Defence Science and Technology Organisation (DSTO) Intelligence Surveillance and Reconnaissance Division (ISRD) requires Specialist Research Systems Engineering support in Geospatial Intelligence (GEOINT) Systems and Architectures ,Specialist Research Systems Engineering Support in Geospatial Intelligence (GEOINT) Systems and Architectures,6159c38e9107b6df81b15493,81000000.0,1.0
7675,2007-1101981,Department of Defence - DSRG,Engineering and Research and Technology Based Services,26-Sep-07 5:00 pm,"Provision of Programmer Support for Development of Critical Information Infrastructure Protection (CIIP) Intelligent Agents for Command, Control, Communications and Intelligence Division (C3ID) Edinburgh South Australia.  ",Provision of Porgrammer Support for Development of Critical Information Infrastructure Protection (CIIP) Intelligent Agents,6159c38e9107b6df81b1549d,81000000.0,1.0
7687,DITR ESMG RFT 270807,"Department of Industry, Tourism and Resources",Engineering and Research and Technology Based Services,28-Sep-07 3:00 pm,"The Department of Industry Tourism and Resources invites suitably qualified contractors to tender for the provision of an Energy Savings Measurement Guide on how to estimate, measure, evaluate and track the potential and actual energy and financial costs and benefits for energy efficiency projects.",Energy Savings Measurement Guide,6159c38e9107b6df81b154a9,81000000.0,1.0
7689,2007-1101171,Department of Defence - DSRG,Engineering and Research and Technology Based Services,28-Sep-07 5:00 pm,"Delivery of Mechanical Computer Aided Drafting Support Services, under a standing offer panel arrangement. ",Mechanical Computer Aided Drafting,6159c38e9107b6df81b154ab,81000000.0,1.0
7726,2007-1101189,Department of Defence - DSRG,Engineering and Research and Technology Based Services,03-Oct-07 5:00 pm,"Delivery of Engineering Design Services, under a standing offer panel arrangement.",Provision of Support in the field of Engineering Design,6159c38e9107b6df81b154d0,81000000.0,1.0
7740,2007- 1094110,Department of Defence - DSRG,Engineering and Research and Technology Based Services,04-Oct-07 5:00 pm,"Povision of Engineering Labour Services for Scientific & Engineering Services (SES), under a standing offer panel arrangement.",Provision of Engineering Labour,6159c38e9107b6df81b154de,81000000.0,1.0
7767,2007-1101182,Department of Defence - DSRG,Engineering and Research and Technology Based Services,08-Oct-07 5:00 pm,Provision of Electro-Mechanical Computer Aided Drafting Services under a Standing Offer Panel arrangement.,Provision of Electro-Mechanical Computer Aided Drafting Services,6159c38e9107b6df81b154f9,81000000.0,1.0
