,Name,Tag,Weight
54,Mohammad Abualsheikh,Lagrangian Relaxation,0.07
55,Mohammad Abualsheikh,Experimental Validation,0.07
56,Mohammad Abualsheikh,Convergence Speed,0.07
57,Mohammad Abualsheikh,Gateway,0.07
58,Mohammad Abualsheikh,Proliferation,0.07
59,Mohammad Abualsheikh,Temporal Correlation,0.07
60,Mohammad Abualsheikh,Data Fusion,0.07
61,Mohammad Abualsheikh,Energy Consumption,0.07
62,Mohammad Abualsheikh,Learning Algorithm,0.06
63,Mohammad Abualsheikh,Sensor,0.06
64,Mohammad Abualsheikh,Optimal Policy,0.06
65,Mohammad Abualsheikh,Spatial Correlation,0.06
66,Mohammad Abualsheikh,Inconsistent,0.06
67,Mohammad Abualsheikh,Spatial Data,0.06
68,Mohammad Abualsheikh,Dimensionality Reduction,0.06
69,Mohammad Abualsheikh,Congestion,0.05
70,Mohammad Abualsheikh,Learning,0.05
71,Mohammad Abualsheikh,Boats,1.0
72,Mohammad Abualsheikh,Internet of things,0.95
73,Mohammad Abualsheikh,Jamming,1.0
74,Mohammad Abualsheikh,Energy harvesting,0.17
75,Mohammad Abualsheikh,Reinforcement learning,0.17
76,Mohammad Abualsheikh,Machine learning,0.99
77,Mohammad Abualsheikh,Sales,0.53
78,Mohammad Abualsheikh,Profitability,0.94
79,Mohammad Abualsheikh,Costs,0.4
80,Mohammad Abualsheikh,Attack,0.88
81,Mohammad Abualsheikh,Equipment and Supplies,0.55
82,Mohammad Abualsheikh,Signal Jamming,0.47
83,Mohammad Abualsheikh,Deep Learning,0.35
84,Mohammad Abualsheikh,Crops,1.0
85,Mohammad Abualsheikh,Convolution,0.9
86,Mohammad Abualsheikh,Network architecture,0.84
87,Mohammad Abualsheikh,Neural networks,0.62
88,Mohammad Abualsheikh,Sensors,0.91
89,Mohammad Abualsheikh,Deep neural networks,1.0
90,Mohammad Abualsheikh,Websites,0.75
91,Mohammad Abualsheikh,Mobile Devices,1.0
92,Mohammad Abualsheikh,Sensing,0.74
93,Mohammad Abualsheikh,Policy,0.52
94,Mohammad Abualsheikh,Mobile computing,0.74
95,Mohammad Abualsheikh,Q-learning,0.45
96,Mohammad Abualsheikh,Data Analytics,1.0
97,Mohammad Abualsheikh,Game theory,0.31
98,Mohammad Abualsheikh,Big data,0.82
99,Mohammad Abualsheikh,Information management,0.98
100,Mohammad Abualsheikh,Learning algorithms,0.87
101,Mohammad Abualsheikh,Cellular telephones,0.25
102,Mohammad Abualsheikh,Accelerometers,1.0
103,Mohammad Abualsheikh,Deep learning,0.89
104,Mohammad Abualsheikh,Feature extraction,0.2
105,Mohammad Abualsheikh,Data Science,0.3
106,Mohammad Abualsheikh,Electric sparks,0.89
107,Mohammad Abualsheikh,Smartphones,0.2
108,Mohammad Abualsheikh,data compression,1.0
109,Mohammad Abualsheikh,Data compression,0.72
110,Mohammad Abualsheikh,Wireless sensor networks,1.0
111,Mohammad Abualsheikh,sensors,0.44
112,Mohammad Abualsheikh,compressing,0.29
113,Mohammad Abualsheikh,Stochastic systems,0.3
114,Mohammad Abualsheikh,Electronic data interchange,0.27
115,Mohammad Abualsheikh,Object detection,0.27
116,Mohammad Abualsheikh,Adaptive algorithms,0.25
117,Mohammad Abualsheikh,Glossaries,1.0
118,Mohammad Abualsheikh,Sensor nodes,0.8
119,Mohammad Abualsheikh,Monitoring,1.0
120,Mohammad Abualsheikh,Backpropagation,0.86
121,Mohammad Abualsheikh,Mobile robots,0.79
122,Mohammad Abualsheikh,Wireless Sensor Networks,1.0
123,Mohammad Abualsheikh,Data Compression,0.85
124,Mohammad Abualsheikh,Error Bounds,0.6
125,Mohammad Abualsheikh,Sensor networks,0.27
126,Misty Adoniou,teacher,1.0
127,Misty Adoniou,refugee,0.45
128,Misty Adoniou,literacy,0.87
129,Misty Adoniou,English language,0.63
130,Misty Adoniou,Teaching,0.63
131,Misty Adoniou,right to speak,0.51
132,Misty Adoniou,education,0.07
133,Misty Adoniou,classroom,0.49
134,Misty Adoniou,feature film,0.47
135,Misty Adoniou,educator,0.43
136,Misty Adoniou,multimodality,0.42
137,Misty Adoniou,student,0.27
138,Misty Adoniou,digital divide,0.35
139,Misty Adoniou,movies,0.34
140,Misty Adoniou,computer game,0.32
141,Misty Adoniou,genre,0.29
142,Misty Adoniou,new technology,0.26
143,Misty Adoniou,communication technology,0.26
144,Misty Adoniou,participation,0.08
145,Misty Adoniou,linguistics,0.25
146,Misty Adoniou,autonomy,0.23
147,Misty Adoniou,immigrant,0.23
148,Misty Adoniou,university,0.22
149,Misty Adoniou,mathematics,0.22
150,Misty Adoniou,experience,0.2
151,Misty Adoniou,Internet,0.2
152,Misty Adoniou,reform,0.19
153,Misty Adoniou,communication,0.17
154,Misty Adoniou,resettlement,0.14
155,Misty Adoniou,Group,0.13
156,Misty Adoniou,social status,0.1
157,Misty Adoniou,semiotics,0.1
158,Misty Adoniou,induction,0.1
159,Misty Adoniou,Access to schools,0.09
160,Misty Adoniou,colloquial,0.09
161,Misty Adoniou,long-term commitment,0.09
162,Misty Adoniou,political intervention,0.08
163,Misty Adoniou,UNHCR,0.08
164,Misty Adoniou,secondary school,0.08
165,Misty Adoniou,learning to read,0.07
166,Misty Adoniou,Humanitarian programs,0.07
167,Misty Adoniou,written language,0.07
168,Misty Adoniou,narrative,0.07
169,Misty Adoniou,profession,0.07
170,Misty Adoniou,staff,0.07
171,Misty Adoniou,learning,0.07
172,Misty Adoniou,political agenda,0.07
173,Misty Adoniou,spoken language,0.07
174,Misty Adoniou,leader,0.06
175,Misty Adoniou,Teacher Response,0.64
176,Misty Adoniou,Literacy,0.63
177,Misty Adoniou,English Language Learners,0.6
178,Misty Adoniou,Writing Development,0.52
179,Misty Adoniou,Education Reform,0.49
180,Misty Adoniou,Teacher Education,0.48
181,Misty Adoniou,Education Policy,0.47
182,Misty Adoniou,Spelling,0.34
183,Misty Adoniou,Autonomy,0.29
184,Misty Adoniou,Agenda,0.26
185,Misty Adoniou,Teacher Preparation,0.22
186,Misty Adoniou,Pedagogy,0.12
187,Misty Adoniou,Teacher Knowledge,0.11
188,Misty Adoniou,English Medium,0.1
189,Misty Adoniou,Teaching Strategies,0.1
190,Misty Adoniou,Teaching Writing,0.09
191,Misty Adoniou,Language Skills,0.09
192,Misty Adoniou,Teaching English,0.09
193,Misty Adoniou,Child Studies,0.09
194,Misty Adoniou,Primary School,0.08
195,Misty Adoniou,Text Type,0.08
196,Misty Adoniou,Graduation,0.07
197,Misty Adoniou,Cultural Background,0.07
198,Misty Adoniou,Convert,0.06
199,Misty Adoniou,Language,0.05
200,Misty Adoniou,school,0.28
201,Misty Adoniou,transition,0.2
202,Misty Adoniou,higher education,0.18
203,Misty Adoniou,socioeconomic status,0.17
204,Misty Adoniou,forced migration,0.07
205,Misty Adoniou,educational attainment,0.07
206,Misty Adoniou,pedagogy,0.07
207,Misty Adoniou,citizenship,0.07
208,Misty Adoniou,Commonwealth of Nations,0.06
209,Misty Adoniou,federal government,0.05
210,Misty Adoniou,immigration,0.05
211,Misty Adoniou,demography,0.05
212,Misty Adoniou,participation,1.0
213,Misty Adoniou,refugee,1.0
214,Misty Adoniou,education,0.36
215,Misty Adoniou,English language,0.45
216,Misty Adoniou,school education,0.32
217,Misty Adoniou,student,0.36
218,Misty Adoniou,resettlement,0.25
219,Misty Adoniou,cultural diversity,0.23
220,Misty Adoniou,school,0.63
221,Misty Adoniou,transition,0.44
222,Misty Adoniou,higher education,0.4
223,Misty Adoniou,experience,0.36
224,Misty Adoniou,UNHCR,0.3
225,Misty Adoniou,teacher,0.4
226,Misty Adoniou,teacher attitude,0.33
227,Misty Adoniou,probation,0.32
228,Misty Adoniou,educator,0.39
229,Misty Adoniou,Teacher Response,1.0
230,Misty Adoniou,Education Reform,0.77
231,Misty Adoniou,Agenda,0.42
232,Misty Adoniou,reform,0.3
233,Misty Adoniou,long-term commitment,0.65
234,Misty Adoniou,Teaching,0.56
235,Misty Adoniou,induction,0.24
236,Misty Adoniou,mentoring,0.42
237,Misty Adoniou,discourse,0.12
238,Misty Adoniou,learning,0.08
239,Misty Adoniou,right to speak,1.0
240,Misty Adoniou,literacy,1.0
241,Misty Adoniou,political intervention,0.17
242,Misty Adoniou,mathematics,0.82
243,Misty Adoniou,colloquial,0.33
244,Misty Adoniou,classroom,0.76
245,Misty Adoniou,curriculum,0.07
246,Misty Adoniou,Spelling,1.0
247,Misty Adoniou,Teacher Preparation,0.66
248,Misty Adoniou,Literacy,0.67
249,Misty Adoniou,English Language Learners,1.0
250,Misty Adoniou,Writing Development,0.86
251,Misty Adoniou,semiotics,0.18
252,Misty Adoniou,English Medium,0.17
253,Misty Adoniou,Teacher Education,1.0
254,Misty Adoniou,Education Policy,0.97
255,Misty Adoniou,Autonomy,0.61
256,Misty Adoniou,feature film,1.0
257,Misty Adoniou,multimodality,0.89
258,Misty Adoniou,digital divide,0.74
259,Misty Adoniou,movies,0.72
260,Misty Adoniou,computer game,0.67
261,Misty Adoniou,Access to schools,0.41
262,Misty Adoniou,learning to read,0.35
263,Ananthan Ambikairajah,Menopause,1.0
264,Ananthan Ambikairajah,Frontotemporal Dementia With Motor Neuron Disease,0.61
265,Ananthan Ambikairajah,Growth Differentiation Factor 15,0.61
266,Ananthan Ambikairajah,Meta-Analysis,0.6
267,Ananthan Ambikairajah,Fats,0.59
268,Ananthan Ambikairajah,Menstruation,0.44
269,Ananthan Ambikairajah,Transforming Growth Factors,0.41
270,Ananthan Ambikairajah,Confidence Intervals,0.37
271,Ananthan Ambikairajah,Knockout Mice,0.36
272,Ananthan Ambikairajah,Atrophy,0.34
273,Ananthan Ambikairajah,Waist-Hip Ratio,0.33
274,Ananthan Ambikairajah,Hippocampus,0.31
275,Ananthan Ambikairajah,Systematic Reviews,0.3
276,Ananthan Ambikairajah,Overweight,0.29
277,Ananthan Ambikairajah,Waist Circumference,0.29
278,Ananthan Ambikairajah,Obesity,0.27
279,Ananthan Ambikairajah,Lipids,0.25
280,Ananthan Ambikairajah,Brain,0.25
281,Ananthan Ambikairajah,Cytokines,0.24
282,Ananthan Ambikairajah,Body Mass Index,0.2
283,Ananthan Ambikairajah,Weights and Measures,0.2
284,Ananthan Ambikairajah,Gyrus Cinguli,0.2
285,Ananthan Ambikairajah,Motor Cortex,0.19
286,Ananthan Ambikairajah,Social Behavior,0.17
287,Ananthan Ambikairajah,Sensory Gating,0.13
288,Ananthan Ambikairajah,Menarche,0.13
289,Ananthan Ambikairajah,Prefrontal Cortex,0.12
290,Ananthan Ambikairajah,Conditioning (Psychology),0.1
291,Ananthan Ambikairajah,Locomotion,0.09
292,Ananthan Ambikairajah,Fear,0.08
293,Ananthan Ambikairajah,Adiposity,0.07
294,Ananthan Ambikairajah,Anxiety,0.07
295,Ananthan Ambikairajah,Prepulse Inhibition,0.06
296,Ananthan Ambikairajah,Temporal Lobe,0.06
297,Ananthan Ambikairajah,Stroke,0.05
298,Ananthan Ambikairajah,Spatial Memory,0.05
299,Ananthan Ambikairajah,HDL Lipoproteins,0.05
300,Ananthan Ambikairajah,LDL Lipoproteins,0.05
301,Ananthan Ambikairajah,Software,0.05
302,Ananthan Ambikairajah,growth differentiation factors,0.62
303,Ananthan Ambikairajah,transforming growth factors,0.52
304,Ananthan Ambikairajah,cytokines,0.37
305,Ananthan Ambikairajah,macrophages,0.35
306,Ananthan Ambikairajah,animal models,0.34
307,Ananthan Ambikairajah,social behavior,0.23
308,Ananthan Ambikairajah,mice,0.22
309,Ananthan Ambikairajah,anxiety,0.18
310,Ananthan Ambikairajah,conditioned behavior,0.18
311,Ananthan Ambikairajah,fearfulness,0.17
312,Ananthan Ambikairajah,locomotion,0.15
313,Ananthan Ambikairajah,adiposity,0.1
314,Ananthan Ambikairajah,physical activity,0.09
315,Ananthan Ambikairajah,cerebrospinal fluid,0.09
316,Ananthan Ambikairajah,energy expenditure,0.08
317,Ananthan Ambikairajah,neurotransmitters,0.08
318,Ananthan Ambikairajah,food intake,0.07
319,Ananthan Ambikairajah,stress response,0.06
320,Ananthan Ambikairajah,testing,0.06
321,Ananthan Ambikairajah,electronics,0.27
322,Ananthan Ambikairajah,examination,0.22
323,Ananthan Ambikairajah,student,0.19
324,Ananthan Ambikairajah,learning aid,0.13
325,Ananthan Ambikairajah,experience,0.12
326,Ananthan Ambikairajah,software,0.1
327,Ananthan Ambikairajah,history of science,0.1
328,Ananthan Ambikairajah,philosophy of science,0.09
329,Ananthan Ambikairajah,self-determination,0.09
330,Ananthan Ambikairajah,university,0.08
331,Ananthan Ambikairajah,research planning,0.06
332,Ananthan Ambikairajah,communication,0.05
333,Ananthan Ambikairajah,methodology,0.05
334,Ananthan Ambikairajah,Engagement,1.0
335,Ananthan Ambikairajah,Students,0.47
336,Ananthan Ambikairajah,Strategy,0.45
337,Ananthan Ambikairajah,Feedback,0.3
338,Ananthan Ambikairajah,Leverage,0.27
339,Ananthan Ambikairajah,Menstruation,1.0
340,Ananthan Ambikairajah,Confidence Intervals,0.35
341,Ananthan Ambikairajah,Brain,0.43
342,Ananthan Ambikairajah,Menopause,1.0
343,Ananthan Ambikairajah,Menarche,0.29
344,Ananthan Ambikairajah,Hippocampus,1.0
345,Ananthan Ambikairajah,Waist-Hip Ratio,0.96
346,Ananthan Ambikairajah,Fats,0.73
347,Ananthan Ambikairajah,Overweight,0.93
348,Ananthan Ambikairajah,Obesity,0.88
349,Ananthan Ambikairajah,electronics,1.0
350,Ananthan Ambikairajah,examination,0.82
351,Ananthan Ambikairajah,experience,0.45
352,Ananthan Ambikairajah,software,0.39
353,Ananthan Ambikairajah,history of science,0.36
354,Ananthan Ambikairajah,Meta-Analysis,0.74
355,Ananthan Ambikairajah,Systematic Reviews,0.73
356,Ananthan Ambikairajah,Lipids,0.63
357,Ananthan Ambikairajah,HDL Lipoproteins,0.12
358,Ananthan Ambikairajah,LDL Lipoproteins,0.12
359,Ananthan Ambikairajah,growth differentiation factors,1.0
360,Ananthan Ambikairajah,Growth Differentiation Factor 15,0.98
361,Ananthan Ambikairajah,transforming growth factors,0.84
362,Ananthan Ambikairajah,Transforming Growth Factors,0.66
363,Ananthan Ambikairajah,cytokines,0.6
364,Ananthan Ambikairajah,Frontotemporal Dementia With Motor Neuron Disease,1.0
365,Ananthan Ambikairajah,Atrophy,0.55
366,Ananthan Ambikairajah,Gyrus Cinguli,0.33
367,Ananthan Ambikairajah,Motor Cortex,0.32
368,Ananthan Ambikairajah,Prefrontal Cortex,0.19
369,Craig Applegate,Cost-benefit Analysis,1.0
370,Craig Applegate,Distributional Impacts,0.89
371,Craig Applegate,Codes of Conduct,0.84
372,Craig Applegate,Microfinance,0.73
373,Craig Applegate,Airports,0.68
374,Craig Applegate,Discount Rate,0.68
375,Craig Applegate,Microfinance Institutions,0.63
376,Craig Applegate,India,0.29
377,Craig Applegate,Workable Competition,0.25
378,Craig Applegate,Central Bank,0.24
379,Craig Applegate,Reserve Bank,0.16
380,Craig Applegate,Toolkit,0.15
381,Craig Applegate,Enforcement,0.15
382,Craig Applegate,Regulatory Framework,0.14
383,Craig Applegate,Business Practices,0.13
384,Craig Applegate,Functioning,0.11
385,Craig Applegate,Investors,0.08
386,Craig Applegate,trade agreement,0.74
387,Craig Applegate,insurance,0.65
388,Craig Applegate,dispute resolution mechanism,0.5
389,Craig Applegate,investment policy,0.47
390,Craig Applegate,welfare economics,0.46
391,Craig Applegate,trade policy,0.39
392,Craig Applegate,constitutional state,0.34
393,Craig Applegate,investor,0.33
394,Craig Applegate,productivity,0.28
395,Craig Applegate,Codes of Conduct,1.0
396,Craig Applegate,Microfinance,0.87
397,Craig Applegate,Microfinance Institutions,0.75
398,Craig Applegate,India,0.35
399,Craig Applegate,Workable Competition,0.29
400,Craig Applegate,trade agreement,1.0
401,Craig Applegate,insurance,0.88
402,Craig Applegate,dispute resolution mechanism,0.68
403,Craig Applegate,investment policy,0.63
404,Craig Applegate,welfare economics,0.62
405,Craig Applegate,Cost-benefit Analysis,1.0
406,Craig Applegate,Distributional Impacts,0.89
407,Craig Applegate,Airports,0.68
408,Craig Applegate,Discount Rate,0.68
409,Hans Asenbaum,deliberative democracy,1.0
410,Hans Asenbaum,democracy,0.88
411,Hans Asenbaum,anonymity,0.77
412,Hans Asenbaum,subjectivity,0.62
413,Hans Asenbaum,political participation,0.58
414,Hans Asenbaum,deliberation,0.56
415,Hans Asenbaum,inclusion,0.52
416,Hans Asenbaum,politics,0.5
417,Hans Asenbaum,corporeality,0.49
418,Hans Asenbaum,participation,0.38
419,Hans Asenbaum,political theory,0.37
420,Hans Asenbaum,protest,0.35
421,Hans Asenbaum,wisdom,0.32
422,Hans Asenbaum,nihilism,0.26
423,Hans Asenbaum,speaking,0.26
424,Hans Asenbaum,virtual reality,0.26
425,Hans Asenbaum,emotion,0.25
426,Hans Asenbaum,Austria,0.23
427,Hans Asenbaum,innovation,0.22
428,Hans Asenbaum,idealism,0.22
429,Hans Asenbaum,equality,0.21
430,Hans Asenbaum,cohabitation,0.2
431,Hans Asenbaum,economic theory,0.19
432,Hans Asenbaum,communication,0.18
433,Hans Asenbaum,humor,0.18
434,Hans Asenbaum,frustration,0.17
435,Hans Asenbaum,anger,0.16
436,Hans Asenbaum,political science,0.16
437,Hans Asenbaum,Ideologies,0.15
438,Hans Asenbaum,persistence,0.15
439,Hans Asenbaum,non-verbal communication,0.14
440,Hans Asenbaum,empowerment,0.14
441,Hans Asenbaum,public policy,0.13
442,Hans Asenbaum,interaction,0.12
443,Hans Asenbaum,queer theory,0.11
444,Hans Asenbaum,moderator,0.11
445,Hans Asenbaum,gender,0.1
446,Hans Asenbaum,national minority,0.1
447,Hans Asenbaum,expertise,0.08
448,Hans Asenbaum,domination,0.08
449,Hans Asenbaum,minority,0.08
450,Hans Asenbaum,citizen,0.07
451,Hans Asenbaum,decision making,0.07
452,Hans Asenbaum,Group,0.07
453,Hans Asenbaum,criticism,0.07
454,Hans Asenbaum,graffiti,0.06
455,Hans Asenbaum,discrimination,0.06
456,Hans Asenbaum,citizens' participation,0.06
457,Hans Asenbaum,subversion,0.06
458,Hans Asenbaum,Political Theory,0.51
459,Hans Asenbaum,Democratic Theory,0.46
460,Hans Asenbaum,Perestroika,0.45
461,Hans Asenbaum,Discursive,0.44
462,Hans Asenbaum,Corporeality,0.42
463,Hans Asenbaum,Subjectivity,0.39
464,Hans Asenbaum,History of Ideas,0.38
465,Hans Asenbaum,Materialist,0.35
466,Hans Asenbaum,Democracy,0.35
467,Hans Asenbaum,Russia,0.26
468,Hans Asenbaum,Political Participation,0.26
469,Hans Asenbaum,Political Science,0.21
470,Hans Asenbaum,Cyberspace,0.21
471,Hans Asenbaum,Textuality,0.2
472,Hans Asenbaum,Digital Age,0.2
473,Hans Asenbaum,Economic Theory,0.19
474,Hans Asenbaum,Public Policy,0.18
475,Hans Asenbaum,Social Theory,0.18
476,Hans Asenbaum,Social Interaction,0.17
477,Hans Asenbaum,Materialism,0.17
478,Hans Asenbaum,Materiality,0.16
479,Hans Asenbaum,Philosophy,0.15
480,Hans Asenbaum,Socialist,0.14
481,Hans Asenbaum,Regular,0.14
482,Hans Asenbaum,Participation,0.13
483,Hans Asenbaum,Samizdat,0.13
484,Hans Asenbaum,End of History,0.11
485,Hans Asenbaum,Mikhail Gorbachev,0.11
486,Hans Asenbaum,Hindsight,0.1
487,Hans Asenbaum,Civil Society,0.1
488,Hans Asenbaum,Moscow,0.1
489,Hans Asenbaum,Thought,0.1
490,Hans Asenbaum,Social Organization,0.09
491,Hans Asenbaum,Clubs,0.08
492,Hans Asenbaum,Declaration,0.08
493,Hans Asenbaum,Demise,0.08
494,Hans Asenbaum,Activists,0.07
495,Hans Asenbaum,Historic,0.07
496,Hans Asenbaum,Paradigm,0.06
497,Hans Asenbaum,Experiment,0.05
498,Hans Asenbaum,political participation,0.13
499,Hans Asenbaum,protest,0.86
500,Hans Asenbaum,participation,0.52
501,Hans Asenbaum,deliberative democracy,1.0
502,Hans Asenbaum,deliberation,0.51
503,Hans Asenbaum,speaking,0.6
504,Hans Asenbaum,politics,0.53
505,Hans Asenbaum,queer theory,0.57
506,Hans Asenbaum,equality,0.36
507,Hans Asenbaum,discrimination,0.33
508,Hans Asenbaum,citizen,0.27
509,Hans Asenbaum,Public health,1.0
510,Hans Asenbaum,Fluxes,0.67
511,Hans Asenbaum,Democracy,0.71
512,Hans Asenbaum,democracy,0.3
513,Hans Asenbaum,Participatory Democracy,0.29
514,Hans Asenbaum,inclusion,0.74
515,Hans Asenbaum,asymmetry,0.48
516,Hans Asenbaum,communication,0.42
517,Hans Asenbaum,non-verbal communication,0.33
518,Hans Asenbaum,corporeality,1.0
519,Hans Asenbaum,Corporeality,0.85
520,Hans Asenbaum,Subjectivity,0.8
521,Hans Asenbaum,Materialist,0.72
522,Hans Asenbaum,Political Theory,1.0
523,Hans Asenbaum,Democratic Theory,0.9
524,Hans Asenbaum,political theory,0.72
525,Hans Asenbaum,Political Science,0.42
526,Hans Asenbaum,Economic Theory,0.38
527,Hans Asenbaum,anonymity,1.0
528,Hans Asenbaum,graffiti,0.17
529,Hans Asenbaum,subversion,0.15
530,Hans Asenbaum,Cyborgs,1.0
531,Hans Asenbaum,subjectivity,0.5
532,Hans Asenbaum,nihilism,0.43
533,Hans Asenbaum,emotion,0.41
534,Hans Asenbaum,idealism,0.36
535,Hans Asenbaum,persistence,0.4
536,Hans Asenbaum,virtual reality,0.22
537,Hans Asenbaum,domination,0.22
538,Hans Asenbaum,wisdom,1.0
539,Hans Asenbaum,Austria,0.73
540,Hans Asenbaum,innovation,0.7
541,Hans Asenbaum,moderator,0.34
542,Hans Asenbaum,Perestroika,1.0
543,Hans Asenbaum,History of Ideas,0.85
544,Hans Asenbaum,Russia,0.59
545,Hans Asenbaum,Socialist,0.32
546,Hans Asenbaum,Samizdat,0.29
547,Regan Ashby,Myopia,1.0
548,Regan Ashby,Eye,0.32
549,Regan Ashby,Lenses,0.32
550,Regan Ashby,Chickens,0.24
551,Regan Ashby,Growth,0.22
552,Regan Ashby,Light,0.21
553,Regan Ashby,Levodopa,0.19
554,Regan Ashby,Dopamine,0.19
555,Regan Ashby,Bees,0.17
556,Regan Ashby,Retina,0.13
557,Regan Ashby,Honey,0.13
558,Regan Ashby,RNA,0.1
559,Regan Ashby,ADTN,0.08
560,Regan Ashby,Social Class,0.08
561,Regan Ashby,Carbidopa,0.07
562,Regan Ashby,MicroRNAs,0.07
563,Regan Ashby,Swainsonine,0.07
564,Regan Ashby,Mannosidases,0.07
565,Regan Ashby,Atropine,0.07
566,Regan Ashby,Animals,0.07
567,Regan Ashby,Amacrine Cells,0.06
568,Regan Ashby,Refractive Errors,0.06
569,Regan Ashby,Muscarinic Antagonists,0.06
570,Regan Ashby,Dopamine Agonists,0.06
571,Regan Ashby,Spiperone,0.06
572,Regan Ashby,Animal Models,0.05
573,Regan Ashby,Crystallins,0.05
574,Regan Ashby,levodopa drug combination carbidopa,0.05
575,Regan Ashby,Dopamine D1 Receptors,0.05
576,Regan Ashby,Apis mellifera,0.09
577,Regan Ashby,honey bees,0.08
578,Regan Ashby,swainsonine,0.06
579,Regan Ashby,mannosidases,0.06
580,Regan Ashby,Carbidopa,0.26
581,Regan Ashby,levodopa drug combination carbidopa,0.86
582,Regan Ashby,Myopia,1.0
583,Regan Ashby,Levodopa,1.0
584,Regan Ashby,Chickens,0.79
585,Regan Ashby,complementarity,1.0
586,Regan Ashby,microRNA,0.85
587,Regan Ashby,Animals,0.06
588,Regan Ashby,Conservation,0.8
589,Regan Ashby,branching,0.77
590,Regan Ashby,Lenses,0.84
591,Regan Ashby,Pharmacology,0.59
592,Regan Ashby,ADTN,0.87
593,Regan Ashby,Dopamine,0.45
594,Regan Ashby,Spiperone,0.41
595,Regan Ashby,SCH 23390,0.17
596,Regan Ashby,Bhutan,0.33
597,Regan Ashby,Referral and Consultation,0.14
598,Regan Ashby,Logistic Models,0.13
599,Regan Ashby,Southeastern Asia,0.12
600,Regan Ashby,Ophthalmic Solutions,0.37
601,Regan Ashby,Intravitreal Injections,0.3
602,Regan Ashby,Deuterium,0.17
603,Regan Ashby,Eye,0.5
604,Regan Ashby,Safety,0.52
605,Regan Ashby,Theoretical Models,0.72
606,Regan Ashby,Growth,0.42
607,Regan Ashby,Animal Models,0.27
608,Regan Ashby,Epidemics,0.77
609,Regan Ashby,Causality,0.16
610,Regan Ashby,Young Adult,0.14
611,Regan Ashby,Degenerative Myopia,0.14
612,Regan Ashby,Dopamine D1 Receptors,1.0
613,Regan Ashby,Light,0.63
614,Regan Ashby,ecopipam,0.21
615,Regan Ashby,Retina,0.71
616,Regan Ashby,caste,1.0
617,Regan Ashby,honeybee,0.99
618,Regan Ashby,Bees,1.0
619,Regan Ashby,bee,0.83
620,Regan Ashby,methylation,0.8
621,Regan Ashby,Swainsonine,1.0
622,Regan Ashby,Mannosidases,0.99
623,Regan Ashby,swainsonine,0.91
624,Regan Ashby,mannosidases,0.86
