category,title,desc,id,text,is_on
Management advisory services,Private Financing Advisory Services Panel,Appointment of a panel to provide a range of private financing advisory services to both the Department of Finance and Administration and other Australian Government departments and agencies interested in using this procurement method.,Tenders6162aa1fe1b7f5c73e6fdfe3,Private Financing Advisory Services Panel.Appointment of a panel to provide a range of private financing advisory services to both the Department of Finance and Administration and other Australian Government departments and agencies interested in using this procurement method.,0
Management advisory services,Analysis of Service Activity Reporting for Australian Government funded Aboriginal and Torres Strait Islander primary health care services,Analysis of Service Activity Reporting for Australian Government funded Aboriginal and Torres Strait Islander primary health care services,Tenders6162aa1fe1b7f5c73e6fdfe4,Analysis of Service Activity Reporting for Australian Government funded Aboriginal and Torres Strait Islander primary health care services.Analysis of Service Activity Reporting for Australian Government funded Aboriginal and Torres Strait Islander primary health care services,0
Healthcare Services,EMPLOYEE COUNSELLING SERVICES,Centrelink requires a suitably qualified organisation to provide professional counselling services.,Tenders6162aa1fe1b7f5c73e6fdfe5,EMPLOYEE COUNSELLING SERVICES.Centrelink requires a suitably qualified organisation to provide professional counselling services.,0
Specialised educational services,Provision of IT Training Services,Provision of IT Training Services,Tenders6162aa1fe1b7f5c73e6fdfe6,Provision of IT Training Services.Provision of IT Training Services,0
Management advisory services,Systematic Review of literature on Cardiac Rehabilitation Services for Aboriginal and Torres Strait Islander peoples,Systematic Review of literature on Cardiac Rehabilitation Services for Aboriginal and Torres Strait Islander peoples,Tenders6162aa1fe1b7f5c73e6fdfe7,Systematic Review of literature on Cardiac Rehabilitation Services for Aboriginal and Torres Strait Islander peoples.Systematic Review of literature on Cardiac Rehabilitation Services for Aboriginal and Torres Strait Islander peoples,0
Management advisory services,External evaluation of PBAC submissions,External evaluation of PBAC submissions,Tenders6162aa1fe1b7f5c73e6fdfe8,External evaluation of PBAC submissions.External evaluation of PBAC submissions,0
Management advisory services,AGIMO - Website Management Services Panel Arrengement,The Australian Government Information Management Office (AGIMO) is seeking to establish three panels of suitably qualified and experienced organisations to provide ongoing website management services and advice.,Tenders6162aa1fe1b7f5c73e6fdfe9,AGIMO - Website Management Services Panel Arrengement.The Australian Government Information Management Office (AGIMO) is seeking to establish three panels of suitably qualified and experienced organisations to provide ongoing website management services and advice.,0
Management advisory services,AGIMO - Consultancy services to conduct a review of the AGIMO corporate services function,Consultancy to conduct a review of the corporate services for the Australian Government Information Management Office (AGIMO),Tenders6162aa1fe1b7f5c73e6fdfea,AGIMO - Consultancy services to conduct a review of the AGIMO corporate services function.Consultancy to conduct a review of the corporate services for the Australian Government Information Management Office (AGIMO),0
Management advisory services,Provision of Solution Development and Implementation Services to the Department of Finance and Administration,BEFR: Phase 3 Solution Development and Implementation,Tenders6162aa1fe1b7f5c73e6fdfeb,Provision of Solution Development and Implementation Services to the Department of Finance and Administration.BEFR: Phase 3 Solution Development and Implementation,0
Management advisory services,ATO – Executive Coaching Services,Invitation to tender for the provision of Executive Coaching Services under a panel arrangement.,Tenders6162aa1fe1b7f5c73e6fdfec,ATO – Executive Coaching Services.Invitation to tender for the provision of Executive Coaching Services under a panel arrangement.,0
Environmental Services,Wetland prioritisation - decision support system development,Prioritisation of wetlands for investment.,Tenders6162aa1fe1b7f5c73e6fdfed,Wetland prioritisation - decision support system development.Prioritisation of wetlands for investment.,0
Education and Training Services,CSIRO RFT 2004-008 Team Building and Change Management Programme,"The purpose of the CSIRO IT Team Building and Change Management Programme is to establish the new culture for CSIRO IT by providing CSIRO IT staff with the skills to understand, manage and drive change, and to work as teams to build an effective One-CSIRO IT research support function.",Tenders6162aa1fe1b7f5c73e6fdfee,"CSIRO RFT 2004-008 Team Building and Change Management Programme.The purpose of the CSIRO IT Team Building and Change Management Programme is to establish the new culture for CSIRO IT by providing CSIRO IT staff with the skills to understand, manage and drive change, and to work as teams to build an effective One-CSIRO IT research support function.",0
Management advisory services,DSTO Technology Transfer Advisory Group (TTAG),"The Department of Defence is seeking to identify capable and experienced organisations, companies or consortia that have the ability to provide expertise to assist DSTO in commercialising its innovations. It is anticipated the TTAG will comprise three org",Tenders6162aa1fe1b7f5c73e6fdfef,"DSTO Technology Transfer Advisory Group (TTAG).The Department of Defence is seeking to identify capable and experienced organisations, companies or consortia that have the ability to provide expertise to assist DSTO in commercialising its innovations. It is anticipated the TTAG will comprise three org",0
Education and Training Services,Strategic Partnerships in Information and Communication Technology (ICT) Teacher Development,"A project to support a number of pilot projects, one in each state and territory, to develop, trial and evaluate forms of partnerships between universities, system and schools.",Tenders6162aa1fe1b7f5c73e6fdff0,"Strategic Partnerships in Information and Communication Technology (ICT) Teacher Development.A project to support a number of pilot projects, one in each state and territory, to develop, trial and evaluate forms of partnerships between universities, system and schools.",0
Management advisory services,Regional research project: Diversity and Inclusion,"Regional research project on diversity and inclusion, the  impacts on regional Communities",Tenders6162aa1fe1b7f5c73e6fdff1,"Regional research project: Diversity and Inclusion.Regional research project on diversity and inclusion, the  impacts on regional Communities",0
Management advisory services,Administrative Accountability Frameworks EOI,Austrade is seeking an  Expression of Interest from organisations with relevant experience in developing administrative accountability frameworks in public and private sector entities.,Tenders6162aa1fe1b7f5c73e6fdff2,Administrative Accountability Frameworks EOI.Austrade is seeking an  Expression of Interest from organisations with relevant experience in developing administrative accountability frameworks in public and private sector entities.,0
Disease prevention and control,Pathology Services for the Joint Health Support Agency,"The Department of Defence invites suitably qualified and experienced private and public organisations to register interest for the provision of Pathology Services, for the Joint Health Support Agency.    Pathology Services will be required for Defence per",Tenders6162aa1fe1b7f5c73e6fdff3,"Pathology Services for the Joint Health Support Agency.The Department of Defence invites suitably qualified and experienced private and public organisations to register interest for the provision of Pathology Services, for the Joint Health Support Agency.    Pathology Services will be required for Defence per",0
Management advisory services,PROPOSAL TO ESTABLISH A MEDICAL RESEARCH ENDOWMENT SCHEME (MRES) FOR THE NATIONAL HEALTH AND MEDICAL RESEARCH COUNCIL ( NHMRC),PROPOSAL TO ESTABLISH A MEDICAL RESEARCH ENDOWMENT SCHEME,Tenders6162aa1fe1b7f5c73e6fdff4,PROPOSAL TO ESTABLISH A MEDICAL RESEARCH ENDOWMENT SCHEME (MRES) FOR THE NATIONAL HEALTH AND MEDICAL RESEARCH COUNCIL ( NHMRC).PROPOSAL TO ESTABLISH A MEDICAL RESEARCH ENDOWMENT SCHEME,0
Education and Training Services,Provision of Team Building Services,The delivery of Team Building Training Programs,Tenders6162aa1fe1b7f5c73e6fdff5,Provision of Team Building Services.The delivery of Team Building Training Programs,0
Specialised educational services,Delivery of Finance and Business Management Training Courses,"The Department of Defence (Defence), through the Defence Business Training Centre (DBTC), is seeking to establish Standing Offer arrangements for the delivery of Finance and Business Management (FBM) training to members of the Defence organisation across",Tenders6162aa1fe1b7f5c73e6fdff6,"Delivery of Finance and Business Management Training Courses.The Department of Defence (Defence), through the Defence Business Training Centre (DBTC), is seeking to establish Standing Offer arrangements for the delivery of Finance and Business Management (FBM) training to members of the Defence organisation across",0
Engineering and Research and Technology Based Services,Laboratory And Technical Services For Illicit Drug Testing To The ADF,Laboratory And Technical Services For Illicit Drug Testing To The ADF,Tenders6162aa1fe1b7f5c73e6fdff7,Laboratory And Technical Services For Illicit Drug Testing To The ADF.Laboratory And Technical Services For Illicit Drug Testing To The ADF,0
Management advisory services,CSIRO Communications National Branding,"CSIRO invites tenders to conduct a CSIRO National Branding, Positioning and Performance Study for its Marketing Research Program. The successful consultant may be required to undertake other phases of the research program related to the development and implementation of research such as benchmarking analysis, competitor analysis and attitude tracking programs. ",Tenders6162aa1fe1b7f5c73e6fdff8,"CSIRO Communications National Branding.CSIRO invites tenders to conduct a CSIRO National Branding, Positioning and Performance Study for its Marketing Research Program. The successful consultant may be required to undertake other phases of the research program related to the development and implementation of research such as benchmarking analysis, competitor analysis and attitude tracking programs. ",0
Specialised educational services,Young Rural Leaders` Course,"The Australian Government Department of Agriculture, Fisheries and Forestry is seeking tenders for the development, delivery, and evaluation of the Young Rural Leaders  Course.",Tenders6162aa1fe1b7f5c73e6fdff9,"Young Rural Leaders` Course.The Australian Government Department of Agriculture, Fisheries and Forestry is seeking tenders for the development, delivery, and evaluation of the Young Rural Leaders  Course.",0
Specialised educational services,Development and Delivery of the Militray Communications Program (MCP),The Commonwealth is seeking a service provider with relevant training development and assessment experience and/or qualifications in a competency-based training environment.,Tenders6162aa1fe1b7f5c73e6fdffa,Development and Delivery of the Militray Communications Program (MCP).The Commonwealth is seeking a service provider with relevant training development and assessment experience and/or qualifications in a competency-based training environment.,0
Environmental Services,REQUEST FOR TENDER NO.DCON/04/126,"The Department of Communications, Information Technology and the Arts invites suitably qualified consultants to submit a proposal for Provision of occasional heritage and conservation advice to Old Parliament House (OPH).",Tenders6162aa1fe1b7f5c73e6fdffb,"REQUEST FOR TENDER NO.DCON/04/126.The Department of Communications, Information Technology and the Arts invites suitably qualified consultants to submit a proposal for Provision of occasional heritage and conservation advice to Old Parliament House (OPH).",0
Engineering and Research and Technology Based Services,Product Lifecycle And Common Maintenance Management Systems.,Product Lifecycle And Common Maintenance Management Systems.,Tenders6162aa1fe1b7f5c73e6fdffc,Product Lifecycle And Common Maintenance Management Systems..Product Lifecycle And Common Maintenance Management Systems.,0
Education and Training Services,Forward Deployable Biological Agent Analysis Capability,Forward Deployable Biological Agent Analysis Capability,Tenders6162aa1fe1b7f5c73e6fdffd,Forward Deployable Biological Agent Analysis Capability.Forward Deployable Biological Agent Analysis Capability,0
Specialised educational services,Subject Four Sergeant ECN 405 Technology Module and ECN 405 Manager Telecommunicatins Systems Update Course for the Defence Force School of Signals,Communication and Information Systems Technology Trends Training,Tenders6162aa1fe1b7f5c73e6fdffe,Subject Four Sergeant ECN 405 Technology Module and ECN 405 Manager Telecommunicatins Systems Update Course for the Defence Force School of Signals.Communication and Information Systems Technology Trends Training,0
Specialised educational services,Provision of Illustrator Reprographic Trade Training,"This project seeks to use a Defence Contractor to provide Illustrator Reprographic training to selected corporals and sergeants, as a component of their trade and promotion training for the School of Military Engineering.",Tenders6162aa1fe1b7f5c73e6fdfff,"Provision of Illustrator Reprographic Trade Training.This project seeks to use a Defence Contractor to provide Illustrator Reprographic training to selected corporals and sergeants, as a component of their trade and promotion training for the School of Military Engineering.",0
Specialised educational services,ATO - Professional Development & Education Services,Professional Development and Education Services to be provided under a Deed of Agreement.,Tenders6162aa1fe1b7f5c73e6fe000,ATO - Professional Development & Education Services.Professional Development and Education Services to be provided under a Deed of Agreement.,0
Management advisory services,Request for tender for provision of cultural mapping service,Centrelink seeks tenders from suitably qualified organisations to provide cultural mapping service to its offices across Australia.  Centrelink seeks to engage a consultant for a three year period under a standing offer arrangement. ,Tenders6162aa1fe1b7f5c73e6fe001,Request for tender for provision of cultural mapping service.Centrelink seeks tenders from suitably qualified organisations to provide cultural mapping service to its offices across Australia.  Centrelink seeks to engage a consultant for a three year period under a standing offer arrangement. ,0
Education and Training Services,Development of an Indigenous Intellectual Property Toolkit for the Cultural Ministers  Council,"        A project to raise awareness about  Indigenous Intellectual Property has been developed by the Cultural Ministers   Council, as part of the Council of Australian Governments  (COAG)  Reconciliation Framework. The project recognises Indigenous people as the  custodians of their cultural heritage and promotes greater respect and  responsibility in the dissemination of Indigenous stories, art works and  cultural knowledge. The project will educate people about copyright and moral  rights that apply to the publication and reproduction of Indigenous cultural  expressions. It will also improve understandings between commercial business  operators and Indigenous communities.             ",Tenders6162aa1fe1b7f5c73e6fe002,"Development of an Indigenous Intellectual Property Toolkit for the Cultural Ministers  Council.        A project to raise awareness about  Indigenous Intellectual Property has been developed by the Cultural Ministers   Council, as part of the Council of Australian Governments  (COAG)  Reconciliation Framework. The project recognises Indigenous people as the  custodians of their cultural heritage and promotes greater respect and  responsibility in the dissemination of Indigenous stories, art works and  cultural knowledge. The project will educate people about copyright and moral  rights that apply to the publication and reproduction of Indigenous cultural  expressions. It will also improve understandings between commercial business  operators and Indigenous communities.             ",0
Specialised educational services,Provision of Services to Develop Self Paced Learning and Assessment Resources on a Standing Offer Arrangement,Development of Self Paced Learning and Assessment Resources on a Standing Offer Arrangement,Tenders6162aa1fe1b7f5c73e6fe003,Provision of Services to Develop Self Paced Learning and Assessment Resources on a Standing Offer Arrangement.Development of Self Paced Learning and Assessment Resources on a Standing Offer Arrangement,0
Specialised educational services,Provision of services to develop and deliver Occupational Health and Safety courses,"Develop curricula and associated courseware, then deliver training to Air Force Safety Advisers and Safety Coordinators.",Tenders6162aa1fe1b7f5c73e6fe004,"Provision of services to develop and deliver Occupational Health and Safety courses.Develop curricula and associated courseware, then deliver training to Air Force Safety Advisers and Safety Coordinators.",0
Management advisory services,Provision of Management Services for the Relocation of Staff and Equipment,Provision of Management Services for the Relocation of Staff and Equipment,Tenders6162aa1fe1b7f5c73e6fe005,Provision of Management Services for the Relocation of Staff and Equipment.Provision of Management Services for the Relocation of Staff and Equipment,0
Management advisory services,Provision of Complex Academic Research Services for the Tax Office.,Provision of Complex Academic Research Services for the Tax Office.,Tenders6162aa1fe1b7f5c73e6fe006,Provision of Complex Academic Research Services for the Tax Office..Provision of Complex Academic Research Services for the Tax Office.,0
Management advisory services,ATO –Performance Audit – Fraud Planning process,Performance Audit - Fraud Planning.,Tenders6162aa1fe1b7f5c73e6fe007,ATO –Performance Audit – Fraud Planning process.Performance Audit - Fraud Planning.,0
Management advisory services,ATO –Performance Audit Strategic IT Governance,Performance Audit Strategic IT Governance,Tenders6162aa1fe1b7f5c73e6fe008,ATO –Performance Audit Strategic IT Governance.Performance Audit Strategic IT Governance,0
Education and Training Services,Training Program - Winning Investment for Australia,Invest Australia - the Australian Government`s inward investment agency - is seeking to appoint a training provider to develop and deliver the Winning Investment for Australia training program.   ,Tenders6162aa1fe1b7f5c73e6fe009,Training Program - Winning Investment for Australia.Invest Australia - the Australian Government`s inward investment agency - is seeking to appoint a training provider to develop and deliver the Winning Investment for Australia training program.   ,0
Management advisory services,PROVISION OF IT SECURITY ASSESSMENT REVIEW SERVICES,Provision of IT Security Assessment Review Services,Tenders6162aa1fe1b7f5c73e6fe00a,PROVISION OF IT SECURITY ASSESSMENT REVIEW SERVICES.Provision of IT Security Assessment Review Services,0
Education and Training Services,Managed Training Service Providers,BSG within the Department of Immigration and Multicultural and Indigenous Affairs (DIMIA) is seeking Expressions of Interest (EOI) from providers of managed training services (MTS).,Tenders6162aa1fe1b7f5c73e6fe00b,Managed Training Service Providers.BSG within the Department of Immigration and Multicultural and Indigenous Affairs (DIMIA) is seeking Expressions of Interest (EOI) from providers of managed training services (MTS).,0
Specialised educational services,Provision of Team Leader Development Training,The Australian Federal Police (AFP) is seeking proposals for the provision of Team Leader Development Training,Tenders6162aa1fe1b7f5c73e6fe00c,Provision of Team Leader Development Training.The Australian Federal Police (AFP) is seeking proposals for the provision of Team Leader Development Training,0
Management advisory services,Provision of a Report recommending an Identity Management Strategy for Geoscience Australia,Provision of a Report recommending an Identity Management Strategy for Geoscience Australia computing environment,Tenders6162aa1fe1b7f5c73e6fe00d,Provision of a Report recommending an Identity Management Strategy for Geoscience Australia.Provision of a Report recommending an Identity Management Strategy for Geoscience Australia computing environment,0
Education and Training Services,Values Education National Forum 2005,The forum will showcase and explore values in Australian schools,Tenders6162aa1fe1b7f5c73e6fe00e,Values Education National Forum 2005.The forum will showcase and explore values in Australian schools,0
Education and Training Services,Delivery of Regional Conferences for Parents about Gifted and Talented Education,"The Department of Education, Science and Training wishes to contract  for the delivery of up to 50 regional conferences for parents about gifted and talented education which will help support parents in regional areas of Australia",Tenders6162aa1fe1b7f5c73e6fe00f,"Delivery of Regional Conferences for Parents about Gifted and Talented Education.The Department of Education, Science and Training wishes to contract  for the delivery of up to 50 regional conferences for parents about gifted and talented education which will help support parents in regional areas of Australia",0
Engineering and Research and Technology Based Services,Business opportunities in the US Government Market,Austrade US Government Procurement Seminars – ICT & Homeland Security.  Austrade will hold a seminar series in Australia to highlight the opportunities and challenges of selling technology and homeland security solutions to the US Government.,Tenders6162aa1fe1b7f5c73e6fe010,Business opportunities in the US Government Market.Austrade US Government Procurement Seminars – ICT & Homeland Security.  Austrade will hold a seminar series in Australia to highlight the opportunities and challenges of selling technology and homeland security solutions to the US Government.,0
Education and Training Services,"Analysis, Design And Development of Training Packages For SDSS Version 4 MIMS Maintenance Module (MMM) Training","Analysis, Design And Development of Training Packages For SDSS Version 4 MIMS Maintenance Module (MMM) Training",Tenders6162aa1fe1b7f5c73e6fe011,"Analysis, Design And Development of Training Packages For SDSS Version 4 MIMS Maintenance Module (MMM) Training.Analysis, Design And Development of Training Packages For SDSS Version 4 MIMS Maintenance Module (MMM) Training",0
Education and Training Services,"Values education website and curriculum resources, 2004-2005","Values education website and curriculum resources, 2004-2005",Tenders6162aa1fe1b7f5c73e6fe012,"Values education website and curriculum resources, 2004-2005.Values education website and curriculum resources, 2004-2005",0
Management advisory services,"THE PROVISION OF COMPLEX PROCUREMENT SERVICES, ADVICE AND SUPPORT FOR CRS AUSTRALIA","COMPLEX PROCUREMENT SERVICES, ADVICE AND SUPPORT FOR CRS AUSTRALIA",Tenders6162aa1fe1b7f5c73e6fe013,"THE PROVISION OF COMPLEX PROCUREMENT SERVICES, ADVICE AND SUPPORT FOR CRS AUSTRALIA.COMPLEX PROCUREMENT SERVICES, ADVICE AND SUPPORT FOR CRS AUSTRALIA",0
Specialised educational services,EXPRESSION OF INTEREST,PROVISION OF A CENSUS FIELD STAFF TRAINING VIDEO FOR THE AUSTRALIAN BUREAU OF STATISTICS,Tenders6162aa1fe1b7f5c73e6fe014,EXPRESSION OF INTEREST.PROVISION OF A CENSUS FIELD STAFF TRAINING VIDEO FOR THE AUSTRALIAN BUREAU OF STATISTICS,0
Education and Training Services,Provision of Business Acumen Training,"The Defence Materiel Organisation (DMO) seeks proposals from education and training providers (including universities, vocational education and training institutions and registered training providers) to work in partnership with the organisation to design",Tenders6162aa1fe1b7f5c73e6fe015,"Provision of Business Acumen Training.The Defence Materiel Organisation (DMO) seeks proposals from education and training providers (including universities, vocational education and training institutions and registered training providers) to work in partnership with the organisation to design",0
Specialised educational services,Identify good practice in achieving mutual recognition arrangements (MRAs) and develop effective strategies for promotion of widespread use of MRAs by professions across Australia.,Promotion of widespread use of Mutual Recognition Arrangements (MRAs) across Australia.,Tenders6162aa1fe1b7f5c73e6fe016,Identify good practice in achieving mutual recognition arrangements (MRAs) and develop effective strategies for promotion of widespread use of MRAs by professions across Australia..Promotion of widespread use of Mutual Recognition Arrangements (MRAs) across Australia.,0
Specialised educational services,Provision of strategies to promote the widespread use of the Diploma Supplement in Australia.,Promotion of the Diploma Supplement in Australia.,Tenders6162aa1fe1b7f5c73e6fe017,Provision of strategies to promote the widespread use of the Diploma Supplement in Australia..Promotion of the Diploma Supplement in Australia.,0
Management advisory services,Development of an IT Strategic Plan for the ACMA,IT Strategic Plan,Tenders6162aa1fe1b7f5c73e6fe018,Development of an IT Strategic Plan for the ACMA.IT Strategic Plan,0
Environmental Services,Evaluation of biodiversity outcomes,Repair and conserve the natural environment and ensure the sustainable use of the nation s natural resources.,Tenders6162aa1fe1b7f5c73e6fe019,Evaluation of biodiversity outcomes.Repair and conserve the natural environment and ensure the sustainable use of the nation s natural resources.,0
Environmental Services,Evaluation of governance arrangements,Repair and conserve the natural environment and ensure the sustainable use of the nation s natural resources.,Tenders6162aa1fe1b7f5c73e6fe01a,Evaluation of governance arrangements.Repair and conserve the natural environment and ensure the sustainable use of the nation s natural resources.,0
Environmental Services,Evaluation of weeds outcomes,Repair and conserve the natural environment and ensure the sustainable use of the nation s natural resources.,Tenders6162aa1fe1b7f5c73e6fe01b,Evaluation of weeds outcomes.Repair and conserve the natural environment and ensure the sustainable use of the nation s natural resources.,0
Management advisory services,Regional Economic Intelligence Reports,Regional Economic Intelligence Reports ,Tenders6162aa1fe1b7f5c73e6fe01c,Regional Economic Intelligence Reports.Regional Economic Intelligence Reports ,0
Management advisory services,Project Management Services,"Expressions of Interest (EOI) are called by the Department of Immigration and Multicultural and Indigenous Affairs (DIMIA) for the prequalification of suitable individuals/firms for the supply of project management services for a program of works at the Baxter Immigration Detention Facility, at Port Augusta, South Australia.",Tenders6162aa1fe1b7f5c73e6fe01d,"Project Management Services.Expressions of Interest (EOI) are called by the Department of Immigration and Multicultural and Indigenous Affairs (DIMIA) for the prequalification of suitable individuals/firms for the supply of project management services for a program of works at the Baxter Immigration Detention Facility, at Port Augusta, South Australia.",0
Management advisory services,REQUEST FOR TENDER,For the Provision of Fit-out Design and Construction Works Services on behalf of the Australian Bureau of Statistics – ABS FM 18/04,Tenders6162aa1fe1b7f5c73e6fe01e,REQUEST FOR TENDER.For the Provision of Fit-out Design and Construction Works Services on behalf of the Australian Bureau of Statistics – ABS FM 18/04,0
Education and Training Services,Development of Professional Learning Modules in Boys  Education for Teachers,Development of Professional Learning Modules in Boys  Education for Teachers  (Stage One of Success for Boys initiative),Tenders6162aa1fe1b7f5c73e6fe01f,Development of Professional Learning Modules in Boys  Education for Teachers.Development of Professional Learning Modules in Boys  Education for Teachers  (Stage One of Success for Boys initiative),0
