category,division
Educational and research structures,EDUCATION
Geology and earth science,EARTH
Medical science and research,MEDICAL AND HEALTH
Strategic planning consultation services,STUDIES IN HUMAN SOCIETY
Pharmaceutical research services,CHEMICAL
Natural resources management or conservation strategy planning services,EARTH
Economic analysis,ECONOMICS
Environmental sciences advisory services,ENVIRONMENTAL
Environmental economics advisory services,ENVIRONMENTAL
Social policy services,STUDIES IN HUMAN SOCIETY
Fishery research or experimentation services,AGRICULTURAL AND VETERINARY
Cultural heritage preservation or promotion services,"LANGUAGE, COMMUNICATION AND CULTURE"
331001 - Advocacy,"LANGUAGE, COMMUNICATION AND CULTURE"
231001 - Addiction and Substance Abuse,STUDIES IN HUMAN SOCIETY
"231006 - Child Health, Development and Wellbeing",STUDIES IN HUMAN SOCIETY
111001 - Drought,AGRICULTURAL AND VETERINARY
171003 - Housing and Accommodation for People with Disabilities,BUILT ENVIRONMENT AND DESIGN
231019 - Reproductive Health,TECHNOLOGY
231005 - Cardiovascular Health,TECHNOLOGY
231020 - Respiratory Health,TECHNOLOGY
231002 - Arthritis and Musculoskeletal Conditions,TECHNOLOGY
231010 - Eye Health,TECHNOLOGY
251004 - Indigenous Employment and Business,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
241001 - Crisis Accommodation,BUILT ENVIRONMENT AND DESIGN
181000 - Disaster Relief,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
131007 - Youth Services,PSYCHOLOGY AND COGNITIVE SCIENCES
321002 - Technology,ENGINEERING
211010 - Water Resources,ENVIRONMENTAL
101003 - Dementia,STUDIES IN HUMAN SOCIETY
201005 - Work Health and Safety,LAW AND LEGAL STUDIES
221001 - Civics and Citizenship,LAW AND LEGAL STUDIES
331004 - Social Justice,STUDIES IN HUMAN SOCIETY
Engineering and Research and Technology Based Services,TECHNOLOGY
Disease prevention and control,STUDIES IN HUMAN SOCIETY
Crop production and management and protection,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
Pollutants tracking and monitoring and rehabilitation services,ENGINEERING
Pharmaceutical research services,MEDICAL AND HEALTH
Natural resources management or conservation strategy planning services,ENGINEERING
Environmental economics advisory services,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
331001 - Advocacy,STUDIES IN CREATIVE ARTS AND WRITING
351002 - Regional Development,BUILT ENVIRONMENT AND DESIGN
111001 - Drought,ENVIRONMENTAL
231019 - Reproductive Health,ENGINEERING
231005 - Cardiovascular Health,ENGINEERING
231020 - Respiratory Health,ENGINEERING
231002 - Arthritis and Musculoskeletal Conditions,ENGINEERING
231010 - Eye Health,ENGINEERING
251004 - Indigenous Employment and Business,"LANGUAGE, COMMUNICATION AND CULTURE"
Pollutants tracking and monitoring and rehabilitation services,TECHNOLOGY
201002 - Employment Services,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
"381002 - Humanities, Arts and Social Sciences (HASS) Research",HISTORY AND ARCHAEOLOGY
101002 - Community Care,MEDICAL AND HEALTH
331002 - Human Rights,STUDIES IN HUMAN SOCIETY
211005 - Land Resources,BUILT ENVIRONMENT AND DESIGN
131004 - Youth Homelessness,STUDIES IN HUMAN SOCIETY
121003 - Humanities,HISTORY AND ARCHAEOLOGY
321001 - Science,TECHNOLOGY
261001 - Industry Innovation,ENGINEERING
331005 - Women,HISTORY AND ARCHAEOLOGY
381003 - Academic Medical Research,MEDICAL AND HEALTH
201003 - Transition to Work,STUDIES IN HUMAN SOCIETY
131007 - Youth Services,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
271004 - Research and Technology Based Services,TECHNOLOGY
231011 - Food and Nutrition,MEDICAL AND HEALTH
131005 - Mentoring,ENGINEERING
"211011 - Zoos, Wildlife Sanctuaries and Conservation of Endangered Species",ENVIRONMENTAL
271001 - Broadcasting and Telecommunications,"LANGUAGE, COMMUNICATION AND CULTURE"
211003 - Energy Resources,EARTH
161004 - Settlement Services,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
361002 - Defence,LAW AND LEGAL STUDIES
101005 - Social Support,ENVIRONMENTAL
321001 - Science,PHYSICAL
351003 - Transport,ENGINEERING
211002 - Climate Change,EARTH
321003 - Scientific Research,PHYSICAL
151001 - Community Safety,LAW AND LEGAL STUDIES
271002 - Information Technology,TECHNOLOGY
211003 - Energy Resources,ENVIRONMENTAL
Military science and research,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
Military science and research,ENGINEERING
Military science and research,EDUCATION
211001 - Animal Welfare,MEDICAL AND HEALTH
211001 - Animal Welfare,PSYCHOLOGY AND COGNITIVE SCIENCES
Educational institutions,EDUCATION
Educational institutions,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
Temporary research and development services,MEDICAL AND HEALTH
Temporary research and development services,STUDIES IN HUMAN SOCIETY
151005 - Victims of Crime,STUDIES IN HUMAN SOCIETY
211001 - Animal Welfare,HISTORY AND ARCHAEOLOGY
Temporary research and development services,ENVIRONMENTAL
151005 - Victims of Crime,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
Educational institutions,STUDIES IN HUMAN SOCIETY
151005 - Victims of Crime,ENGINEERING
Research or testing facilities,ENVIRONMENTAL
Research or testing facilities,"LANGUAGE, COMMUNICATION AND CULTURE"
Research or testing facilities,MEDICAL AND HEALTH
