,BioText,label1,Interests,label2
53,"Professor Lachlan Blackhall is Entrepreneurial Fellow
and Head, Battery Storage and Grid Integration
Program at The Australian National University. Previously,Professor
Blackhall led the development of
capabilities to monitor, optimise and control residential
solar generation and battery storage, as
well as the development of virtual power plant technology
to aggregate energy storage to deliver services
to energy networks, markets and utilities. Professor
Blackhall holds a BE, BSc and a PhD in engineering
and applied mathematics, is a Senior Member
of the Institute of Electrical and Electronics
Engineers (IEEE) and a Fellow of both the Institution
of Engineers Australia (IEAust) and the Australian
Academy of Technology and Engineering (ATSE).",,Control of complex systems and networks.,
54,  ,,"Solar energy, semiconductors, photovoltaics, silicon
solar cells, urban concentrators, Energy policy
& economics. Pumped hydro energy storage. My primary
interest is advanced silicon solar cells - increasing
efficiency and reducing cost. Silicon photovoltaic
technology constitutes above 90% of the worldwide
solar market.     Our research group is large,
externally funded, experimentally-intensive,
commercially-responsive, interdisciplinary, outreach-active,
policy-engaged, physics/materials-based.",
55,"Prof Manuel Blanco has more than thirty years of experience
as a solar researcher and engineer, contributing
to advancing the state-of the-art of Concentrating
Solar Thermal (CST) technologies. He is an
expert on Thermodynamics, Heat Transfer, Optics,
and Modelling of Energy Systems. He holds a Doctoral
Degree in Industrial Engineering for the University
of Seville (Spain) and a Doctor of Philosophy
Degree in Applied Physics for the University of
Massachusetts – Lovell, (USA). Since September 2016,
he is Full Professor and European Research Area
(ERA) Chair in Solar Thermal Technologies for the
Eastern Mediterranean of the Energy Division of the
Cyprus Institute’s Energy, Environment and Water
Research Centre (EEWRC) - one of the few selected
ERA Chairs awarded by the European Commission across
Europe.  He is currently Vice-Chair of SolarPACES,
the Technology Collaboration Programme of the
International Energy Agency responsible for promoting
the development and deployment of solar thermal
power technologies and the solar-assisted manufacture
of fuels and chemicals, and was Chair of SolarPACES
from September 2011 to September 2017. Until
August 2016, he was Science Leader of the Solar
Energy Systems Research Group of CSIRO - Australia’s
National Research Agency, and Director of the
Australian Solar Thermal Research Initiative (ASTRI),
an eight-year eighty seven million dollars research
program targeted to increase the cost-competitiveness
of CST technologies and enhance the international
positioning of Australia in these technologies.
In addition to CSIRO, the development of
ASTRI involves six Australian universities and the
collaboration of several US National Laboratories
and universities. He is former Director of the Solar
Thermal Energy Department of the National Renewable
Energy Centre of Spain (CENER); Chair and Full
Professor of the Engineering Department of the
University of Texas at Brownsville; and Director
of the Plataforma Solar de Almería of CIEMAT, the
world’s largest solar research infrastructure. He
participated in the studies and in the decision-making
process that culminated in the regulation of
the Feed-In-Tariffs for renewable energy technologies
in Spain, and participated as a consultant for
the World Bank in Feed-In-Tariff and in studies of
the economic impact of CST technologies in India.
He has also participated in over 23 techno-economic
feasibility studies of CST power plant projects
in Spain and directed a detailed feasibility study
of a 200 MW CST power plant in Botswana sponsored
by the World Bank. He is the author of numerous
scientific publications, and participates, in a senior
capacity, in a large number of national and
international expert groups and committees. Very recently
one of the editors and authors of the book:
Advances in Concentrating Solar Thermal Research
and Technology (Woodhead Publishing Series in Energy)
1st Edition. ",,"Concentrating Solar Power, Thermodynamics, Heat Transfer,
Optics, Modelling of Energy Systems.   ",
56,"Sergiy is a Lecturer at the Australian National University.
In his research, Sergiy develops algorithms
and tools to provide scalable solutions for automatic
analysis of cyber-physical systems, e.g., autonomous
cars, smart buildings, etc. Sergiy's broad
goal is to develop push-button solutions to automate
every step in the design and development workflow
of cyber-physical systems. Inaddition, Sergiy
is interested in the applications of cyber-physical
systems in artificial intelligence and systems
biology. Before joining ANU Sergiy wasa postdoctoral
researcher in at the Institute of Science and
Technology Austria (IST Austria). He completed his
PhD at the University of Freiburg, Germany in 2015
under the supervision of . ",,,
58,,,"BushLAN distributed long range wireless networks: The
key to limitless capacity long range terrestrial
wireless Radio-frequency diagnostics Distributed
animal tracking Plasma antennas and other novel antenna
concepts",
62,"In 1978 Richard Brent was appointed Foundation Professor
of Computer Science at ANU, and in 1985 he became
Professor and Head of the Computer Sciences
Laboratory in the Research School of Physical Sciences
at ANU.  In 1998 he moved to Oxford as Statutory
Professor of Computing Science and Fellow of St
Hugh's College.  In March 2005 he returned to ANU
to take up a 5-year position as an ARC Federation
Fellow in the Mathematical Sciences Institute (MSI)
and the Research School of Information Sciences
and Engineering.  In March 2010 he became a Distinguished
Professor with a joint appointment in MSI
and the School of Computer Science.  Since Sept.
2011 he has been an Emeritus Professor at ANU and
a Conjoint Professor at the University of Newcastle.
 He is a Fellow of the ACM, IEEE, SIAM, the Australian
Academy of Science, and various other professional
bodies.  His most recent book,   (written
jointly with Paul Zimmermann), was published in
November 2010 by Cambridge University Press.",,"Analysis of algorithms, computational complexity, computational
number theory, parallel/distributed computing,
parallel computer architectures, randomised
algorithms, random number generators, scientific
computing.",
64,"Kieran Browne is a PhD candidate at the Australian
National University. His research mixes theory and
creative practice in new and old media to examine
the contemporary scienti c and popular representations
of technology, with a particular focus on arti
cial intelligence. This work engages critically
and technically with computing to produce artefacts
that bring computing to the scale of human perception.",,"Artificial neural networks Visualisation design Media
theory",
68,"Minh Bui joined the School of Computing in 2019 as
a Lecturer and 2021 as a Senior Lecturer. Prior to
this, he was a Research Fellow at the Research School
of Biology (ANU) in 2018, a Postdoc at the Max
Perutz Labs (Vienna, Austria). His research focuses
on computational biology and bioinformatics, and
he has been working on methods and models development
for phylogenomics, i.e., the reconstruction
of the Tree of Life from genome-scale data. He is
leading the IQ-TREE project ( ), a widely used software
(>5000 Google Scholar citations) for phylogenomic
inference using maximum likelihood. Minh Bui
received his PhD in Bioinformatics from University
of Vienna (Austria), an MSc in Applied Computer
Science from University of Freiburg (Germany), and
a BSc in Computer Science from Vietnam National
University (Vietnam). Visit his personal home page
at  for more information.",,"I have developed three widely used bioinformatics methods
for the phylogenetic community: a fast and
accurate model selection approach (ModelFinder), an
effective tree reconstruction method (IQ-TREE) and
a novel ultrafast bootstrap approach (UFBoot).
These methods represent three key steps in every phylogenetic
analysis. A significant outcome from this
research theme is the widely used IQ-TREE phylogenetic
software ( ), which I have continuously developed
since 2011. IQ-TREE has received a lot of
user enthusiasms and integrated in many phylogenetic
pipelines. Currently, I am leading an international
team from Austria, Australia and Vietnam to
jointly develop IQ-TREE. Driven by the rapid growth
of large phylogenomic datasets coupled with increasing
impact of model violation, I jointly developed
many new statistical models for phylogenomics
including partition models, polymorphism-aware models,
distribution free models, mixture models and
site-specific models. These advanced models have been
implemented in IQ-TREE, representing the first
time availability in a prominent maximum likelihood
framework. Applications play an important role
in my search, not only to show the usefulness of bioinformatics
methods but also to identify potential
limitations of existing models. Hence, I have collaborated
with many biologists to analyse empirical
datasets ranging from virus to bacteria and eukaryotes.
Such collaborations include: the origin
of photosynthetic enzymes, deep insect phylogeny using
transcriptomic data, origin of helizoan protists,
Algae and Cryptista using phylogenomic data,
HIV full-genome phylogeny. During my PhD study I introduced
efficient algorithms for many biodiversity
conservation questions such as: Which species/areas
should we prioritise for conservation, such that
the phylogenetic diversity conserved is maximised?
How to measure biodiversity when evolution is
not treelike? The algorithms that I developed range
from greedy algorithm to dynamic programming and
integer linear programming. Especially the last
technique generally works for extended conservation
problems under budget constraint or prey-predator
interactions.",
70,"I received my BS(CS) from Virtual University of Pakistan
and MS (IT) from National University of Science
and Technology (NUST). I worked as a research
assistant at NUST School of Electrical Engineering
and Computer Science for more than a year. Then I
joined Computer Science Department of University
of Agriculture Faisalabad (UAF) as a Lecturer. Currently
I am enrolled as PhD student at The Australian
National University.",,"Semantic Web, Linked Open Data, Information Retrieval,
Semantic Query and Reasoning, RDF Storage Techniques,
Ontology Modelling and Mapping.",
71,,,"Garbage collection, formal verification, parallel programming",
72,"Anna is a PhD Candidate with the School of Engineering.
Anna’s PhD research focuses on the role of energy
in supporting and improving quality of life.
She is interested in framing of energy access targets
and policies and how this framing translates to
intended human development outcomes. She is exploring
approaches to energy access that reflect community-articulated
priorities while balancing positive
and negative impacts of energy systems. Anna
has over 10 years’ experience working in renewable
energy and community development in Australia and
the Asia Pacific region. She has held roles with
Australian and international renewable energy companies
and NGOs such as Engineers Without Borders Australia
and Energy Lab Cambodia. Her experience includes
dispatching wind farms into the Australia’s
electricity markets, developing renewable and battery
energy projects, securing ARENA grants for large-scale
renewable energy deployment, supporting
communities to engage in energy efficiency and generation
projects and capability strengthening and
advocacy towards the development of Cambodia’s renewable
energy sector. She is committed to shaping
engineering and renewable energy sectors to serve
the needs of society in a just and inclusive way.
She has held industry leadership roles including
as Chair of the Clean Energy Council’s Utility Solar
Directorate and Policy and Advocacy Committee member,
founded UNSW’s WIRE – Women in Renewable Energy
and ran Engineers Without Borders Australia’s
school outreach program which engages approximately
20,000 school students engineering workshops each
year.  ",,,
76,"I am now a third year PhD student in Research School
of Computer Science in ANU. My supervisor panel
are Steve Blackburn, Kathryn McKinley and Peter Strazdins.",,"I am very interested in how to improve high-level language
energy efficiency by using heterogeneous environment,
including both S/HW optimizations.",
78,"Nicholas Car is a data standards and Semantic Web specialist
working in a small Australia tech company
and also as an Adjunct at the ANU. He worked as
a researcher at CSIRO for almost 15 year as well as
a Data Architect at Geoscience Australia, managing
some of their data holdings and aiming at multi-system
interoperability. He contributes to W3C and
OGC standards and currently co-chairs the  .",,,
