Staff ID,value,Weight
Canberra00010,DIVISION 11 MEDICAL AND HEALTH SCIENCES,12.54
Canberra00220,DIVISION 16 STUDIES IN HUMAN SOCIETY,12.4
Canberra00317,DIVISION 16 STUDIES IN HUMAN SOCIETY,12.32
Canberra00019,DIVISION 16 STUDIES IN HUMAN SOCIETY,12.29
Canberra00284,DIVISION 06 BIOLOGICAL SCIENCES,12.26
Canberra00300,DIVISION 06 BIOLOGICAL SCIENCES,12.16
Canberra00162,DIVISION 16 STUDIES IN HUMAN SOCIETY,12.16
Canberra00427,DIVISION 16 STUDIES IN HUMAN SOCIETY,12.129999999999999
Canberra00290,DIVISION 16 STUDIES IN HUMAN SOCIETY,12.06
Canberra00213,DIVISION 24 OTHERS(IRRELEVANT),11.94
Canberra00084,DIVISION 06 BIOLOGICAL SCIENCES,11.61
Canberra00297,DIVISION 16 STUDIES IN HUMAN SOCIETY,11.59
Canberra00213,DIVISION 13 EDUCATION,11.48
Canberra00342,DIVISION 16 STUDIES IN HUMAN SOCIETY,11.43
Canberra00163,DIVISION 06 BIOLOGICAL SCIENCES,11.23
Canberra00145,DIVISION 04 EARTH SCIENCES,11.16
Canberra00377,DIVISION 16 STUDIES IN HUMAN SOCIETY,11.03
Canberra00284,DIVISION 04 EARTH SCIENCES,11.01
Canberra00039,DIVISION 24 OTHERS(IRRELEVANT),11.01
Canberra00126,DIVISION 06 BIOLOGICAL SCIENCES,10.99
Canberra00106,DIVISION 24 OTHERS(IRRELEVANT),10.98
Canberra00414,DIVISION 04 EARTH SCIENCES,10.9
Canberra00392,DIVISION 24 OTHERS(IRRELEVANT),10.83
Canberra00223,DIVISION 04 EARTH SCIENCES,10.74
Canberra00213,DIVISION 16 STUDIES IN HUMAN SOCIETY,10.74
Canberra00284,DIVISION 23 OTHERS(RELEVANT),10.709999999999999
Canberra00107,DIVISION 06 BIOLOGICAL SCIENCES,10.7
Canberra00042,DIVISION 11 MEDICAL AND HEALTH SCIENCES,10.62
Canberra00029,DIVISION 16 STUDIES IN HUMAN SOCIETY,10.55
Canberra00287,DIVISION 16 STUDIES IN HUMAN SOCIETY,10.44
Canberra00399,DIVISION 05 ENVIRONMENTAL SCIENCES,10.33
Canberra00251,DIVISION 11 MEDICAL AND HEALTH SCIENCES,10.21
Canberra00392,DIVISION 16 STUDIES IN HUMAN SOCIETY,10.18
Canberra00237,DIVISION 16 STUDIES IN HUMAN SOCIETY,10.09
Canberra00063,DIVISION 16 STUDIES IN HUMAN SOCIETY,10.08
Canberra00248,DIVISION 16 STUDIES IN HUMAN SOCIETY,10.07
Canberra00095,DIVISION 05 ENVIRONMENTAL SCIENCES,10.03
Canberra00094,DIVISION 04 EARTH SCIENCES,10.02
Canberra00419,DIVISION 24 OTHERS(IRRELEVANT),9.98
Canberra00022,DIVISION 06 BIOLOGICAL SCIENCES,9.97
Canberra00387,DIVISION 04 EARTH SCIENCES,9.91
Canberra00420,DIVISION 16 STUDIES IN HUMAN SOCIETY,9.91
Canberra00315,DIVISION 16 STUDIES IN HUMAN SOCIETY,9.72
Canberra00331,DIVISION 24 OTHERS(IRRELEVANT),9.64
Canberra00132,DIVISION 06 BIOLOGICAL SCIENCES,9.54
Canberra00320,DIVISION 24 OTHERS(IRRELEVANT),9.51
Canberra00360,DIVISION 05 ENVIRONMENTAL SCIENCES,9.5
Canberra00094,DIVISION 05 ENVIRONMENTAL SCIENCES,9.36
Canberra00278,DIVISION 11 MEDICAL AND HEALTH SCIENCES,9.36
Canberra00430,DIVISION 13 EDUCATION,9.24
Canberra00201,DIVISION 11 MEDICAL AND HEALTH SCIENCES,9.19
Canberra00059,DIVISION 16 STUDIES IN HUMAN SOCIETY,9.120000000000001
Canberra00087,DIVISION 24 OTHERS(IRRELEVANT),9.120000000000001
Canberra00008,DIVISION 24 OTHERS(IRRELEVANT),9.1
Canberra00216,DIVISION 04 EARTH SCIENCES,9.05
Canberra00360,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,8.89
Canberra00346,DIVISION 16 STUDIES IN HUMAN SOCIETY,8.870000000000001
Canberra00262,DIVISION 24 OTHERS(IRRELEVANT),8.85
Canberra00298,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,8.84
Canberra00249,DIVISION 16 STUDIES IN HUMAN SOCIETY,8.76
Canberra00354,DIVISION 16 STUDIES IN HUMAN SOCIETY,8.700000000000001
Canberra00190,DIVISION 06 BIOLOGICAL SCIENCES,8.65
Canberra00181,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,8.64
Canberra00220,DIVISION 14 ECONOMICS,8.64
Canberra00127,DIVISION 24 OTHERS(IRRELEVANT),8.63
Canberra00044,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",8.620000000000001
Canberra00304,DIVISION 16 STUDIES IN HUMAN SOCIETY,8.57
Canberra00165,DIVISION 16 STUDIES IN HUMAN SOCIETY,8.57
Canberra00181,DIVISION 24 OTHERS(IRRELEVANT),8.53
Canberra00298,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,8.43
Canberra00430,DIVISION 16 STUDIES IN HUMAN SOCIETY,8.35
Canberra00401,DIVISION 16 STUDIES IN HUMAN SOCIETY,8.32
Canberra00181,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,8.25
Canberra00297,DIVISION 05 ENVIRONMENTAL SCIENCES,8.22
Canberra00298,DIVISION 16 STUDIES IN HUMAN SOCIETY,8.21
Canberra00127,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES,8.19
Canberra00410,DIVISION 16 STUDIES IN HUMAN SOCIETY,8.19
Canberra00369,DIVISION 16 STUDIES IN HUMAN SOCIETY,8.19
Canberra00433,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES,8.16
Canberra00380,DIVISION 21 HISTORY AND ARCHAEOLOGY,8.15
Canberra00256,DIVISION 24 OTHERS(IRRELEVANT),8.13
Canberra00410,DIVISION 24 OTHERS(IRRELEVANT),8.120000000000001
Canberra00163,DIVISION 16 STUDIES IN HUMAN SOCIETY,8.05
Canberra00284,DIVISION 05 ENVIRONMENTAL SCIENCES,8.03
Canberra00026,DIVISION 24 OTHERS(IRRELEVANT),8.02
Canberra00121,DIVISION 16 STUDIES IN HUMAN SOCIETY,7.99
Canberra00243,DIVISION 24 OTHERS(IRRELEVANT),7.95
Canberra00076,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",7.92
Canberra00133,DIVISION 10 TECHNOLOGY,7.92
Canberra00428,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,7.89
Canberra00336,DIVISION 13 EDUCATION,7.88
Canberra00291,DIVISION 24 OTHERS(IRRELEVANT),7.83
Canberra00369,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",7.83
Canberra00357,DIVISION 24 OTHERS(IRRELEVANT),7.82
Canberra00176,DIVISION 11 MEDICAL AND HEALTH SCIENCES,7.78
Canberra00019,DIVISION 24 OTHERS(IRRELEVANT),7.78
Canberra00062,DIVISION 05 ENVIRONMENTAL SCIENCES,7.7700000000000005
Canberra00336,DIVISION 24 OTHERS(IRRELEVANT),7.77
Canberra00170,DIVISION 12 BUILT ENVIRONMENT AND DESIGN,7.74
Canberra00140,DIVISION 16 STUDIES IN HUMAN SOCIETY,7.73
Canberra00049,DIVISION 16 STUDIES IN HUMAN SOCIETY,7.7
Canberra00237,DIVISION 13 EDUCATION,7.6899999999999995
Canberra00077,DIVISION 13 EDUCATION,7.66
Canberra00111,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,7.64
Canberra00029,DIVISION 24 OTHERS(IRRELEVANT),7.62
Canberra00149,DIVISION 24 OTHERS(IRRELEVANT),7.6
Canberra00162,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,7.58
Canberra00262,DIVISION 14 ECONOMICS,7.5200000000000005
Canberra00419,DIVISION 14 ECONOMICS,7.5
Canberra00079,DIVISION 11 MEDICAL AND HEALTH SCIENCES,7.49
Canberra00121,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,7.48
Canberra00231,DIVISION 13 EDUCATION,7.4799999999999995
Canberra00080,DIVISION 05 ENVIRONMENTAL SCIENCES,7.47
Canberra00277,DIVISION 16 STUDIES IN HUMAN SOCIETY,7.45
Canberra00380,DIVISION 23 OTHERS(RELEVANT),7.43
Canberra00237,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",7.43
Canberra00380,DIVISION 24 OTHERS(IRRELEVANT),7.4
Canberra00157,DIVISION 16 STUDIES IN HUMAN SOCIETY,7.390000000000001
Canberra00026,DIVISION 16 STUDIES IN HUMAN SOCIETY,7.37
Canberra00290,DIVISION 24 OTHERS(IRRELEVANT),7.36
Canberra00162,DIVISION 11 MEDICAL AND HEALTH SCIENCES,7.36
Canberra00369,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES,7.36
Canberra00357,DIVISION 14 ECONOMICS,7.359999999999999
Canberra00022,DIVISION 05 ENVIRONMENTAL SCIENCES,7.31
Canberra00228,DIVISION 16 STUDIES IN HUMAN SOCIETY,7.27
Canberra00223,DIVISION 05 ENVIRONMENTAL SCIENCES,7.25
Canberra00162,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,7.23
Canberra00287,DIVISION 24 OTHERS(IRRELEVANT),7.22
Canberra00076,DIVISION 24 OTHERS(IRRELEVANT),7.22
Canberra00304,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",7.1899999999999995
Canberra00076,DIVISION 16 STUDIES IN HUMAN SOCIETY,7.17
Canberra00009,DIVISION 16 STUDIES IN HUMAN SOCIETY,7.16
Canberra00148,DIVISION 13 EDUCATION,7.16
Canberra00059,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES,7.1
Canberra00026,DIVISION 13 EDUCATION,7.07
Canberra00145,DIVISION 10 TECHNOLOGY,7.05
Canberra00121,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",7.04
Canberra00093,DIVISION 24 OTHERS(IRRELEVANT),7.01
Canberra00181,DIVISION 21 HISTORY AND ARCHAEOLOGY,6.99
Canberra00354,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,6.97
Canberra00277,DIVISION 24 OTHERS(IRRELEVANT),6.92
Canberra00336,DIVISION 16 STUDIES IN HUMAN SOCIETY,6.92
Canberra00194,DIVISION 24 OTHERS(IRRELEVANT),6.91
Canberra00145,DIVISION 23 OTHERS(RELEVANT),6.9
Canberra00309,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,6.88
Canberra00435,DIVISION 04 EARTH SCIENCES,6.86
Canberra00397,DIVISION 11 MEDICAL AND HEALTH SCIENCES,6.859999999999999
Canberra00381,DIVISION 23 OTHERS(RELEVANT),6.8500000000000005
Canberra00106,DIVISION 23 OTHERS(RELEVANT),6.82
Canberra00150,DIVISION 24 OTHERS(IRRELEVANT),6.8
Canberra00123,DIVISION 24 OTHERS(IRRELEVANT),6.8
Canberra00165,DIVISION 24 OTHERS(IRRELEVANT),6.76
Canberra00317,DIVISION 24 OTHERS(IRRELEVANT),6.76
Canberra00300,DIVISION 04 EARTH SCIENCES,6.72
Canberra00309,DIVISION 16 STUDIES IN HUMAN SOCIETY,6.7
Canberra00121,DIVISION 21 HISTORY AND ARCHAEOLOGY,6.7
Canberra00121,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,6.6899999999999995
Canberra00419,DIVISION 23 OTHERS(RELEVANT),6.67
Canberra00343,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES,6.62
Canberra00162,DIVISION 24 OTHERS(IRRELEVANT),6.61
Canberra00183,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",6.6000000000000005
Canberra00342,DIVISION 24 OTHERS(IRRELEVANT),6.58
Canberra00281,DIVISION 13 EDUCATION,6.54
Canberra00048,DIVISION 11 MEDICAL AND HEALTH SCIENCES,6.52
Canberra00220,DIVISION 24 OTHERS(IRRELEVANT),6.5
Canberra00433,DIVISION 24 OTHERS(IRRELEVANT),6.48
Canberra00374,DIVISION 23 OTHERS(RELEVANT),6.46
Canberra00392,DIVISION 23 OTHERS(RELEVANT),6.45
Canberra00298,DIVISION 24 OTHERS(IRRELEVANT),6.4399999999999995
Canberra00291,DIVISION 05 ENVIRONMENTAL SCIENCES,6.43
Canberra00156,DIVISION 04 EARTH SCIENCES,6.42
Canberra00298,DIVISION 21 HISTORY AND ARCHAEOLOGY,6.4
Canberra00077,DIVISION 24 OTHERS(IRRELEVANT),6.390000000000001
Canberra00034,DIVISION 04 EARTH SCIENCES,6.39
Canberra00195,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",6.39
Canberra00440,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,6.38
Canberra00281,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,6.37
Canberra00215,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,6.36
Canberra00237,DIVISION 24 OTHERS(IRRELEVANT),6.34
Canberra00291,DIVISION 16 STUDIES IN HUMAN SOCIETY,6.33
Canberra00020,DIVISION 16 STUDIES IN HUMAN SOCIETY,6.32
Canberra00095,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,6.31
Canberra00399,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,6.3
Canberra00130,DIVISION 11 MEDICAL AND HEALTH SCIENCES,6.29
Canberra00039,DIVISION 23 OTHERS(RELEVANT),6.28
Canberra00192,DIVISION 09 ENGINEERING,6.28
Canberra00073,DIVISION 24 OTHERS(IRRELEVANT),6.24
Canberra00286,DIVISION 24 OTHERS(IRRELEVANT),6.23
Canberra00215,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",6.23
Canberra00412,DIVISION 03 CHEMICAL SCIENCES,6.22
Canberra00121,DIVISION 24 OTHERS(IRRELEVANT),6.21
Canberra00305,DIVISION 24 OTHERS(IRRELEVANT),6.2
Canberra00290,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,6.19
Canberra00315,DIVISION 05 ENVIRONMENTAL SCIENCES,6.1899999999999995
Canberra00063,DIVISION 11 MEDICAL AND HEALTH SCIENCES,6.17
Canberra00290,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",6.17
Canberra00334,DIVISION 13 EDUCATION,6.15
Canberra00354,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",6.15
Canberra00251,DIVISION 05 ENVIRONMENTAL SCIENCES,6.140000000000001
Canberra00190,DIVISION 23 OTHERS(RELEVANT),6.14
Canberra00093,DIVISION 23 OTHERS(RELEVANT),6.13
Canberra00286,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,6.12
Canberra00076,DIVISION 13 EDUCATION,6.12
Canberra00087,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",6.109999999999999
Canberra00227,DIVISION 13 EDUCATION,6.1
Canberra00145,DIVISION 05 ENVIRONMENTAL SCIENCES,6.08
Canberra00122,DIVISION 23 OTHERS(RELEVANT),6.03
Canberra00160,DIVISION 04 EARTH SCIENCES,6.0200000000000005
Canberra00280,DIVISION 13 EDUCATION,6.02
Canberra00412,DIVISION 06 BIOLOGICAL SCIENCES,6.01
Canberra00132,DIVISION 04 EARTH SCIENCES,6.01
Canberra00118,DIVISION 10 TECHNOLOGY,5.98
Canberra00073,DIVISION 21 HISTORY AND ARCHAEOLOGY,5.970000000000001
Canberra00170,DIVISION 14 ECONOMICS,5.96
Canberra00414,DIVISION 05 ENVIRONMENTAL SCIENCES,5.95
Canberra00080,DIVISION 23 OTHERS(RELEVANT),5.9399999999999995
Canberra00304,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,5.93
Canberra00106,DIVISION 21 HISTORY AND ARCHAEOLOGY,5.91
Canberra00190,DIVISION 05 ENVIRONMENTAL SCIENCES,5.890000000000001
Canberra00329,DIVISION 24 OTHERS(IRRELEVANT),5.88
Canberra00374,DIVISION 04 EARTH SCIENCES,5.88
Canberra00252,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,5.87
Canberra00281,DIVISION 24 OTHERS(IRRELEVANT),5.87
Canberra00095,DIVISION 23 OTHERS(RELEVANT),5.86
Canberra00243,DIVISION 11 MEDICAL AND HEALTH SCIENCES,5.84
Canberra00183,DIVISION 16 STUDIES IN HUMAN SOCIETY,5.84
Canberra00270,DIVISION 16 STUDIES IN HUMAN SOCIETY,5.84
Canberra00298,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",5.81
Canberra00403,DIVISION 24 OTHERS(IRRELEVANT),5.8
Canberra00305,DIVISION 13 EDUCATION,5.7700000000000005
Canberra00299,DIVISION 24 OTHERS(IRRELEVANT),5.75
Canberra00210,DIVISION 11 MEDICAL AND HEALTH SCIENCES,5.73
Canberra00411,DIVISION 16 STUDIES IN HUMAN SOCIETY,5.7299999999999995
Canberra00243,DIVISION 23 OTHERS(RELEVANT),5.720000000000001
Canberra00139,DIVISION 16 STUDIES IN HUMAN SOCIETY,5.72
Canberra00175,DIVISION 24 OTHERS(IRRELEVANT),5.72
Canberra00039,DIVISION 05 ENVIRONMENTAL SCIENCES,5.71
Canberra00284,DIVISION 10 TECHNOLOGY,5.7
Canberra00133,DIVISION 23 OTHERS(RELEVANT),5.7
Canberra00237,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,5.6899999999999995
Canberra00213,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",5.68
Canberra00219,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,5.68
Canberra00216,DIVISION 23 OTHERS(RELEVANT),5.68
Canberra00163,DIVISION 05 ENVIRONMENTAL SCIENCES,5.67
Canberra00111,DIVISION 16 STUDIES IN HUMAN SOCIETY,5.66
Canberra00420,DIVISION 21 HISTORY AND ARCHAEOLOGY,5.65
Canberra00094,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,5.65
Canberra00304,DIVISION 24 OTHERS(IRRELEVANT),5.65
Canberra00077,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",5.640000000000001
Canberra00080,DIVISION 24 OTHERS(IRRELEVANT),5.64
Canberra00094,DIVISION 23 OTHERS(RELEVANT),5.63
Canberra00118,DIVISION 24 OTHERS(IRRELEVANT),5.62
Canberra00133,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,5.61
Canberra00130,DIVISION 24 OTHERS(IRRELEVANT),5.61
Canberra00291,DIVISION 04 EARTH SCIENCES,5.58
Canberra00320,DIVISION 11 MEDICAL AND HEALTH SCIENCES,5.5600000000000005
Canberra00317,DIVISION 14 ECONOMICS,5.5600000000000005
Canberra00303,DIVISION 23 OTHERS(RELEVANT),5.55
Canberra00174,DIVISION 24 OTHERS(IRRELEVANT),5.55
Canberra00070,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,5.54
Canberra00063,DIVISION 24 OTHERS(IRRELEVANT),5.53
Canberra00374,DIVISION 05 ENVIRONMENTAL SCIENCES,5.5200000000000005
Canberra00360,DIVISION 23 OTHERS(RELEVANT),5.51
Canberra00243,DIVISION 16 STUDIES IN HUMAN SOCIETY,5.51
Canberra00357,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",5.5
Canberra00392,DIVISION 14 ECONOMICS,5.47
Canberra00093,DIVISION 21 HISTORY AND ARCHAEOLOGY,5.46
Canberra00163,DIVISION 11 MEDICAL AND HEALTH SCIENCES,5.45
Canberra00430,DIVISION 24 OTHERS(IRRELEVANT),5.44
Canberra00145,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,5.42
Canberra00280,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,5.41
Canberra00059,DIVISION 04 EARTH SCIENCES,5.4
Canberra00263,DIVISION 05 ENVIRONMENTAL SCIENCES,5.39
Canberra00132,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,5.38
Canberra00277,DIVISION 23 OTHERS(RELEVANT),5.38
Canberra00026,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",5.37
Canberra00249,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",5.32
Canberra00062,DIVISION 11 MEDICAL AND HEALTH SCIENCES,5.31
Canberra00231,DIVISION 24 OTHERS(IRRELEVANT),5.3
Canberra00132,DIVISION 05 ENVIRONMENTAL SCIENCES,5.3
Canberra00249,DIVISION 24 OTHERS(IRRELEVANT),5.28
Canberra00079,DIVISION 16 STUDIES IN HUMAN SOCIETY,5.28
Canberra00190,DIVISION 04 EARTH SCIENCES,5.28
Canberra00297,DIVISION 04 EARTH SCIENCES,5.25
Canberra00215,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,5.25
Canberra00411,DIVISION 11 MEDICAL AND HEALTH SCIENCES,5.25
Canberra00278,DIVISION 09 ENGINEERING,5.23
Canberra00122,DIVISION 04 EARTH SCIENCES,5.23
Canberra00089,DIVISION 24 OTHERS(IRRELEVANT),5.23
Canberra00297,DIVISION 06 BIOLOGICAL SCIENCES,5.22
Canberra00373,DIVISION 24 OTHERS(IRRELEVANT),5.21
Canberra00273,DIVISION 16 STUDIES IN HUMAN SOCIETY,5.19
Canberra00286,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",5.1899999999999995
Canberra00211,DIVISION 16 STUDIES IN HUMAN SOCIETY,5.1899999999999995
Canberra00411,DIVISION 24 OTHERS(IRRELEVANT),5.18
Canberra00248,DIVISION 24 OTHERS(IRRELEVANT),5.18
Canberra00056,DIVISION 16 STUDIES IN HUMAN SOCIETY,5.17
Canberra00170,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",5.16
Canberra00074,DIVISION 24 OTHERS(IRRELEVANT),5.15
Canberra00099,DIVISION 05 ENVIRONMENTAL SCIENCES,5.12
Canberra00309,DIVISION 23 OTHERS(RELEVANT),5.12
Canberra00381,DIVISION 24 OTHERS(IRRELEVANT),5.12
Canberra00374,DIVISION 16 STUDIES IN HUMAN SOCIETY,5.1
Canberra00018,DIVISION 13 EDUCATION,5.08
Canberra00382,DIVISION 24 OTHERS(IRRELEVANT),5.0600000000000005
Canberra00291,DIVISION 14 ECONOMICS,5.06
Canberra00250,DIVISION 24 OTHERS(IRRELEVANT),5.05
Canberra00256,DIVISION 14 ECONOMICS,5.05
Canberra00213,DIVISION 23 OTHERS(RELEVANT),5.04
Canberra00087,DIVISION 14 ECONOMICS,5.0200000000000005
Canberra00157,DIVISION 14 ECONOMICS,5.02
Canberra00336,DIVISION 23 OTHERS(RELEVANT),5.01
Canberra00419,DIVISION 11 MEDICAL AND HEALTH SCIENCES,5.01
Canberra00257,DIVISION 09 ENGINEERING,4.98
Canberra00019,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES,4.97
Canberra00231,DIVISION 23 OTHERS(RELEVANT),4.97
Canberra00439,DIVISION 13 EDUCATION,4.96
Canberra00156,DIVISION 06 BIOLOGICAL SCIENCES,4.96
Canberra00298,DIVISION 14 ECONOMICS,4.95
Canberra00299,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES,4.94
Canberra00277,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",4.94
Canberra00357,DIVISION 16 STUDIES IN HUMAN SOCIETY,4.9399999999999995
Canberra00192,DIVISION 10 TECHNOLOGY,4.9399999999999995
Canberra00176,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,4.93
Canberra00073,DIVISION 23 OTHERS(RELEVANT),4.92
Canberra00279,DIVISION 11 MEDICAL AND HEALTH SCIENCES,4.92
Canberra00165,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",4.92
Canberra00115,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,4.91
Canberra00270,DIVISION 12 BUILT ENVIRONMENT AND DESIGN,4.9
Canberra00360,DIVISION 04 EARTH SCIENCES,4.89
Canberra00139,DIVISION 11 MEDICAL AND HEALTH SCIENCES,4.87
Canberra00098,DIVISION 13 EDUCATION,4.87
Canberra00305,DIVISION 23 OTHERS(RELEVANT),4.86
Canberra00149,DIVISION 23 OTHERS(RELEVANT),4.84
Canberra00153,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,4.82
Canberra00356,DIVISION 04 EARTH SCIENCES,4.81
Canberra00034,DIVISION 06 BIOLOGICAL SCIENCES,4.7700000000000005
Canberra00145,DIVISION 16 STUDIES IN HUMAN SOCIETY,4.77
Canberra00204,DIVISION 06 BIOLOGICAL SCIENCES,4.75
