Tags,Weight_sum,Staff_cnt,Weight_avg_all,Weight_avg_ind
management,22.94,66,0.06150134048257373,0.3475757575757576
Walking,22.45,43,0.06018766756032171,0.522093023255814
psychology,22.43,42,0.06013404825737265,0.534047619047619
Pandemics,22.419999999999998,40,0.06010723860589812,0.5605
participation,22.08,62,0.05919571045576407,0.35612903225806447
evidence,22.07,93,0.05916890080428955,0.23731182795698924
news,21.93,33,0.05879356568364611,0.6645454545454546
Economics,21.87,69,0.05863270777479893,0.31695652173913047
sustainability,21.7,55,0.0581769436997319,0.39454545454545453
Canberra,21.53,36,0.05772117962466488,0.5980555555555556
climate change,21.21,56,0.05686327077747989,0.37875000000000003
Obesity,21.16,45,0.05672922252010724,0.4702222222222222
literature,21.09,86,0.05654155495978552,0.24523255813953487
university,21.04,67,0.05640750670241287,0.31402985074626866
policy,20.84,53,0.05587131367292225,0.3932075471698113
communication,20.82,63,0.05581769436997319,0.3304761904761905
resilience,20.63,43,0.0553083109919571,0.4797674418604651
Food,20.37,53,0.054611260053619305,0.38433962264150945
time,20.31,85,0.05445040214477211,0.2389411764705882
Nurses,20.25,44,0.054289544235924934,0.4602272727272727
teacher,20.25,51,0.054289544235924934,0.39705882352941174
leadership,20.14,48,0.05399463806970509,0.41958333333333336
Longitudinal Studies,20.01,46,0.0536461126005362,0.43500000000000005
Cohort Studies,19.67,46,0.05273458445040215,0.42760869565217396
Technology,19.62,52,0.05260053619302949,0.37730769230769234
Football,19.58,29,0.052493297587131366,0.6751724137931034
political participation,19.44,28,0.05211796246648794,0.6942857142857143
Built Environment,19.08,27,0.05115281501340482,0.7066666666666666
Population,19.06,86,0.051099195710455764,0.22162790697674417
Language,19.06,45,0.051099195710455764,0.4235555555555555
economics,19.04,72,0.0510455764075067,0.2644444444444444
biodiversity,19.0,46,0.05093833780160858,0.41304347826086957
responsibility,18.95,58,0.05080428954423592,0.3267241379310345
History,18.8,61,0.05040214477211796,0.3081967213114754
minister,18.44,35,0.04943699731903486,0.5268571428571429
Water,18.32,45,0.04911528150134049,0.4071111111111111
justice,18.2,44,0.04879356568364611,0.41363636363636364
Safety,18.14,55,0.04863270777479893,0.32981818181818184
reform,18.080000000000002,52,0.048471849865951745,0.34769230769230774
Depression,18.04,47,0.04836461126005362,0.38382978723404254
food,17.86,43,0.04788203753351206,0.4153488372093023
Nursing,17.71,44,0.0474798927613941,0.4025
Cognition,17.509999999999998,34,0.04694369973190348,0.5149999999999999
Bangladesh,17.49,29,0.04689008042895442,0.603103448275862
economy,17.48,48,0.04686327077747989,0.3641666666666667
Income,17.44,38,0.04675603217158177,0.45894736842105266
industry,17.21,52,0.04613941018766756,0.3309615384615385
innovation,17.19,48,0.0460857908847185,0.358125
Pharmacists,17.12,25,0.045898123324396786,0.6848000000000001
Body Mass Index,16.95,40,0.04544235924932976,0.42374999999999996
Rivers,16.9,29,0.045308310991957104,0.5827586206896551
social capital,16.81,33,0.04506702412868632,0.5093939393939394
Caregivers,16.79,34,0.04501340482573726,0.49382352941176466
performance,16.58,54,0.04445040214477211,0.307037037037037
Running,16.55,31,0.04436997319034853,0.5338709677419355
citizenship,16.54,27,0.04434316353887399,0.6125925925925926
interaction,16.51,55,0.04426273458445041,0.3001818181818182
Smartphone,16.4,25,0.04396782841823056,0.6559999999999999
Group,16.29,81,0.04367292225201072,0.2011111111111111
art,16.22,33,0.043485254691689006,0.49151515151515146
Motivation,16.14,40,0.04327077747989276,0.4035
Law,16.11,39,0.043190348525469165,0.41307692307692306
market,16.01,44,0.04292225201072387,0.3638636363636364
Midwifery,16.0,23,0.04289544235924933,0.6956521739130435
Telemedicine,15.969999999999999,25,0.042815013404825734,0.6387999999999999
decision making,15.94,45,0.042734584450402145,0.3542222222222222
trend,15.84,47,0.042466487935656834,0.33702127659574466
Mentoring,15.82,35,0.042412868632707774,0.452
Social Media,15.57,33,0.0417426273458445,0.4718181818181818
DNA,15.55,36,0.041689008042895444,0.43194444444444446
Life Style,15.540000000000001,43,0.041662198391420914,0.3613953488372093
New South Wales,15.530000000000001,38,0.041635388739946384,0.4086842105263158
Observational Studies,15.47,37,0.0414745308310992,0.4181081081081081
climate,15.469999999999999,44,0.04147453083109919,0.35159090909090907
Stakeholders,15.41,37,0.041313672922252014,0.4164864864864865
Lenses,15.41,30,0.041313672922252014,0.5136666666666667
Dementia,15.32,25,0.04107238605898123,0.6128
Western Australia,15.06,32,0.04037533512064343,0.470625
Interviews,14.99,70,0.040187667560321716,0.21414285714285713
systematic review,14.98,23,0.040160857908847186,0.6513043478260869
Storytelling,14.96,23,0.04010723860589813,0.6504347826086957
mental health,14.88,35,0.03989276139410188,0.42514285714285716
Physical Functional Performance,14.8,30,0.03967828418230563,0.49333333333333335
water,14.77,44,0.039597855227882034,0.3356818181818182
disaster,14.67,26,0.03932975871313673,0.5642307692307692
infrastructure,14.64,42,0.03924932975871314,0.3485714285714286
journalism,14.27,27,0.03825737265415549,0.5285185185185185
Pain,14.24,35,0.0381769436997319,0.40685714285714286
driver,14.22,33,0.03812332439678284,0.4309090909090909
Overweight,14.14,32,0.0379088471849866,0.441875
literacy,14.09,33,0.03777479892761394,0.42696969696969694
stakeholder,14.08,42,0.03774798927613941,0.3352380952380952
Sleep,13.96,30,0.03742627345844504,0.4653333333333334
discourse,13.96,48,0.03742627345844504,0.29083333333333333
Mothers,13.95,33,0.037399463806970505,0.42272727272727273
refugee,13.84,24,0.03710455764075067,0.5766666666666667
Sediments,13.82,22,0.03705093833780161,0.6281818181818182
inclusion,13.81,31,0.03702412868632708,0.44548387096774195
Parents,13.78,34,0.036943699731903486,0.4052941176470588
classroom,13.77,38,0.036916890080428956,0.36236842105263156
Brain,13.76,40,0.036890080428954426,0.344
ecology,13.75,36,0.03686327077747989,0.3819444444444444
Ankle,13.74,24,0.03683646112600536,0.5725
farmer,13.74,27,0.03683646112600536,0.508888888888889
China,13.73,33,0.03680965147453083,0.4160606060606061
Weights and Measures,13.7,34,0.036729222520107234,0.4029411764705882
twitter,13.61,24,0.03648793565683646,0.5670833333333333
Body Composition,13.6,28,0.03646112600536193,0.4857142857142857
Ecosystem,13.59,31,0.0364343163538874,0.4383870967741935
Power (Psychology),13.54,38,0.036300268096514744,0.3563157894736842
Sustainable development,13.47,22,0.03611260053619303,0.6122727272727273
Biodiversity,13.43,26,0.0360053619302949,0.5165384615384615
river,13.42,37,0.035978552278820373,0.3627027027027027
High-Intensity Interval Training,13.39,18,0.035898123324396784,0.7438888888888889
rivers,13.35,28,0.03579088471849866,0.47678571428571426
equity,13.35,29,0.03579088471849866,0.4603448275862069
narrative,13.32,40,0.03571045576407507,0.333
Cardiovascular Diseases,13.24,31,0.035495978552278824,0.4270967741935484
Cameras,13.21,23,0.03541554959785523,0.5743478260869566
Healthy Diet,13.18,22,0.03533512064343163,0.5990909090909091
Data Analysis,13.12,30,0.03517426273458445,0.4373333333333333
disability,13.07,27,0.0350402144772118,0.4840740740740741
Guidelines,13.05,49,0.03498659517426274,0.2663265306122449
Planning,13.02,26,0.03490616621983914,0.5007692307692307
Wounds and Injuries,13.01,38,0.03487935656836461,0.3423684210526316
India,12.92,28,0.03463806970509383,0.4614285714285714
childhood,12.91,29,0.0346112600536193,0.44517241379310346
public,12.86,35,0.034477211796246646,0.36742857142857144
Canada,12.81,34,0.034343163538874,0.37676470588235295
Cancer Survivors,12.72,17,0.034101876675603215,0.7482352941176471
deliberative democracy,12.67,18,0.03396782841823056,0.7038888888888889
Government,12.65,41,0.0339142091152815,0.30853658536585366
Muscles,12.6,41,0.033780160857908845,0.3073170731707317
Poetry,12.57,20,0.033699731903485255,0.6285000000000001
exclusion,12.56,26,0.033672922252010726,0.48307692307692307
Delphi Technique,12.55,23,0.033646112600536196,0.5456521739130435
workplace,12.48,32,0.03345844504021448,0.39
South Australia,12.46,28,0.033404825737265414,0.445
leader,12.46,31,0.033404825737265414,0.4019354838709678
Hot Temperature,12.45,32,0.033378016085790885,0.3890625
Medicine,12.45,31,0.033378016085790885,0.40161290322580645
Electroencephalography,12.45,19,0.033378016085790885,0.6552631578947368
Workplace,12.44,31,0.033351206434316355,0.4012903225806451
Waist Circumference,12.43,29,0.033324396782841825,0.4286206896551724
parliament,12.43,26,0.033324396782841825,0.47807692307692307
Research Personnel,12.39,37,0.0332171581769437,0.3348648648648649
evaluation,12.39,49,0.0332171581769437,0.2528571428571429
poverty,12.39,29,0.0332171581769437,0.42724137931034484
Indonesia,12.39,30,0.0332171581769437,0.41300000000000003
career,12.32,38,0.033029490616621984,0.3242105263157895
Physical Therapists,12.29,28,0.03294906166219839,0.4389285714285714
Genes,12.23,35,0.03278820375335121,0.3494285714285714
Risk Management,12.21,21,0.03273458445040215,0.5814285714285715
Primary Health Care,12.18,25,0.032654155495978554,0.48719999999999997
history,12.15,48,0.03257372654155496,0.253125
physical activity,12.120000000000001,23,0.03249329758713137,0.5269565217391304
Climate,12.120000000000001,31,0.03249329758713137,0.3909677419354839
mathematics,12.1,17,0.0324396782841823,0.711764705882353
quality of life,12.09,23,0.03241286863270777,0.5256521739130434
Cardiac Rehabilitation,11.97,16,0.03209115281501341,0.748125
planning,11.95,35,0.03203753351206434,0.3414285714285714
Retirement,11.94,25,0.03201072386058981,0.47759999999999997
expert,11.93,33,0.03198391420911528,0.3615151515151515
Costs,11.9,46,0.03190348525469169,0.25869565217391305
simulation,11.870000000000001,30,0.0318230563002681,0.3956666666666667
drought,11.85,23,0.03176943699731903,0.5152173913043478
Pharmacy,11.79,22,0.031608579088471846,0.5359090909090909
resources,11.72,44,0.03142091152815014,0.26636363636363636
city,11.67,30,0.03128686327077748,0.389
Temperature,11.65,34,0.03123324396782842,0.3426470588235294
organization,11.58,31,0.031045576407506704,0.3735483870967742
tourism,11.57,18,0.031018766756032174,0.6427777777777778
Marketing,11.57,24,0.031018766756032174,0.48208333333333336
Sex Chromosomes,11.55,15,0.03096514745308311,0.77
Equipment and Supplies,11.45,40,0.0306970509383378,0.28625
travel,11.41,30,0.030589812332439677,0.38033333333333336
Direction compound,11.36,34,0.030455764075067022,0.3341176470588235
Cardiorespiratory Fitness,11.28,26,0.030241286863270777,0.4338461538461538
Managers,11.24,35,0.030134048257372655,0.3211428571428572
Self Report,11.22,33,0.030080428954423595,0.34
dementia,11.16,18,0.029919571045576406,0.62
Lower Extremity,11.13,25,0.029839142091152817,0.44520000000000004
Governance,11.13,27,0.029839142091152817,0.41222222222222227
Costs and Cost Analysis,11.11,32,0.02978552278820375,0.3471875
elite,11.09,22,0.02973190348525469,0.504090909090909
Literacy,11.09,22,0.02973190348525469,0.504090909090909
Federal Government,11.09,28,0.02973190348525469,0.3960714285714286
migrant,11.07,27,0.02967828418230563,0.41000000000000003
politician,11.04,25,0.029597855227882035,0.4416
Anxiety,11.01,37,0.029517426273458443,0.2975675675675676
data analysis,11.0,21,0.029490616621983913,0.5238095238095238
election,10.89,26,0.029195710455764076,0.41884615384615387
Healthcare,10.89,27,0.029195710455764076,0.4033333333333334
health professionals,10.89,24,0.029195710455764076,0.45375000000000004
RNA,10.85,18,0.02908847184986595,0.6027777777777777
Ecosystems,10.85,21,0.02908847184986595,0.5166666666666666
methodology,10.8,45,0.0289544235924933,0.24000000000000002
experiment,10.8,34,0.0289544235924933,0.31764705882352945
Health Services,10.8,35,0.0289544235924933,0.3085714285714286
firm,10.78,23,0.028900804289544234,0.468695652173913
music,10.72,20,0.028739946380697053,0.536
conversation,10.69,29,0.028659517426273456,0.3686206896551724
profession,10.68,22,0.028632707774798927,0.4854545454545454
Heart Rate,10.67,34,0.028605898123324397,0.3138235294117647
Perches,10.65,17,0.028552278820375337,0.6264705882352941
Referral and Consultation,10.62,32,0.02847184986595174,0.331875
water management,10.61,20,0.02844504021447721,0.5305
science,10.61,27,0.02844504021447721,0.39296296296296296
Decision Making,10.6,31,0.02841823056300268,0.3419354838709677
facebook,10.57,23,0.02833780160857909,0.45956521739130435
society,10.55,36,0.02828418230563003,0.29305555555555557
public sector,10.53,23,0.028230563002680963,0.4578260869565217
Oxygen,10.53,27,0.028230563002680963,0.38999999999999996
Disasters,10.5,16,0.028150134048257374,0.65625
Datasets,10.5,28,0.028150134048257374,0.375
Music,10.5,21,0.028150134048257374,0.5
Risk Assessment,10.48,23,0.02809651474530831,0.4556521739130435
news report,10.48,21,0.02809651474530831,0.4990476190476191
well-being,10.48,29,0.02809651474530831,0.3613793103448276
Singapore,10.44,24,0.027989276139410185,0.435
Creative Writing,10.41,18,0.027908847184986596,0.5783333333333334
Tourism,10.39,25,0.027855227882037537,0.4156
autonomy,10.33,21,0.027694369973190348,0.4919047619047619
Hong Kong,10.3,20,0.02761394101876676,0.515
Swimming,10.24,13,0.027453083109919573,0.7876923076923077
Biomarkers,10.24,24,0.027453083109919573,0.4266666666666667
Resistance Training,10.24,18,0.027453083109919573,0.5688888888888889
Fresh Water,10.23,24,0.02742627345844504,0.42625
Fishes,10.18,22,0.027292225201072384,0.4627272727272727
taxes,10.15,18,0.027211796246648795,0.5638888888888889
Patient Care,10.13,23,0.027158176943699736,0.4404347826086957
geography,10.09,25,0.02705093833780161,0.4036
educator,10.07,38,0.026997319034852547,0.265
Emotions,10.07,26,0.026997319034852547,0.3873076923076923
Developing Countries,10.05,30,0.026943699731903487,0.335
Fish,10.05,17,0.026943699731903487,0.5911764705882353
project,10.02,33,0.02686327077747989,0.30363636363636365
regulation,10.0,25,0.02680965147453083,0.4
Health care,9.98,16,0.026756032171581772,0.62375
Carbon,9.93,18,0.026621983914209113,0.5516666666666666
audit,9.92,32,0.026595174262734583,0.31
Physical Education and Training,9.91,14,0.026568364611260054,0.7078571428571429
visualization,9.89,21,0.026514745308310994,0.47095238095238096
Diet,9.88,25,0.026487935656836464,0.39520000000000005
General Practitioners,9.870000000000001,29,0.026461126005361935,0.34034482758620693
Deep learning,9.870000000000001,24,0.026461126005361935,0.41125000000000006
Leg,9.82,21,0.026327077747989275,0.46761904761904766
Experiments,9.790000000000001,31,0.026246648793565686,0.31580645161290327
interview,9.75,55,0.02613941018766756,0.17727272727272728
fish,9.72,23,0.02605898123324397,0.42260869565217396
Military Personnel,9.71,18,0.026032171581769438,0.5394444444444445
empowerment,9.68,20,0.025951742627345845,0.484
Practice (Psychology),9.67,26,0.025924932975871312,0.3719230769230769
event,9.65,38,0.025871313672922253,0.25394736842105264
Reproducibility of Results,9.65,24,0.025871313672922253,0.40208333333333335
Papua-New Guinea,9.63,14,0.025817694369973193,0.687857142857143
Nutrition,9.61,15,0.025764075067024127,0.6406666666666666
Therapeutics,9.55,56,0.025603217158176945,0.1705357142857143
Soccer,9.55,15,0.025603217158176945,0.6366666666666667
Intention,9.54,25,0.02557640750670241,0.38159999999999994
Aptitude,9.52,37,0.02552278820375335,0.2572972972972973
Health Occupations,9.51,21,0.02549597855227882,0.45285714285714285
capital city,9.5,24,0.02546916890080429,0.3958333333333333
Breast Neoplasms,9.48,21,0.02541554959785523,0.45142857142857146
energy,9.46,26,0.02536193029490617,0.3638461538461539
Public Health,9.44,34,0.025308310991957104,0.2776470588235294
Fruit,9.42,18,0.025254691689008044,0.5233333333333333
Crime,9.42,21,0.025254691689008044,0.44857142857142857
monitoring,9.4,34,0.02520107238605898,0.27647058823529413
Saudi Arabia,9.379999999999999,14,0.02514745308310992,0.6699999999999999
public service,9.34,16,0.025040214477211796,0.58375
Eating,9.32,24,0.024986595174262737,0.38833333333333336
Discourse,9.32,24,0.024986595174262737,0.38833333333333336
Monitoring,9.32,28,0.024986595174262737,0.33285714285714285
Oceania,9.3,16,0.024932975871313674,0.58125
social network,9.26,20,0.024825737265415548,0.46299999999999997
Well-being,9.24,19,0.024772117962466488,0.4863157894736842
ethnography,9.23,15,0.02474530831099196,0.6153333333333334
staff,9.23,30,0.02474530831099196,0.3076666666666667
Queensland,9.23,21,0.02474530831099196,0.43952380952380954
Uncertainty,9.23,24,0.02474530831099196,0.38458333333333333
urbanization,9.2,22,0.024664879356568362,0.41818181818181815
examination,9.19,27,0.024638069705093833,0.3403703703703704
Focus Groups,9.18,36,0.024611260053619303,0.255
Democracy,9.18,19,0.024611260053619303,0.48315789473684206
legitimacy,9.17,21,0.024584450402144773,0.43666666666666665
graduate,9.16,24,0.024557640750670243,0.38166666666666665
Virtual Reality,9.15,13,0.02453083109919571,0.7038461538461539
Testing,9.11,27,0.024423592493297584,0.3374074074074074
Classifiers,9.1,17,0.024396782841823055,0.5352941176470588
Adiposity,9.08,22,0.024343163538873995,0.4127272727272727
Climate Change,9.08,23,0.024343163538873995,0.3947826086956522
deliberation,9.06,17,0.024289544235924936,0.5329411764705883
Animals,9.030000000000001,24,0.024209115281501343,0.37625000000000003
integrity,9.03,23,0.02420911528150134,0.3926086956521739
Feasibility Studies,9.0,12,0.024128686327077747,0.75
Neural networks,8.96,23,0.024021447721179628,0.3895652173913044
police,8.91,21,0.023887399463806972,0.42428571428571427
Myopia,8.89,10,0.02383378016085791,0.889
creativity,8.88,20,0.02380697050938338,0.44400000000000006
Vaccination,8.85,17,0.023726541554959783,0.5205882352941176
Reward,8.85,17,0.023726541554959783,0.5205882352941176
jurisdiction,8.84,28,0.023699731903485254,0.3157142857142857
populism,8.84,15,0.023699731903485254,0.5893333333333334
Refugees,8.83,14,0.023672922252010724,0.6307142857142857
Social Networking,8.81,14,0.023619302949061664,0.6292857142857143
Parturition,8.790000000000001,24,0.0235656836461126,0.36625
Arsenic,8.78,13,0.023538873994638068,0.6753846153846154
reptile,8.78,15,0.023538873994638068,0.5853333333333333
Non-Randomized Controlled Trials,8.77,15,0.02351206434316354,0.5846666666666667
offense,8.76,28,0.02348525469168901,0.31285714285714283
habitat,8.76,23,0.02348525469168901,0.3808695652173913
research method,8.73,20,0.023404825737265416,0.4365
Proprioception,8.72,11,0.023378016085790886,0.7927272727272728
globalization,8.71,21,0.023351206434316357,0.4147619047619048
Conservation,8.7,17,0.02332439678284182,0.5117647058823529
human rights,8.7,19,0.02332439678284182,0.45789473684210524
vegetation,8.65,22,0.02319034852546917,0.3931818181818182
Mental Fatigue,8.620000000000001,15,0.02310991957104558,0.5746666666666668
Practice Guidelines,8.62,17,0.023109919571045575,0.5070588235294117
Ethics,8.59,16,0.023029490616621982,0.536875
Breast Feeding,8.58,15,0.023002680965147453,0.572
drug,8.57,16,0.022975871313672923,0.535625
deficit,8.57,21,0.022975871313672923,0.4080952380952381
South Korea,8.57,17,0.022975871313672923,0.5041176470588236
Prospective Studies,8.54,21,0.022895442359249327,0.4066666666666666
athletes,8.53,14,0.022868632707774797,0.6092857142857142
Body Image,8.51,13,0.022815013404825737,0.6546153846153846
corporate social responsibility,8.51,14,0.022815013404825737,0.6078571428571429
Cognitive Dysfunction,8.5,22,0.022788203753351208,0.38636363636363635
News,8.49,19,0.022761394101876675,0.44684210526315793
confidence,8.46,23,0.022680965147453085,0.3678260869565218
Pregnancy,8.46,24,0.022680965147453085,0.35250000000000004
dialogue,8.46,21,0.022680965147453085,0.4028571428571429
budget,8.43,17,0.02260053619302949,0.49588235294117644
bushfire,8.4,15,0.0225201072386059,0.56
Corporate Governance,8.379999999999999,10,0.022466487935656834,0.8379999999999999
Social Support,8.370000000000001,21,0.022439678284182307,0.39857142857142863
Eye,8.35,22,0.022386058981233244,0.3795454545454545
Modeling,8.34,20,0.02235924932975871,0.417
moral philosophy,8.31,23,0.022278820375335122,0.361304347826087
Demography,8.3,27,0.022252010723860592,0.3074074074074074
journalist,8.299999999999999,20,0.02225201072386059,0.4149999999999999
resident,8.29,28,0.022225201072386055,0.29607142857142854
song,8.27,15,0.022171581769436996,0.5513333333333333
Neoplasms,8.26,30,0.022144772117962466,0.2753333333333333
Poem,8.25,14,0.022117962466487937,0.5892857142857143
worldview,8.24,30,0.022091152815013407,0.27466666666666667
village,8.24,20,0.022091152815013407,0.41200000000000003
Accidental Falls,8.24,16,0.022091152815013407,0.515
assistance,8.22,21,0.022037533512064344,0.39142857142857146
exposure,8.22,20,0.022037533512064344,0.41100000000000003
labor,8.21,23,0.022010723860589814,0.35695652173913045
Health Literacy,8.2,13,0.02198391420911528,0.6307692307692307
Biomechanical Phenomena,8.19,17,0.021957104557640748,0.48176470588235293
Macquaria ambigua,8.17,12,0.021903485254691688,0.6808333333333333
Lactic Acid,8.16,23,0.02187667560321716,0.3547826086956522
sports,8.16,13,0.02187667560321716,0.6276923076923077
Northern Territory,8.15,16,0.02184986595174263,0.509375
Emergencies,8.14,17,0.0218230563002681,0.47882352941176476
Allied Health Personnel,8.14,17,0.0218230563002681,0.47882352941176476
decentralization,8.13,17,0.02179624664879357,0.4782352941176471
military personnel,8.13,12,0.02179624664879357,0.6775000000000001
rural area,8.13,25,0.02179624664879357,0.32520000000000004
interpretation,8.11,26,0.021742627345844503,0.3119230769230769
Cell Phone,8.1,13,0.021715817694369973,0.6230769230769231
Chronic Disease,8.09,24,0.021689008042895443,0.33708333333333335
Sensors,8.09,21,0.021689008042895443,0.3852380952380952
Energy Metabolism,8.08,15,0.02166219839142091,0.5386666666666666
life cycle,8.08,15,0.02166219839142091,0.5386666666666666
death,8.05,20,0.02158176943699732,0.4025
Farmers,8.03,14,0.021528150134048255,0.5735714285714285
Geographic Information Systems,8.02,16,0.021501340482573725,0.50125
vulnerability,8.0,24,0.021447721179624665,0.3333333333333333
Placebos,8.0,29,0.021447721179624665,0.27586206896551724
Mathematics,8.0,12,0.021447721179624665,0.6666666666666666
Healthy Aging,7.95,17,0.02131367292225201,0.4676470588235294
immigration,7.95,15,0.02131367292225201,0.53
rural community,7.94,14,0.02128686327077748,0.5671428571428572
Prose Poetry,7.91,12,0.021206434316353887,0.6591666666666667
political science,7.9,18,0.021179624664879357,0.4388888888888889
Corporate Social Responsibility,7.890000000000001,13,0.021152815013404828,0.606923076923077
Fatigue,7.89,22,0.021152815013404824,0.35863636363636364
General Practice,7.88,16,0.021126005361930295,0.4925
public policy,7.87,21,0.021099195710455765,0.37476190476190474
Health Behavior,7.87,19,0.021099195710455765,0.4142105263157895
Heat-Shock Response,7.87,14,0.021099195710455765,0.5621428571428572
Mental Health Services,7.86,13,0.021072386058981235,0.6046153846153847
Type 2 Diabetes Mellitus,7.83,18,0.020991957104557642,0.435
Cluster Analysis,7.82,16,0.02096514745308311,0.48875
edition,7.81,19,0.02093833780160858,0.41105263157894734
Fats,7.8,22,0.020911528150134046,0.35454545454545455
Blood Pressure,7.8,18,0.020911528150134046,0.43333333333333335
radio,7.79,16,0.020884718498659516,0.486875
Continuity of Patient Care,7.78,12,0.020857908847184987,0.6483333333333333
Viruses,7.78,15,0.020857908847184987,0.5186666666666667
Elderly,7.7700000000000005,18,0.020831099195710457,0.4316666666666667
eating behavior,7.77,15,0.020831099195710454,0.518
Soil,7.74,15,0.020750670241286864,0.516
people with disabilities,7.71,15,0.02067024128686327,0.514
case studies,7.69,16,0.02061662198391421,0.480625
Artificial intelligence,7.6899999999999995,11,0.02061662198391421,0.6990909090909091
macroinvertebrate,7.68,12,0.02058981233243968,0.64
Gryllidae,7.66,10,0.020536193029490616,0.766
ecosystems,7.65,16,0.020509383378016086,0.478125
Nursing Students,7.62,15,0.020428954423592494,0.508
Metals,7.61,18,0.020402144772117964,0.4227777777777778
nutrition,7.6000000000000005,18,0.020375335120643434,0.4222222222222223
Reading,7.6,18,0.02037533512064343,0.4222222222222222
measuring,7.57,19,0.02029490616621984,0.39842105263157895
Text Messaging,7.5600000000000005,14,0.020268096514745308,0.54
health care,7.5600000000000005,17,0.020268096514745308,0.44470588235294123
university teacher,7.55,17,0.02024128686327078,0.4441176470588235
pregnancy,7.55,15,0.02024128686327078,0.5033333333333333
athlete,7.55,14,0.02024128686327078,0.5392857142857143
artist,7.55,17,0.02024128686327078,0.4441176470588235
predator,7.55,16,0.02024128686327078,0.471875
Athletic Performance,7.54,18,0.020214477211796245,0.41888888888888887
Personnel,7.53,16,0.020187667560321716,0.470625
urban development,7.53,15,0.020187667560321716,0.502
Reptiles,7.52,14,0.020160857908847182,0.5371428571428571
Confidence Intervals,7.510000000000001,25,0.020134048257372656,0.3004
editor,7.51,15,0.020134048257372653,0.5006666666666667
professionalism,7.49,15,0.020080428954423593,0.49933333333333335
Psychometrics,7.47,17,0.02002680965147453,0.43941176470588234
genome,7.46,16,0.02,0.46625
Banking,7.46,13,0.02,0.5738461538461539
Organizations,7.45,22,0.01997319034852547,0.3386363636363636
incentive,7.44,18,0.01994638069705094,0.41333333333333333
Mental Competency,7.4399999999999995,15,0.019946380697050937,0.49599999999999994
legislation,7.430000000000001,25,0.019919571045576408,0.2972
VIP,7.42,11,0.019892761394101878,0.6745454545454546
Malaysia,7.41,17,0.019865951742627345,0.4358823529411765
Heritage,7.4,13,0.019839142091152815,0.5692307692307692
Pharmaceutical Preparations,7.390000000000001,25,0.019812332439678285,0.29560000000000003
Gender equality,7.39,13,0.019812332439678282,0.5684615384615385
Macquaria australasica,7.38,10,0.019785522788203752,0.738
Trauma,7.36,13,0.019731903485254693,0.5661538461538462
urban design,7.359999999999999,11,0.01973190348525469,0.6690909090909091
Sedentary Behavior,7.359999999999999,13,0.01973190348525469,0.5661538461538461
reconciliation,7.3500000000000005,14,0.019705093833780163,0.525
farm,7.35,17,0.01970509383378016,0.43235294117647055
Application programs,7.35,11,0.01970509383378016,0.6681818181818181
Social Justice,7.34,16,0.01967828418230563,0.45875
Innovation,7.3100000000000005,23,0.01959785522788204,0.31782608695652176
Social Class,7.3100000000000005,25,0.01959785522788204,0.2924
Middle Aged,7.31,15,0.019597855227882037,0.4873333333333333
