_id,weight,orig_id,Title,Category,Description,Title_orig,Category_orig,Description_orig,relevancy score(irrelevant:0;nearly the same:5)
6162aa1fe1b7f5c73e6fe34a,-0.58378111,6162aa1fe1b7f5c73e6fe42f,Design and Deliver a Residential Introduction to Management Course Program,Education and Training Services,Provision of the Services to Design and Deliver a Defence Science and Technology Organisation Residential Introduction to Management Course (RESMAN) Program.,Invitation to Register for the provision of Business Continuity Management Consulting Services to the Department of Defence,Management advisory services,The Department of Defence is seeking expression of interest from suitability qualified organisations to join a Register for the provision of specialist Business Continuity Management consulting services.,4
6162aa1fe1b7f5c73e6fe05f,-0.995161455,6162aa1fe1b7f5c73e6fe42f,PMKEYS SOFTWARE UPGRADE,Engineering and Research and Technology Based Services,The Department of Defence is seeking suitably qualified and experienced organisations to provide Expressions of Interest for the provision of professional services relating to the upgrade of Defence`s enterprise HR system known as the Personnel Management,Invitation to Register for the provision of Business Continuity Management Consulting Services to the Department of Defence,Management advisory services,The Department of Defence is seeking expression of interest from suitability qualified organisations to join a Register for the provision of specialist Business Continuity Management consulting services.,4
6162aa1fe1b7f5c73e6fe99e,-0.724379618,6162aa1fe1b7f5c73e6fe42f,Procurement of up to ten Defence Business Advisers,Management advisory services,"This Request for Tender is seeking applications from organisations and individuals interested in being engaged under contract to provide Defence Business Adviser services for the Centre for Defence Industry Capability (CDIC), administered by the Department of Industry, Science, Energy and Resources.  The Defence Business Advisers help businesses navigate the defence market, provide specialist advice on improving competitiveness and accessing global markets, and facilitate connections with other businesses and Defence. Defence Business Advisers are required to have specialist skills and experience including significant defence industry experience and demonstrated management, consulting or commercialisation experience in relevant businesses.",Invitation to Register for the provision of Business Continuity Management Consulting Services to the Department of Defence,Management advisory services,The Department of Defence is seeking expression of interest from suitability qualified organisations to join a Register for the provision of specialist Business Continuity Management consulting services.,3
6162aa1fe1b7f5c73e6fe769,-0.691456375,6162aa1fe1b7f5c73e6fe42f,Request for Tender for Business Process Mapping Services,Management advisory services,The Australian Department of Social Services invites suitably qualified organisations to tender for the provision of business process mapping and change management services. The services will assist the Department in streamlining selected corporate business processes.,Invitation to Register for the provision of Business Continuity Management Consulting Services to the Department of Defence,Management advisory services,The Department of Defence is seeking expression of interest from suitability qualified organisations to join a Register for the provision of specialist Business Continuity Management consulting services.,4
6162aa1fe1b7f5c73e6fe839,-0.667200495,6162aa1fe1b7f5c73e6fe42f,Provision of Specialist Employment Services to the Transition for Employment (T4E) Program,Management advisory services,"The Australian Department of Defence (Defence) represented by the Defence Community Organisation (DCO) is seeking services to be provided under contract to deliver specialist employment services at a national level, to facilitate early employment and transition for ADF’s profoundly wounded, injured and ill personnel in the T4E program.",Invitation to Register for the provision of Business Continuity Management Consulting Services to the Department of Defence,Management advisory services,The Department of Defence is seeking expression of interest from suitability qualified organisations to join a Register for the provision of specialist Business Continuity Management consulting services.,2
6162aa1fe1b7f5c73e6fe13b,-0.651371757,6162aa1fe1b7f5c73e6fe42f,Provision of Market and Client- Focussed Reseach Services,Management advisory services,"An Invitation to Register Interest (ITR) is offered by the Department of Defence, to organisations able to provide suitably qualified personnel for the provision of market and client-focussed research. We are seeking an innovative and creative organisatio",Invitation to Register for the provision of Business Continuity Management Consulting Services to the Department of Defence,Management advisory services,The Department of Defence is seeking expression of interest from suitability qualified organisations to join a Register for the provision of specialist Business Continuity Management consulting services.,4
6162aa1fe1b7f5c73e6fdff6,-0.634626295,6162aa1fe1b7f5c73e6fe42f,Delivery of Finance and Business Management Training Courses,Specialised educational services,"The Department of Defence (Defence), through the Defence Business Training Centre (DBTC), is seeking to establish Standing Offer arrangements for the delivery of Finance and Business Management (FBM) training to members of the Defence organisation across",Invitation to Register for the provision of Business Continuity Management Consulting Services to the Department of Defence,Management advisory services,The Department of Defence is seeking expression of interest from suitability qualified organisations to join a Register for the provision of specialist Business Continuity Management consulting services.,4
6162aa1fe1b7f5c73e6fe1a6,-0.59926236,6162aa1fe1b7f5c73e6fe42f,Review of Australian Defence Force Cadet and Cadet Staff Training,Specialised educational services,The Department of Defence invites suitably qualified organisations or consultants to tender for the provision of services relating to a review of current Australian Defence Force Cadet and Cadet Staff curricula and training content and delivery. The revie,Invitation to Register for the provision of Business Continuity Management Consulting Services to the Department of Defence,Management advisory services,The Department of Defence is seeking expression of interest from suitability qualified organisations to join a Register for the provision of specialist Business Continuity Management consulting services.,4
6162aa1fe1b7f5c73e6fe175,-0.589467953,6162aa1fe1b7f5c73e6fe42f,"Provision of Risk Management, Business Continuity and Security Services",Management advisory services,"Provision of Risk Management, Business Continuity and Security Services",Invitation to Register for the provision of Business Continuity Management Consulting Services to the Department of Defence,Management advisory services,The Department of Defence is seeking expression of interest from suitability qualified organisations to join a Register for the provision of specialist Business Continuity Management consulting services.,4
6162aa1fe1b7f5c73e6fe1a4,-0.56438085,6162aa1fe1b7f5c73e6fe42f,DSTO Soldier System Integration Mission Project Management,Management advisory services,"The provision of a Project Management team to support the Soldier System Integration Mission for Defence Science and Technology Organisation (DSTO) Edinburgh, South Australia.  ",Invitation to Register for the provision of Business Continuity Management Consulting Services to the Department of Defence,Management advisory services,The Department of Defence is seeking expression of interest from suitability qualified organisations to join a Register for the provision of specialist Business Continuity Management consulting services.,3
6162aa1fe1b7f5c73e6fe986,-0.97577154,6162aa1fe1b7f5c73e6fe958,Programs to build capability for the Australian Trade and Investment Commission,Education and Training Services,"Austrade is the lead agency for Trade and Investment for Australia.  We are looking to initially build the capability of our staff as well as staff in our partner and ally organisations.   Austrade is looking for suitable service providers to develop and deliver capability development programs that addresses skills covering Business Advisory Skills, Trade Advisory Skills and Investment Advisory Skills",Benchmarking and appraising staff tax technical and legal skills capability,Strategic planning consultation services,The ATO is seeking a supplier to undertake research identifying and articulating a methodology to appraise tax technical and legal capabilities using industry standards and/or frameworks. The supplier will also be required to measure staff capability and analyse results and other data sources to determine overall organisational capability for a specific business function.,4
6162aa1fe1b7f5c73e6fe8b0,-0.95737847,6162aa1fe1b7f5c73e6fe958,Program Integrity Support,Management advisory services,The federal budget 2018-19 announced a range of measures to support business understanding of the Research and Development Tax Incentive and to improve program administration and integrity. The Department is seeking to engage a suitable supplier to assist with program administration and integrity functions.,Benchmarking and appraising staff tax technical and legal skills capability,Strategic planning consultation services,The ATO is seeking a supplier to undertake research identifying and articulating a methodology to appraise tax technical and legal capabilities using industry standards and/or frameworks. The supplier will also be required to measure staff capability and analyse results and other data sources to determine overall organisational capability for a specific business function.,4
6162aa1fe1b7f5c73e6fdfee,-0.938887017,6162aa1fe1b7f5c73e6fe958,CSIRO RFT 2004-008 Team Building and Change Management Programme,Education and Training Services,"The purpose of the CSIRO IT Team Building and Change Management Programme is to establish the new culture for CSIRO IT by providing CSIRO IT staff with the skills to understand, manage and drive change, and to work as teams to build an effective One-CSIRO IT research support function.",Benchmarking and appraising staff tax technical and legal skills capability,Strategic planning consultation services,The ATO is seeking a supplier to undertake research identifying and articulating a methodology to appraise tax technical and legal capabilities using industry standards and/or frameworks. The supplier will also be required to measure staff capability and analyse results and other data sources to determine overall organisational capability for a specific business function.,1
62340b5328a0c11b54da369f,-0.9282764,6162aa1fe1b7f5c73e6fe958,Industry Workforce Training – Adult Learners Week 2021 to 2024,Adult and Continuing Education,"The Australian Government is inviting one organisation via a closed non-competitive selection process to apply to deliver services under the Building Skills and Capability Program under the Industry Workforce Training Component over 4 years from 2020–21 to 2023–24. 
 Adult Learners Week is an international event that is celebrated with events and activities across the nation, which are designed to promote the benefits of life-long learning in the home, at work and in the community. States and territories are responsible for supporting Adult Learners Week at the state and local level, while the Australian Government supports activities that contribute to its national presence. 
 This grant opportunity is to support the national presence of Adult Learners Week from 2021 to 2024. 
 The objective of the grant opportunity is to: 
 
 coordinate and deliver activities to support Adult Learners Weeks in 2021, 2022, 2023 and 2024 
 register over 400 events on the Adult Learners Week website by the end of Adult Learners Week each year. 
 
 The intended outcome of the grant opportunity is to: 
 
 raise awareness of adult learning opportunities on a national scale and encourage adult learners to connect or reconnect to training and learning 
 reach over 50,000 people each year through Adult Learners Week social media posts. 
",Benchmarking and appraising staff tax technical and legal skills capability,Strategic planning consultation services,The ATO is seeking a supplier to undertake research identifying and articulating a methodology to appraise tax technical and legal capabilities using industry standards and/or frameworks. The supplier will also be required to measure staff capability and analyse results and other data sources to determine overall organisational capability for a specific business function.,1
6162aa1fe1b7f5c73e6fe449,-0.913215505,6162aa1fe1b7f5c73e6fe958,Teradata Technical Specialist,Engineering and Research and Technology Based Services,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as Enterprise Applications to perform ICT Services.  The Tax Office is seeking a results driven Specified Personnel to fill a contract position within the Data Warehouse (DWH) group in the Enterprise Applications Branch, Business Intelligence Portfolio. The DWH group has four technical teams supporting: Teradata Operations; Data Design and ETL Processing, Enterprise Reporting Capability and,  DWH Physical Data Model design. The teams are responsible for building, managing and supporting Tax Office Business Intelligence (BI) technical capabilities, including data warehousing, data mining, analytics and enterprise reporting.The new position located in Canberra requires a Highly Protected security clearance and the successful candidate must be prepared to undergo the security clearance process at this level.",Benchmarking and appraising staff tax technical and legal skills capability,Strategic planning consultation services,The ATO is seeking a supplier to undertake research identifying and articulating a methodology to appraise tax technical and legal capabilities using industry standards and/or frameworks. The supplier will also be required to measure staff capability and analyse results and other data sources to determine overall organisational capability for a specific business function.,3
6162aa1fe1b7f5c73e6fe6d6,-0.904980785,6162aa1fe1b7f5c73e6fe958,Review of the National Measurement Institute's Legal Metrology Activities,Management advisory services,"The Department of Industry and Science invites suitably qualified consultants/contractors to submit a tender for a review of the scope, function and organising arrangements of legal metrology in Australia leading to recommendations for implementation.",Benchmarking and appraising staff tax technical and legal skills capability,Strategic planning consultation services,The ATO is seeking a supplier to undertake research identifying and articulating a methodology to appraise tax technical and legal capabilities using industry standards and/or frameworks. The supplier will also be required to measure staff capability and analyse results and other data sources to determine overall organisational capability for a specific business function.,2
6162aa1fe1b7f5c73e6fea24,-0.89498694,6162aa1fe1b7f5c73e6fe958,Research subscription services – resource and energy commodities,Economics,"   The procurement is to contract a supplier to provide access to resource and energy commodity specific research subscription, including a comprehensive data service, regular reports on industry developments and related supported services. The database will need to provide access to detailed project-level data across a variety of commodities.    ",Benchmarking and appraising staff tax technical and legal skills capability,Strategic planning consultation services,The ATO is seeking a supplier to undertake research identifying and articulating a methodology to appraise tax technical and legal capabilities using industry standards and/or frameworks. The supplier will also be required to measure staff capability and analyse results and other data sources to determine overall organisational capability for a specific business function.,2
623410e228a0c11b54da3896,-0.89486739,6162aa1fe1b7f5c73e6fe958,Skilling Australia's Defence Industry Grants Program,Employment Services,"The Skilling Australia’s Defence Industry Grants Program will provide grants to businesses over three years to help develop defence sector skills and human resources practices and training plans. 
 The program aims to: 
 
 reduce barriers faced by Small and Medium Enterprises (SMEs) in the defence sector when upskilling or retraining staff 
 develop skills within SMEs in the defence sector 
 support SMEs in the defence sector to establish human resources practices and training plans that will build lifelong learning activities into their business. 
",Benchmarking and appraising staff tax technical and legal skills capability,Strategic planning consultation services,The ATO is seeking a supplier to undertake research identifying and articulating a methodology to appraise tax technical and legal capabilities using industry standards and/or frameworks. The supplier will also be required to measure staff capability and analyse results and other data sources to determine overall organisational capability for a specific business function.,0
6162aa1fe1b7f5c73e6fe87f,-0.83958233,6162aa1fe1b7f5c73e6fe958,Army Indigenous Development Program & Regional Force Surveillance Unit Education and Development Course,Education and Training Services,"The Royal Military College of Australia (RMC-A) is seeking a Supplier to work with the staff of the Regional Force Surveillance Group (RFSG) to deliver two specialised programs that are aimed at increasing the representation of indigenous Australians in Army.   Industry briefing session for this ATM is Tuesday 09 October 2018 at Berrimah Defence Establishment at 0900.  If interested in attending, please forward nominations and attendee names to the Contact Officer at A.A.5. Maximum of three (3) people per organisation. Nominations for attending the Industry Brief close at 1600hrs Friday 5 October 2018. ",Benchmarking and appraising staff tax technical and legal skills capability,Strategic planning consultation services,The ATO is seeking a supplier to undertake research identifying and articulating a methodology to appraise tax technical and legal capabilities using industry standards and/or frameworks. The supplier will also be required to measure staff capability and analyse results and other data sources to determine overall organisational capability for a specific business function.,0
6162aa1fe1b7f5c73e6fe350,-0.826647695,6162aa1fe1b7f5c73e6fe958,Senior Mainframe Technical Specialists,Engineering and Research and Technology Based Services,"The Commonwealth, represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as the Environment Management - Data Services section within the ICT Business Line in order to perform ICT Services.  The Tax Office is seeking approximately two  personnel.",Benchmarking and appraising staff tax technical and legal skills capability,Strategic planning consultation services,The ATO is seeking a supplier to undertake research identifying and articulating a methodology to appraise tax technical and legal capabilities using industry standards and/or frameworks. The supplier will also be required to measure staff capability and analyse results and other data sources to determine overall organisational capability for a specific business function.,3
6162aa1fe1b7f5c73e6fe464,-0.946521482,6162aa1fe1b7f5c73e6fe5b7,Provision of a Resilience Training Program for the Department of Human Services,Education and Training Services,"Design, Development and Delivery of Resilience Training Services","Design, Development and Delivery of Investigative Interviewing Programs to the AFP",Education and Training Services,"The AFP is seeking the design, development and delivery of a four tiered model of Investigative Interviewing programs, with a 'Train the Trainer' component.  The services comprise of the design and delivery of training programs on an as required basis in all capital cities, however it is anticipated that the majority of the training will be conducted in the ACT region.   ",4
6162aa1fe1b7f5c73e6fe58a,-0.80725453,6162aa1fe1b7f5c73e6fe5b7,Leading the Research Enterprise (LRE) Program Design and Delivery Services,Education and Training Services,"This is an existing business requirement.  The LRE program has been part of CSIRO's Leadership Development Stream, along with the New People Leader Program and Experienced Leader Program (ELP).The program has been offered on an annual basis since 2004, and has had approximately 24 participants per year.  During this time, the LRE program has been regularly evaluated and incremental changes have been included from time to time.Following the introduction of ELP in 2011, LRE will in future be offered in alternate years. ","Design, Development and Delivery of Investigative Interviewing Programs to the AFP",Education and Training Services,"The AFP is seeking the design, development and delivery of a four tiered model of Investigative Interviewing programs, with a 'Train the Trainer' component.  The services comprise of the design and delivery of training programs on an as required basis in all capital cities, however it is anticipated that the majority of the training will be conducted in the ACT region.   ",4
6162aa1fe1b7f5c73e6fe1d8,-0.7494757,6162aa1fe1b7f5c73e6fe5b7,Standing Offer Panel for Vocational Education and Training,Specialised educational services,"Support of Analysis, Design, Development & Evaluation phases of Defence Training Model.  Support also from Specialist Training, Research, Management & ITC Consultancies, Course Admin & Contracting Out and Training Support Recruitment Agencies.","Design, Development and Delivery of Investigative Interviewing Programs to the AFP",Education and Training Services,"The AFP is seeking the design, development and delivery of a four tiered model of Investigative Interviewing programs, with a 'Train the Trainer' component.  The services comprise of the design and delivery of training programs on an as required basis in all capital cities, however it is anticipated that the majority of the training will be conducted in the ACT region.   ",3
6162aa1fe1b7f5c73e6fe77b,-0.664758821,6162aa1fe1b7f5c73e6fe5b7,Customer Experience Program Panel,Education and Training Services,"   CSIRO through this RFT is seeking Responses from organisations with practitioners with appropriate skills and experience to play a key role in the design, delivery, development and facilitation of a suite of modules under the Customer Experience Program which supports CSIRO’s Customer First Strategy Pillar.","Design, Development and Delivery of Investigative Interviewing Programs to the AFP",Education and Training Services,"The AFP is seeking the design, development and delivery of a four tiered model of Investigative Interviewing programs, with a 'Train the Trainer' component.  The services comprise of the design and delivery of training programs on an as required basis in all capital cities, however it is anticipated that the majority of the training will be conducted in the ACT region.   ",3
6162aa1fe1b7f5c73e6fe1b5,-0.660086273,6162aa1fe1b7f5c73e6fe5b7,RFT for the National System for the Prevention and Management of Marine Pest Incursions,Environmental Services,The Department is seeking to form a Panel of providers capable of undertaking work related to the development and implementation of the National System on an `as-required` basis.,"Design, Development and Delivery of Investigative Interviewing Programs to the AFP",Education and Training Services,"The AFP is seeking the design, development and delivery of a four tiered model of Investigative Interviewing programs, with a 'Train the Trainer' component.  The services comprise of the design and delivery of training programs on an as required basis in all capital cities, however it is anticipated that the majority of the training will be conducted in the ACT region.   ",1
6162aa1fe1b7f5c73e6fe8be,-0.659722064,6162aa1fe1b7f5c73e6fe5b7,System Safety Courses,Education and Training Services,Development and Delivery of System Safety Training to the Defence Aviation Community,"Design, Development and Delivery of Investigative Interviewing Programs to the AFP",Education and Training Services,"The AFP is seeking the design, development and delivery of a four tiered model of Investigative Interviewing programs, with a 'Train the Trainer' component.  The services comprise of the design and delivery of training programs on an as required basis in all capital cities, however it is anticipated that the majority of the training will be conducted in the ACT region.   ",3
6162aa1fe1b7f5c73e6fe7ba,-0.656057427,6162aa1fe1b7f5c73e6fe5b7,Naval Shipbuilding College,Education and Training Services,"Respondents are invited to submit a proposal to support the development and delivery of a Naval Shipbuilding College (NSC) to facilitate the delivery of the workforce outcomes required to build and sustain Australia’s naval shipbuilding endeavour, as outlined in the Naval Shipbuilding Plan, released by the Government on 16 May 2017.  Over the next ten (10) to fifteen (15) years, the size and skill level of the naval shipbuilding and sustainment workforce will need to increase significantly to meet the demands created by the Government’s planned investments in naval shipbuilding.  The naval shipbuilding enterprise is too important for the market forces of supply and demand to manage growth and skilling requirements. A national approach to rebuilding the naval shipbuilding and sustainment workforce is required. On 24 March 2017, the Minister for Defence Industry, the Hon Christopher Pyne MP announced that the Government will establish a Naval Shipbuilding College to identify, train and retain workers for the naval shipbuilding enterprise.  The NSC project is expected to be delivered through three phases, with progress to the next phase dependent on the successful achievement of the previous phase:• the first phase will commence in 2018 and focus on establishing the NSC; is expected to build capacity and annual throughput at existing education and training institutions across Australia, in key entry level trade qualifications. It will commence a nation-wide communication program, including a career awareness program for school level audiences and workers in adjacent industries; and create a workforce register;• the second phase of the Naval Shipbuilding College is expected to commence in 2020/21. The College will continue to increase capacity and student throughput in key entry-level trades, and will build on this to also achieve increased capacity and throughput in key higher education qualifications (such as naval architecture/engineering) from universities; and• the final phase of the NSC Project could commence from around 2022-2023, subject to successful implementation of the first two phases, and is to develop and construct a purpose-built Naval Shipbuilding College training facility located at the Osborne Naval Shipyard that will offer a range of naval shipbuilding and sustainment education and training that cannot be met from existing institutions.  To support the establishment and delivery of the NSC, the Commonwealth, through the Defence of Defence, is seeking to engage with the broader training and education industry and with potential NSC providers to:• provide informed input and innovative ideas that can be considered by the Commonwealth in determining the optimal service development and delivery solution for the NSC; and• enable an industry partner or partners to be selected to deliver the first two phases of NSC outcomes.    ","Design, Development and Delivery of Investigative Interviewing Programs to the AFP",Education and Training Services,"The AFP is seeking the design, development and delivery of a four tiered model of Investigative Interviewing programs, with a 'Train the Trainer' component.  The services comprise of the design and delivery of training programs on an as required basis in all capital cities, however it is anticipated that the majority of the training will be conducted in the ACT region.   ",1
6162aa1fe1b7f5c73e6fe08d,-0.653238782,6162aa1fe1b7f5c73e6fe5b7,Provision of Driver Training Services to the AFP,Education and Training Services,"The provision of Driver Training Services comprising,  the design and delivery of class room and practicial driver training.","Design, Development and Delivery of Investigative Interviewing Programs to the AFP",Education and Training Services,"The AFP is seeking the design, development and delivery of a four tiered model of Investigative Interviewing programs, with a 'Train the Trainer' component.  The services comprise of the design and delivery of training programs on an as required basis in all capital cities, however it is anticipated that the majority of the training will be conducted in the ACT region.   ",2
6162aa1fe1b7f5c73e6fe2f2,-0.642808061,6162aa1fe1b7f5c73e6fe5b7,DESIGN AND DELIVERY OF A LEARNING AND DEVELOPMENT WORKSHOP FOR LEADERSHIP DEVELOPMENT PROGRAMME FOR MIDDLE MANAGERS,Education and Training Services,Design and Delivery of a learning and development workshop and associated activities to a support leadership development programme for middle managers.,"Design, Development and Delivery of Investigative Interviewing Programs to the AFP",Education and Training Services,"The AFP is seeking the design, development and delivery of a four tiered model of Investigative Interviewing programs, with a 'Train the Trainer' component.  The services comprise of the design and delivery of training programs on an as required basis in all capital cities, however it is anticipated that the majority of the training will be conducted in the ACT region.   ",3
6162aa1fe1b7f5c73e6fe855,-0.641222633,6162aa1fe1b7f5c73e6fe5b7,High-level operating model design and enterprise architecture,Strategic planning consultation services,Development of a high-level operating model and enterprise architecture for the AAT,"Design, Development and Delivery of Investigative Interviewing Programs to the AFP",Education and Training Services,"The AFP is seeking the design, development and delivery of a four tiered model of Investigative Interviewing programs, with a 'Train the Trainer' component.  The services comprise of the design and delivery of training programs on an as required basis in all capital cities, however it is anticipated that the majority of the training will be conducted in the ACT region.   ",2
6162aa1fe1b7f5c73e6fe966,-0.97160501,62340d1528a0c11b54da3742,Request for Tender in relation to the Foundation Skills for Your Future Program,Education and Training Services,"The Department of Employment, Skills, Small and Family Business is seeking to establish a panel of prequalified language, literacy, numeracy and digital skills training suppliers to support the delivery of the Foundation Skills for Your Future Program. Submissions from interested Registered Training Organisations should be in accordance with this Request for Tender (RFT).",The Smith Family Catch-Up Learning Program 2021-2022,Education Support,"The Catch-up Learning program will provide tutoring to improve the literacy and numeracy skills of up to 530 financially disadvantaged students supported on The Smith Family’s long-term educational scholarship program, Learning for Life, who are struggling in these areas.",4
62340aab28a0c11b54da365f,-0.878779375,62340d1528a0c11b54da3742,Students Support Package - The Smith Family's Growing Careers Project,Primary and Secondary Schools,"The Australian Government is inviting one organisation via a closed non-competitive process to apply to deliver services under the Students Support Package – The Smith Family’s Growing Careers Project from 2020–21 to 2024–25. 
 The Smith Family’s Growing Careers Project (the program) will run over 5 years from 2020–21 to 2024–25. The program was announced in the October 2020 Budget as part of the Students Support Package. 
 The objectives of the program are to: 
 
 enable The Smith Family’s Growing Careers Project to support up to 76,725 disadvantaged students across Australia 
 support disadvantaged high school students from Years 8 to Year 12 (or equivalent). 
 
  The intended outcomes of the program are to: 
 
 help disadvantaged young people to complete Year 12 (or equivalent) and successfully transition to work or to further education and training. 
",The Smith Family Catch-Up Learning Program 2021-2022,Education Support,"The Catch-up Learning program will provide tutoring to improve the literacy and numeracy skills of up to 530 financially disadvantaged students supported on The Smith Family’s long-term educational scholarship program, Learning for Life, who are struggling in these areas.",5
